PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpcRt6gtNO/;Photo;1577;24;0;29.11.2025 19:44;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/589387691_18304989370251939_1367588862059764262_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjY3NDEyNTM2MDMyMTM1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDR4MTYwNS5zZHIuQzMifQ%3D%3D&_nc_ohc=2mBcap4QZzAQ7kNvwHZfqjP&_nc_oc=AdmcSZ4160SES6yU3Qb34FLth5-_EF-1PxIuckhM8Xhd0FyDJm9qLVfdBFivFaCzArE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_Afh9djG_619h7gRD2qJ_ZVnCcYY8N9M-CcFGwwSzaDbbnQ&oe=6930F9D1;39’uncu Olağan Kurultayımızda 1333 geçerli oyun tamamını alarak 4’üncü kez genel başkan seçilen Genel Başkanımız Sayın Özgür Özel’i kutluyorum.;131383.0;0
https://www.instagram.com/p/DRoy4WIDcK9/;Carousel;2020;17;0;29.11.2025 13:42;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/588990155_18304959988251939_7734139280217308000_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjQ5MjA1MjM4NTk4NjM3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA5Ni5oZHIuQzMifQ%3D%3D&_nc_ohc=Rl3FLmDNnuEQ7kNvwF_jzJB&_nc_oc=AdkbdDT29ihMQftoA8g1gOgyCB8ckd3r6qFwzo75ccNKJRHsdMW2uAyzWgzSOfEJYzI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfiLJnqYd_kuOLy9yH7TMO8qjy0Cpdy26eOk2daXmz8D1g&oe=69312629;39’uncu Olağan Kurultayı’mızın ikinci günündeyiz…  #SimdiİktidarZamanı;;0
https://www.instagram.com/p/DRl6DK_jYeo/;Carousel;1143;5;0;28.11.2025 10:47;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/588654688_18304849471251939_5051271409420982439_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTY3OTE2MjAxMTczMzA1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4OTAwLnNkci5DMyJ9&_nc_ohc=GYz_0PQNLBkQ7kNvwHzgtFv&_nc_oc=Adnn7E9G47MiKDJioWovyCj6Hh94Svijxm7_EaO18lcYLnWb0rpzrGk-Cb5ftHYDBU8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfgKa1fKGspAyONOGYKBy7t-D3B7rn5CYILnkoJRJLdaVA&oe=69310C76;39’uncu Olağan Kurultayımızdayız. Partimize ve ülkemize hayırlı olsun!  #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRlyb_KAoCX/;Photo;1360;53;0;28.11.2025 09:41;https://scontent-bog2-1.cdninstagram.com/v/t51.82787-15/589914514_18304845634251939_4342667872245651964_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTY0NTY4ODE4NTEyNzA2Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTF4MTc5OC5zZHIuQzMifQ%3D%3D&_nc_ohc=AbMIdg0ccboQ7kNvwG7Ab6j&_nc_oc=AdkCSPGxgpqg2O9wcqiccF_rXrK1iWMsZUcq5tMZuiaJo3jjoqCbGDejkA_U_5Ud1PA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-1.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfiIAu4SxBvzjx513WwjXqOK3JDBrr7LTbaB362-gUQ_Sg&oe=69311BBF;Türkiye’nin birinci partisi Cumhuriyet Halk Partisi, Genel Başkanımız Özgür Özel ile iktidara yürüyor.   #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRjet_vjWVe/;Reels;1616;36;78238;27.11.2025 12:12;https://scontent-bog2-1.cdninstagram.com/v/t51.71878-15/588457455_705800789248271_3982190271374086835_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NDk5NjAxNDg4MTkyNDQ0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=UkDWW4EsWt4Q7kNvwFDqOUn&_nc_oc=AdmVOIFK64-jioCzFHM7zQBoxbWAbWwkuOF9cuxoslRUIQBsVxUqS8X4yWZYJ5tOVe8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-1.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfijF1g3BP7JPyHuPRv9xew2wAkSyXY6BXBJN5R9VDV6xQ&oe=6931018B;"Çarşı merkezimizin yıllardır çözüm bekleyen altyapı sorunlarını tek tek gideriyoruz.  Esnaf kardeşlerimin, mahalle sakinlerimizin; yıllardır mazgalların tıkanmasından, eskiyen içme suyu ve kanalizasyon hatlarının yarattığı sıkıntılardan bıktığını biliyorum.  İşte tam da bu yüzden buradayız.  Bu caddenin altyapısını tamamlayacak, ardından üstyapısını da yenileyerek tertemiz bir hale getireceğiz.  Hep birlikte başaracağız #Adıyaman 🫶";;0
https://www.instagram.com/p/DRhqTq9An1l/;Reels;3160;96;73407;26.11.2025 19:14;https://scontent-bog2-1.cdninstagram.com/v/t51.71878-15/588607012_838033992179099_8436241112928270065_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NDQ4NDAzMjQ1NzQ0MDYxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=qlCb_qBEtYkQ7kNvwEbv2eG&_nc_oc=AdnKy66sqQKDkn3574otw6ciP2MwA_vfhMHbLoAFzHDbQ1RdnQJPB2ZeBX6K9PBQ_nE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-1.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfgZuK_rXmFdTG3hAZjWieUB-WB8RVuD8Xyyp1yvb5-oBA&oe=69310CD0;"Kıymetli hemşehrilerim,  İndere bölgesindeki konutlar, idarî ve hukukî olarak Belediyemizin imar ve mücavir alan sınırları dışında kalmaktadır. Bu nedenle temizlik, ulaşım ve diğer belediye hizmetler konusunda çeşitli hukukî zorluklar yaşamaktayız.  Buna rağmen, konutların teslimiyle birlikte ortaya çıkan sorunların çözülmesi ve sizlerin mağduriyet yaşamaması için tüm imkanlarımızı seferber ediyoruz. Bölgenin belediye sınırlarımıza dahil edilmesi için Valiliğimizle, Çevre, Şehircilik ve İklim Değişikliği Bakanlıklarımızla gerekli yazışmaları yaptık.  Hemşehrilerimizin mağdur olmaması adına 11 Ağustos’tan bu yana 07.00–20.00 saatleri arasında İndere’ye otobüs seferlerimizi başlattık. Yeni aldığımız otobüslerimiz de Adıyaman’a ulaştı; yasal süreçlerin tamamlanmasıyla birlikte önümüzdeki günlerde sefer sayımızı artıracağız. Aynı şekilde temizlik ve çöp toplama hizmetlerimiz de bölgede düzenli olarak sürmektedir.  Adıyaman Belediyesi olarak, nerede bir hemşehrimiz varsa orada olmak, sorununu çözmek bizim asli görevimizdir. Sizlere hizmet etmekten büyük bir mutluluk ve gurur duyuyoruz.";;0
https://www.instagram.com/p/DRg57nQDSQb/;Carousel;1434;5;0;26.11.2025 12:10;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/589150521_18304660876251939_3509845711452965731_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NDI3MTI2MjUyMTM4OTI3Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=stmUVVrh7YoQ7kNvwEXAGmE&_nc_oc=Adk2le7Xogug-V4a8vIxF79N3kSQWcwDId7h4lojMGH6oMDpIpTeNsjjz7taaF-ZSrc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfgN_ZROpP3421YRVvy6j3S1lu6PPYYzFpB3T23W7oqzvQ&oe=693104DC;Fatih, Yeşilyurt ve Siteler mahallelerimizde yapımı tamamlanan ve yapımı devam eden parklarımızda incelemelerde bulunduk.   Mahallelerimizin nefes alanlarını büyütmeye devam ediyoruz.  #Adıyaman 🫶;;0
https://www.instagram.com/p/DReoiUwgkfV/;Carousel;941;5;0;25.11.2025 14:59;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/587110250_18304575424251939_8046688501201335185_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MzYzMTc5NTAzMjEwNDQ1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=ua2WcuzUGvAQ7kNvwHTpENz&_nc_oc=AdmzDdQglfc-O3ckoRfyQCdq0JuM6BC2ULJKmg1A3U1vWuJm6tK7XrfrK6GBOxsNgv4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfhLJQmqMo6nSmaRsei8Am-c3lZStGXK732cNVNE8c9sYw&oe=693123AE;Kapımız da gönlümüz de hemşehrilerimize daima açık…;;0
https://www.instagram.com/p/DRelCzigmfR/;Photo;892;4;0;25.11.2025 14:29;https://scontent-bog2-1.cdninstagram.com/v/t51.82787-15/586869502_18304573159251939_4328140807818861773_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MzYxNjQ1ODI4MjcyMzI4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5OC5zZHIuQzMifQ%3D%3D&_nc_ohc=rB7_hvUpx9AQ7kNvwHFU5OA&_nc_oc=AdlNyrpDlG-BdtY71WEUlAmJlyUmJm3Q_aQyMAkXgAMIZnU8tiWLCEjzE4cZV0PL1NY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-1.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfhDjcamNM4VTP0ANS517rB_ZJ7BfznAksoGS3aYzClYBA&oe=6930FB8E;#Adıyaman Belediyesi olarak, kadınların hayatın her alanında güçlü, eşit ve güvende olduğu ‘kadın dostu’ bir kent için çalışıyoruz.  #25KasımKadınaYönelikŞiddeteKarşıUluslararasıMücadeleGünü;;0
https://www.instagram.com/p/DReWFn7gkOL/;Carousel;1482;9;0;25.11.2025 12:18;https://scontent-bog2-2.cdninstagram.com/v/t51.82787-15/586715059_18304565752251939_6549001870822527081_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzU1MDY2NTM0ODA1NTg0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=M-QuToyacDsQ7kNvwFe05Xp&_nc_oc=AdnwWUMhOUzEhffNQZ7nmc9K190UFm8US57owkaHCmf4QNjA7Kqjbzc3ofpwmqWSjcE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bog2-2.cdninstagram.com&_nc_gid=458VyunnoRkEV8Z9cg1BKw&oh=00_AfjLAX5-CaqUrDkv4TcTS8OebW9DpMS_wrmd1KtiOpLYDg&oe=693121B1;"Yeni Mahalle’de yapımı devam eden Sırrı Süreyya Önder Parkı’nda incelemelerde bulunduk.  Parkımız tamamlandığında; oyun grupları, yürüyüş yolları ve dinlenme alanlarıyla mahallemize değer katan bir buluşma noktası olacak.  #Adıyaman 🫶";;0
