PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRphCLcDVyo/;Reels;1172;41;41392;2025-11-29 20:28:22;https://scontent.cdninstagram.com/v/t51.71878-15/588181176_25345110211845884_2802821265900656307_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NjY5NTA0Nzc4MjQ4OTI1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=E6msc1JM-IAQ7kNvwGC-rNL&_nc_oc=AdkGokCEQLPeRG8u1JMWmH-Ydad6CW45CGbrnfUM6aeWGuplwznNiXHjj03Y5lhHzkJ2MqTiqeho3bhiF70wVqnB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_Afi_EJkg4ZPFwqwLMzaNNwSA0KyikCo_OE_pWevmVtilWw&oe=693108DE;Sivas’ın yeni cazibe merkezi yükseliyor. 🏗️🌿  Eski Sanayi Bölgesi’nde 252 konut ve 53 dükkândan oluşan 2. Etap Kentsel Dönüşüm Projesi hızla ilerliyor.  Geniş peyzaj alanları, açık–kapalı otoparklar, aile sağlığı merkezi ve okul alanıyla 2026 sonunda bölgeyi Sivas’a kazandırmış olacağız.  Şehrimize şimdiden hayırlı olsun. 👏🏻;101580.0;0
https://www.instagram.com/p/DRnEsVyjfN3/;Reels;3797;103;116348;2025-11-28 21:41:49;https://scontent.cdninstagram.com/v/t51.71878-15/587163689_1669292557816107_4069098846057524498_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NjAwNzQ1MTgxMzIxMzA0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=RW0Jp9XFV08Q7kNvwHaM7Ko&_nc_oc=AdlK8HCWquIjgNdeIdn3KiNXnnxdgn3gg8qcRIb6u7hW4PdbDX9rgTIp7ju-hyenLXb9dg9q4g0EGnNgdBscI6Ok&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_Afg23d-NJBS2pkiQ0Ds1gag6A_HIF_a9WGHaYvMkXgRpIw&oe=69311AD3;Gün, gönüllere dokununca güzelleşiyor…🤎  Bugün esnaf ve hemşehrilerimiz ile buluştuk, çay eşliğinde sohbet ettik. Dertleri dinledik, yüzlerdeki tebessüme ortak olduk.  Sizin memnuniyetiniz, bizim en büyük moral kaynağımız. Birlikte daha güzel bir şehir için çalışmaya devam edeceğiz. 👏🏻;;0
https://www.instagram.com/p/DRkWXDdjdtd/;Reels;1960;47;99757;2025-11-27 20:18:35;https://scontent.cdninstagram.com/v/t51.71878-15/589736881_881651458368464_1167709356789559871_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTI0MDcyODkzMTU4ODk1Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=iSo8r-gTHLAQ7kNvwFWbjMp&_nc_oc=AdmvIyBlHKceg7FYOCgJW1XFAmah5x1X5r_3bSYXej3qGXw09yTqtSalmUz06nx8SxtF14Y3gc4yNBgS4VIcjG49&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfjeeQrwHx5Z1mccd9aqz35mIzd1NYTajxEV1bMqxS-tlA&oe=6931070B;"Sürdürülebilir, kaynaklarını verimli kullanan ve kendi kendine yeten bir hizmet anlayışı ile çalışmalarımıza devam ediyoruz. 🌱💪  📍 Tecer Taş Ocağı Projemizde; 🚧 Ağustos ayında çalışmalarımıza başladık. 💥 Eylül’de ilk patlatmayı başarıyla gerçekleştirdik. ⚙️ Kasım itibarıyla konkasörlerimizi kuruyoruz. ⏳Çalışmalarımız şu an %75 seviyesinde.  Çok kısa bir süre içinde kurulumları tamamlayarak tesisimizi hizmete alacağız.  💰 Proje maliyeti: 100 milyon TL 📈 Yıllık hedeflenen kâr: 150 milyon TL  Belediyemize ve şehrimize hayırlı olsun...👏🏻";;0
https://www.instagram.com/p/DRjltmkDcjp/;Reels;4000;96;127642;2025-11-27 13:14:06;https://scontent.cdninstagram.com/v/t51.71878-15/587277513_819324540734664_7210034744344393119_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTAyNjc3NDE3MTA0NDA3Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=paJQ21XG048Q7kNvwHH9lkV&_nc_oc=AdnErEzG7PRcZEcPugGiLL1sn3HilW7Tyi94COjsoAYRYnSmUqWxK0Ukmsy8rn2k9TRCwBhLvrU7ueRu-FC7-mp2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfhvZRo60QuMXUHeXgDY1Uh1MfiFNUQcD9_h707YNeluxQ&oe=69311AB4;"Bir yanda Anadolu’nun yiğit evladı Muhsin Yazıcıoğlu, diğer yanda Bosna’nın bilge lideri Aliya İzzetbegoviç… Onlara duyduğumuz vefa ile kadim değerlerimize sahip çıkma irademizi bir kez daha ortaya koyduk.  Muhsin Yazıcıoğlu Parkı’nda, Saraybosna’da Osmanlılar tarafından inşa edilen ve yüzyıllardır ayakta duran Sebil Çeşmesi’nin birebir örneğini hayata geçirdik. Böylece hem ecdadımızın izini yaşattık hem de Türk-İslam dünyasının iki büyük liderine anlamlı bir armağan sunduk.  Mevlüde Çirci tarafından, Bekir ve Emine Seçil adına yaptırılan hayrat çeşmesinin hayırlara vesile olmasını diliyor; bu güzel eserde emeği geçen herkese teşekkür ediyoruz.  Allah kabul etsin. 🤲🏻";;0
https://www.instagram.com/p/DRhz9VVjQfq/;Reels;3006;145;106677;2025-11-26 20:40:05;https://scontent.cdninstagram.com/v/t51.71878-15/589348710_2042634419905118_3159231717885723610_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NDUyNjQ3Nzg4MzQ3NTk0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=zClOjjoNtNoQ7kNvwFQYAXa&_nc_oc=AdmuaKPotl9E4fqE51i0cT9zoMFPh146RB6qHzqxeLZZE75HTpakMM1yxUHQfMcqRFzcc5_CGru2lms8Ju7jedIf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_Afgp8oSIwqOD2PxQJKLIDfH6md42Is4Y4IFsdd_Y6BwE2g&oe=69311AFC;🗣️ Halkımız soruyor, Başkanımız cevaplıyor.  👉🏻 Kuzey Çevre Yolu Projesi’nin akıbeti nedir?    🎙️ ❝Ulaştırma Bakanımız ile yaptığımız görüşmede 2026 yılında Kuzey Çevre Yolu’nun yatırım programına alınacağını ifade etti. Merkezi hükümetimiz bu projeyi hayata geçirene kadar biz de yerel yönetim olarak şehirdeki trafik sorununu çözüme kavuşturmak için bir dizi projenin startını verdik...❞;;0
https://www.instagram.com/p/DRfPWq1jW4N/;Reels;1328;40;48267;2025-11-25 20:44:47;https://scontent.cdninstagram.com/v/t51.71878-15/587497446_701599499688181_6334320333750238771_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3MzgwMjU0MTI4MTUzNzU0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=2F_gHy_9tycQ7kNvwF2SILg&_nc_oc=AdkQ-YbRSxGaEdVRM5Dn1FxyLUEjl8xz3OImpMb0_R0wBjJRjSasVI_9KcKzfEXu6LW4lnnLp6BAr9v5lvkTbu_j&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfhaS4aI0lr620r5r7QpsZDpmeM1EQ5pLwyiDY3yGgPYTQ&oe=69310A3F;"1996–97 yıllarında mezun olduğum Kayseri Argıncık Lisesi’nin kıymetli hocaları Eyüp Özbay, Mustafa Ekinci ve Erdoğan Aslan başta olmak üzere, üzerimde emeği olan tüm öğretmenlerime gönülden teşekkür ediyorum.  Bir eğitimci olmanın en güzel yanı; yıllar geçse de sevgiyle, saygıyla ve güzel anılarla hatırlanmaktır.  Öğretmenlik yaptığım dönemde birlikte yol yürüdüğüm değerli öğrencilerimin bu videoda paylaştığı duygu dolu mesajlar ise benim için ayrı bir gurur kaynağı oldu.  Bu anlamlı sürprizi hazırlayarak beni duygulandıran basın servisi ekibimize de şükranlarımı sunuyorum.  Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü yürekten kutluyorum.   İyi ki varsınız. 🌿📖👏🏻";;0
https://www.instagram.com/p/DRcZDQtjWA0/;Reels;6847;708;183969;2025-11-24 18:11:01;https://scontent.cdninstagram.com/v/t51.71878-15/584403513_1602265577813728_869123613313541788_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MzAwMDc2MzA5NDk0OTk0MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=AcZ3RcLAEkAQ7kNvwH0VesZ&_nc_oc=Adkfdi-go59mpWbXcqFI91-hanr1hW0688YIUFQ7MgxJzZIfXGO2gxC3Gf5qzM6wERZ2LA32B6WvDTufmgM-ks4A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfiTWkOuZv_qX5pURaYV7VoBy4w4FNACjuMaAiiguN546A&oe=693104B3;"41 yıldır mücadele ettiğimiz terör örgütü yüzünden binlerce vatan evladını şehit verdik, binlercesi gazi oldu. Bedeli bu kadar ağır olan bir mücadelede, bugün Gazi Meclisimizde bölücülüğün konuşulması kabul edilemez, affedilemez ve asla normalleştirilemez. Bu, düpedüz akıl tutulmasıdır.  Türk devleti, tarihi boyunca hiçbir zaman kendisine baş kaldıran bir teröristin ayağına gitmemiştir. Bu yaşananlar, sadece şehit ve gazilerimize değil; binlerce yıllık Türk töresine de bir meydan okumadır. Buna sessiz kalmamız mümkün değildir.  Yaşananları en sert şekilde kınıyoruz.";;0
https://www.instagram.com/p/DRaDijnDXzb/;Reels;2294;68;112163;2025-11-23 20:21:11;https://scontent.cdninstagram.com/v/t51.71878-15/584399584_3363789663798053_6846150898035804947_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MjM0MzIwNjcxNDExMzI0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=KJi9HpL1io0Q7kNvwGwzFJP&_nc_oc=AdlzK8epIZ-MzotAa2Zay-onxi9AXkEHvaNTzOuE1IDVcgZpBXuEqEvO-wXHfTkbzt7DhppS8rjesBgVHV_sHU-0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_Afiquxyv55lmQdtoZfl_bIZcGDeC7oigIztze3AgdoOLuA&oe=69311439;"Emeklilerimize müjde; destekler artıyor, yeni başvurular başlıyor...✅  2025 Ocak ayından itibaren her ay 2 bin TL olarak sağladığımız nakit desteğimizi, 2026 yılında 2 bin 500 TL’ye yükseltiyoruz. 📈  Mevcut destekten yararlanan emeklilerimiz ödemelerini almaya devam edecek. Ayrıca bu imkândan yararlanmak isteyen yeni emeklilerimiz için de başvuruları almaya başlıyoruz. ✍🏻  Yeni başvurular, 24 – 28 Kasım tarihleri arasında Belediyemizin internet sitesindeki Sosyal Destek bölümünden yapılacak. 🌐  Şimdiden tüm emeklilerimize hayırlı olsun.💐";;0
https://www.instagram.com/p/DRXmyLuDanT/;Reels;2964;109;142043;2025-11-22 21:36:07;https://scontent.cdninstagram.com/v/t51.71878-15/586393072_3631390173658886_2287085141055788211_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3MTY1Mzc4NzI3MTE0NTkzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=HKS29hwTv7kQ7kNvwHxGwTA&_nc_oc=AdkURCmt9yIXgzcjs9ZvSsJOuTluw_UTkAjOeYTP9ijKlDxHe0hOsPcWnf-75oc1jijDOh_KEohVhU7spBFjNmeQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfgwocmOmK22SB8fKGxvKDgG3BkxAAWt_zg2WfqVpCVP9w&oe=6930FFFF;"Özbelsan yeni Ekmek Fabrikamız hizmete girdi. 🍞🎀✨  Saatte 8 bin, 24 saat esasına göre ise 192 bin ekmek kapasitesine sahip modern teknoloji ile donatılan fabrikamızda; hemşehrilerimize güvenli, hijyenik ve kaliteli ekmek sunmaya devam edeceğiz.  Hayırlı ve bereketli olsun. 🤲🏻";;0
https://www.instagram.com/p/DRU6atCjS3o/;Reels;4660;150;174960;2025-11-21 20:25:54;https://scontent.cdninstagram.com/v/t51.71878-15/583808893_687901067721105_2137161675842843540_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MDg5NTcwOTc4MTE3NTc4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=m7-YeKERPJAQ7kNvwEBmrV-&_nc_oc=AdnCewjj3nlw1Di3YqrA2-uQ9-mrOS4d95uUcz4Yn0a85A7Kbk6C1PY7ObfLfuXkU_cTG22V1NiFH7oYzuBOAqJx&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=6rvKJbaVNSNlIdvgDG-AoQ&oh=00_AfjDaFJH4_6zKQu-jHf80eyqnzPHnEep3EzevbuguVerdQ&oe=69312C6A;Daha güzel, daha temiz bir #Sivas için çalışıyoruz. ✨💪🏻  Merkezde hissedilen kötü koku sorununu kökten çözmek amacıyla yürüttüğümüz bilimsel ve teknolojik çalışmalar hızla ilerliyor.  Robot kameralarla altyapının görünmeyen koridorlarını adım adım tarıyor, yıllar önce üzeri kapatılan Mısmılırmak ve Murdar Irmak bağlantılarındaki uygunsuz hatları gün yüzüne çıkarıyoruz. 🔍  Bugüne kadar 55 baca yeniden açıldı, 27 noktada uygunsuz bağlantı tespit edildi.  Yakın zamanda yapacağımız çalışma ile tüm bu bağlantıların dereye olan akışını tamamen keseceğiz.🔧;;0
