PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpRX42CGow/;Carousel;2049;32;0;2025-11-29 18:09:04;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/587221582_18538452043021870_7693174882948821214_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjYyNjE1ODQxMDk4MTM0OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=YFpLpvWEsIMQ7kNvwH9PGdA&_nc_oc=AdlX0w9Rwon7EhvhKDRkmndvB9myqSLrfiw2TJ4u04grJMJ6G5_smQsCq2RKSYLi3AH1xt8OLX_a8w9SPtC7g1Tf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfiRpfGJJtzMOX44MOLPNkD0_MeLCZU6M_fbNODj4Q_bEA&oe=69312999;Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’ndayız.   Yeniden Genel Başkanımız olarak seçilen Sn. Özgür Özel’i tebrik ediyor, kurultayımızın partimize ve ülkemize hayırlı olmasını diliyorum.  @chp @eczozgurozel;234249.0;0
https://www.instagram.com/p/DRo_Ap8CBf_/;Carousel;1502;20;0;2025-11-29 15:28:36;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/586680928_18538430785021870_7644479175899668352_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjU0NTM4OTQyODYzNDQwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExOTV4MTE5MS5zZHIuQzMifQ%3D%3D&_nc_ohc=pP7P5dpJf_QQ7kNvwH9c9Pj&_nc_oc=Adn9Um6BLGcfoz3cQnFlKLcWFT9BylcpquweXRpSLaoCd3PzseVTiwGFRnCICVRfzQDLzuBgYTvSqASNNOcOCrNm&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfhIJGR8eh5UA-VYMHFX0xOyO26xOPkxx0nB6sOF1NgKVg&oe=69312690;Balıkesir’imiz genelinde dünden bu yana etkili olan yoğun yağışlar nedeniyle hemşehrilerimizin mağduriyet yaşamaması için BASKİ ve İtfaiye ekiplerimiz sahada, tüm ihbarlara ilk andan itibaren hızlı ve koordineli şekilde müdahale ediyor.  Özellikle Ayvalık, Burhaniye ve Edremit ilçelerimizde 105 kg/m2’ye varan yağış oranlarıyla çok yüksek değerlere ulaşan ilçelerimizde ve Balıkesir’imizin tamamında olumsuz hava koşullarına karşı hemşehrilerimizin huzuru ve güvenliği için tüm ekiplerimiz sahadadır.  Tüm ekiplerimiz geceden bu yana teyakkuz halinde çalışmaya devam ediyor. Gelen tüm talepleri anbean takip ediyoruz. 444 40 10 numaralı çağrı merkezimizden bize ulaşabilirsiniz.;;0
https://www.instagram.com/p/DRohiAMCORm/;Reels;1483;9;36007;2025-11-29 11:12:58;https://scontent-lga3-1.cdninstagram.com/v/t51.71878-15/587712097_1494946161618275_2621458215219046898_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NjQxNTc1OTc0OTE0NTcwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=d6iR4-U2u7kQ7kNvwEhgIwA&_nc_oc=AdkX6tJnegRvbzVhEs1670o0ai56xjZx-NhMTd2o9xkfbUmJa8jqFwAebzA6Zr5wvTRweX0dPu7TrNcq_3GTbB8B&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfjKOOJ6-5_UdJLaFmiWFtjQ_MR9ez7u8sO-dE5NsFV0Iw&oe=6930F795;Balya'mızın Hacıhüseyin Mahallesi'nde su sorunu artık tarih oldu. 💧  Yıllardır değişmeyen içme suyu hatlarını yenileyerek mahallemizi kesintisiz ve sağlıklı içme suyuyla buluşturduk.  Balıkesir’imizin her mahallesinde kalıcı çözümlerle güçlü bir altyapı için gece gündüz demeden çalışmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRjxWh7iN2I/;Reels;1925;31;50589;2025-11-27 14:55:17;https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/588218033_1932166704378699_7978492593231181667_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NTA3Nzk2NTIwNjQ0NTQ0OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=J_T8Zb5XSL8Q7kNvwGLVHNQ&_nc_oc=Adng97fdh5CW60NVZL4TmZ9-F_Nyhi3g5dCgXlRdD3WClvUt61fiAldAJfZKZAthLeMxW-J95bPQGpbxhdkg0Co1&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfgVcW1FV5FcMWdRefI5xLbHNen_RElPsyh0b8pbdC2jHA&oe=6930F81B;📍 Burhaniye | Çallı – Kuyucak  Burhaniye’de Çallı ve Kuyucak mahallelerimiz arasındaki 5 kilometrelik yolumuzu sathi kaplama çalışmasıyla yenileyerek daha güvenli ve daha konforlu hale getirdik.  Balıkesir’imizin dört bir yanında yollarımızın kalitesini artırıyor, ulaşımı daha dayanıklı ve sürdürülebilir bir yapıya kavuşturuyoruz.;;0
https://www.instagram.com/p/DRguGc3CMZ_/;Reels;3325;288;146020;2025-11-26 10:28:12;https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/589039424_2299544977155789_4083839801729460593_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NDIxOTI0MTE4MDkzOTkwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=1bd0lXMTkrMQ7kNvwGy-8DK&_nc_oc=AdlOT-d5Z1NFVSZlXLz1vUO_xOE3td9p6x9nT9l3VbS-EfTruIJ1D3Z_dGsxyQHxEf-BCG20PQLBxHDRR9hEtxV9&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfgxwiXhkAI0Z2H-aaoyrULLOnoPs3UDT0W5mWLZeQVgEQ&oe=693115B1;75.000 m² büyüklüğündeki yeni Can Dost Doğal Yaşam Alanı projemizi tamamladık. 🐾  🛝 Özel gereksinimli can dostlarımız için yaptığımız sosyalleşme ve oyun alanı ile Türkiye’de bir ilki de hayata geçiriyoruz.  Can dostlarımız doğayla uyumlu, sağlıklı ve güvenli yeni bir yaşam alanına kavuşuyor. 🐱🐶  📍Yeniköy/Karesi;;0
https://www.instagram.com/p/DRfJCLECDsZ/;Reels;2137;33;92672;2025-11-25 19:44:08;https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/588203131_2246647039177550_9059952978744373198_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3Mzc3NDc0NDQ5NjEyNjc0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=BTXrGNdYc7YQ7kNvwFa4fLu&_nc_oc=Admg-gLsszUxEHm3pb9DN6ZNKCl7N9-OTFCFYY1cwP6agiaOWu2WWj0No_zbXq9R8AEhcMGy8reLD_SDwwOnQxNN&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfhjT-YyCayoyL7kIufF5O3CJ5005VUEOgrwpig2EfVuPA&oe=693101A6;"Gençlerimizin spora erişimini artırmak, okullarımızı spor alanında desteklemek ve amatör kulüplerimizi güçlendirmek için 20 ilçemizde kararlılıkla çalışıyoruz.  ✅ 380 amatör spor kulübümüze 75 milyon TL nakdi destek sağladık, okullarımıza spor malzemelerimizi ulaştırıyoruz. ✅ Yeni spor salonlarımız, sporcu konaklama binamız ve hayata geçirdiğimiz projelerle Balıkesir’imizi sporun merkezi haline getiriyoruz.  Sporun ve sporcunun daima yanındayız. Balıkesir'imiz Ulu Önderimiz Gazi Mustafa Kemal Atatürk’ün aydınlığında gelişecek; zeki, çevik ve ahlaklı sporcularıyla, gençleriyle yükselecek.";;0
https://www.instagram.com/p/DReuwhLiHqZ/;Photo;787;5;0;2025-11-25 15:54:11;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/584363123_18537830224021870_917461912097314574_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MzY1OTE4MjA4NDQyMjI5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=Rq6dg2TktlUQ7kNvwGnRzG-&_nc_oc=Adlujw1jpyuYXRxddyplAQXAySxkmCA_lEidoEDVuT3pjx8sleE69kojYQ82q_rQBhUtwL-yAAT4XeIqTkj1Tx4w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfjSmmxNjYLkc4qsBM1vtO9ICQxnJHKNUt0LQRZesup1Sw&oe=6931176B;Kadına yönelik şiddetin hiçbir gerekçesi, hiçbir bahanesi olamaz. Şiddetin değil, sevginin ve dayanışmanın tarafındayız. Şiddetin her türlüsüne karşı hep birlikte dur demek zorundayız.  25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde bir kez daha yineliyoruz: Kadına yönelik şiddete HAYIR!;;0
https://www.instagram.com/p/DRd4ot2CPt2/;Reels;3859;64;115282;2025-11-25 08:08:25;https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/588460120_885043047542809_1557466205525719043_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3MzQyMTE1MTQxNDk3NTM1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMiJ9&_nc_ohc=CGo4gtu8wQUQ7kNvwGPN3Dl&_nc_oc=AdnXgojjblnsNL7BMsgaZ-VZPq3sQkk5nnm3INQNLI8Ss-DKvySRyiocfVZVrvhqhJY_tbfB-jB_2i10O3q7ZcHf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfjOCdJGPCjorI5xX7qnsXPBkd5fqDDh2Kned7oecmhqSw&oe=6930FD6D;Havran’ımızda her tebessüm, her selam gönülden gönüle...🩵  Esnaflarımızla ve hemşehrilerimizle bir aradaydık. Ardından Kalabak Mahallemizi ziyaret ettik.;;0
https://www.instagram.com/p/DRc4L04iC1X/;Carousel;1841;7;0;2025-11-24 22:38:05;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/587029595_18537726421021870_1787934249628891736_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzEzNzY3Njc5NTQwODA5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Tyr3J9n2rnwQ7kNvwHutFzj&_nc_oc=Adk1S-jlSlfuynR-7sJWWCkZOqB7-FwULJtHUvLF4VDRwvUapvs5MOh9nmdsHrHgn4J1CtJhKYqhV6fKKBYt83Rq&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfhNOWBeB5FDbHXj1faT4L-S_YvigO5WxUTNpi0FYuAAyQ&oe=6930F5D6;"Öğretmenler Günü dolayısıyla düzenlediğimiz kutlama programı ve konserimizde çok kıymetli öğretmenlerimizle buluştuk.  Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün izinde; emekleriyle gelecek nesillere ışık olan tüm öğretmenlerimizin Öğretmenler Günü’nü büyük bir sevgi ve saygıyla kutluyorum.";;0
https://www.instagram.com/p/DRccZXJiKqw/;Carousel;1401;4;0;2025-11-24 18:35:16;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/586669344_18537695173021870_4739886937540940451_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzAxNTQ1ODU4NTI4ODIxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=ezdXRUd-mzsQ7kNvwHrZOeC&_nc_oc=Adk2DsT1QMQeVf1fhZ-vqHT0AQQJd1U-TfdGNB4mtZy82ejNWtSH5F1xQ0Z5MZhHZc3tjz_8fkx9NCoSwvzEwmnR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=VsAigHDxl2vaJlzUA2SBOA&oh=00_AfhFRoulVZpAWpfEf6OWl9Mul28Zu3kd_hmgVaj5rf7LlA&oe=69311216;Havran İlçe Emniyet Müdürlüğümüzün, açılış törenini gerçekleştirdiğimiz yeni hizmet binası Havran’ımıza hayırlı olsun.  Gece gündüz demeden fedakarca görev yapan tüm emniyet mensuplarımıza teşekkür ediyor, görevlerinde başarılar diliyorum.;;0
