PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRprfENjQNa/;Carousel;443;10;0;2025-11-29 21:57:14;https://scontent-doh1-1.cdninstagram.com/v/t51.82787-15/589866584_18495949261074759_267167801377282269_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3Njc0MTAwNzAwMjgwNjE3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=EYUGqTFFWP0Q7kNvwG4OtgK&_nc_oc=AdlY57TapNaAsmov18Jse-fIX-86wlPVRFopsUkwjJ21CHFjNMLwTf2nJy5NouikKkA&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfgPriNUQw4QANypgiqr7n_hN-QuF4EsjbTAzxDH4Dy1dA&oe=69312E92;Rengine tutulduk, aşık olduk biz sana… ❤️💙  Helal olsun size uşaklar. 👏🏻;56911.0;0
https://www.instagram.com/p/DRo4dgHDHFf/;Reels;1224;29;38865;2025-11-29 14:31:59;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/587930167_882908341077529_3110867094624081643_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NjUxNjYwNTQ5NzYwMjM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=iipP3dBkux4Q7kNvwH5rZ5W&_nc_oc=AdltpqUQ3bVRdkF-alxBulmBmhSqYARTOCEnXtkbiNBP0kBdIkprCQ1ydiEWj33JLzE&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfgxPbiqxW22ADd58N7hGBs-1yzQX779MqZmdmIX6cUWsQ&oe=69312820;Hazır mıyız? ❤️💙  #BugünGünlerdenTrabzonspor;;0
https://www.instagram.com/p/DRonVp9jYyd/;Reels;2635;99;44318;2025-11-29 12:04:25;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/591140589_715007594535326_1394265288563288411_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NjQ0MTI5OTUyOTIwNjk0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=9sAuqKN2ThUQ7kNvwEDIvu-&_nc_oc=AdkQh6-T0oLq9LI94sVLPEi_0sdcC2gr4rs9nVa6nt8Jv572e--OSEjUWgMPSiejzyc&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfjtRHMOKO3aL7AzDbw5l9qlT49NND1QeGUcOsYn3LbGEQ&oe=69310FFF;Geçtiğimiz günlerde Trabzon’dan çıkan güzel bir hikâye, kısa sürede Türkiye’nin dört bir yanında karşılık buldu. Harçlıklarını biriktirip kahvaltıya giden dört evladımızdan ücret almayan duyarlı işletmecimizin bu davranışı, hepimize umut ve tebessüm oldu. ❤️  Bu güzel jest, aslında şehrimizin ruhunu anlatıyor: Trabzon, iyiliğin çoğaldığı, dayanışmanın hiç eksik olmadığı bir şehir.  Size helal olsun evlatlar. En kısa zamanda görüşmek üzere…👏🏻;;0
https://www.instagram.com/p/DRoSOHTiG52/;Reels;388;6;23115;2025-11-29 08:57:54;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/586968740_1137515945258279_5540124117984961284_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NjM0ODQyMjMwMzkzNjExOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=b1Yuo-8E1Y8Q7kNvwGidopu&_nc_oc=AdkdHdqo7AWFnJU3bly0W65XH1pzxpiSc3C730w5syvqhDcvCtnNVSawFmbUUu5bwZk&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_Afje6jsVrYwRozr_xQO8Lkd-SDqYO4vPIqL9XN5MBO-qqA&oe=693133B6;Kazakistan’ın kadim şehri Aktau’da, ata yurdumuzda bulunmanın heyecanıyla kardeş şehir protokolümüzü imzaladık.🇰🇿🇹🇷   Türk devletleriyle olan gönül bağımızı ve iş birliğimizi güçlendiren bu adımın, her iki şehrimize de hayırlı olmasını diliyorum.;;0
https://www.instagram.com/p/DRmvUlYDNvD/;Reels;1823;63;93380;2025-11-28 18:36:06;https://scontent-doh1-1.cdninstagram.com/v/t51.82787-15/587269283_18495865051074759_2493846705542701888_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NTkxMzQ2MDMwNDIzOTU1NTE4NDk1ODY1MDQ4MDc0NzU5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=w3CrvwX-evUQ7kNvwEAHVBS&_nc_oc=Adk8n0jozMMg4MCMUerePNN2QyIqo1Ud6ubN-_w2yd4ga_ZvjJZMmwGZ41w0JNbFXn8&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfhDEdWxaX7bRgLIjDnW3_xvZqniiAZEZF2dHWkNg8K32A&oe=693116C6;Söz verdiğimiz gibi Harmantepe Şehitliğimizin yolunu, şehitlerimizin emanetine yakışır bir şekilde düzenliyoruz.  Bu çalışma, vatan uğruna can veren kahramanlarımızın emanetine duyduğumuz vefanın bir nişanesidir. Aziz şehitlerimizi rahmetle ve minnetle anıyorum.  📍Köprübaşı;;0
https://www.instagram.com/p/DRmPNT3CCon/;Reels;1182;55;87545;2025-11-28 13:58:15;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/587327057_1295858028894806_1727996106913290639_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTc3MjIyMjk3MTk4MDMyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=wAGNa0HRn1UQ7kNvwE5_b3P&_nc_oc=AdlqShtpN1kmSSzbadNiZSmWSx4jNfPu-yeYI4UKNdTerUL2rgbIInWDcdjhqeWM6Ko&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_Afh6A7OUS1lgDgFkHV4grEHq2v0pJGh02TJcS2i-t7RUMA&oe=69312CBB;Güzel sohbetlerin, sıcak paylaşımların ve keyifli anların bir arada olacağı Çay Saati etkinliğimiz var. ☕️   Her cumartesi 14.00 - 17.00 saatleri arasında, Kadın Yaşam ve İstihdam Merkezimize mutlaka bekleriz. ☺️;;0
https://www.instagram.com/p/DRlrH5ajOQK/;Photo;3988;68;0;2025-11-28 08:37:07;https://scontent-doh1-1.cdninstagram.com/v/t51.82787-15/587590375_18495732319074759_4308598774823779354_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTYxMzUyMTMwNTA2ODU1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0MzV4MTc2MC5zZHIuQzMifQ%3D%3D&_nc_ohc=Kz9vWQqs4joQ7kNvwHxstKK&_nc_oc=Adk923z36xLYjofqSgivBmtDq2ZwuiBzUnz_yFuf4HJWBGzgSAiw0rI_HIFcPwP1Gf0&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfhfgbAqoTgND8tB3hAXTB2hynt1okvqKU7kGSFN7pjOcg&oe=693102B0;Coca-Cola’nın sponsorluk teklifini reddeden Trabzonspor’umuzu, gururla yüreğinde taşıyan herkese selam olsun…   “Filistin’de binlerce çocuk katledilirken bu sponsorluk bize yakışmaz.” diyen Başkanımız Ertuğrul Doğan’ı yürekten tebrik ediyorum.;;0
https://www.instagram.com/p/DRjM0HkjJD7/;Reels;597;26;41805;2025-11-27 09:36:36;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/588561262_1160238359577553_2753740680648781905_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NDkxNzI3MDc2NjkxNTgzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=GVBmDS3VINQQ7kNvwGFCdQC&_nc_oc=AdkGlJ7uNjbxob1bRdhkgbBg9wxKfldFoLrpP8wS1k-2tYnsv97003Y5obEmouAL9QE&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfiiLmyMiTP7Ocfg-WkW8wB9aD7J1pJDYpGL05sCO9OA-g&oe=69312B8D;Esentepe Mahallemize kazandıracağımız akıllı kavşak ve çevre düzenleme çalışmamız, son sürat devam ediyor. 👍🏻  Kahraman Şehidimiz Umut Karakaş’ın adını bu kavşakta ebediyen yaşatacağız. Şehidimize minnettarız.  📍Ortahisar;;0
https://www.instagram.com/p/DRhbDP9jOJo/;Reels;486;29;63825;2025-11-26 17:06:02;https://scontent-doh1-1.cdninstagram.com/v/t51.82787-15/588600795_18495519241074759_308535199749843599_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NDQxNjkzMzI2NjE4Njg1NjE4NDk1NTE5MjM1MDc0NzU5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=Ng3pdbV-VlkQ7kNvwHDcx3P&_nc_oc=AdkDz9NrfGX3ROBc64fNa1fg61H6haBLPzInOPmWGIjgBbB4FNBvgOnW7vj11k7IDtM&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfiKW9fiJRdksar5Lf8jUAqVMUIhLADQy7fUXvQPiqy1uQ&oe=693110EF;Güçlü bir altyapı, güvenli yollar, kesintisiz su, modern yaşam ve daha dirençli bir şehir demektir.  Hep birlikte daha sağlam bir Trabzon için çalışmaya devam ediyoruz.  📍Çukurçayır;;0
https://www.instagram.com/p/DRe9u1DDELH/;Reels;3674;32;81537;2025-11-25 18:06:23;https://scontent-doh1-1.cdninstagram.com/v/t51.71878-15/587692095_2011381883047024_873121213064824475_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MzcyNTAzNjY3NTYxMzM4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=3cL6mmkYyBYQ7kNvwGC3Zn_&_nc_oc=AdnluAJa0W3z-nwAtW-BoL0ho1SMqptDYgyIK-co4wkUJC1MXItwgaytftHuueX1Bzk&_nc_ad=z-m&_nc_cid=1236&_nc_zt=23&_nc_ht=scontent-doh1-1.cdninstagram.com&_nc_gid=m0Q9nRtRd-4erSGO9pdfXQ&oh=00_AfjdJeTRYBQ64cn2Li3IBKXRhhGrucfFzvxuci5jfILbbw&oe=69312674;“ÖNCELİĞİM ‘SOSYAL MEYDAN’DA OLMAK!”  Trabzon Büyükşehir Belediye Başkanı Sn. @ahmetmgenc ile Trabzon hakkında keyifli bir sohbet gerçekleştirdik.  Belediye başkanının meydanlarda, halkın içinde olması gerektiğini vurgulayarak ‘sosyal medyada algı belediyeciliği’ yapanlara da güzel bir yanıt verdi.  Tamamı #YouTube kanalımda.  @trabzonbeltr #türkiye #haber #gündem;;0
