PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpc08SiKV6/;Photo;599;17;0;2025-11-29 19:49:10;https://scontent.cdninstagram.com/v/t39.30808-6/589565437_4001282273517457_8663555221520311160_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjY3NjU0NTk3NzQyNzMyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4OTAwLnNkci5DMiJ9&_nc_ohc=LckBpUZGjCgQ7kNvwEEYh4_&_nc_oc=AdkMNcu6Xn9U39AyhkPEiQlEAe6sBcsNFdrJOD3ziuhOhuJSO-ch903AzmLmTVrIcfA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_Afg-yGFI0QY6KDZWPNERwX1NqvK-oj4h_z-nxpBGPIzcvw&oe=6930FE9E;Partimizin birlik ve beraberliğini, iktidara yürüyüşteki sarsılmaz irademizi gösterdiğimiz kurultayımızda, yeniden Genel Başkanımız olarak seçilen sayın Özgür Özel’i içtenlikle kutluyorum.  Genel Başkanımız sayın Özgür ÖZEL'in liderliğinde halkımızın taleplerine kulak veren, çözüm üreten, kapsayıcı ve umut aşılayan bir siyaset yaklaşımını büyütme konusunda kararlıyız.  #ŞimdiİktidarZamanı;62172.0;0
https://www.instagram.com/p/DRovfGyDMXw/;Carousel;452;4;0;2025-11-29 13:12:57;https://scontent.cdninstagram.com/v/t51.82787-15/588568664_18247472275293750_6417596634450035873_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NjQ3NzEyMTYxMTYyNzcwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODV4ODE3LnNkci5DMyJ9&_nc_ohc=WNKhBO_hNuwQ7kNvwFiVY4D&_nc_oc=AdmdYJTKpQ3YxKUg9m1IPApMV46YCLRBol81bc27TwaUleczMoiAD4Wba3Vrqin4Mjo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_Afg1o728rDuaEtrbx8BpIRO-B1k3QJE_DWEDM4DiYOH5aA&oe=693131EC;Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nı Genel Başkanımız sayın Özgür ÖZEL’in liderliğinde gerçekleştiriyoruz.   Cumhuriyetimizin ikinci yüzyılında halkımızın umudunu büyütmek için çalışmaya devam edeceğiz.  #Hedefiktidar #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRm_ppOiCmx/;Carousel;615;4;0;2025-11-28 20:55:43;https://scontent.cdninstagram.com/v/t39.30808-6/591889680_4000464550265896_608403529185602862_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NTk4NTI1MDIzNzY5ODAzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=UzguLUcorgoQ7kNvwEpb5Fe&_nc_oc=AdkUos3hnr015ECxC4-0358XN7dY5qXF7kp9JU_p66Fsf3QHLBHwclBSzq2N_5aP3oI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfidHaBB6uuxMWiC1p95DEdvt5DHQehNSBmeE9Nlkxo3Rg&oe=693133EC;Türkiye Odalar ve Borsalar Birliği Başkanı sayın M. Rifat Hisarcıklıoğlu ile beraberindeki heyeti belediyemizde ağırladık.  Şehrimizin ekonomik ve sosyal gelişimine yönelik istişarede bulunduk. Kırıkkale’miz için ortak akıl ve dayanışmayla çalışmayı önemsiyoruz.  Nazik ziyaretleri için sayın Hisarcıklıoğlu’na ve beraberindeki heyete teşekkürlerimi sunuyorum.;;0
https://www.instagram.com/p/DRmlhUIjLYr/;Reels;999;19;56681;2025-11-28 17:08:12;https://scontent.cdninstagram.com/v/t51.71878-15/587829702_2374324256316514_6093761090312927228_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NTg3MDM1NDY3ODY1ODYwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=FAF2thzel9gQ7kNvwGEi23H&_nc_oc=Adl97PXJSgf6C8dM4jpN-FEBBd2hVN7JJEiVJPv6BESyy4B3plu-ymnZ8Q9E0OljKb0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_Afhyq8g0qEuTtS69JcHybP8mQFbZwl_QUSTesFAjLjK0Rg&oe=69312511;Yeni hizmet binalarımızla hizmetindeyiz.  Belediye hizmetlerimizi sizlere daha hızlı ve kolay ulaştırmak için Kızılkanat İş Merkezi içerisinde yeni Su Endeks Birimimizi ve Personel A.Ş. Genel Müdürlüğü hizmet binalarımızı faaliyete geçirdik.  Su sayaç okuma–güncelleme, abonelik kapama, sayaç değişimi, arıza ve fatura işlemleri gibi tüm su hizmetlerinizi artık burada tek noktadan daha hızlı şekilde gerçekleştirebilirsiniz.  #Kırıkkalebizimevimiz;;0
https://www.instagram.com/p/DRmYLAPCEs1/;Photo;710;20;0;2025-11-28 15:10:46;https://scontent.cdninstagram.com/v/t39.30808-6/590788373_4000219676957050_4893524514567333554_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTgxMTY0Njg3OTQ1MTk1Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4OTAwLnNkci5DMyJ9&_nc_ohc=TEyc4pdxlpUQ7kNvwExSyYY&_nc_oc=Adm0BnLq1RYFRf01xLycTFSo8KvWTkId5rnnZJw2hxmO8T7kPFxMzJiAJ4zkBJlv8gY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfhP-unsalA9fuOr92lbDQsoaxFmjPHrGMgA665x_G4NuA&oe=6931025B;"Yahşihan Organize Sanayi Bölgesinde bir fabrikada meydana gelen elim iş kazasında hayatını kaybeden emekçi hemşehrilerimiz; Mutlu Atay ve Tekin Omay'a Allah'tan rahmet, kederli ailelerine ve çalışma arkadaşlarına sabır ve başsağlığı diliyor, bir daha böyle acıların yaşanmamasını temenni ediyorum.";;0
https://www.instagram.com/p/DRjk-5GCB3E/;Carousel;946;22;0;2025-11-27 13:04:58;https://scontent.cdninstagram.com/v/t39.30808-6/587226138_3999248893720795_55219574357266561_n.jpg?stp=c45.0.1510.1066a_dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTAyMzUzOTc0OTkyNjgwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=OuObar-27BUQ7kNvwHjEiJb&_nc_oc=AdkAHorlq4ptHCtFhNhrkqJR9WtBnbD4Gf6M2gAK60VAYEcyIjljR_FpwBHIldBbWZk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_Afhff4_t_QhHZdSyXnPsKbLcZnWbTlNA0Co-yelNkc1Zng&oe=69310669;"Belediyemiz Fen İşleri Müdürlüğü personeli Nihat Temiz’i, hizmet binamızın önünde mesai arkadaşlarımızla birlikte dualarla uğurladık. Karaahmetli de kılınan cenaze namazına katıldık.   Merhum çalışma arkadaşımıza Allah’tan rahmet; ailesine, sevenlerine ve belediye ailemize sabır ve başsağlığı diliyorum.";;0
https://www.instagram.com/p/DRhfKKUCLKk/;Carousel;784;6;0;2025-11-26 17:35:36;https://scontent.cdninstagram.com/v/t39.30808-6/587032320_3998558877123130_6529028867092173491_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NDQzNDk2OTY1Mzg5ODk4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=F3H4QtxhjyIQ7kNvwFVf9K6&_nc_oc=AdkGIGkhVUMqpOVG5J2KJ2kkv0Hgf7O6W5yQQbsKiPgAYJFizIgLRCeYlHeYZSUKYzk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfhkEce4KkfoVeeHevBsuczi7TkhRtQxBeYuxC3yyaR9uA&oe=693124B0;Kırıkkale Belediyemizin yüzde yüz iştiraki olan Personel A.Ş.’nin 2024 Yılı Kurumlar Vergi Rekortmenleri listesine girmiş olması nedeniyle düzenlenen ödül töreninde plaketimizi TSO Başkanımız sayın Ahmet Varlı’dan aldık.  Vergi rekortmenleri listesine giren tüm kurum ve işletmelerimizi tebrik ediyor, şehrimizin ekonomisine katkıları için teşekkür ediyorum.  Bu başarı, belediyemizde benimsediğimiz şeffaf ve hesap verebilir yönetim anlayışının güçlü bir yansımasıdır. Kırıkkale’miz için üretmeye ve değer katmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRfOB5RiBrg/;Carousel;954;7;0;2025-11-25 20:27:27;https://scontent.cdninstagram.com/v/t39.30808-6/588993478_3997749140537437_1824101142755645161_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3Mzc5NjY4NTkxNTM4MTk4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=YB99_J7qMc0Q7kNvwGXmsf5&_nc_oc=AdlfE4HVztC9oNa5QtYI8kkz3EBN4e47DuLogUU7mE9TI7V8Y8lWsG1kE_W62Hcr0u4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfjzvdfWABlS3S8IigwzfgWcWBQPxEh8E3dlf7yKgFsCBg&oe=69312078;Meydan AVM esnafımızı ziyaret ederek alışveriş yapan hemşehrilerimizle sohbet edip, hatırlarını sorduk  Bizleri güler yüzle karşılayan hemşehrilerimize ve esnafımıza teşekkür ediyorum.;;0
https://www.instagram.com/p/DRfHAyNCMYp/;Photo;304;0;0;2025-11-25 19:26:09;https://scontent.cdninstagram.com/v/t39.30808-6/589126285_3997706943874990_945708663882109101_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3Mzc2NTg1Mjk5MTExMjc0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=ABNIe8TaH3gQ7kNvwGfQLTH&_nc_oc=Adm7uD7-IigFtIFhlfm-Z0DUGSJpk8kUO2-uXoa7vEEM3s88sj0eM0aqFpyELXKeu8c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfiWKii-xQpQeQxTPLqMCz0G0pjAdmVWf6Khg0LtOYTNOw&oe=693106D5;"25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü, bir kez daha hatırlatıyor ki; kadınların yaşam hakkını korumak ve şiddetin her türüne karşı durmak hepimizin ortak sorumluluğudur.  Kadınların özgürce yaşayabildiği, şiddetin tamamen son bulduğu bir Türkiye’yi hep birlikte arzuluyor ve bunun için çalışıyoruz.";;0
https://www.instagram.com/p/DReko01jCdb/;Reels;1865;31;45487;2025-11-25 14:26:06;https://scontent.cdninstagram.com/v/t51.71878-15/589808736_820478357453012_3271014460025114866_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MzYxNDY3Mjk2OTQ3NTkzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=FNcQf6UhvUYQ7kNvwEn2hdh&_nc_oc=AdkccM-WiH5-ljvhHNXXaeCJfLltdJMZjlzRKEiKGuKxbtpKJMKOj9VWvbCS5djfitw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=gBQMStxRSEi1Aih4F7tNeA&oh=00_AfgwuKdRJeWBh7mpDGypfPUgpro5m01K3w24xftVlJHu0Q&oe=6931118E;Ağız ve Diş Sağlığı Haftası nedeniyle, Diş Hekimi sayın Hasan Tezel hocamızla birlikte minik öğrencilerimize ağız ve diş sağlığı eğitimi verdik.   Ardından diş bakım setlerimizi hediye ederek sağlıklı bir gülümseme için küçük bir adım attık. 🦷😊  Farkındalık eğitimlerimize gönüllü olarak katılan Diş Hekimi sayın Hasan Tezel’e, Hemşire sayın Hatice Aktaş’a ve Sağlık Yönetici sayın Ecem Doğan’a sonsuz teşekkürlerimizi sunuyoruz.;;0
