PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpU_s4DbR8/;Photo;329;1;0;2025-11-29 18:40:43;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/589010410_18545238841011172_4193122531227985878_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjY0MjEwMDk2OTE5MDUyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNzl4NzczLnNkci5DMyJ9&_nc_ohc=g12BbjRcQL8Q7kNvwFnXo2t&_nc_oc=AdmqYlOxY1hB1kAq5LSaCpPKZmRQi-mPCJr6oDmAieB_x6mIRINn6PiG_ytNVtwXBMI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_Afg0iK0GtmZmPYW7cIpR29a60Fvvor8TKVa2X-_0oC0ksw&oe=6931016B;Bugün yapılan kurultayımızda geçerli oyların tamamını alarak yeniden seçilen Genel Başkanımız Sn @eczozgurozel ‘i kutluyorum. Başarımız daim olsun yolumuz aydınlık sonumuz iktidar olsun 🤗;30207.0;0
https://www.instagram.com/p/DRo0JQhjY-k/;Carousel;247;0;0;2025-11-29 13:53:40;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/589575235_18545199538011172_2875561043251855421_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjQ5NzYxMzI2MTM2MDg3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=OfcVNZWmLJcQ7kNvwHuleul&_nc_oc=AdkpMk2gAZ7sqJYRnZR1vqDktNoqfigNzcFY-VXuTLPKX2zRZq4i6ut-8f3guok4-Hg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfgRvK-d7QLTYZX1qW-PARIDceXHHd1fRR3nbGgsYlJQYw&oe=6931095C;"Burdur Örgütü olarak kurultayımıza katıldık; Gn Başkan’ımızın önderliğinde iktidara yürüyoruz. Daha iyi bir Türkiye için haydi CHP ❤️";;0
https://www.instagram.com/p/DRogtxfjYBB/;Carousel;406;2;0;2025-11-29 11:03:53;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/588624190_18545183674011172_697276414540495397_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjQxMjE2NTg2MDAzMzM0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5oZHIuQzMifQ%3D%3D&_nc_ohc=wYKGPivvZAkQ7kNvwFEkjFO&_nc_oc=AdnspeJDKS1aCwUXx96mmp-3B_6QCDTJQh12uFI3DDsuG1BSPV6eYEWJ_3UX1SfElN8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfjjMgMKVnhKe4Y043PQtd1jjQZUUIbFlEaH9kpm76X_Qw&oe=693124C0;Muhalefetteki son kurultayımızı gerçekleştiriyoruz. “Şimdi İktidar Zamanı” dediğimiz 39. Olağan Kurultay’ımız hepimize hayırlı olsun. İl Başkanımız ve kurultay delegelerimizle salondaki yerimizi aldık.;;0
https://www.instagram.com/p/DRnDGu1Cp72/;Carousel;536;0;0;2025-11-28 21:25:55;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/587289301_18529933567067667_2445025184168523189_n.webp?_nc_cat=107&ig_cache_key=Mzc3NjAwMDQ1MTc2Mjg0ODE4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzd4NzUyLnNkci5DMyJ9&_nc_ohc=6vbcG1ntapQQ7kNvwH-zUdk&_nc_oc=Adk4rZnzkrv01Pz07pCr__sNUZiZD3PfPI3i1NDNm0e--yOPUESHoCPeDp6WCjlS9Zk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfiXP5SR0Ig5ZQt-6shwQXUzY7UmCRP7urInPaWwLhDEpw&oe=69311B28;Tren yolu üst geçidine sevdiğinizin adını yazıp sevginizi yaşamak artık tarih oldu…  Üzgünüz… Çünkü artık izleniyorsunuz!   Aşkınız baki kalsın ama duvarlarımız temiz kalsın 😉 Kentimizin her köşesini güzelleştirmek için çalışıyoruz.;;0
https://www.instagram.com/p/DRmeAbQjRO0/;Carousel;156;1;0;2025-11-28 16:01:44;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/589057716_18545054059011172_5866043540876526408_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTgzNzMwMzQ4NzY3NDQ1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=4A_0xr4TgNkQ7kNvwFJvhi4&_nc_oc=AdlJ3Bcf2eG8c7qMVK8Smgw-iaAzgSmlcvbCsfjeKwA2tpaKMbgHoft9GSkzeOiLafs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfiRIi9ZP1kh3O3oJ-8XJJCzRrtXIFnGc7FBXQiwz0r8hw&oe=6930FE82;Burdur 10 gün boyunca kitap kokacak! Ulusal ve yerel yazarlarımızla dolu Kitap Fuarımız 5 Aralık’ta kapılarını açıyor.  📖 İmza günleri 🎤 Söyleşiler 🤝 Yazar buluşmaları  Hepsi Burdur Belediyesi Konferans ve Sergi Salonu’nda!;;0
https://www.instagram.com/p/DRl9qKWDRGL/;Photo;136;0;0;2025-11-28 11:19:05;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/590983997_18545024761011172_1304165700217436413_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NTY5NTA0MDc4MjYwMjYzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExMzl4MTMzOS5zZHIuQzMifQ%3D%3D&_nc_ohc=jFeJttgylLMQ7kNvwERMltz&_nc_oc=AdnK1C0w2B5jscbeouL0PBgk_7jWyYy_4RAlkdKvT3gZaw0_EfIeCxyCxPHXlu1JL1w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfiD6z4Lr9_HRstVq4ram-Rsco33XetGDMUqafEgg9H20A&oe=69311AC0;Adım adım iktidara yürüyoruz.  Hakça paylaştığımız, barış içinde yaşadığımız halkın iktidarını kurmaya söz verdiğimiz Parti Programı’mızla Gn Bşkmız Sn @eczozgurozel ‘in önderliğinde kurultayımızı gerçekleştiriyoruz. Haydi hep birlikte kol kola omuz omuza ❤️;;0
https://www.instagram.com/p/DRkce0FjZrL/;Carousel;403;0;0;2025-11-27 21:09:56;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/587950472_18544933639011172_3201566243851549648_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTI2NzYyNzk3NjIwNzA3Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=97zqJ4NgfAwQ7kNvwHzJTKa&_nc_oc=AdkRaA4gX14XXL3u2cm7pL8UrhgXL-0SuI3Dt-kFWrJSpOEJBrg-BfwYSnjIxcqcdY0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfibEcbcchj1DhXV4lYkmgeRxH7NXL-FAdHwV78T0iPb4g&oe=693121F6;Yıl sonu sergimizdeki eserleri görmenizi isterim. Topraktan kile, kilden seramiğe seramikten de sanat eserine dönüşen eserleri Konferans Salonu’muzda görebilirsiniz sizleri bekliyoruz ❤️;;0
https://www.instagram.com/p/DRkJ8gJDRX3/;Reels;205;1;7286;2025-11-27 18:36:09;https://scontent-vie1-1.cdninstagram.com/v/t51.71878-15/589551546_848033367591091_6921670712000922187_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTE4NjEyNzc0MjExMzI3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=-EfwDDwbZPcQ7kNvwEwa7h3&_nc_oc=AdmssbYBoDcCf219O_Y4cw02K5JdGxxcr5qAM30Z4wP-ymeDPpV0B4FmatRjWhatcQM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfgX9CNBF0x--baadISyWU2tixYGfdIO6KRGZAPueSRE8A&oe=69310BB3;Geleneksel Seramik Sergimizin 16.sını gerçekleştirmek üzere sanatçı arkadaşlarımızla bir araya geldik. Bir yıl boyunca çalışan üreten ve Burdur Belediyesi El Sanatları Merkezimizi adeta üretim merkezine çeviren tüm amatör sanatçı dostlarımıza teşekkür ediyoruz. Müthiş eserlerin sergilendiği Konferans ve Sergi Salonunuza tüm hemşerilerimizi bekliyoruz.❤️🤗;;0
https://www.instagram.com/p/DRg169-jSld/;Photo;153;0;0;2025-11-26 11:35:16;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/588671909_18544691470011172_5640261150413709066_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NDI1MzYzNjQ3ODkwNDY2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=j3Rqa_kslwIQ7kNvwFHQZ3B&_nc_oc=AdmGxdJ0TuIRCxEghQCO3FPf3Yce1ODDDNQ_5o2M-2KtE_qFCuJaibqrT4Z7ByDEcs8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_AfjU4Qvy_LNeJchBz1rWWhtgkKz4B3c3mbeUPNccWQlZfg&oe=693100F9;Barışın sembolüdür zeytin… Yüzyıllarca yaşar yeter ki kökünden sökülmesin yeter ki yakılmasın yıkılmasın. Yaprağı hep yeşil meyvesi hep değerli insana hiç yükü yoktur.  Zeytin ağacı dikmeye devam edeceğiz, Dünya Zeytin Ağacı Günü kutlu olsun…;;0
https://www.instagram.com/p/DRfOwAwDQtn/;Carousel;341;0;0;2025-11-25 20:33:44;https://scontent-vie1-1.cdninstagram.com/v/t51.82787-15/587950600_18544593007011172_8549759623058052251_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3Mzc5OTg3OTQ1MDM4NTM4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=ximRTzNlUpoQ7kNvwHVjJ6E&_nc_oc=Adny9mvsRocpRmFVxhJSUGbT2LSF1mH9O4Qbs6YXgNxO0rdqCb0W6KCshoYHFcn00Qc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_gid=LRonl-vU-0iqmqoZj8wf8A&oh=00_Afjmj_4a49yGvVcVIwVHjr5c0_qRVcdiUvdFPx7-feSdWQ&oe=69312367;Düşünür Eğitim Kurumları ve Tek Adım Kişisel Gelişim Kurslarına uğrayarak öğretmenlerimizin gününü kutladık. Ayrıca geçtiğimiz hafta sonu yeni iş yerinin açılışını  yapan Hakan Boyacıoğlu kardeşimize uğrayıp hayırlı olsun dileklerimizi ilettik.;;0
