PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRnHpI9jZTM/;Reels;729;13;58207;2025-11-28 22:06:34;https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/588086344_797984609941897_8055403905605767486_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjAyMDQyNjAyMDE5NzU4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=tBZ50Sr1IXYQ7kNvwGR3pl-&_nc_oc=AdlG3xJtaSmp0ixgh-Z2Q7Unfe0I_tNvOL11tSsoG5DEY6ZorYaK0TxR4u4zgG1hRc4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afi5cLlrK7jYC5XClM-OkHP3dNc5vbXt7BuPheHPNPQdfg&oe=6930FD1E;"THY İsimsizler TK Derneği, Hacı Salih Şen İlk ve Ortaokuluna 13 bilgisayarlı bilişim sınıfı; Vali Orhan Işın İlk ve Ortaokuluna da akıl ve zekâ oyunları sınıfı kazandırdı.  Bilişim sınıfına, 11 Kasım 2025’te düşen C130 uçağımızda şehit olan Pilot Yarbay Gökhan Korkmaz’ın adı verildi. Bu anlamlı vefa için ayrıca teşekkür ediyor, kahramanlarımızı rahmet ve minnetle anıyorum…  THY İsimsizler TK Derneğine, çocuklarımız adına içtenlikle teşekkür ediyorum. İyi ki geldiniz, iyi ki varsınız…   📍#Hakkâri";53714.0;0
https://www.instagram.com/p/DRm4jB3CJAO/;Reels;717;23;46302;2025-11-28 19:54:49;https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/587763914_903858178631434_5166454347663559445_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NTk1NDAzNTM4MDA5NzAzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=1Cl5wNBwq6QQ7kNvwGfyt8t&_nc_oc=Adlxt-88EmyjmnpmaQ4FGq5_jQf1StgNqghIcRmFB3B6enwgoXjlHKomQprderslgwc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_AfhOfkiHls84Sg3ncWlCi76NjkzvHReJBMA-53gsEDaJ1Q&oe=693113E8;"🔴 Hakkari İl Emniyet Müdürlüğü Narkotik Suçlarla Mücadele Şube Müdürlüğü görevlilerince Uyuşturucu Madde İmal ve Ticaretini önlemek amacıyla 27 Kasım 2025 günü yapılan çalışmalarda;  📌 Yüksekova ilçemizde bir araçta yapılan aramada, 80.200 gram Metamfetamin maddesi, 6.300 gram Kokain maddesi ve 1.000 gram Eroin maddesi olmak üzere toplam 87.500 gram uyuşturucu madde ele geçirilmiştir.  📌 İki şüpheli hakkında adli işlemler başlatılmıştır.  ✔️Hakkari İl Emniyet Müdürlüğü olarak vatandaşlarımızın huzur ve güvenliği için mücadelemiz yasalar çerçevesinde kararlılıkla devam edecektir.";;0
https://www.instagram.com/p/DRj91keDAdf/;Reels;1887;29;79293;2025-11-27 16:43:30;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/590897650_18341285782230063_3500533779703946215_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NTEzMjg3NDc5NDg2MjQzMTE4MzQxMjg1Nzc2MjMwMDYz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=JpWZrTUT40wQ7kNvwG6MqrT&_nc_oc=AdkfqUlzoTNL8_iMojhylsDYPQ3h9wf1wQLjp7K3LEzs09nMaE1dwllIDqjz-51xn-w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afi93ybWg-cnm_uNdeu0D4vcxdNrMgKpiY9sVeBCW--msw&oe=69311974;"Hakkâri-Van kara yolu Depin mevkisindeki Mobil Atık Transfer Merkezini ziyaret ettik.  Günde 80-100 ton evsel atığı transfer ederek hem zamandan hem de maliyetten tasarruf sağlıyoruz. Kurulan sistemle birlikte vahşi depolama tamamen sona erdi; şehir içi çöp toplama aksları modern, düzenli ve sürdürülebilir bir yapıya kavuşturuldu.  Emeği geçen tüm mesai arkadaşlarıma ve emekçi kardeşlerime yürekten teşekkür ediyor, ortaya koydukları gayretten dolayı her birini tebrik ediyorum…  📍#Hakkâri";;0
https://www.instagram.com/p/DRjxBgaiNts/;Carousel;821;6;0;2025-11-27 14:50:11;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/586847063_18246131113293793_2969675305633474355_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTA3NjUwMTU5NTYzMjI5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=mT73spdyVgMQ7kNvwHIua3A&_nc_oc=Adlm46QFWIZ90jSwfq_hCcv44bWLuw7GviUQ_8qZzC26l_J_6wV3TpOZtrCJxyNKC2Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_AfiiiEm3S-LOZiDESliskWtdeb6wXMaYY6O_GCHZQZMrkQ&oe=693114EA;"🔴THY Çalışanları Derneği’nden, Hakkari’ye Anlamlı Destek: Bilişim ve Akıl-Zekâ Oyunları Sınıfları Açıldı  THY İsimsizler TK Derneği, Hakkari Valiliği koordinasyonunda yürüttüğü sosyal sorumluluk projesi kapsamında, Hakkâri ‘deki Hacı Salih Şen İlk/Ortaokulu’na 13 bilgisayarlı bilişim sınıfı, Vali Orhan Işın İlk/Ortaokulu’na akıl ve zekâ oyunları sınıfı kurdu. Ayrıca üç okulda okuyan 692 öğrenciye, ikişer parçadan oluşan giyim seti hediye edildi.  Hakkari Valisi Ali Çelik, açılışlar ve hediye dağıtımı programına katılarak THY’ye teşekkür etti.  📌“Eğitim Geleceğimizdir”  Vali Ali Çelik, THY İsimsizler TK Derneği’nin desteğinin sadece bu projeyle sınırlı olmadığını vurgulayarak şunları söyledi: “Eğitim, ülkemizin geleceği demek. Devletimiz önemli yatırımlar yapıyor; bizler de çocuklarımızı, hem kendi ilimizde, hem civar illerle yarışabilecek duruma getirebilmek için büyük bir gayret gösteriyoruz. Eminim ki Hakkâri’deki evlatlarımız, çok güzel işler başaracaklar. THY ve çalışanları, eğitime sunduğu destekler, yıllardır devam ediyor. Ülkemizin milli havayolu, 92 yıllık tarihiyle her güçlükte ellerini nasıl taşın altına koyduysa, bugün de koyuyor, var olsunlar. Çok güzel bir projeyle ve hediyelerle ilimize gelmişler. Bilişim sınıfımıza, Azerbaycan’dan ülkemize gelmek üzere havalanan C130 askeri kargo uçağımızın Gürcistan-Azerbaycan sınırında düşmesi nedeniyle 11 Kasım 2025 tarihinde şehit olan ‘Şehit Pilot Yarbay Gökhan Korkmaz Bilişim Sınıfı’ adını vermişler. Kahraman şehitlerimize, tekrardan, Allah’tan rahmet, ailelerine ve asil milletimize başsağlığı diliyorum. THY İsimsizler TK Derneği proje yöneticilerine, katılımlarından dolayı şükranlarımı sunuyor, saygı ve sevgilerimi sunuyorum,” ifadelerinde bulundu.";;0
https://www.instagram.com/p/DRh8YdCjflY/;Reels;1706;32;116914;2025-11-26 21:52:34;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/588955621_873341185646402_1287370730932413794_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NDU2MzUyNTk1MjY2NTk0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=aFuVY6SSs7IQ7kNvwHAe_Xf&_nc_oc=AdlUeBm2dox5vaSEJq6MIiJ0J2R2ZMXwwoh34oZPEZQcx55fwPYRMDJ2njNfNhTzA7E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_AfhckOwEMY0pgRrsdPfO3uXI4uwyWPubIPXRZSIqEYCZaw&oe=69312678;"#Hakkâri Mezbahane ve Et Entegre Tesisinde incelemelerde bulunduk.  Günlük 250 küçükbaş ve 50 büyükbaş kesim kapasitesine sahip modern tesis; kesim alanları, soğuk hava depoları, et parçalama alanları, atık su arıtma tesisi ve tüm hijyen standartlarıyla şehrimize hizmet verecek önemli bir yatırımdır.  Hem üreticimizin hem de vatandaşımızın yararına olacak tesisin eksiklerinin en kısa sürede giderilerek faaliyete alınmasını diliyor, emeği geçen herkese teşekkür ediyorum.";;0
https://www.instagram.com/p/DRh434ziOa1/;Carousel;1149;9;0;2025-11-26 21:20:18;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/575724433_18246067993293793_333887590055446730_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NDU0ODA4MTE4MjgxNjI2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=B87_XmOoxGAQ7kNvwGRpd9m&_nc_oc=Adm_sTSGGvfe-PkF1L9w28g8o5k6A-v2zCKULgxQXkqY2nV2rHMNpVv7kERB7YGjtqs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afjzox89yDhyfPsS-R1MTWX-nzx9Q6LHnHtDEF_yBib7Xg&oe=6931139E;📌Polis Özel Harekât Daire Başkanı Ünsal Hayal, Vali Ali Çelik’e makamında ziyaret gerçekleştirdi.  Polis Özel Harekât Daire Başkanı Ünsal Hayal, Hakkâri İl Emniyet Müdürü Attila Ayata ve beraberindeki heyet eşliğinde Vali Ali Çelik’e makamında ziyaret gerçekleştirdi.  Vali Çelik, ziyaretinden duyduğu memnuniyeti dile getirerek Daire Başkanı Ünsal Hayal’e nazik ziyareti için teşekkür etti.;;0
https://www.instagram.com/p/DRh3IPOCKL4/;Carousel;767;2;0;2025-11-26 21:05:03;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/587431741_18246067009293793_7005852069920269325_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NDU0MDQwNjcwNTM5Nzk2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=xUbpQx-dZFYQ7kNvwGofMMJ&_nc_oc=AdkIWLqOBHd-fO_-n0N-BQ8g3sxa07GWjjpvuYREll3n9VPEL_de6BkDsRPOiuZHgEE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afh27ujc4nf1AJhUgy_qZOgKukK6tZDlX-WtsPMHzU-6ig&oe=6930FE16;📌 Yüksekova Engelliler Derneği Başkanı Mehmet Salih Diler ve beraberindeki heyet, Vali Ali Çelik’i makamında ziyaret ettiler.  Vali Çelik, ziyaretlerinden duyduğu memnuniyeti dile getirerek Dernek Başkanı Mehmet Salih Diler ve beraberindeki heyete teşekkürlerini iletti.;;0
https://www.instagram.com/p/DRhl8qCiASH/;Carousel;930;0;0;2025-11-26 18:34:55;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/586714986_18246056068293793_3423444329692799370_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NDQ2NDgzMzUwMTAxOTAwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=NMXw5_477JwQ7kNvwEVXcun&_nc_oc=AdkoICeiFDmLKwAWkXaUfD62ET71eookb8RRGG7gjEHiEQDlDxyZxlYZp0mKoxG6yaM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afhyhtnd-a4s8GypGlMiGkO9PuB00LvMqZ1k1CRULTXkpg&oe=69310240;"🔴 Vali Çelik, Hakkâri Merkez’de Yapımı Süren 100 Yataklı Kadın Doğum ve Çocuk Hastanesi İnşaatını Yerinde İnceledi.  📌Vali Ali Çelik beraberindeki heyet ile birlikte; Hakkâri Merkez Medrese Mahallesinde, 6 katlı 35 bin metrekare olarak planlanan ve tamamlandığında 100 yatak ile hizmet verecek olan Kadın Doğum ve Çocuk Hastanesi inşaat alanına giderek incelemelerde bulundu. Vali Çelik, yetkililerden inşa çalışmaları hakkında bilgi alarak, devam eden yapım çalışmalarını yerinde inceledi.   📌Hakkari’de Fore Kazık ve Sismik İzolatör kullanılan ilk bina olma özelliği taşıyacak olan Kadın Doğum ve Çocuk Hastanesi’nin, kaba inşa çalışmalarının %93’lük kısmının tamamlandığı ve önümüzdeki yıl hastane inşaatının tamamen bitirilmesinin planlandığı belirtildi.  Vali Çelik, incelemeleri sonrasında yürütülen çalışmalardan duyduğu memnuniyeti dile getirerek görevli personele teşekkür etti ve çalışmalarında kolaylıklar diledi.";;0
https://www.instagram.com/p/DRhj1Q2iKiC/;Carousel;1054;2;0;2025-11-26 18:16:26;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/584400156_18246054523293793_6867812378455049146_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NDQ1NTUyOTYzNzE3NDIxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=f7xBVeBszowQ7kNvwFnS-92&_nc_oc=Adl2wJIoGBjZ8uxAqXHTvghPUEs4-ILiu48XzYj6nCXSWMNsxvhQJJdaKNOD8oC4rU8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=cZufazFtICj7xsUmyg3hhw&oh=00_Afg2XG5B6MF_CqQ22OlDbPPAHPbJGEokjES6CPH-DlEL1Q&oe=693128BB;🔴 Vali Çelik, Mobil Atık Transfer Merkezini Ziyaret Ederek Yürütülen Çalışmaları İnceledi  Vali Ali Çelik, Hakkâri-Van Karayolu üzerindeki Depin mevkiinde 1200 m² alan üzerine kurulu olarak faaliyet gösteren Mobil Atık Transfer Merkezi’ni ziyaret ederek tesiste yürütülen çalışmaları yerinde inceledi ve yetkililerden bilgiler aldı.  📌Günde ortalama 60 ton evsel atık çöpü transfer ederek katı atık transfer merkezine taşıyan ve bu taşıma ile zaman ve ulaşımdan önemli ölçüde tasarruf edilmesini sağlayan tesiste incelemelerde bulunan Vali Çelik, yetkililerden de yürüttükleri çalışma ve faaliyetler hakkında bilgi aldı.  Vali Çelik, ziyaretin ardından Mobil Atık Transfer Merkezi’nde görevli personele çalışmalarında kolaylıklar diledi.;;0
https://www.instagram.com/p/DRhiCgViEHs/;Carousel;558;0;0;2025-11-26 18:00:46;https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/586394062_18246053512293793_9177304990474303300_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NDQ0NzY0ODMwNTA4NDcxNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=7cRK1E4Yhg8Q7kNvwFDefZR&_nc_oc=AdlklcmefIriCkxCIfcOsWuhFh9-MIBw_t7HYzu4GOYK246yFLDOi0u8OV5WW3DaPOwZQiosgGj3IoxdnSyvJCEL&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=Hxng1VVLQS7UpUiwQWx0Ew&oh=00_AfiJiJzoSWX11aqTiTo_47L0dr9J_Y9PjkJ-VTu2HgQBow&oe=6930FDC8;"🔴 Vali Çelik, Mezbahane ve Et Entegre Tesisi’nde İncelemelerde Bulundu  Vali Ali Çelik, Vali Yardımcısı Tayyar Emre Mahmutoğlu ve beraberindeki heyet ile Hakkâri Belediyesi bünyesinde Van-Hakkâri karayolu üzerinde yapımı tamamlanan ve yakın zamanda faaliyete alınması planlanan Mezbahane ve Et Entegre Tesisi’ni ziyaret ederek incelemelerde bulundu.  📌Hakkâri Belediyesi Veteriner İşleri Müdürü Emrullah Kanar’dan tesiste yürütülecek faaliyetler hakkında detaylı bilgiler alan Vali Çelik; tesisin faaliyete girebilmesi için gerekli olan araç, malzeme ve personel ihtiyacı gibi konular ile ilgili değerlendirmelerde bulundu.  📌1500 m²’lik bina alanı ve 2000 m²’lik bahçe alanıyla toplam 3500 m²‘lik bir alanda kurulan tesiste; küçükbaş ve büyükbaş hayvan kesim alanları, sakatat ve deri bölümleri, soğuk hava deposu, şüpheli et deposu, hayvan bekletme padokları, et parçalama alanı, atık su arıtma tesisi ve kan depolama alanı gibi bölümler yer alıyor.  📌İlimize kazandırılan mezbahanenin günlük 250 küçükbaş ve 50 büyükbaş hayvan kesim kapasitesine sahip olacağı belirtilirken, ilimize ve halkımıza sağlıklı et ve et ürünleri sağlanması konusunda büyük bir katkı sunması bekleniyor.  Vali Çelik, ziyaret sonrasında eksiklerin giderilip tesisin en kısa zamanda hizmete alınmasını temenni ederek, Mezbahane ve Et Entegre Tesisi’nin yapım sürecinde emeği bulunanlara teşekkürlerini iletti.";;0
