PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpQMF7CTQV/;Reels;117;1;13904;2025-11-29 18:01:44;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/587978529_18413215078136668_3172136839275715217_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NjYyMDk2MjI2MzkzODA2OTE4NDEzMjE1MDcyMTM2NjY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjkwMHgxNjAwLnNkci5DMyJ9&_nc_ohc=jbrS3sxORF8Q7kNvwH0bKw0&_nc_oc=AdmEkmI2KoaffPUxMbWw3a1rk-8HX51dpigNQslzyVhRTCmDrmLQbs6Rea0gmTpkRwYMXbGc13HMIdMUdo_hYvPy&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_AfgqZGA1F2i-Ok_uxzKFvftjgxVxFRevW1mY3cibKe_vTg&oe=6930F8DB;"💬 Hevşaredara me Bucak: Em ê bi hev re Civatek Azad û Wekhev biafirînin 🟣  📌 ""Astengiyên Avahiyî û Lêgerîna Çareseriyê di Têkoşîna li dijî Şîdeta li ser Jinan de"" ji hêla Şaredariya Bajarê Mezin ve hate lidarxistin da ku mekanîzmayên piştgiriyê ji bo jinan xurt bike, pirsgirêkên heyî çareser bike, çareseriyên pêşniyarkirî parve bike û bi hev re stratejiyên bibandortir pêş bixe. Hevşaredara me Serra Bucak, hevserokên şaredariyên navçeyê, Berdevka Meclîsa Jinan a Partiya DEMê Halide Turkoglu û nûnerên rêxistinên jinan beşdarî komxebatê bûn. Bucak diyar kir ku şîdeta li ser jinan gihîştiye astên ku nayên rawestandin û tekezî li ser têkoşînek hevrêz û hevbeş bi rêxistinên jinan re kir. Komxebat dê du rojan bi rûniştinên li ser mijarên cûrbecûr berdewam bike.  💬 Hemsereka ma Bucake: Ma do pîya Cematêk Azad û Têduştî Awan Bikerê 🟣  📌 ""Astengîyê Awanî û Cigêrayîşê Çareserîye Têkoşînê hemverê Şîdetê Cinîyan ser o ""Hetê Şaredarîya ma ya Bajarê Girdî ra ame organîzekerdiş ke mekanîzmayê piştîdayîşî semedê cinîyan xurt bikero, problemê bîyaye çareser bikero, çareserîyê pêşnîyazî pare bikero û pîya stratejîyê tewr bi bandor aver bero. Hemsereka ma Serra Bucak, hemserekên şaredarîyê qeza, Verfeka Meclîsê Cinîyan ê Partîya DEMî Halîde Turkoglu û temsîlkarê rêxistinê cinîyan beşdarê komxebate bî. Bucake dîyar kerd ke şîdetê cinîyan ser resayo sewîyeya ke nîna vindarnayîş û qetî têkoşînêk wertax û hembeş rêxistinê cinîyan rê kerd. Komxebate do di rojan bi roniştişê babetê tewir bi tewir ser o dewam bikero.  💬 Eşbaşkanımız Bucak: Özgür ve Eşit Bir Toplumu Hep Birlikte Yaratacağız 🟣  📌 Büyükşehir Belediyemiz ev sahipliğinde kadınlara yönelik destek mekanizmalarını güçlendirmek, mevcut sorunları ele almak, çözüm önerilerini paylaşmak ve birlikte daha etkili stratejiler geliştirmek amacıyla “Kadına Yönelik Şiddetle Mücadelede Karşılaşılan Yapısal Engeller ve Çözüm Arayışları Çalıştayı” düzenlendi. Çalıştaya Eşbaşkanımız Serra Bucak, ilçe belediye eşbaşkanları, DEM Parti Kadın Meclisi Sözcüsü Halide Türkoğlu ve kadın örgütleri temsilcileri katıldı. Bucak, kadına yönelik şiddetin durdurulamaz boyutlara ulaştığını belirterek, kadın örgütleriyle eşgüdümlü ve ortak mücadele vur";17879.0;0
https://www.instagram.com/p/DRpNHVDDDks/;Carousel;152;1;0;2025-11-29 17:31:51;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/587005376_18413197786136668_6724881101622109634_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NjYwNzQzMjU1NTEzODE0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIxNTV4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=THC8e-O-fFkQ7kNvwE5idYY&_nc_oc=Adl_2-P2Hp_cdh1ikW-Uz-LaihnxZ53mui-Y3PNLkWJ_N1zeNduFEhP7xlVpo0bSS0hZKcaPzoZ_vlcexWR_7P_Z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_AfgZ7TeCfplxn_aSfSQSXBIxlsb7oTZqN8tJQRZqB-5Jag&oe=69312692;💬 Hemşaredarê ma Hatun: Ganî Ciwanî Rayberîya Cematî Bikerê  📌 1ine Kombîyayîşê Asayî yê Meclîsê Ciwanan ê Konseyê Bajarê Amedî Merkezê Kulturî û Kongreyî yê Çand Amedî ame organîzekerdiş. Hemşaredar Dogan Hatun, temsîlkarê rêxistinê cematê sivîl û ciwanî beşdarê kombîyayîşî bî. Hatunî kombîyayîş de qisey kerd û dîyar kerd ke ciwanan her tim îdareyê herêmî yê bajarî de vengêk înan estbîyo û qetî kerd ke lazimîya ciwanan bi rayberîya komelî est o. Hatunî, bi destnîşankerdişê ke cematê ke hetê ciwanan ra yenê îdarekerdişî aver şinê, diyar kerd ke ê do pîya problemê ke hetê meclîsî ra yenê neqlkerdiş çareser bikerê.  💬 Eşbaşkanımız Hatun: Gençler Topluma Öncülük Etmeli  📌 Diyarbakır Kent Konseyi Gençlik Meclisi 1. Olağan Toplantısı, Çand Amed Kültür ve Kongre Merkezi’nde gerçekleştirildi. Toplantıya Eşbaşkanımız Doğan Hatun, sivil toplum örgütü temsilcileri ile gençler katıldı. Toplantıda konuşan Hatun, kentteki yerel yönetimlerde gençlerin her zaman söz sahibi olduğunu belirterek, gençlerin topluma öncülük etmesi gerektiğini vurguladı. Gençlerin öncülük ettiği toplumların ilerlediğini kaydeden Hatun, meclisin ilettiği sorunları hep birlikte çözeceklerini söyledi.   💬 Hevşaredarê me Hatun: Divê Ciwan Rêberiya Civakê Bikin  📌 1emîn Civîna Asayî ya Meclîsa Ciwanan a Konseya Bajarê Amedê li Navenda Çand û Kongreyê ya Çand Amedê hate lidarxistin. Hevşaredar Dogan Hatun, nûnerên rêxistinên civaka sivîl û ciwan beşdarî civînê bûn. Hatun di civînê de axivî û diyar kir ku ciwanan her tim di rêveberiya herêmî ya bajêr de dengek wan hebûye û tekez kir ku pêwîstiya ciwanan bi rêberiya civakê heye. Hatun, bi destnîşankirina ku civakên ku ji hêla ciwanan ve têne rêvebirin pêşve diçin, diyar kir ku ew ê bi hev re pirsgirêkên ku ji hêla meclîsê ve têne raberkirin çareser bikin.  #Diyarbakır #Amed #GençlikMeclisi;;0
https://www.instagram.com/p/DRo1nidCNhF/;Carousel;207;1;0;2025-11-29 14:06:32;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/586662245_18183975226354013_6578609838523033057_n.webp?_nc_cat=103&ig_cache_key=Mzc3NjUwNDA4NDI0OTk5NzgxOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=xFGmUrh7l5UQ7kNvwGSicym&_nc_oc=AdnoJ0dBgwAyMisStI8uzgs2z5diRgPwcNb5RT_LOElJ5NRJbckBlFwRgRY2bFfXYvgwUwY6MAnkQOKyitdsJ_j6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_Afij_FxIVNYZ9eROARUheBRCpBDvHnE-hE5yqqIBH3cCAg&oe=69311032;🚰 DİSKİ, Merkez İçmesuyu Arıtma Tesisinde 20 Bin Metreküplük Depo İnşa Ediyor  🔗 Link Hikaye’de!  💧 Diyarbakır Büyükşehir Belediyesi DİSKİ Genel Müdürlüğü, 31 Ekim’de düzenlenen törenle temeli atılan Merkez İçmesuyu Arıtma Tesisi 2. Kademe inşaatında çalışmalarını planlama takvimi doğrultusunda sürdürüyor. Yaklaşık bir aydır devam eden çalışmalarda projenin en kritik bileşenlerinden biri olan 20 bin metreküp kapasiteli ana su deposunun temel imalatı tamamlandı.  #Amed #Diyarbakır #Diski #Av #Awk #Su #Water #Wasser;;0
https://www.instagram.com/p/DRoq20tDLEK/;Carousel;183;4;0;2025-11-29 12:32:30;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/587287156_18413169838136668_3227090299479170179_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjQ1Njc1NjA3NjIyMzMzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIxNjB4MTEyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=N6V4qk22_p0Q7kNvwHmY-RK&_nc_oc=AdlIgoiItzrSGUUWP9fVDPmhZJYsv5tVHxjsvrzP9xF0tJoAsRUxvcSH0lT05JBPk8evEiq9rsUupKtjEi7LM2hW&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_AfhdX9kpsvRyyifnVT5X2gutj3KRc6ZCUsbT7JiCCfIvdg&oe=6930FB1E;"💬 Eşbaşkanımız Bucak: Özgür ve Eşit Bir Toplumu Hep Birlikte Yaratacağız 🟣  📌 Büyükşehir Belediyemiz ev sahipliğinde kadınlara yönelik destek mekanizmalarını güçlendirmek, mevcut sorunları ele almak, çözüm önerilerini paylaşmak ve birlikte daha etkili stratejiler geliştirmek amacıyla “Kadına Yönelik Şiddetle Mücadelede Karşılaşılan Yapısal Engeller ve Çözüm Arayışları Çalıştayı” düzenlendi. Çalıştaya Eşbaşkanımız Serra Bucak, ilçe belediye eşbaşkanları, DEM Parti Kadın Meclisi Sözcüsü Halide Türkoğlu ve kadın örgütleri temsilcileri katıldı. Bucak, kadına yönelik şiddetin durdurulamaz boyutlara ulaştığını belirterek, kadın örgütleriyle eşgüdümlü ve ortak mücadele vurgusu yaptı. Çalıştay, farklı başlıklardaki oturumlarla 2 gün devam edecek.   💬 Hemsereka ma Bucake: Ma do pîya Cematêk Azad û Têduştî Awan Bikerê 🟣  📌 ""Astengîyê Awanî û Cigêrayîşê Çareserîye Têkoşînê hemverê Şîdetê Cinîyan ser o ""Hetê Şaredarîya ma ya Bajarê Girdî ra ame organîzekerdiş ke mekanîzmayê piştîdayîşî semedê cinîyan xurt bikero, problemê bîyaye çareser bikero, çareserîyê pêşnîyazî pare bikero û pîya stratejîyê tewr bi bandor aver bero. Hemsereka ma Serra Bucak, hemserekên şaredarîyê qeza, Verfeka Meclîsê Cinîyan ê Partîya DEMî Halîde Turkoglu û temsîlkarê rêxistinê cinîyan beşdarê komxebate bî. Bucake dîyar kerd ke şîdetê cinîyan ser resayo sewîyeya ke nîna vindarnayîş û qetî têkoşînêk wertax û hembeş rêxistinê cinîyan rê kerd. Komxebate do di rojan bi roniştişê babetê tewir bi tewir ser o dewam bikero.  💬 Hevşaredara me Bucak: Em ê bi hev re Civatek Azad û Wekhev biafirînin 🟣  📌 ""Astengiyên Avahiyî û Lêgerîna Çareseriyê di Têkoşîna li dijî Şîdeta li ser Jinan de"" ji hêla Şaredariya Bajarê Mezin ve hate lidarxistin da ku mekanîzmayên piştgiriyê ji bo jinan xurt bike, pirsgirêkên heyî çareser bike, çareseriyên pêşniyarkirî parve bike û bi hev re stratejiyên bibandortir pêş bixe. Hevşaredara me Serra Bucak, hevserokên şaredariyên navçeyê, Berdevka Meclîsa Jinan a Partiya DEMê Halide Turkoglu û nûnerên rêxistinên jinan beşdarî komxebatê bûn. Bucak diyar kir ku şîdeta li ser jinan gihîştiye astên ku nayên rawestandin û tekezî li ser têkoşînek hevrêz û hevbeş bi rêxistinên jinan re kir";;0
https://www.instagram.com/p/DRmu6DziLQq/;Reels;35;1;1489;2025-11-28 18:36:06;https://scontent-fra3-1.cdninstagram.com/v/t51.71878-15/587269100_1542401600412522_2535382397203272741_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NTkxMTYzNzU1MTcyMzU2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjIuc2RyLkMzIn0%3D&_nc_ohc=kwjAMSg3X7cQ7kNvwFr5wXB&_nc_oc=AdmpcCl64xHLuYbIqHNM-wET0L5MvLFaKdr3_ZH2TE1IF_Xy8nhylR8hwSozEsZqUWnijVBBPQvwjsCPnYsfbPzO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_Afg1D61eqtFSz7FvI_NezALhbB1lXWS9cM_Ee2cyPI1t-A&oe=6931127C;"✨Sağlıklı Gülüşler, Güçlü Gelecekler! ✨  Diyarbakır Büyükşehir Belediyesi Sağlık İşleri Dairesi Başkanlığına bağlı Sağlık Merkezi ekiplerimiz, 20–26 Kasım Ağız ve Diş Sağlığı Haftası kapsamında miniklerimizle bir araya geldi.  Belediyemize ait Zarokistan 450 Evler Kreş ve Gündüz Bakımevi, Sosyal Konutlar Oyun Odası, Sümerpark Oyun Odası ve Zarokistan Bağcılar Kreş ve Gündüz Bakımevlerinde çocuklara ağız ve diş sağlığı eğitimi verildi; doğru diş fırçalama yöntemi maket üzerinde uygulamalı olarak gösterildi.  Toplamda 415 çocuk bu hizmetlerden faydalandı. Miniklerimizin sağlıklı gülüşleri için çalışmaya devam ediyoruz! ✨ Kenên Geş, Pêşerojên Xurt! ✨  Tîmên Navenda Tenduristiyê ya Daîreya Tenduristiyê ya Şaredariya Bajarê Mezin a Amedê di çarçoveya Hefteya Tenduristiya Dev û Diranan de, 20-26ê Mijdarê, bi zarokên me re civiyan.  Li Kreş û Navenda Lênihêrîna Zarokistan a 450 Evlerê, Odeya Lîstikê ya Xanîyên Civakî, Odeya Lîstikê ya Sumerparkê, û Kreş û Navendên Lênihêrînê a Zarokistana Bagcilar ên şaredariya me, perwerdehiya tenduristiya dev û diranan ji zarokan re hat dayîn, û rêbazên rast ên firçekirina diranan bi bikaranîna modelek di pratîkê de hatin nîşandan.  Bi tevahî 415 zarokan ji van xizmetan sûd wergirtin. Em berdewam dikin da ku zarokên me xwedî kenên geş bin!";;0
https://www.instagram.com/p/DRmZE3YiO8L/;Carousel;47;1;0;2025-11-28 15:18:39;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/587266472_18183891601354013_1014411510997596710_n.webp?_nc_cat=102&ig_cache_key=Mzc3NTgxNTYwNjA2NzU2MzI3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=bZAKn1mSskcQ7kNvwEE-EoG&_nc_oc=AdnQgfCxBKwpw7h67VD33T7XpA8mbbUe5RRjBG0Tm9Jvf6kB1PdaFk1krGooVlhb7u0Ao1YlUFvutHGMV0T-DoGB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_Afg1EaeG5dJtwgfEEq2DuPZyfTLilT0w8O28qmhjEY-v1Q&oe=6930FA22;"✅ DİSKİ Araç Filosunu Güçlendiriyor: Üç Yeni Ekskavatör Sahaya İndi  🔗 Link Hikaye’de!  💧 Diyarbakır Büyükşehir Belediyesi DİSKİ Genel Müdürlüğü; altyapı hizmetlerinde hız, etkinlik ve müdahale kapasitesini artırmak amacıyla araç filosuna üç yeni ekskavatör kazandırdı. İş makineleri, Bismil ve Ergani ilçeleri ile Diyarbakır merkezde yürütülen saha çalışmalarında aktif olarak kullanılmaya başlandı.  #Amed #Diyarbakır #Diski #Av #Awk #Su #Water #Wasser";;0
https://www.instagram.com/p/DRl9Eg7jGDc/;Reels;142;1;17003;2025-11-28 11:19:49;https://scontent-fra3-2.cdninstagram.com/v/t51.82787-15/589141507_18413073775136668_8014112292233032040_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NTY5MjQ1MzY5MzkwNzE2NDE4NDEzMDczNzcyMTM2NjY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjkwMHgxNjAwLnNkci5DMyJ9&_nc_ohc=S35rMzuqzdAQ7kNvwESI6zt&_nc_oc=AdltevY41Y2-Vx4JiuN1pgkCyU8dnhep_Jmeal9VkG1zdukfelEP52ef2T20fg4GNcLUzGrs5h_NaUNjHHyWATZV&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_AfgUS8kFHJVRl3RY07miWPKgeBKHDg_KwWZG88pOZO8YHg&oe=69311F08;💬 Eşbaşkanımız Bucak: Özgür Basın Gerçeğin Peşinde  📌 Kürtçe yayın yapan Ajansa Welat (AW), birinci kuruluş yıl dönümü kapsamında Çand Amed Kültür ve Kongre Merkezi’nde bir program düzenledi. Etkinliğe Eşbaşkanlarımız Serra Bucak ve Doğan Hatun’un yanı sıra Meclis Eşsözcülerimiz Demet Ceylan ve Ayhan Karatekin, meclis üyeleri, ilçe belediye eşbaşkanları, siyasi parti ve sivil toplum örgütü temsilcileri ile çok sayıda gazeteci katıldı. Programda Kürtçe konuşan Eşbaşkan Bucak, özgür basının yıllara dayanan mücadelesine dikkat çekerek gazetecilerin emeğinin kutsal olduğunu ifade etti. Program, Govend Grubu’nun gösterisi ve sanatçı Arhat’ın konseriyle sona erdi.  💬 Hevşaredar Bucak: Çapemeniya Azad Li Pey Heqîqetê ye  📌 Ajansa Welat (AW) ya bi zimanê Kurdî weşanê dike, li Navenda Çand û Kongreyê ya Çand Amedê bernameyek li dar xist ji bo pîrozkirina salvegera xwe ya yekem. Hevşaredar Serra Bucak û Dogan Hatun, û her weha Hevberdevkên Meclisê Demet Ceylan û Ayhan Karatekin, endamên encumenê, hevşaredarên navçeyan, nûnerên partiyên siyasî û rêxistinên civaka sivîl û gelek rojnamevan beşdarî çalakiyê bûn. Hevşaredar Bucak bi Kurdî axivî û bal kişand ser têkoşîna demdirêj a ji bo çapemeniya azad û girîngiya keda rojnamevanan anî ziman. Bername bi performansa Koma Govend û konsera hunermend Arhat bi dawî bû.  #Diyarbakır #Amed;;0
https://www.instagram.com/p/DRkidurjGEd/;Carousel;211;1;0;2025-11-27 22:02:13;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/587066480_18413001745136668_7165049188283183083_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTI5Mzk0OTQzMTU2NDE2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIxNTV4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=-Nn5FQk9IyUQ7kNvwHcPqE7&_nc_oc=AdnG1I7JkqZp_PZ5jXOeVyHrv317VlnH_aoN96o1MsbzZGYJiHvBK_Vn4vYFZ_c9NH6COmfdRjpzEwo5GnoF2Bkw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_Afgj4pNz4NA-pnbd-BGxLwzbNDbV3U1zPM-v5fAEcjdsBA&oe=6931139B;💬 Eşbaşkanımız Bucak: Özgür Basın Gerçeğin Peşinde  📌 Kürtçe yayın yapan Ajansa Welat (AW), birinci kuruluş yıl dönümü kapsamında Çand Amed Kültür ve Kongre Merkezi’nde bir program düzenledi. Etkinliğe Eşbaşkanlarımız Serra Bucak ve Doğan Hatun’un yanı sıra Meclis Eşsözcülerimiz Demet Ceylan ve Ayhan Karatekin, meclis üyeleri, ilçe belediye eşbaşkanları, siyasi parti ve sivil toplum örgütü temsilcileri ile çok sayıda gazeteci katıldı. Programda Kürtçe konuşan Eşbaşkan Bucak, özgür basının yıllara dayanan mücadelesine dikkat çekerek gazetecilerin emeğinin kutsal olduğunu ifade etti. Program, Govend Grubu’nun gösterisi ve sanatçı Arhat’ın konseriyle sona erdi.   💬 Hevşaredar Bucak: Çapemeniya Azad Li Pey Heqîqetê ye  📌 Ajansa Welat (AW) ya bi zimanê Kurdî weşanê dike, li Navenda Çand û Kongreyê ya Çand Amedê bernameyek li dar xist ji bo pîrozkirina salvegera xwe ya yekem. Hevşaredar Serra Bucak û Dogan Hatun, û her weha Hevberdevkên Meclisê Demet Ceylan û Ayhan Karatekin, endamên encumenê, hevşaredarên navçeyan, nûnerên partiyên siyasî û rêxistinên civaka sivîl û gelek rojnamevan beşdarî çalakiyê bûn. Hevşaredar Bucak bi Kurdî axivî û bal kişand ser têkoşîna demdirêj a ji bo çapemeniya azad û girîngiya keda rojnamevanan anî ziman. Bername bi performansa Koma Govend û konsera hunermend Arhat bi dawî bû.  #Diyarbakır #Amed;;0
https://www.instagram.com/p/DRkC7UnDOqp/;Carousel;534;17;0;2025-11-27 17:26:38;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/589076141_18412978177136668_7880067301773030894_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTE1NTI1MDAzOTQyMTgwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE5MjB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=qVfVimcW220Q7kNvwHN2Z66&_nc_oc=AdnhyZ9ZqW7wS9bx3AuJQqDATTjk-dHDytwOA5k-fAfulMFyEOtJ6tHB1ye3b8c3eeHOAjcs6JHenueamoKnn9B3&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_Afhp_RKg8S1BBxDZw4iKG9W0IArlF9d-hfjKZyKcY3YC9Q&oe=69311662;🍞 Kayapınar’da Glutensiz Yaşam Merkezi’nin Açılışı Yapıldı 🥖  📌 Eşbaşkanımız Doğan Hatun, Kayapınar Belediyesi tarafından hayata geçirilen Glutensiz Yaşam Merkezi’nin açılışına katıldı. Fırat Mahallesi’nde kurulan merkezin açılışına Hatun’un yanı sıra Kayapınar Belediyesi Eşbaşkanları Berivan Gülşen Sincar ve Cengiz Dündar, ilçe belediye eşbaşkanları, sivil toplum örgütü temsilcileri ile yurttaşlar katıldı. Açılış konuşmasını yapan Sincar ve Dündar, demokratik ve toplumsal belediyecilik hizmeti anlayışıyla halka yeni bir hizmet sunmanın gururunu yaşadıklarını ifade etti. Kurdele keserek merkezin açılışını yapan eşbaşkanlar, daha sonra merkezi gezip proje hakkında bilgi aldı.  🍞 Navenda Jiyana Bê Gluten li Kayapinarê Vebû 🥖  📌 Hevşaredar Dogan Hatun beşdarî vekirina Navenda Jiyana Bê Gluten bû, ku ji hêla Şaredariya Kayapinarê ve hatiye pêkanîn. Navend, ku li taxa Firatê ye, Hevşaredarên Şaredariya Kayapinarê Berîvan Gulşen Sincar û Cengiz Dundar, hevşaredarên navçeyê, nûnerên rêxistinên civaka sivîl û welatî beşdar bûn. Di axaftina xwe ya vekirinê de, Sincar û Dundar serbilindiya xwe ya pêşkêşkirina xizmetek nû ji bo gel bi nêzîkatiyek demokratîk û civakî ya xizmeta şaredariyê anîn ziman. Hevşaredaran bi birîna şerîtê navend vekirin û dûv re li navendê geriyan û agahdarî li ser projeyê wergirtin.  #Diyarbakır #Amed;;0
https://www.instagram.com/p/DRkBYQ1AEpa/;Reels;1094;17;69701;2025-11-27 17:13:44;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/587544881_18412976770136668_5642675285921360565_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTE0ODQ1MzAyNjM1MTcwNjE4NDEyOTc2NzY3MTM2NjY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=2DkKpRh8ONQQ7kNvwFPjvyc&_nc_oc=AdnL9_6uXbow1E2nNW2M1NreDR9MA7otrDT4FZ9pOzT-1om6K2ffikMjTL8heExxFW2sbLmzGVLbcwox4iYKzT9N&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=mFgWVHGBruwuJ1wbP7eY5w&oh=00_AfiKVBM1Ptq2y0O_FPqZgrJuLl3k2vBoimIphHSlen4MOA&oe=6931116F;📚 Mesture Erdelan Kütüphanesi’nin Açılışı Yapıldı ✨  📌 Eşbaşkanımız Serra Bucak, Büyükşehir Belediyemiz ve Bağlar Belediyesi ortaklığıyla yapılan ve adını ilk Kürt kadın tarihçi Mesture Erdelan’dan alan kütüphanenin açılışına katıldı. Şeyh Şamil Mahallesi’ndeki açılışa Eşbaşkanımızın yanı sıra Bağlar Belediyesi Eşbaşkanları Leyla Ayaz ve Siraç Çelik ile çok sayıda kişi katıldı. 221 metrekare alana kurulan kütüphane, 72 kişilik oturma kapasitesi ve okuma salonu ile hem öğrenciler hem de yetişkinler için erişilebilir bir çalışma alanı oluşturmayı hedefliyor.  📚 Pirtûkxaneya Mestûre Erdelan Hat Vekirin ✨  📌 Hevşaredara me Serra Bucak, tevlî vekirina pirtûkxaneya ku bi hevkariya Şaredariya me ya Bajarê Mezin û Şaredariya Baglarê hatiye çêkirin û navê xwe ji yekemîn dîroknasa jin a Kurd Mestûre Erdelan girtiye, bû. Li gel Hevşaredara me, Hevşaredarên Şaredariya Baglarê Leyla Ayaz û Siraç Çelik û gelek kes tevlî vekirina li Taxa Şêx Şamîl bûn. Pirtûkxaneya ku li ser qadeke 221 metrekare hatiye avakirin, bi kapasîteya rûniştinê ya 72 kesî û salona xwendinê ve armanc dike ku hem ji bo xwendekaran û hem jî ji bo mezinan qadeke xebatê ya guncaw dabîn bike.  #Diyarbakır #Amed;;0
