PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpPMbgiBnf/;Reels;278;2;12736;2025-11-29 17:51:44;https://scontent.cdninstagram.com/v/t51.71878-15/588711663_1256243806550090_9188752834321553406_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NjYxNjU4NzM5NTA3ODYyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=QS2U3fMRXH8Q7kNvwHMYX-j&_nc_oc=AdnMWc5t-oY-taLgxxKQwpPm9G9YCNlOKt1JHEL-Nesa_9flhLu_-KTJrTCFzR976HNr1GqI4nfT5MNBriMZYf5K&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_Afh5CmU0-qrH1JHnO87Q8SsQVVHsMi8cdiF4iL7U0DLBmg&oe=69312F0D;"“Hayırlı Günler Komşum” ve “Derdin Derdimizdir” buluşmaları kapsamında; Milliyetçi Hareket Partimizin İl Başkanı Bilgehan Çağrı Özarslan, Merkez İlçe Başkanı Mustafa Erdem Çakırbay ve parti yöneticilerimizle birlikte, vatandaşlarımızı ziyaret ederek, Genel Başkanımız Sayın Devlet Bahçeli’nin selamlarını ileterek, hal hatırlarını sorup, istek ve taleplerini dinlemeye devam ediyoruz.  Gösterdikleri misafirperverlik için tüm hemşehrilerime teşekkür ediyorum.  #Erzincan #DerdinDerdimizdir #HayırlıGünlerKomşum";26122.0;0
https://www.instagram.com/p/DRo3IApF2s9/;Carousel;144;0;0;2025-11-29 14:19:42;https://scontent.cdninstagram.com/v/t39.30808-6/590271733_1403421831142502_4541462496269816143_n.jpg?stp=c0.0.1440.809a_dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NjUxMDcwODgwMTgyNTIyNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=nqHul-gDXz0Q7kNvwEw9TqM&_nc_oc=Admd5EygqueHUu6NeqgoH5qvIag_jNRKQUFVb7N32AwqJRbMtlJqRPL5RavGERhOREkaUz-ufJsOWAMrBT-5VAQ5&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfjZb8GbtzPDvijzhfW4NaAXTycr_libiWmwn_o0erNLOg&oe=6930F7FD;Türk Eğitim-Sen Erzincan Şubesi’nin 8. Olağan Genel Kurulana katıldık. Seçimde güven tazeleyerek yeniden Şube Başkanlığına seçilen Lütfü Küçük ve yönetim kurulunu tebrik ediyor, çalışmalarında başarılar diliyorum.  Genel Kurulun hayırlı olmasını temenni ediyorum.;;0
https://www.instagram.com/p/DRm1c_NF414/;Carousel;224;0;0;2025-11-28 19:26:37;https://scontent.cdninstagram.com/v/t39.30808-6/591257898_1402893104528708_9114520256663073118_n.jpg?stp=c0.0.1440.809a_dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTk0MDQwNTUwMzY2ODc3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=EVgc-DsEICsQ7kNvwGTaF9j&_nc_oc=AdnFQgSgAn0ufqDBjVvYZ7-CigJuAKxFYVwJbjY1b7jnMB_SAsqC6Zx3CD5pK2JJo6wZ_z16cpMw-QjxlD3hXhhO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_Afh7dmEaqmwDSoFN_UFC2LyML20H7W53u8T3a_kw3zkWNQ&oe=6930FEF0;"Erzincan Avcılar mevkiinde yeni hizmete açılan Özyaşaroğlu Total Petrol’ü, İl Başkanımız Bilgehan Çağrı Özarslan ile birlikte ziyaret ederek İş İnsanı Kadir Demir’e hayırlı olsun dileklerimizi ilettik.  Şehrimize kazandırılan her yeni yatırımın, istihdama ve ekonomik canlanmaya katkı sağlayacağına inanıyor; Kadir Bey ve ekibine bol kazançlar diliyorum.";;0
https://www.instagram.com/p/DRmlOReF8eM/;Carousel;116;0;0;2025-11-28 17:04:48;https://scontent.cdninstagram.com/v/t39.30808-6/592402617_1402808931203792_3563770212589171874_n.jpg?stp=c0.0.1440.809a_dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTg2OTAxOTY2NTk4NTQyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=VAyjXGlO3i0Q7kNvwG7V3s9&_nc_oc=Adn4cF6HS1F6wMgtmwukTh9qYi3npwLJx8jN6aiayL60zSNiaitOdn6Qg7w17tClCCOjZZRFHVhyX4vDnRyyhjeV&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfgLPtYsDB3YxMHXTnRQGpPIAlqxaNG0WiX8DaRkOAHvaA&oe=69310177;📍Otlukbeli. Milliyetçi Hareket Partisi İl Başkanımız Bilgehan Çağrı Özarslan ile birlikte, Otlukbeli Belediye Başkanımız Yusuf Tektaş ve İlçe Başkanımız Ali Şimşek’e ziyarette bulunduk ve ilçede yapılan çalışmalar hakkında bilgiler aldık. Ardından ilçe esnaflarıyla da bir araya gelerek hayırlı işler diledik.  Gösterdikleri misafirperverlik ve samimiyet için her birine ayrı ayrı teşekkür ediyorum.  #kardeşliğinşehri;;0
https://www.instagram.com/p/DRmfPmsF5gs/;Carousel;100;0;0;2025-11-28 16:12:33;https://scontent.cdninstagram.com/v/t39.30808-6/592391597_1402777631206922_2330337256310719945_n.jpg?stp=c0.0.1440.809a_dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTg0MjczNjAzNDc3ODc5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=QftKwozUvuQQ7kNvwGMqz5H&_nc_oc=AdkhiGX23JXotDh3eSn1_fb22TIPqSh4H3fIREQztO5E0gF977QGK32ZBYRYYYIdtk3EEbz2oRUb6L7VlXfVtm4z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfjqCwcEMvJOzG1dj_RsnP0ezLIuLeSEYMfico31NSrXEg&oe=69311AAD;📍Otlukbeli Kaymakamlığı.  İl Başkanımız Bilgehan Çağrı Özarslan, Otlukbeli Belediye Başkanımız Yusuf Tektaş ile birlikte, Otlukbeli Kaymakamlığını ziyaret ettik.  Kaymakamımız İbrahim Gökçe'ye misafirperverliği için teşekkür ediyor, görevinde başarılar diliyorum.;;0
https://www.instagram.com/p/DRmUl9oiMYG/;Carousel;143;0;0;2025-11-28 14:39:29;https://scontent.cdninstagram.com/v/t51.82787-15/584966544_18304493539254856_2469934911310456891_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTc5NTg4MDUyNDMwNzU5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjkwMHg1MDYuc2RyLkMzIn0%3D&_nc_ohc=-7dos49qCXgQ7kNvwHKC7-e&_nc_oc=Adn_vogexsMw8wxRk7oxsu2F3MNsjqs-EGwAVzA8eUq-t9izYh9Azxw6SOhw9DoX7EOmMw89A3pMBfhvfVfpyHVw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfhqIwpvRTCM4dl63BqA6kjyN9BEgSjha86J9jAuUcZHTg&oe=693128AF;📍Çayırlı. Milliyetçi Hareket Partisi İl Başkanımız Bilgehan Çağrı Özarslan ile birlikte Çayırlı Belediye Başkanımız Oktay Efe ve İlçe Başkanımız Özcan Bahadır’a ziyarette bulunduk. İlçemizde yapılan çalışmalar hakkında bilgiler aldık. Ziyaretlerimiz kapsamında ilçemizin değerli esnaflarıyla da bir araya geldik.   Misafirperverlikleri ve samimi sohbetleri için tüm hemşehrilerimize teşekkür ediyorum.  #kardeşliğinşehri;;0
https://www.instagram.com/p/DRmRAmklxyA/;Carousel;143;0;0;2025-11-28 14:08:10;https://scontent.cdninstagram.com/v/t39.30808-6/592403759_1402707354547283_7142649361428817517_n.jpg?stp=c0.0.1440.809a_dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTc4MDEzNTg3MTQzNzM1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=67LSBpUr9P8Q7kNvwEMPslL&_nc_oc=AdmBc_ImiUEl7ksAQJeCkR7SpwI48y_7noQdLd8-sCA_0l2XoR2JPoTvMHLL_98AOouuHjCKSIearWgiNE1_w4qy&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_Afi3QVZ-TPYsrV2vsvLTeyariRaJ7aeDKkCpuA_FTk42-A&oe=693114A7;📍Çayırlı Kaymakamlığı.  Milliyetçi Hareket Partisi İl Başkanımız Bilgehan Çağrı Özarslan, Çayırlı Belediye Başkanımız Oktay Efe ve Otlukbeli Belediye Başkanımız Yusuf Tektaş ile birlikte, Çayırlı Kaymakamlığını ziyaret ettik.  Kaymakamımız İsmail Battal'a misafirperverliği için teşekkür ediyor, çalışmalarında başarılar diliyorum.  #kardeşliğinşehri;;0
https://www.instagram.com/p/DRl2jUoCAVx/;Reels;412;6;12258;2025-11-28 10:21:50;https://scontent.cdninstagram.com/v/t51.71878-15/587023824_875682631635190_2334646899001961331_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTY2Mzc4NDQ1OTc2NTEwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=RGlodhn75kIQ7kNvwHTB_-v&_nc_oc=Adnps9XFDW7txuXNq1onNGyaL6kC4iXWGnSAgNxLIQjylMesmPAtPub4TNB-_DhkgDvbIk3UOKEFsw7C2JK5rjM5&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfiWwNu4BJp1coLwtt85Zk4Nceu-cqxE3T-2VwOo4aUoXA&oe=69310C01;Erzincan bugün beyaz bir güzelliğe büründü…  Dağların, caddelerin, çatılarının üzerine çöken sis, şehrimize ayrı bir güzellik getirdi.  #erzincan #erzincanbelediyesi;;0
https://www.instagram.com/p/DRkxI42FRYv/;Photo;113;6;0;2025-11-28 00:10:27;https://scontent.cdninstagram.com/v/t39.30808-6/589257279_1402214191263266_7814927197649952259_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTM1ODUwMjcxNTA2OTk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=2jRrYQt-YloQ7kNvwGZNQXV&_nc_oc=AdkWsgn_DNAdmeJQrfwX4jGROQDEOfTvX8wWgYYR7bYpoWiQOcIE-7r-t9j81iJeArTQrUbwMSp8u6YR1ICIKKhH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_AfiAe3wrVSgpJ8u4up-EKI62JybK0rfo7KttvoFBuTWmGA&oe=69312622;Cumamız Mübarek Olsun   #cuma #huzur #sağlık #bereket;;0
https://www.instagram.com/p/DRhbqjUF1vZ/;Photo;109;1;0;2025-11-26 17:05:05;https://scontent.cdninstagram.com/v/t39.30808-6/589649019_1401350714682947_6603116116571109780_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NDQxOTYzNDEwNTA0ODAyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=Ib9Ori1EVBkQ7kNvwEze92M&_nc_oc=AdlplGEz72rfEsB98QumyCHHWlYZd2nJlibud2Ah1YkwOAnDVSNJ2zxouZ8HDKjEdDCHsF5SbQ9djL06mrTLblyP&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=w7i6Amsbslnpcw1o9-16wg&oh=00_Afg1zAk6SafPoNORDLGj4YFRM2pvQMDw0zi2MiyuaeHyeg&oe=69310129;;;0
