PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpN5oKjGzv/;Carousel;1372;15;0;2025-11-29 17:38:43;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/588071606_18541872637040314_1087225103956217968_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjYxMDg4Mzg1NDkzNTYyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=1US2nqUyRKQQ7kNvwFGBDRz&_nc_oc=AdmzvbiP808tas5xN7dGdtlxv6SsJsnUFu80yNUIjkszizfJXrE8cCH6IBrEhBnIbMAdzwQ20ptn8LwL_j28sK_3&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_Afho8te1q1U1bg0wFtEOWcB-k3nQCbhtv1WtwWzDm9qgfw&oe=69312970;"Muhalefetteki son kurultayımız…  Cumhuriyet Halk Partisi 39. Olağan Kurultayımızda oyumuzu gururla kullandık.  Türkiye’nin birinci partisi olarak, milyonların umudunu ve değişim arzusunu gerçeğe dönüştürmeye; hak, hukuk ve adaletin egemen olduğu bir Türkiye’yi hep birlikte kurmaya artık çok az kaldı.  Gazi Mustafa Kemal Atatürk’ün kurduğu Cumhuriyet Halk Partisi; Manisa’nın gururu, Türkiye’nin umudu Genel Başkanımız Sayın Özgür Özel’in liderliğinde emin adımlarla iktidara yürüyor.  #ŞimdiİktidarZamanı";124058.0;0
https://www.instagram.com/p/DRpHP6yDNm6/;Reels;729;19;37184;2025-11-29 16:41:05;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/589252335_3126764820835196_4453969852951399720_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjU4MTY0Mjc2MTMyOTA4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=uNor6Xt4ksAQ7kNvwEE5hKs&_nc_oc=AdnESy7wl48kYakRZct2hyto885kMp5T6XoOnzs20ws3wpDf4NihADc2j3vfS0Hj2_c6u2jfs0bNK629SC6gNUm4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_Afjh6cgmRsy6cjCxk-uTBt3cLl5n4AOaT00izO0vPM0A6A&oe=69311621;Manisa’mızda gece başlayan sağanak yağışa karşı tüm ekiplerimizle sahadayız!  Kış gelmeden önce bitirdiğimiz kanalizasyon ve mazgal temizlikleri sayesinde, olası sorunları en aza indirdik. Bundan sonra sorun yaşanmaması için çalışmaya devam edeceğiz.  Herhangi bir olumsuzluk yaşamanız durumunda, 7/24 Alo 185 MASKİ Destek Hattımızı arayabilirsiniz. Manisa’mızın huzuru için sahada ve görevimizin başındayız...;;0
https://www.instagram.com/p/DRogpbiDStB/;Reels;1690;44;65120;2025-11-29 11:03:48;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/589779986_18541829590040314_5639549687121966567_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NjQxMTg3MjA5OTM4MDAzMzE4NTQxODI5NTg3MDQwMzE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=ZY964DSHs5gQ7kNvwHfcsxa&_nc_oc=Adk26XsgNBJu3kNjPwF-zG9YLtwC0HuGq9GbXq6cdBcq6R4qBLrSgSxdIcGsAyl2TnRC37E0TdWIylrmwVihRtIu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_Afht_Vt1GE27lkW2y48ig0GeZJLfem1crEKp9W8YE06oxA&oe=6930FF5A;"1 Aralık’tan itibaren Manisa Eczacı Odası iş birliğiyle atık ilaç toplama kampanyamızı başlatıyoruz.  Son kullanma tarihi geçmiş ilaçlar çöp değildir. Doğaya, suya ve canlılara zarar vermemesi için mutlaka toplanmalı ve doğru şekilde bertaraf edilmelidir.  Evlerimizde biriken atık ilaçları eczanelerde oluşturulacak atık ilaç toplama noktalarına teslim ederek; çevremizi korumaya, suyumuzu temiz tutmaya, çocuklarımıza daha sağlıklı bir gelecek bırakmaya katkı sağlayabilirsiniz.  Doğamızı korumak ve gelecek nesillere daha yaşanabilir bir Manisa bırakmak, hepimizin görevi.";;0
https://www.instagram.com/p/DRm81jTjKc7/;Reels;3549;164;224342;2025-11-28 20:37:14;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/590403344_1572384790448896_3354618903361946223_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NTk3MjkwMDQyODYyMTYyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=rrxvVa6FomoQ7kNvwG10c_5&_nc_oc=Admqb8SgD80M3qdyDiE541orPlZo6XGTdACqg4LBGmbby5duv1ig1dN9YDjjqmqA9SGb5lFYZUYO4cGjyB_Pv8OS&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfhwsCc7EQZJImJjbPLjTN5hDQqz033tftWVL5x79ncQ5w&oe=693107BC;#Manisa’da halkımızın sağlığıyla oynayan kim olursa olsun karşısında bizi bulacak.  Sağlıksız koşullarda gıda satışı yapan işletmeleri hiç tereddüt etmeden mühürleyip faaliyetten men edeceğiz.  Zabıta ekiplerimiz 17 ilçemizde denetimlerine aralıksız devam edecek.;;0
https://www.instagram.com/p/DRmpO-QjB1c/;Carousel;812;4;0;2025-11-28 17:39:51;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/588236057_18541727344040314_1912526929954703673_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTg4NjY3MTM2ODQ2MzEwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=kkq1rP6Pv_UQ7kNvwFaSrJF&_nc_oc=AdnvFtgzuCrtakyHjuONwT3cvZ6ESssHW9RDBVlEjQP96MYDhVPZVhWGoV-ixucFDULQI0JS2Fr7TGpMENdF8R6M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfjekdM8m8Y-EO2LZbDJH--8wv-N9YgMaHnQMADG-AOvAQ&oe=69311757;"Şimdi İktidar Zamanı!  Türkiye’nin birinci partisi Cumhuriyet Halk Partimizin 39. Olağan Kurultayı, Manisa’mızın gururu, ülkemizin umudu Genel Başkanımız Sayın Özgür Özel’in liderliğinde başladı.  Kuruluşun ve Kurtuluşun Partisini iktidara taşıyacak; yarınların Türkiye’sini omuz omuza, hep birlikte kuracağız.  #ŞimdiİktidarZamanı";;0
https://www.instagram.com/p/DRmMDWvFTFd/;Reels;1391;40;53626;2025-11-28 13:25:24;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/588602217_18541698223040314_6720655122162485358_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc1ODM0NDcyNTU0MTIxMzE4NTQxNjk4MjIwMDQwMzE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=8v7TZXc2bX4Q7kNvwHFXPTO&_nc_oc=AdmW5PAHlwTpVHW7gev0GUbvExJPSSP_0ZygqBC-gJiB9UYi8ammqlWfODiC8d89W867U2wXHOy1zGGM-RgxiPeD&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfhvJ8EGhXQKqqyKeBia5W0qnydFQqz4NzA85Fhqh9nWbg&oe=693101A5;Değerli büyüklerimizi ziyaret ederek gönüllerine dokunduk.  Bir tebessümün, bir sohbetin, bir hatır sormanın değerini onlarla bir kez daha hissettik.  Dünü bugünle buluşturan, hayat tecrübeleriyle bize ışık olan tüm büyüklerimiz iyi ki var.  Her zaman yanlarında olmaya, onların sesine, talebine, gülümsemesine kulak vermeye devam edeceğiz.  Tüm büyüklerimize sağlıklı, huzurlu, uzun bir ömür dilerim.;;0
https://www.instagram.com/p/DRl4Ku0lEJi/;Reels;489;3;31403;2025-11-28 10:31:40;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/588035040_18541683703040314_6367818961357424642_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NTY3MDg5MDY5MzY3MzU3MDE4NTQxNjgzNzAwMDQwMzE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=cLueYL1OScsQ7kNvwEbk-_G&_nc_oc=AdmwjeiwymZcUOHQOlGvdQPaYPwwqYi3zt1RstdbYngRICYvmiQcCgxvr3-vSeSCxSW66SgacZOHMdaDmKaEjeFY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfiwjptoCiZzfiKboHlSNk94iZOFvVgvdHBfT-6T4xL39g&oe=69312ACD;Alaşehir ilçemize bağlı Piyadeler Mahallesi'nde, 2 bin 600 vatandaşımızın sağlığını ve yaşam kalitesini doğrudan etkileyen, 30 yıldır süregelen kanalizasyon sorununu, başlattığımız 2 bin metrelik kolektör hattı çalışmasıyla kökten çözüyoruz!  Manisa'mızı modern, sağlıklı ve yaşanabilir bir şehir haline getirmek için şehrimizin her noktasında sorunlara neşter vurmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRlv4dnjUau/;Photo;489;4;0;2025-11-28 09:18:42;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/592411645_1438308424317839_6360214488229909980_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTYzNDQ1MDg5ODgzMTAyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=_MJKYLtciV0Q7kNvwG7k_pR&_nc_oc=Adn3B0HrLC6fSuBF9pW8j5mXmsVCx47058IPIx_I7DdmEgtVkRJr9_Lt73M5xE1R93ZVOHugE4V3VVrE7_EC1SF4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfivwTHAJkdZJGGmOFZU449FIfwMo7AsHgEW3LemIhVweQ&oe=69310111;İşlerimizden bereket, hanelerimizden huzur, mutluluk ve sağlık eksik olmasın.   Tüm halkımıza Hayırlı Cumalar dilerim.;;0
https://www.instagram.com/p/DRkDN1zCT9L/;Reels;1932;189;151926;2025-11-27 17:29:45;https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/589917367_18541575922040314_1359218675666905716_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTE1NjUzMjkwMDYwOTg2NzE4NTQxNTc1OTE5MDQwMzE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=5MWUV_rDhxwQ7kNvwG82Ppt&_nc_oc=AdmQngvoCBTAu3VhQOtMUwt-e14MG9D7AI4YatIMDGdH3RVJnUAhcTK952GWt2q38Ht0cZnPHFiAWWSV5qwSsJ0W&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfibfUu07iRS8B_kgmed-MjDWJjJdqtbc5iYXJXCC3ap0g&oe=693119C2;"Manisa’da Kaldırım İşgallerine Geçit Yok!  Zabıta ekiplerimiz, yaya güvenliğini sağlamak için kent genelinde kaldırım işgali denetimlerini aralıksız sürdürüyor.  Kaldırımların; sandalye, masa, ürün, duba, tabela ve benzeri malzemelerle işgal edilmesinin yasak olduğu hatırlatılarak, yapılan uyarılara rağmen kurallara uymayan işletmelere yasal işlem uygulanıyor.  Denetimlerimiz kararlılıkla devam edecek.";;0
https://www.instagram.com/p/DRjhB-lguma/;Reels;4158;54;715499;2025-11-27 12:31:07;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/587957789_18541545319040314_4029553012084330509_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NTAwNjE4NDEyMjI4MDM0NjE4NTQxNTQ1MzEzMDQwMzE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMiJ9&_nc_ohc=EB9BGSc7vPsQ7kNvwEyiA3J&_nc_oc=AdkzFsD5QeyWeW-3iDaje8kOQOpZIXBFZJ0x8qdaFlrfBawN3CAtVws2IWY3s1_Bm9WD9OntYmA4d_-HAjV85os2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=-0dzjp797826dUquvpFrxA&oh=00_AfhC2ON9nch-_28A8FzqlRKdHA6Nl77CzhDeTZF9jnS_yQ&oe=69311A3C;"Küçücük bir pil ama etkisi tonlarca toprağı kirletecek kadar büyük.  Atık piller çöp değildir; doğru toplandığında doğayı koruyan bir farkındalığa dönüşür. ♻️🌍  Manisa’da çevre bilinci için güzel bir adım attık. Toprağımızı, suyumuzu ve geleceğimizi korumak için hep birlikte mücadele etmeye devam edeceğiz. 💚";;0
