PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRo_7UkjAwW/;Carousel;64;0;0;2025-11-29 15:36:37;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/589735482_122276282588205329_5280920274270375935_n.jpg?stp=c0.29.2048.1307a_dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjU0OTQyODg3MDc5MjM4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=pka_pPFiGTwQ7kNvwGp5fdk&_nc_oc=AdkesX-1SU-L5k_GifhSCfeMhyQdVJFTB4XvBv3ZjG-xCRJGK0q_QnACbN2ZRUuzwV8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfjHzN3fN8-ULkY6-OXQn7QjfaK7HImwB9LeYgSY831g7g&oe=69312273;"Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nın ikinci gününde, Ankara’da örgütümüzle tek yürek, tek yumruğuz.  Genel Başkanımız Sayın Özgür Özel’in liderliğinde; köklerini tarihimizden, gücünü dayanışmadan alan bu büyük yürüyüşün rotası bellidir. Türkiye’nin makus talihini değiştirecek irade buradadır. Parolamız net: Şimdi İktidar Zamanı!  Şairin dediği gibi; ""Saraylar saltanatlar çöker kan susar bir gün zulüm biter. Menekşeler de açılır üstümüzde leylaklar da güler. Bugünlerden geriye, bir yarına gidenler kalır bir de yarınlar için direnenler...""  Yolumuz açık olsun!";8262.0;0
https://www.instagram.com/p/DRfBgGpjGBd/;Carousel;148;1;0;2025-11-25 18:37:58;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/587398157_122275594484205329_1263687352269121239_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3Mzc0MTYwMzgwNzMwNDUzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=BgghWqJhgvcQ7kNvwEPyR1k&_nc_oc=Adn0aMld5LmNK2hjKP1YKWnNtvLegeng1l9_dOr-58iAPyf2ufWjuwFBOrwByPPAvJE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfhGQqZXANmCme9Gqy70ASP7sUWh61QZb2BhHBnjEINstw&oe=693107BA;"Bugün, Artvin Kadın Dayanışma Platformu’nun düzenlediği basın açıklamasında, kadınların haklı mücadelesine omuz vermek için alandaydık.  Bir şehir, ancak kadınlar sokaklarında korkusuzca yürüyebildiği zaman gerçekten aydınlıktır. Karanlığa inat, yaşamdan yanayız. Artvin’de ve dünyada; kadınların korkuyla değil, özgürlükle nefes aldığı bir gelecek için mücadelemiz sürecek.  25 Kasım Kadınlara Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde bir kez daha haykırıyoruz: Şiddetin karşısında, kadınların yanındayız. Bu mücadele hepimizin.";;0
https://www.instagram.com/p/DRcEJ7tieSR/;Reels;110;0;5483;2025-11-24 15:04:05;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/584406895_18330235960209590_4345601908211120789_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MjkwODg2MjYwNTc0NzM0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE5MjB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=BRsBTFVMJgcQ7kNvwF7pGgz&_nc_oc=AdkxZgNpZlKW4UmyujRcxVsWwwkhrnEuSSY7-8R_DEFNN6ikfwrnzv_CJdAmzCse0Fc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfjPASxeYk_nfm0ubCE3gajdLa5FAO3U_MC0BLnKCZOirQ&oe=69310FCC;"Bugün, öğretmenlerimizle birlikte hem doğaya nefes olmak hem de onların adını geleceğe taşımak için bir araya geldik.   Belediye Başkanımız Bilgehan Erdem, mesleğinin her zaman “öğretmenlik” olduğunu vurgulayarak etkinliğimize katılan tüm öğretmenlerimize teşekkür etti.  Diktiğimiz her fidan; emeğin, sevginin ve geleceğe bırakılan güçlü bir iz olarak toprakla buluştu. Öğretmenlerimizin adını taşıyan bu ormanın, yıllar boyu büyüyerek onların ışığını yaşatmasını diliyoruz.  Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü kutlu olsun.";;0
https://www.instagram.com/p/DRcD5QgjEw4/;Carousel;191;1;0;2025-11-24 15:01:10;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/588559031_18330235639209590_6709774366428851897_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MjkwNzcwNzAyNDgzNDc5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjZ4NzEwLnNkci5DMyJ9&_nc_ohc=tRS_xcA2U5cQ7kNvwEzoQJm&_nc_oc=Adnm9QQ3B38I19hv8ebESpkSU74GWiZJtGi64FnpBTmEM0aa_fFR1v1uJ-_diVz6uUo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfgCEtFG0sHZrGL_jpXbXPuPtJ094KfkCyBhaZFl4Y1amg&oe=6930FA6B;Belediye Başkanımız Bilgehan Erdem 24 Kasım Öğretmenler Günü Programına Katıldı  Belediye Başkanımız Bilgehan Erdem, Artvin İl Millî Eğitim Müdürlüğü tarafından düzenlenen 24 Kasım Öğretmenler Günü etkinliklerine katıldı.  Gün, Milli İrade Meydanı’ndaki çelenk sunma töreni ile başladı. Ardından Başkan Erdem, Nihat Gökyiğit Kongre ve Kültür Merkezinde açılan resim sergisini gezdi ve öğrencilerin çalışmalarını inceleyerek tebrik etti.  Kutlama programında yapılan konuşmalar, şiirler, “Eğitime Gönül Verenler” sunumu, Hizmet Şeref Belgeleri takdimi ve öğrencilere verilen ödüller ile öğretmenlerimizin emekleri bir kez daha onurlandırıldı.  Başkan Erdem, tüm öğretmenlerin gününü kutlayarak, “Eğitim geleceğimizin temelidir” mesajını iletti.  Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü kutlu olsun.;;0
https://www.instagram.com/p/DRW5xRBDFfg/;Carousel;202;1;0;2025-11-22 14:56:29;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/587396222_1145636907685830_3086829956904372522_n.jpg?stp=c0.0.2048.1364a_dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MTQ1NTc5OTU3OTkyMjQ1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=LrkbiiT0NOIQ7kNvwHFkpGX&_nc_oc=AdkoUeiMALP5CCaueQYZUUIq-gajSqb0mZ2ub4AhCRSMFYK_hJbceylv1XTr9AQdQSQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfjF3xqcM5ygqD5NFiFrJ-WldquAdLLBlHoIYBod3e51Sg&oe=69312C05;Belediye Başkanımız Bilgehan Erdem, DİSK Genel Başkanı Arzu Çerkezoğlu ve beraberindeki heyeti makamında ağırladı. Görüşmenin ardından misafirlerimizle, dünyanın en büyük Atatürk Heykeli’ne ev sahipliği yapan Atatepe Sosyal Tesisleri’nde bir araya geldik. Ziyaretin anısına Başkanımız, Sayın Çerkezoğlu’na şehrimizin simgesi olan boğa figürünü takdim etti.;;0
https://www.instagram.com/p/DRW4rSpDANm/;Carousel;223;0;0;2025-11-22 14:46:56;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/587036357_122275054946205329_8137008723707427604_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3MTQ1MDk5NDM1ODc4MjIxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=zF9BsN3ZFLQQ7kNvwHlZHwF&_nc_oc=AdmHcr2RlC-54kBj39ful6G5i3LMccHMr3Xd44xiJeXhhwGZiPzHKGHKekifJXluqCU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_Afi4XzeZ4HkH6RrNdvBPWzkn0YTW7LSP9KV7SKD96fYtvA&oe=69311124;"""Hayat pahalı, emek ucuz: Bu ücretlerle yaşanmaz!""  Bugün Artvin’de, DİSK Genel Başkanı Sn. Arzu Çerkezoğlu ve emekçi kardeşlerimizle omuz omuzayız. Meydanlardan hep bir ağızdan haykırdık: ""Kurtuluş yok tek başına!""  İnsanca bir yaşam ve hakça bir düzen için yan yana durmaya, sesimizi yükseltmeye devam edeceğiz.";;0
https://www.instagram.com/p/DRNNDBTjZN2/;Carousel;99;0;0;2025-11-18 20:32:32;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/584278542_122274486668205329_330977974646153057_n.jpg?stp=c0.0.2048.1365a_dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc2ODcyNTgzMjYyNjY4OTA4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=LN3Y-TxQA8IQ7kNvwHu515V&_nc_oc=AdmR2cPip2JLNl8SlSMIHQDIfVZakMQffBzCHsiK5dIPLurn-FRqWvXrJle5hMol6fQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfjVsdgmFedJA63_dY-EEEooYgGMINLbpSTkQusyAKn-WQ&oe=693101B4;Genel Başkanımız Sn. Özgür Özel liderliğinde CHP TBMM Grup Toplantısı’ndaydık.  Ülkemizin ve halkımızın sorunlarını gündeme taşımaya, bu sorunlara kalıcı çözümler üretmek için var gücümüzle çalışmaya devam edeceğiz. Mücadelemiz Artvin için, mücadelemiz Türkiye için.;;0
https://www.instagram.com/p/DRJzYCgjXSD/;Photo;94;8;0;2025-11-17 12:50:29;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/585205882_122274256148205329_8814249316512925810_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc2Nzc2ODUxNTYwNTI2MzQ5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNDR4OTk2LnNkci5DMyJ9&_nc_ohc=9tO3fg07TbkQ7kNvwFFqN-F&_nc_oc=Adm0ETuzIUzv8M30OIjYdPEVLi_DyDR1mqinxUhD4f3O4Tvc6ksMQNGae1ZOW5Se0JU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfglVeq7EfIBA3JHmX76TcJvRzYjCf-FISSkf4VvwG1cZQ&oe=69310C69;"Mersin Büyükşehir Belediye Başkanı, TBB Başkan Vekili Sayın Vahap Seçer’in kıymetli kız kardeşi Arzu Seçer’in vefat haberini büyük bir üzüntüyle öğrendim.  Merhumeye Allah’tan rahmet; başta Vahap Seçer olmak üzere tüm ailesine ve yakınlarına başsağlığı ve sabır diliyorum.  Mekânı cennet olsun.";;0
https://www.instagram.com/p/DQ7OufmjdH-/;Photo;107;0;0;2025-11-11 21:00:53;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/581208798_122273386112205329_3960307997248665292_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc2MzY2NjY4MTI3ODA5MTc3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4NzUwLnNkci5DMyJ9&_nc_ohc=qfkh2sWKVPwQ7kNvwE2hxeK&_nc_oc=AdlNUbPDER7pUf-FwysPHLSXYsByoKGPaQc7x4cf4dTQgcYEU5iwxjefgAH-QJmYYO4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=0GoCacRFWtj9cRh0DF73rw&oh=00_AfhzHE05CcAuNwWqPeTvW9rsFB1_27Trvm5SFWxcFz90hw&oe=693119DD;"Esenyurt Belediye Başkanımız Ahmet Özer'in tahliye haberine sevindik. Kendisine ""geçmiş olsun"" dileklerimizi iletiyor, ""aramıza hoş geldiniz"" diyoruz.  Ancak 19 Mart darbe süreciyle başlayan hukuksuzluk, diğer seçilmiş başkanlar ve siyasi tutsaklar için devam ediyor.  Sevincimiz yarım. Adalet bir kişiye değil, herkese lazım!  Halkın iradesiyle seçilen Ekrem İmamoğlu, Resul Emrah Şahan, Utku Caner Çaykara, Mehmet Murat Çalık, Hasan Akgün ve tüm siyasi tutsaklar serbest bırakılana kadar mücadelemiz sürecek.  Darbe hukukuna son verin, seçilmiş iradeyi serbest bırakın!";;0
https://www.instagram.com/p/DQ6njksDI8h/;Carousel;98;0;0;2025-11-11 15:18:36;https://scontent.cdninstagram.com/v/t51.82787-15/579693399_18326801635209590_6758303732028163363_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc2MzQ5NDM5NDU0NTMyMjI5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=m4GsliUwR5wQ7kNvwGZDwO2&_nc_oc=AdkrADzjmqMcY74YMteuPT3mJ8-bthQo3wxXx60Z3YdTQ0MWPBDX958qiIpRQ9QpqVY&_nc_ad=z-m&_nc_cid=1093&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=rsaqwmfyaAtOuD6oSlNfHQ&oh=00_AfgJED0avaAK0M7caE2jv6e8olMBCn0qeffaj6od3VH_gA&oe=6931011C;Belediye Başkanımız Bilgehan Erdem, “11 Kasım Milli Ağaçlandırma Günü” kapsamında 81 ilde eş zamanlı olarak düzenlenen fidan dikim etkinliğine katılarak doğaya umut ekti.  Yeşilin ve doğanın şehri Artvin’de her fidan, yarınlara bırakılan bir izdir.;;0
