PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpms7_CGUp/;Photo;383;10;0;2025-11-29 21:15:26;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/586695585_18539261020037474_8579102654903828536_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjcxOTk3NjM1OTU1MjI5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTcyOC5zZHIuQzMifQ%3D%3D&_nc_ohc=FE8ksKF1ZxQQ7kNvwFkxdAC&_nc_oc=AdmYb4wq4sGyt1k5C9iI0IMOhe06LyShJza7AR__3K43WyQJ7-Et3oC3EkVekpPOr5b-X3aKe2T_fyqAuxSZZmR5&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_Afgs5e0b8HRl5M_I3T_YJ3KBAIJZig5woL-k7Erd2wCYlg&oe=6931295A;"Manisa Bölge Trafik Denetleme Şube Müdürlüğü’nde görevli Polis Memuru Hatice Ünal’ın, resmi araçla geçirdiği trafik kazası sonrasında tedavi görmekte olduğu hastanede şehit olduğunu üzüntüyle öğrendim.  Şehidimize Allah’tan rahmet; kederli ailesine sabır ve başsağlığı diliyorum.   Milletimizin başı sağ olsun. 🇹🇷";144492.0;0
https://www.instagram.com/p/DRpLDW1iIER/;Carousel;1341;24;0;2025-11-29 17:13:50;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/586688472_18539228098037474_6157251432270452297_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjU5ODM1MjU5OTcxOTkyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=AAkFOcman1YQ7kNvwHAPrnq&_nc_oc=Adl7WYGOy4HMUXndfpnAnPAZcJkwIyqp9fQCvm6_31FlEyHH-OUBFFoxUbrbP6RrV5jlmxcCRcF4ASXINpzfxwSp&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfixQ1DsEHGD5bKG5PQvOrbnkd4M5TcHlXKYTHJDTfyH8w&oe=69312B04;‘Şimdi İktidar Zamanı’ sloganıyla gerçekleştirilen Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’na katıldık. Kurultayda yeniden seçilen Genel Başkanımız Sayın Özgür Özel’i tebrik ediyorum.;;0
https://www.instagram.com/p/DRmhmwSiAOx/;Photo;2048;65;0;2025-11-28 16:33:11;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/589065249_18539071996037474_8255964826731652162_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTg1MzEzNjMyMjIzMzI2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4NzQzLnNkci5DMyJ9&_nc_ohc=R7gEMdN4jKwQ7kNvwGkGscl&_nc_oc=AdnAZjtCWpoGQADiioMtRA7C9Wmu7jqCJaiFz40Y__rx9XaWr_7dfFn0CeiU7B6d8fIwMNZDFE5nWCfvPf5yBALK&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfihOnS0RjgzCBgyc4q8O6aHnM_U18eo6TIMUhuMFKYQJg&oe=69310C56;;;0
https://www.instagram.com/p/DRmNcPSiEcS/;Carousel;1440;19;0;2025-11-28 13:36:59;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/584783208_18539054302037474_4153351475572284837_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc2NDQzNzA0MzU1NjQwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=7wxE1nmMyQkQ7kNvwGO240j&_nc_oc=AdlurPzacn1Z9-qAZc8wuHP4cFusiReS34zIp1zM6fvEUaiFaNF8bMH8_9--aZu7CSYPt3lwMRq9fTz0tlBvr8d1&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfiydbLigg15D01RW1vnKgvU5au5tPvNfQXQc1_5_Pc8Qg&oe=69312516;Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’ndayız. Kurultayımızın, partimiz ve ülkemiz için hayırlı olmasını diliyorum.;;0
https://www.instagram.com/p/DRjUddeCCIk/;Carousel;4615;53;0;2025-11-27 10:40:36;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/586669080_18538884880037474_1439724414468932524_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NDk1MDg4Njk5NzU0MjQxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=GKt2a2ok5JkQ7kNvwFzAVay&_nc_oc=Adnmlo_ROZTengQhQ4lpDNBj0T3O95ousXJNOeIE8BE29z9bsdceogp2sDm7mIKtJi3sko11MKtfWQ--S3e8Zhmy&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfiLY3u1vN5k7wmzC64IBrSfWqmmmTP5-ql0xQZqIpqH6w&oe=693101ED;Cumhuriyet Halk Partisi Afyonkarahisar İl Başkanımız Hasan Karadeniz, Merkez İlçe Başkanımız Murat Albayrak ve Dinar Belediye Başkanımız Veysel Topçu ile Genel Başkanımız Sayın Özgür Özel’i ziyaret ettik.  Kurultay öncesi görüş alışverişinde bulunduk.;;0
https://www.instagram.com/p/DRg_colCLDX/;Carousel;1227;12;0;2025-11-26 12:58:30;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/586691408_18538751074037474_1394922040546534681_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NDI5NTUxNzcyODA4MzE5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=bUIIU9Ua4GgQ7kNvwF-7lvD&_nc_oc=AdlRm5p7vAsh7-7wFWOIoUSMmwnNh21Uhz8ajlS7oJGVDkmK26PZwacPVH2k0IGptCHfnvVhgKQQ7yLeuBhxOPU1&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfiDvQDkntB_ksLhX_V1MR4ACBqLm3DCozYBkHVOMEGrKQ&oe=69311E54;İç Anadolu Belediyeler Birliği’nin, belediye personellerimizin çalışmalarına katkı sağlamak amacıyla şehrimizde düzenlediği “Kamu İhale Mevzuatı ve Belediyelerde İşyeri Açma, Çalışma, Ruhsatlandırma İş İşlemlerine Yönelik Usul ve Esaslar” konulu eğitime ev sahipliği yaptık.;;0
https://www.instagram.com/p/DRg6AdgCKaU/;Carousel;554;0;0;2025-11-26 12:10:58;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/587069233_18538747444037474_4415556861471589693_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NDI3MTU5NTA2MjI1MDAzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=8QSahf7_U7gQ7kNvwFUp9B3&_nc_oc=AdmvvuKdC3_z-_C7frD6M2GNggc34nYwgRNOMcjFSJYveg8r2QrG2m3qv9TNvgBwXlUairr2mHNQz8EaN76qI_4P&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_Afio1hnMN02st6NgkjkHXMythmPR0HdTki7-t5tMMIAsRA&oe=6931100A;İç Anadolu Belediyeler Birliği ve Ankara Yenimahalle Belediye Başkanımız Fethi Yaşar ile birliğimizin şehrimizde düzenlediği “Hizmet İçi Eğitim” programı için gelen temsilcilerimizle görüş alışverişinde bulunduk.;;0
https://www.instagram.com/p/DRfHXS1CHBp/;Carousel;654;2;0;2025-11-25 19:29:12;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/586695942_18538648660037474_2740403683649349148_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3Mzc2NzM4ODE1NjcwMzcxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=-VpzjcbZSbkQ7kNvwG4H0HA&_nc_oc=Adml4kjyyULiY70EbVv5p7hRQfBiROSQrAFV4mDAnFyWN7ZC23c-ZqoStgOfFGjplbJVaTRB4R7QMnh4xxfYn-CI&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfgppDVsSoCS8LWpmvipwuG5F9_hKPKvAaACLoGj-TSmvA&oe=693110C4;Müstakil Sanayici ve İşadamları Derneği (MÜSİAD) Afyonkarahisar Şube Başkanı Ercan İşlek’i ziyaret ederek, iş insanları ile birlikte görüş alışverişinde bulunduk.;;0
https://www.instagram.com/p/DRe2YdaiJLK/;Photo;520;0;0;2025-11-25 17:00:49;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/587474521_18538627249037474_35404863720803941_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MzY5MjcxMzE0NTc2NjYwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMiJ9&_nc_ohc=AK8sQiWLhaIQ7kNvwH-wglC&_nc_oc=AdnZLfsXco8V_obRA_xCNWfYB1RNGci0JW8Ro3q6CjkKM9M38dj8i4Ng_0Zey4O_cLjusiHvjpn1vtClGjtzvSmK&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfiSdqQeQjzf35NOOzREXUDNRYGY8ZXdrztRL1otUZNhCA&oe=69310A93;Cumhuriyet Halk Partisi Bolvadin İlçe Başkanımız Ömer Çengel ve beraberindeki heyet ile görüş alışverişinde bulunduk.;;0
https://www.instagram.com/p/DRevX-2iGjP/;Photo;678;7;0;2025-11-25 15:59:35;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/587391981_18538617802037474_4775581363016436344_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzY2MTg5NDAwMzk0MzYzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=hNWXw9QS_a8Q7kNvwHF9VjU&_nc_oc=AdlMTp61pRpIXBJF4T2hFJXqMlIy7tyhXaiY2L3xWViGwD-JacwfeFgOKekXAnVEdEi4DgUGc11i_tTSTfDZonkq&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=lbp0WiXTk6zhlcTry5aWHg&oh=00_AfiGHaB3WU0RnkKS0WPgKf3ySqBomvw-3XU4nQPV1MIu_A&oe=69312BBA;Salar Belediye Başkanı Halil Aygün ile görüş alışverişinde bulunduk.;;0
