PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DQ1Ls5aCPBq/;Reels;287422;4395;4361742;2025-11-09 12:46:04;https://scontent.cdninstagram.com/v/t51.82787-15/575306900_18394572454133079_4313885532651118677_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc2MTk2NDUyNzU0NjU5MzM4NjE4Mzk0NTcyNDQ4MTMzMDc5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjYwMHgxMDY2LnNkci5DMyJ9&_nc_ohc=J-il61DwO1gQ7kNvwEE0HZz&_nc_oc=AdnNHWyojwfkPhnzdL3xHpMtWbPryd3bOotKke2QnTTnNMqXyr9lBKYFpxhWMwBg3b8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfjUsFsD8lEdVevDYaMNT0XmVgLJQRCcu65RZhPByvlrDA&oe=693105C0;Köklü bir çınar… Sarsılmaz bir yürek… 🇹🇷  95 yaşındaki Hilmiye teyzemiz, Atatürk sevgisini yıllara inat yüreğinde sapasağlam taşıyor.  Andımızı okurken gözlerindeki ışık, Cumhuriyet’in hiç sönmeyen ateşi gibi… Bir asırlık ömründe hâlâ ilk günkü heyecan, ilk günkü gurur var.  Hilmiye teyzemiz bize bir kez daha hatırlatıyor: Cumhuriyet, yürekten bağlı olanlarla yaşayan bir büyük emanet. ❤️🇹🇷;123448.0;0
https://www.instagram.com/p/DRpZhEDiF0T/;Reels;208;1;14793;2025-11-29 19:23:50;https://scontent.cdninstagram.com/v/t51.82787-15/586712535_18397269793133079_8285615489986552035_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NjY2MTk4NTc4NjYxNzEwNzE4Mzk3MjY5Nzg3MTMzMDc5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjYwMngxMDY2LnNkci5DMyJ9&_nc_ohc=1B-GW9C5IfoQ7kNvwGzpIci&_nc_oc=AdkYKd6HEH5NP6vDFN-Bn-tJCDqS2OsEC_6a8VvpLbz-0OcVgjQPQODluGwvaXXZsDc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfgjYS-Ztt_otxO9oqnT5w8Kqnsy6XCpX9avzLcC622FGQ&oe=6930FD8C;Denizli Kitap Fuarımız Sizleri Bekliyor!  Şehrimizi bir kültür ve sanat merkezi haline getirme vizyonumuz doğrultusunda hayata geçirdiğimiz 8. Denizli Kitap Fuarı, birbirinden değerli yazarlarımızın imza günleri ve söyleşileriyle zenginleşen dolu dolu bir programla kapılarını açtı.   Edebiyatın birleştirici gücünü hissetmek, yazarlarla buluşmak ve kitapların büyülü dünyasında keyifli bir yolculuğa çıkmak için sizleri bu güzel atmosferi birlikte yaşamaya davet ediyoruz.  Ayrıntılı bilgi için: denizlikitapfuari.com;;1
https://www.instagram.com/p/DRpKvI3iMaO/;Carousel;1040;5;0;2025-11-29 17:11:04;https://scontent.cdninstagram.com/v/t51.82787-15/587393969_18397255720133079_5714774071981374564_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NjU5Njk2MDY4NjM4ODM3NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjZ4NzExLnNkci5DMyJ9&_nc_ohc=DcUIR4SIc6oQ7kNvwENtb4h&_nc_oc=AdmNIL6xEYF6wHooTZfjeDrLG6Z4xIL2xB3ol5gXPPX3vmDdnvQtM1DVXttonTTUAkg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfhXiBnnm2y0z-l9lF9t3iHR3YfMUjYLKdhGewWORF0z6w&oe=69310CEA;Genel Başkanımız Özgür Özel, Ankara Spor Salonu’nda düzenlediğimiz 39. Olağan “Şimdi İktidar Zamanı” Kurultayımızın ikinci gününde bizlere ve tüm Türkiye’ye seslendi. Aynı salonda, yine omuz omuza ve her zamanki gibi dimdik ayaktayız.  Yorulmadık, yılmadık, hiçbir zaman teslim olmadık. Birlikte yürüdüğümüz bu yolda kararlılığımızı, inancımızı ve değişim irademizi daha da güçlendirerek devam ediyoruz.;;1
https://www.instagram.com/p/DRoo2SUCK6o/;Reels;23296;112;153223;2025-11-29 12:16:00;https://scontent.cdninstagram.com/v/t51.82787-15/586875925_18397231702133079_3300449730508756682_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NjQ0NzkzOTkyNTgxNDk1MjE4Mzk3MjMxNjk5MTMzMDc5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE5MjR4MzQxNC5zZHIuQzMifQ%3D%3D&_nc_ohc=Jts_jJRHyfoQ7kNvwE__eZI&_nc_oc=AdlJQRVRNJ9ZPEkjGN7K6WUJT2g9L2zitJaQvW9k8CK_ZpXfvWk6_MwyV1PbvRnWvm4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfiD0rZ55jO1hyCRvy65W3W3Qp7Qb1HsNXLH0QZmUnUleQ&oe=6931132A;Yapabileceğimiz her isteğiniz başımızın üstüne ❤️😊;;1
https://www.instagram.com/p/DRmXeCwCMVb/;Carousel;1664;8;0;2025-11-28 15:04:37;https://scontent.cdninstagram.com/v/t51.82787-15/586718064_18397137553133079_3280709951306045102_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NTgwODU0MjEzODIwNTY0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=QV1G2GCY-6kQ7kNvwEPB0zT&_nc_oc=AdmTfaJ7nn36IHe71cjeMtK55vjW_4h6QAAzi3KumLllA2PuXLblXQuAGpt0nbUwvFM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_Afj3AKbM7erCkeYlDE8Kc4KQJaqM2WJ9O8eW6M9nolr7RA&oe=69311C98;"Denizli Kitap Fuarımız kapılarını açtı!  Şehrimizi kültür ve sanat merkezi haline getirme vizyonumuz doğrultusunda düzenlediğimiz 8. Denizli Kitap Fuarımızı vatandaşlarımızla buluşturmanın sevincini yaşıyoruz.  28 Kasım – 7 Aralık 2025 tarihleri arasında Denizli Büyükşehir Belediyesi Kongre ve Kültür Merkezi (EGS) Fuar Alanı’nda devam edecek fuarımızda; 200 yayınevi ve yüzlerce yazar okurlarıyla bir araya geliyor.   Bu yılın onur konuğu Tuna Kiremitçi, ayrıca Denizlili yazarlarımız da kendi şehirlerinde okurlarıyla buluşarak fuarımıza ayrı bir değer katıyor.   İmza günleri, paneller ve söyleşilerle dolu, her yaştan kitapsever için özenle hazırlanan zengin programımızla, sanatın ve edebiyatın kalbinin bu yıl da Denizli’de atmasından gurur duyuyoruz.";;1
https://www.instagram.com/p/DRmQifViG_v/;Carousel;416;2;0;2025-11-28 14:04:03;https://scontent.cdninstagram.com/v/t51.82787-15/589585220_18397132045133079_3553849606769800093_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc3ODA1ODc4Mzk1ODUxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=2QaIu4meR_4Q7kNvwEgcm7m&_nc_oc=AdnMj4XqnMq3qM4cepDY_XyH18u0JrZL4lI94nxaOUbYkQsFxu6GnP9wyYCuYt-XyZE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfgrB8nx0YDa3oZviG0MetXvtWfN3wt0f6ZZtg5SwYELYA&oe=69310FA8;Denizli’de hayata geçirdiğimiz Toplu Taşıma Akıllanıyor Projesi kapsamında tüm faaliyetlerimizi başarıyla tamamladık.  Bu çerçevede, proje sonuçlarının paylaşılması ve elde edilen kazanımların değerlendirilmesi amacıyla Proje Kapanış Etkinliğimizi gerçekleştirdik.  Projemizle ortaya çıkan çıktıların paylaşımı, sürdürülebilir ulaşım alanındaki ulusal ve uluslararası uygulamaların değerlendirilmesi ve bu birikimin Denizli’nin ulaştırma sistemine aktarılması için çalışmalarımıza kararlılıkla devam edeceğiz.  Denizli’nin daha modern, erişilebilir ve yenilikçi bir ulaşım altyapısına kavuşması için tüm paydaşlarımızla birlikte aynı hassasiyet ve iş birliğiyle çalışmayı sürdüreceğiz.;;1
https://www.instagram.com/p/DRlzzYZCA0K/;Photo;208;1;0;2025-11-28 09:52:57;https://scontent.cdninstagram.com/v/t51.82787-15/586697251_18397115272133079_2708382924260719701_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTY1MTY5Mzg3NTE3MDU3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=MZVikecFeXIQ7kNvwGAQO0o&_nc_oc=AdmgXu1xL0Ntiqy0-nLb131cn0AeyEr_XDxE53S9M0OfEsX2t198i2v-efx-vtTLopU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfgaVD_Zfm1P7iuErgLM9ZIN0hmR24l5vtC8TpFVmQzdrQ&oe=69312DC3;Denizli Büyükşehir Belediyesi Şehir Tiyatrosu, Polonyalı yazar Slavomir Mrozek’in dönemin ruhunu güçlü biçimde yansıtan “Sığıntılar” adlı oyunu ile tiyatroseverleri yeniden buluşturuyor.  📅 29 Kasım Cumartesi 🕣 Saat: 20.30 📍 Denizli Büyükşehir Belediyesi Kongre ve Kültür Merkezi – Fatma Yıldız Salonu  Sanatı herkes için erişilebilir kılma hedefimizle, tüm hemşehrilerimizi bu özel tiyatro akşamına davet ediyoruz.;;1
https://www.instagram.com/p/DRklwUZiKsq/;Carousel;416;2;0;2025-11-27 22:30:58;https://scontent.cdninstagram.com/v/t51.82787-15/587506105_18397071247133079_1858170449735077230_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTMwODQwODMxMjg0OTIyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjZ4NzExLnNkci5DMyJ9&_nc_ohc=zeeyQSLPl1sQ7kNvwGeYrMp&_nc_oc=Adnj1Jwg-JaG5b4EaS9D6aRjCGWcV-O2xaioAvHMlRTHiwJPAJKRsJc9RZzggwJbSAY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfiJPQ4pHX2rGKTw1F9q1Kt3r8LtyvAgZlYvEYvjZHDj1Q&oe=69310A99;Tasarımın, inovasyonun ve sürdürülebilirliğin konuşulduğu DENİB Design 4. Ev ve Banyo Tekstili Tasarım Yarışması ödül törenine katıldık.  Kentimizin üretim gücünü, genç tasarımcılarımızın yaratıcılığını ve sektörün geleceğine yön veren yenilikçi bakış açısını bir araya getiren bu değerli organizasyonda emeği geçen herkese teşekkür ediyorum. Denizli’nin tasarım ve ihracat alanındaki vizyonunu daha da ileriye taşımak için birlikte çalışmaya devam edeceğiz.;;1
https://www.instagram.com/p/DRkbRc2iL5v/;Reels;4576;22;52311;2025-11-27 21:02:31;https://scontent.cdninstagram.com/v/t51.71878-15/587811976_2582124815492919_2477808429148234903_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTI2MjMzNDEwOTkyNDk3NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=cjZx45paAskQ7kNvwGFBfM2&_nc_oc=AdlqjkiUtscek1FNsAGezrb3U2QuqMuR1lxOR_7ppDwqzCDvKzCy3nVaTAxN4YhJVf8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_AfjFhstkrP6fyhmGsQzNr0RTOYASd7aZy2rbeXQbSoGFyg&oe=6930FC57;📍 Kınıklı Mahallesi  Kınıklı’nın yollarını adım adım yeniliyoruz. 600 metrelik güzergâhta, konforu artıracak 3 bin ton asfalt seriyoruz.  Mahallemiz daha güvenli, daha modern bir görünüme kavuşuyor. Her gün, her sokakta Denizli için çalışmaya devam ediyoruz.;;1
https://www.instagram.com/p/DRkXcwaCID3/;Photo;8320;40;0;2025-11-27 20:25:57;https://scontent.cdninstagram.com/v/t51.82787-15/586656646_18397060693133079_2780126481748425254_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTI0NTUxODgzNDc5NDc0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=glHLAiGMmXEQ7kNvwFHveTM&_nc_oc=AdmDbiK_IsPwevGCZnZY1QH1HJ9oYOK62anNgN-FwHlfo-_FQRqhUrOvfUrC879SKos&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=PUmioND9FJOLwsc8hMgwDA&oh=00_Afg8YvKS2tRk0ZQ6EEaPtQeevFT9Gv9RJ5svVE7Zw8BnYw&oe=69312CA0;ÜCRETSİZ HPV AŞISI BAŞVURULARI BAŞLADI! 📢 Ekonomik sıkıntılar nedeniyle sağlık hizmetlerine erişmekte zorlanan ailelerimizi destekliyor, kanserle mücadeleye güçlü bir katkı sunuyoruz.  İhtiyaç sahibi vatandaşlarımız için çağımızın amansız hastalığına karşı ücretsiz HPV aşısı destek projemize müracaatlar başladı.  🔗 Başvuru ve Detaylı Bilgi: https://apps.denizli.bel.tr/hpvasisidestegi/  https://denizli.bel.tr/basvurular 🗓️ Son Başvuru Tarihi: 31 Aralık 2025;;1
