PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpQoYMjPBd/;Photo;328;7;0;2025-11-29 18:02:35;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/588142255_18411009895136412_4503632232521196877_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NjYyMjkwNjAzMDQ4NTU5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMiJ9&_nc_ohc=bF4IClaZOGcQ7kNvwFZggh8&_nc_oc=AdliH7tzhHeVGJHvPDNnFEPqR1vUtKsPi2aiSEZ4Niwfa4NNL5HFeeAeivBCvs_iF-K9r3qzSzNEuslMxGiA6NMw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_Afj0slzcPoOznlgj0zAh9PcfOlQVtWrN10M1aeEzqd7XLA&oe=69312004;"Partimizin 39. Olağan Kurultayı’nda, örgütümüzün ve delegelerimizin takdiriyle yeniden Genel Başkan seçilen Sayın Özgür Özel’i yürekten kutluyorum.  Bugün Ankara’da kazanan sadece bir isim değil; demokrasiye, değişime ve iktidara olan sarsılmaz inancımız olmuştur. Genel Başkanımızın önderliğinde, Tekirdağ’dan yaktığımız meşaleyle Türkiye’yi aydınlatmaya, halkın iktidarını kurmaya ant içtik.  Yolumuz açık, başarımız daim olsun.  @eczozgurozel  #şimdii̇ktidarzamanı";133979.0;0
https://www.instagram.com/p/DRpIbMrDH1q/;Carousel;1202;12;0;2025-11-29 16:50:52;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/589876862_18411002977136412_6643504151423827990_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NjU4NjgwNzA5ODc4NjQwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=vCMNhDbJnXgQ7kNvwFw7OQC&_nc_oc=Adk7juNOJUtQNKaWC5HWYkHSrGG_aV2SjaWpu_0IXIrsG3OvOvby9HpSqapfqyt-cgFUNohubHdsoEJh70fCPfqu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_Afiw0AeIvMkQoBOQvjukiMx0-NZf5-Yl_r3uIrHUOnNMlg&oe=69313451;"Baba ocağımızda, demokrasinin ve özgürlüğün kalesi Cumhuriyet Halk Partimizde, 39. Olağan Kurultayımız için oyumuzu kullandık.  Bu imza; sadece bir tercih değil, aydınlık yarınlara, hukukun üstünlüğüne ve eşit bir Türkiye hayaline olan inancımızın mührüdür. Tekirdağ’ımızın değişim iradesini, mavi gözlü kentimizin umudunu sandığa yansıttık.  Partimize, ülkemize ve milletimize hayırlı, uğurlu olsun.  #şimdii̇ktidarzamanı";;0
https://www.instagram.com/p/DRoigNmjfon/;Carousel;671;9;0;2025-11-29 11:19:31;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/589551822_18410978275136412_5264010555428443739_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjQyMDAxMzEzNDQwMzYzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjZ4NzExLnNkci5DMyJ9&_nc_ohc=ekTwzd_W0xMQ7kNvwFis-Uw&_nc_oc=AdnItpk5sSlVATePgKbh4xLJytixPmkg9RPAnHaUAscYO5xce2LAP3OEBa0zuNJAbyOFJwr0EPflR9BN7nKS5f2e&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfhflFqWgA8bUaroOJHdk8lUVwEwbSsoGsNLCdxJjkagkQ&oe=69310A5D;"Demokrasinin ve değişimin kalesi Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nın ikinci gününde, Genel Başkanımız Sayın Özgür Özel’in liderliğinde yepyeni bir yola çıkmanın coşkusunu ve gururunu yaşıyoruz.  Bugün Ankara’da, Tekirdağ’ın mavi gözlü çocuklarının selamını, umudunu ve kararlılığını tüm Türkiye ile paylaştık. Birlik ve beraberlik içinde, Genel Başkanımızın öncülüğünde; laik, demokratik ve tam bağımsız Türkiye hedefine omuz omuza yürüyeceğiz. Rotamız net, şimdi iktidar zamanı!  #şimdii̇ktidarzamanı #chp";;0
https://www.instagram.com/p/DRmimhXjA_T/;Carousel;593;7;0;2025-11-28 16:41:53;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/588573575_18410894683136412_5936316003985029526_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTg1NzUxNDc0ODA3NzE4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=JzjPbXE9_7YQ7kNvwG9k1TU&_nc_oc=AdlgIlb3DE6zYHPauKl2YI0RSbbQpcgVrnbWKH0sRxhjglyJlWNjBkh-iWAZXlMXIHWX8iND9sLDsh6wAmiaFW3k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfiifTjJwgOwJuEG6UDe-0wRc029MUTAQIdHiyKx1366Jw&oe=69312BB0;Tekirdağ’ımız için her kapıyı çalmaya, her fırsatta şehrimizin ihtiyaçlarını anlatmaya devam ediyoruz.  Bugün Tekirdağ Milletvekilimiz Sn. Dr. İlhami Özcan Aygun ile birlikte, İller Bankası Genel Müdür Vekili Sayın Eyyüp Karahan’ı ziyaret ettik. Mevcut yatırımlarımızı ve yeni proje taleplerimizi değerlendirdik.  Amacımız net: Mavi gözlü, güzel kentimizin hak ettiği hizmetleri bir an önce hayata geçirmek. Bu doğrultuda çalışmaya ve ilgili kurumlarla temaslarımızı sürdürmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRmF-VXjO4L/;Carousel;687;9;0;2025-11-28 12:31:44;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/587943029_18410873572136412_1679687255452940304_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTczMTYwMDc2ODk1MTUwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYxLnNkci5DMyJ9&_nc_ohc=DJS4BuRUz9EQ7kNvwH_26TK&_nc_oc=AdngKfnmhO7HI8IFGj9a8RlNhFghj0O22eVDMML_puFgPCud2mwP3gGUHnzRnSoI3h9EqvS_yQ7Az_xgxVhDbCG7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfgivzWTHl-rfGhNmcFtqQsfU3lqvm4bP0UVBs1F6U6mqg&oe=69310B0C;"Cumhuriyetimizin ikinci yüzyılında, partimizin 39. Olağan Kurultayı’nı, Genel Başkanımız Sayın Özgür Özel’in önderliğinde, tarihi bir sorumluluk ve sarsılmaz bir inançla gerçekleştiriyoruz. Bugün bu salondaki irade; sadece bir değişimin değil, Türkiye’nin aydınlık geleceğini yeniden inşa etme kararlılığının sesidir. Bizim yolumuz; gençlerin hayal kurabildiği, kadınların korkusuzca yaşadığı, hukukun üstün olduğu ve emeğin hakkını aldığı bir Türkiye yoludur. Umutluyuz, kararlıyız ve hazırız. Halkın iktidarını kurana kadar durmak yok!  #şimdiiktidarzamanı #chp";;0
https://www.instagram.com/p/DRkbIK0DbJX/;Reels;602;14;47890;2025-11-27 20:58:45;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/588862707_18536881291053817_6157148973342652768_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NTI2MTY5NjI2NTY2MzA2MzE4NTM2ODgxMjg4MDUzODE3.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg5MDAuc2RyLkMzIn0%3D&_nc_ohc=14NFk-Oo7nwQ7kNvwE9eqRC&_nc_oc=Adn0OuogPU-8ooO_smUDFHSCXshhfhtk7Z5D0NygNeDGKZIWTjZJHq2T0UJ_ATbpqBEaqwFFZrMUlKTIhKnD-z5E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AficuRuRI-gY-nly4n33Y3kZVs95PiklKVDlNxu86NgncQ&oe=69312586;İtfaiye Teşkilatımız Afet Eğitimleriyle Güçleniyor! 🚒  Tekirdağ Büyükşehir Belediyesi İtfaiye Daire Başkanlığımıza yeni katılan 40 itfaiye personelimize, deprem ve enkaz altı arama-kurtarma konularında kapsamlı eğitimler veriyoruz. 🧑🏼‍🚒;;0
https://www.instagram.com/p/DRhjHgwCAi9/;Reels;516;42;46306;2025-11-26 18:10:42;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/587730280_1505613900713553_5658419313522153939_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NDQ1MjQxMDU0Mjk4MzM1Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=ncoVRjIk8AgQ7kNvwGg69RI&_nc_oc=AdkacfLRaOxKqKI2tr_2b9kiwKLBdKePm2HlOUj0Mh0vODLcx4ijwRcOAZTxSFxkYZKFwtsCnEAClL9Zp3UYlVfm&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfhJHgvLimEghl9BRsPQiSMJ6E8NzhB4j6QOudaKMvDkmQ&oe=693112D0;🚧 Ergene’de Ulaşım Konforu Büyükşehir’le Artıyor  Misinli-İğneler Yolu’nda gerçekleştirdiğimiz iyileştirme çalışmalarımızla hemşehrilerimize konforlu ve rahat bir ulaşım sunuyoruz.  Tekirdağ’ımızın dört bir yanında güvenli, modern ve rahat ulaşım için sahada olmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRfFd_QjENd/;Carousel;1159;11;0;2025-11-25 19:12:38;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/587936326_18410595406136412_1150056923425659579_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3Mzc1OTA0NTcwMzA3NTQ3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=oby3_2DtSI8Q7kNvwGSAF6O&_nc_oc=AdnEIipuT5ENnf4PH8_H3xWbRTNjbUkEBPamIL_QHX3iWpPc2HeBlupP8uONM0u9hC4IdHBnvKfGq6DuWXoE-sy2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfiWgjsv9Uinut5jUw5L9EUqHSvPgYQxFtzpViIMLUO40A&oe=69310ED6;Kadına Yönelik Şiddete Karşı Tekirdağ Kadın Dayanışma Platformu tarafından düzenlenen yürüyüşte, yakınlarını şiddet nedeniyle kaybeden ailelerle birlikte omuz omuza yürüdük.  Sessizliğin bile büyük bir haykırışa dönüştüğü bu yürüyüş, kadına şiddetle mücadelemizin güçlü bir ifadesiydi.  Şiddete uğrayan tüm kadınların sesi olmaktan asla vazgeçmeyeceğiz!;;0
https://www.instagram.com/p/DRe270TDPko/;Carousel;740;5;0;2025-11-25 17:05:38;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/589064721_18410583289136412_3566194927229001948_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3MzY5NTEzODQ2MDM1NjQ5OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=-5I8eZwCAk4Q7kNvwF-N76m&_nc_oc=AdlOyYX6VZg5-Sn4yhBH0RG4-U0aQid3LevpfxiwfHmkNfyCczKoxGXm-lRKcV8zF1p2DkXxhCuT4kR8KEL9gDJs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_Afgqhl34VgoLQGEj0m3iGGPnZXEWcZTzNiP8aPrL5HlCyQ&oe=693122C9;Alpullu Belediye Başkanı Sayın Orhan Saltık ve Alpullu Belediyesi Meclis Üyesi Sayın Sait Esmer’i belediyemizde ağırladık.  Nazik ziyaretleri için kendilerine teşekkür ediyorum.;;0
https://www.instagram.com/p/DRer1NoiFCs/;Reels;423;1;29706;2025-11-25 15:29:27;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/588243261_1329062448534023_6379576179495356955_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MzY0NjMxMDU1Mzk2NDcxNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=agWpQ1CZrjEQ7kNvwFL7kof&_nc_oc=AdlbbtBTUDYL8hltkyE-Nr9XzfLXCVzCne64vAyooZudiebHOMCyrG53oXl8dyxhLR65UlxeuloayA8eUI06KVcM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=Z1c6dqAhj1r-0ZriQ5zC0w&oh=00_AfgVtY2h5gsJnK3Nhtf3l-wHhA4aQF_xM5dZqaB6fh_1eg&oe=69312A2F;Çerkezköy Kadın Danışma Merkezimizde, kadınlarımız el emeği atölyelerimizle hem üretiyor hem de sosyalleşmenin keyfini yaşıyor. ✨  Atölyelerle eş zamanlı olarak çocuk etkinliklerimiz düzenleniyor. Böylece kadınlarımız üretirken, çocuklarımız da güvenli bir ortamda oyunla, etkinliklerle ve eğlenceyle vakit geçiriyor.  Kadınlarımızın güçlendiği, çocuklarımızın mutlu olduğu bu dayanışma alanına tüm hemşehrilerimizi bekliyoruz. ❤️;;0
