PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpTCkpiNbH/;Carousel;2449;97;0;2025-11-29 18:23:38;https://scontent.cdninstagram.com/v/t51.82787-15/587818199_18272750386303491_6528662650330065611_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=1&ig_cache_key=Mzc3NjYzMzQ4OTEwNjQ0NzIyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjZ4NzExLnNkci5DMyJ9&_nc_ohc=MtbfUqV5x44Q7kNvwGxzKgX&_nc_oc=AdmhKTnjP9bxBnWarBxD5JC9ecJDd3y61qrcxjdU6Vnn1x232OPgHOrQUyrp-yJHurp_FBnnaV-lFp68teV7K9Hs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_Afjks14XoyIPq4DlDO6k4-6SnylQt5JP6jfMDc_8WMipWA&oe=69313034;"Cumhuriyet Halk Partisi’mizin 39. Olağan Kurultayı’nda yeniden Genel Başkan seçilen Sayın Özgür Özel’i tebrik ediyorum.  Bugün verilen kararlı mesajlar; örgütümüzün değişime olan inancını, toplumun beklentilerine yanıt verme sorumluluğumuzu, Türkiye’nin demokrasi ve adalet mücadelesinde üstlendiğimiz tarihi rolü bir kez daha ortaya koydu.  Ülkemizi hak ettiği refah düzeyine kavuşturma mücadelesinde CHP kadrolarının tamamı büyük bir özveriyle çalışacak. Biz de İzmir olarak; bu büyük yürüyüşün en güçlü parçalarından biri olmaya devam edeceğiz";226757.0;0
https://www.instagram.com/p/DRm38izCIYY/;Reels;4032;108;222674;2025-11-28 19:48:50;https://scontent.cdninstagram.com/v/t51.82787-15/587385974_18272660743303491_9212839182451161021_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NTk1MTM5MDY4Njg3MzExMjE4MjcyNjYwNzM3MzAzNDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=I6jlFpZPkEwQ7kNvwEO-kIU&_nc_oc=Admj2BAfu8rcHzACxTHd8dldxHxV7Jq1L2ZhT4zF8f60gP61oAVM7mDYscuGgg20wDaTyg5NSV63r1A49KHjjUkr&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfiYXun_53VHBME69fyuErPtyZuXX4D-3l88kv_g-VBoSA&oe=693100CD;📍Ballıkuyu  Bölgemizde yurttaşlarımızın uzun zamandır sorun yaşadığı yolları baştan sona yeniledik, yeni yeşil alanları oluşturduk ve söz verdiğimiz parkı ise çocuklarımızla buluşturduk. ✅;;0
https://www.instagram.com/p/DRj4kKcCJEt/;Carousel;1190;89;0;2025-11-27 15:56:05;https://scontent.cdninstagram.com/v/t51.82787-15/584804620_18272546728303491_8081396362294840400_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTEwOTY3NjE0MTE1NzQzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=qgVz61VOsKwQ7kNvwEx6aI_&_nc_oc=Adl-malY0GVQJiil1-2zaFSqrXjuZ2uptvHqPXJ7fUkqNTP3ZHlwTaiIOjL427Ske0JQx_JGHq92lHXJdiKS2ffc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfigYFd3wumoh2lwZfwpzOntAzIzsBZJO1uQGgmkyMDWhg&oe=69313124;Bugün 15’inci İZMAR şubemizi Konak Gültepe’de yurttaşlarımızın hizmetine açtık. ✅  Tanzim satış ruhuyla yurttaşlarımızı aracısız, sağlıklı, güvenli ve hesaplı ürünlerle buluşturduğumuz İZMAR şubelerimizin sayısını artırmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRhljOMiP6L/;Reels;2664;107;151325;2025-11-26 18:32:42;https://scontent.cdninstagram.com/v/t51.82787-15/584401769_18272475850303491_1342579197616599504_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NDQ2MzExMDg1ODQ3MzA5OTE4MjcyNDc1ODQ3MzAzNDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=cVANysmQj-QQ7kNvwFfLvxb&_nc_oc=AdmWLDrNdKoikygZMN7fox7NkJ4_Z0LBaMCEXbVv5yj0yEIrUTD_gYz1zhaCX9OePgjSODIRzTnaV2n79ivZCAu_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfjjkKwwyORY3D1MH0ScOADnTneeigWauYeOxJ4Ldqo2KA&oe=69312FFB;📍Beydağ  Küçük Menderes Havzamızın zengin toprakları bölgedeki yurttaşlarımız için çok önemli bir geçim kaynağı. Gençlerimiz yaşadıkları yerleri terk etmesin, üreticilerimizin emeği en iyi şekilde değerlensin istiyoruz. Bu yüzden bölgedeki üreticilerimize var gücümüzle destek olmayı sürdüreceğiz.;;0
https://www.instagram.com/p/DRg9siECG2o/;Carousel;3779;48;0;2025-11-26 12:43:12;https://scontent.cdninstagram.com/v/t51.82787-15/587496258_18272437945303491_7956278564656749979_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NDI4NzgwOTcxMzA0NDY3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=CzSQRb-5sdoQ7kNvwF7gFct&_nc_oc=Adkz7SR1JKM-Lq6ywPssfEmZRsYxCTAI2BSD_s76Bngj6LLrekWcndhG_E2VmppjGRTyqFQrgdFX5bxwZWBQXD2U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_Afi486v_AVAuhbHu9iMvR9DCMDAa_6yBodslrlHechJ8fQ&oe=69310D28;"İtfaiye Teşkilatımıza güç verecek yeni çalışma arkadaşlarımız yemin töreninin ardından görevlerine başladılar.  İtfaiyecilik; cesaret, sabır, fedakârlık ve umudun mesleğidir. Gecenin bir yarısı sirenle uyanmayı, alevlerin içine koşmayı, risk almayı, insan hayatını kurtarmayı gerektirir.  İtfaiye Teşkilatımıza katılan yeni mesai arkadaşlarımızın şehrimize, yurttaşlarımıza layık şekilde görevlerini gerçekleştireceklerine yürekten inanıyorum. Diliyorum canımızı yakan olaylar hiç yaşanmasın. Her birinizi gönülden tebrik ediyor, başarılarınızın devamını diliyorum.";;0
https://www.instagram.com/p/DRevTsFiBd8/;Reels;8425;180;190278;2025-11-25 16:00:38;https://scontent.cdninstagram.com/v/t51.71878-15/588077089_869792958917302_3954995998098998792_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3MzY2MTU5ODk3NjU3OTQ1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=IsfvOJcjvhoQ7kNvwHjR2EN&_nc_oc=Adlt4_ug4QQxC3iv6BF_AYTMN3TBBdA8z0bZ5QKoAgTMfdTTRmS5pEZuHaVkkAm0d2HIGhM9N9znlvs36xqGMSpn&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_Afg7qEFv0LSQycLuUETx7G3DlxR7SUEnEAgkuVFMdFSRkA&oe=6931063E;Urla ilçemizin ana arterlerinde sürdürdüğümüz kapsamlı asfaltlama çalışmamızı tamamlayarak yollarımızı çok daha güvenli ve konforlu hâle getirdik.  Şehrimizin her ilçesinde asfalt ve yol yapım çalışmalarımıza hız kesmeden devam ediyoruz.;;0
https://www.instagram.com/p/DReUqhUCLb7/;Carousel;9231;87;0;2025-11-25 12:06:11;https://scontent.cdninstagram.com/v/t51.82787-15/586920935_18272339275303491_7619637299517918521_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MzU0NDQwMDgyODI4NTYzNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=6AHaRkyGQFcQ7kNvwHvc38B&_nc_oc=Adn55VKSJ7jaRD1u9RTcz_tY572L1dcuEHQhnbRtKQOG5HAwOusH0uoxsesd8XHR4Gx8y28eecjb8zoJT6agACx1&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfhE23M_c8iuc2Ve9BMnYMte4hrAVYau23M3NZCnVA_4hQ&oe=6930F9AD;“Bu koltuk, aramızdan alınan bir kadının hatırasına ayrıldı”, “Kadına şiddet bitene kadar, hiçbirimiz koltuğumuzda rahat oturamayız”   Bugün 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü.  Ülkemizde kadına şiddet ve kadın cinayetleri her geçen gün artıyor. Biz de bu duruma dikkat çekmek için bugün toplu taşıma araçlarımızda birer koltuğu boş bırakarak bir farkındalık yaratmak istedik.  Her zaman, her koşulda kadınların yanında olacağız. Eşit ve özgür bir toplum kurmak için hep birlikte daima mücadeleye devam edeceğiz.;;0
https://www.instagram.com/p/DRdAmJKiNep/;Carousel;2561;34;0;2025-11-24 23:51:35;https://scontent.cdninstagram.com/v/t51.82787-15/587269283_18272294347303491_778545417161258200_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzE3NDY2NjYxNDAzMTk4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1OHg2Mzguc2RyLkMzIn0%3D&_nc_ohc=Q4A9Yw8rScwQ7kNvwHxFaWk&_nc_oc=AdmqChnt2eL8yG6pmJBV9ljnd69FpqQO8V3ngIYU8-oQ6q69F7eWuDmcyWWxk0HtrEHzMeByCD5vALy06FydbenE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfgFOp189hkXRuXXifsDnbVM_i5A6yw6Bd4xj-u4YE53zQ&oe=693123B4;Bugün Kasım ayı 5. Olağan Meclis birleşimimizi gerçekleştirdik. 2026 Mali Yılı Bütçemiz Belediye Meclisi’nde kabul edildi. Her zaman olduğu gibi önceliğimiz, yurttaşlarımızın ihtiyaçları ve şehrimizin geleceği olacaktır. Bütçemiz İzmir’imize hayırlı olsun.;;0
https://www.instagram.com/p/DRcI2bQiHmF/;Reels;13564;308;326767;2025-11-24 15:45:00;https://scontent.cdninstagram.com/v/t51.82787-15/574203216_18272263705303491_7838172476769516228_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3MjkyOTUxMjMyMTg3NDMwOTE4MjcyMjYzNzAyMzAzNDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=i5EkKqS4_mkQ7kNvwFZAIN2&_nc_oc=AdnfR2XS3U4v0nKnwGlpwO2sILa1KmCZpz2BiaRRfaRQccAfyXmdvWXtXZhdYHAL_wrLA6XI9sB4hyWk0_BjIY2K&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfiKhQzLc2U3UZ9_Mzgl9Einz45TU9ZIzYfP9YbjCkdAaQ&oe=69311DDA;"Bugün 24 Kasım Öğretmenler Günü... Ben de bu vesileyle İzmir İnönü Lisesi’nden kimya öğretmenim, kıymetli hocam Demir Türkay’ı ziyaret ettim.  Değerli öğretmenlerimiz; hiçbir çiçek, hiçbir hediye hakkınızı ödeyemez. Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü en içten dileklerimle kutluyorum.";;0
https://www.instagram.com/p/DRaUpnCiMNK/;Reels;8163;188;226621;2025-11-23 22:51:32;https://scontent.cdninstagram.com/v/t51.71878-15/586688294_1275569411261595_5871261793236202634_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3MjQxODQ1ODIyMzQyODQyNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=wIacxWWQvUgQ7kNvwFYDCY-&_nc_oc=Adn9wtOS9IPlZeKecdcMxpwn8VtqGWyqXIIwGbcBlMCJvCdW82jNUjTGngwvyC0UTgp_D14eHeken5HA0MBJmPh6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=nCUMVdbkvaTe-GKIp3X0HQ&oh=00_AfhOdYLiP3oqbodxvbIskrer-do1pck4TQmEih_GdGU-gw&oe=693101F7;Görüntüler bugün İzmir Körfezi’nden.   Sürecin en başından beri anlatmaya çalıştığımız tablonun yeni ve çok somut bir örneğine daha tanıklık ettik.  İzmir Körfezi’ni kirletenlere karşı tek başımıza verdiğimiz mücadele, diğer kurumlar aynı sorumluluğu üstlenmediği sürece ne yazık ki yeterli olmayacaktır.  Liman, tersane, sanayi kuruluşları gibi kirleticilere karşı sorumlu kurumlar önlem almak zorundalar. Körfeze atık bırakan gemiler en ağır şekilde cezalandırılmalıdır.;;0
