PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRmi3HGDEtf/;Photo;221;1;0;2025-11-28 16:44:09;https://scontent.cdninstagram.com/v/t51.82787-15/589097568_18541861369020172_5186466945205634818_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NTg1ODY1ODM2Njk5OTM5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=Ry6knxZpqJAQ7kNvwEXT2-y&_nc_oc=Adn3zS-YjWxgvYSNU46aX2T8_-co8Lobdl5KuKdYpY1QLDMLaMeiGqBNQPwp7KpzZuk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_Afiri2t5bTZ2_gj_etaH_wIvLUe2o530EDIxlSMNA6_AFA&oe=69310D0E;Tokyo’da düzenlenen 2025 İşitme Engelliler Yaz Olimpiyatları’nda (Deaflympics) 110 metre engellide altın madalya kazanıp olimpiyat şampiyonu olan ve bizlere büyük bir gurur yaşatan hemşehrimiz Yasin Süzen’i yürekten kutluyorum.  Tebrikler Yasin Süzen. Gururumuzsun! 🥇🧿;35739.0;0
https://www.instagram.com/p/DRkbr-VjMnH/;Carousel;751;1;0;2025-11-27 21:02:59;https://scontent.cdninstagram.com/v/t51.82787-15/589127178_18541744282020172_8515467079066699002_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTI2NDE0NzE5ODcxNzQ1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTEwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=3zck0X4k5EgQ7kNvwFUHZtq&_nc_oc=AdlK49eee5Z2Zi2rMSg_Nkb-axENWzxIvE0JE5hTrugGCn8vK342MWhx_72JhSVzgKc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_Afjaj1Dk-FQODuz5sVHQKad8SbPQo-QnR7skzpBxTdg2jw&oe=69312E96;"Gaziantep’e kazandırdığı vizyoner projeler ve yerel yönetimde ortaya koyduğu başarılı çalışmalarıyla ülkemize ilham veren Gaziantep Büyükşehir Belediye Başkanımız Sayın Fatma Şahin’i makamında ziyaret ettik.  Yerel yönetimlerde iş birliğini, dayanışmayı ve tecrübe paylaşımını çok kıymetli buluyor; bu anlayışın şehirlerimizin geleceğine güç katacağına yürekten inanıyorum.  Bu doğrultuda gerçekleştirdiğimiz ziyarette, Sayın Bakanımızın tecrübelerinden ve vizyoner kişiliğinden istifade ettik.  Sayın Şahin’e nazik misafirperverlikleri ve işbirliği için çok teşekkür ediyor, çalışmalarında başarılar diliyorum.  “Üretken Belediyecilik” anlayışımızla, kendimizi ve kentimizi geliştirmeye devam edeceğiz. 💙";;0
https://www.instagram.com/p/DRhkNLUDBCU/;Photo;445;4;0;2025-11-26 18:19:42;https://scontent.cdninstagram.com/v/t51.82787-15/588236957_18541568305020172_1736644820327379259_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NDQ1NzE5Nzg4ODI3ODY3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODExLnNkci5DMyJ9&_nc_ohc=iKe6bzkbj2MQ7kNvwGVnOdl&_nc_oc=AdkciKYEqbe3Xvmz9PzihhSRABxrxPVGzJGs9fohizDe_S1CEGKW_dNlqqa2sz24UQg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfgtQaIuvmOGXeTzEW1X4luN9nJ4dnWxJ9bqfFlYdhUB-A&oe=69312C46;Kırklareli Eğitim ve Araştırma Hastanesi’nde tedavi görmekte olan Belediye Başkan Yardımcımız Doç. Dr. Soner Yeler’i ziyaret ederek geçmiş olsun dileklerimizi ilettik. Kendisine acil şifalar diliyor, en kısa sürede sağlığına kavuşmasını temenni ediyorum.  Bu vesileyle tüm hastalarımıza acil şifalar, fedakar sağlık çalışanlarımıza ise görevlerinde kolaylıklar diliyorum.;;0
https://www.instagram.com/p/DRhYdnrjGyv/;Photo;143;0;0;2025-11-26 16:37:06;https://scontent.cdninstagram.com/v/t51.82787-15/587907419_18541554499020172_6873932463930975955_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NDQwNTU1MTMwMDgzMjQzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=9vg3XFPwh0AQ7kNvwGZpaBb&_nc_oc=Adk9i2lv9Rd4vFiqPLDTMx9WgLAgtkmiI8Ms_K1hy8H_94lMFUp7-wEp8h_2gcl00_s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfhbO9I10GsStSyzo8mGJFQnGYcKEVXfYbTzFcIYae4Qjw&oe=6931086A;Kış mevsiminin getirebileceği yoğun yağış, sis, kar ve buzlanma gibi risklere karşı şehrimizin hazırlıklarını gözden geçirmek üzere, Valimiz Sayın Uğur Turan’ın başkanlığında düzenlenen “Kış Tedbirleri Toplantısı”na katılım sağladık.  Tüm ilgili kurumlarımızla birlikte, olası olumsuz hava koşullarında vatandaşlarımızın güvenliği için yürütülecek çalışmaların koordinasyonunu değerlendirdik.  Hemşehrilerimizin kışı daha güvenli ve sorunsuz geçirmesi için belediye olarak üzerimize düşen tüm görevleri titizlikle yerine getirmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRhL3-ijAnR/;Carousel;157;2;0;2025-11-26 14:47:06;https://scontent.cdninstagram.com/v/t51.82787-15/587805012_18541541821020172_2788702257084059452_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NDM1MDE4MTg0OTEyODMxOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODQwLnNkci5DMyJ9&_nc_ohc=twxXqOcNwEwQ7kNvwGMvyxe&_nc_oc=Adm2PXgPA8a2IJawaoZpxElDbBOeViqIDUDkXErH60j7q2K3_QnEIRKMlsS2N0Iqu08&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfhK0SkFO52qLL9NMhvOwgcVRU4e_jeYt9-7X1-JBSY3SA&oe=69310A5B;Bu yıl, 04 - 07 Aralık tarihleri arasında, Belediyemiz Kapalı Pazar ve Fuar Alanı’nda gerçekleştirilecek olan, “Kırklareli 5. Tarım, Hayvancılık, Gıda, Sanayi ve Otomotiv Fuarı Koordinasyon Toplantısı”na katıldık.;;0
https://www.instagram.com/p/DRfKAgDjEUB/;Reels;1085;32;44024;2025-11-25 19:54:21;https://scontent.cdninstagram.com/v/t51.71878-15/588613874_2393057001137365_9046908857940655725_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3Mzc3OTAyNzY0NDEzODc1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=zEd4uEJxhnIQ7kNvwGejHDx&_nc_oc=Admlvm8zvxZne46ed1vSkTIrNL24FdJQ7QQFY_CbQJTaDank9j4PPx14bsv94q3id70&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfhUxOK1KUV4y8D7EybJzCC9TXQDYblFSL_Dj1IiFjpjWQ&oe=69310C4B;"Değerli Hemşehrilerim, Atatürk Mahallemize ferah bir nefes, şehrimize yepyeni bir yaşam alanı kazandıracak önemli bir projemizi sizlerle paylaşmaktan mutluluk duyuyorum.  Mahallemize; basketbol, futbol ve tenis sahalarıyla, barfiks ve açık hava fitness bölümleriyle, 3.863 metrekarelik yeşil alanıyla, oturma ve dinlenme unsurlarıyla, parkur ve piknik alanlarıyla, yürüyüş ve bisiklet yollarıyla, Kırklareli’mizin sağlıklı yaşam kültürünü güçlendirecek, sosyal etkileşimi artıracak modern bir tesis kazandırıyoruz. 💙";;0
https://www.instagram.com/p/DRezumpjF_1/;Reels;1485;72;48338;2025-11-25 16:49:30;https://scontent.cdninstagram.com/v/t51.71878-15/586844399_1331241952080970_4602866150461026527_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MzY4MTA0MDc1MDMwNTI2OTg5MDAwMDk5MzQ3NjE0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=VWKyAkg1g-MQ7kNvwEUajbU&_nc_oc=Admyq4XFUuGi04R0M_cOuHpxgy4AmzHvy2jTd7gHJwsKrLvzFnXbtHLA4gNZueVvJtg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_Afg3VtULH1W52IGiHpewK-NJBvdLLsQAVFTUqTj1kVeGNA&oe=6930FD6E;;;0
https://www.instagram.com/p/DRcNEqNjPld/;Carousel;200;1;0;2025-11-24 16:21:22;https://scontent.cdninstagram.com/v/t51.82787-15/587493451_18541237000020172_4462499896028490819_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3Mjk0ODA3OTU0OTYyMjgyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=Tq9Lq9wOCmAQ7kNvwFxklAV&_nc_oc=AdkDcevCpYK1-sDHPjSlJ2qysZ82oZQhJ_CprWatxi-D-AhQNWr4bWfV0Y1t7WAxM70&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfgSGF-eerNjhlf8ic_V6Jbiav1f52BbwBXHL5I8zP5FvA&oe=6931072F;Doğu mahallesi sakinlerinden, Fırıncı Cemal ve Arife Akbacı’nın oğlu, Necmi, Celil, Emeti, Necmiye, Ümran, Serpil ve Serap’ın abisi, Özlem Kolay ve Özer Akbacı’nın babası, Kırklareli Sağlık Meslek Lisesi’nden emekli Cemil Akbacı’yı son yolculuğuna uğurladık. Merhuma Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum. Mekanı cennet olsun.;;0
https://www.instagram.com/p/DRcL82tjOy2/;Carousel;401;1;0;2025-11-24 16:11:33;https://scontent.cdninstagram.com/v/t51.82787-15/588432790_18541235758020172_4603062292978941965_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mjk0MzE0MjY1MjQ5MTkzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=99wdYJO_CuwQ7kNvwHUUIb3&_nc_oc=AdnJ-1edulliFW4sOkf6pfLvXEH40s9V1Dh9tbr_uS1aXFj9L8yqMLOWbBTWhazZ8Vs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=e8zis-kK5Agv-WQ4DRH0lQ&oh=00_AfjXFMs5scOIwSWA7fPYghJCraDb_UbQe0NnSkaAmZ4ZCA&oe=693115D0;Tarım ve Orman Bakanlığımız ile Orman Genel Müdürlüğü’nün “Geleceğe Nefes” projesi kapsamında, 24 Kasım Öğretmenler Günü vesilesiyle  öğretmenlerimiz adına yaptığımız fidan bağışları çerçevesinde, Evlad-ı Fatihan Halk Eğitim Merkezi’ne yönelik düzenlenen sertifikaları Müdürümüz Esin Ataseven’e ve okulun değerli öğretmenlerine takdim ettik.  Tüm öğretmenlerimizin Öğretmenler Günü’nü bir kez daha yürekten kutluyorum.;;0
https://www.instagram.com/p/DRcJ9nCDEBk/;Carousel;413;0;0;2025-11-24 15:54:11;https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/587040697_18541233349020172_2098014314334459483_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MjkzNDM5MjY4ODQxNTY2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=JNlY9JNwrSEQ7kNvwGNIDh_&_nc_oc=AdmZFTMFBXeGKm7EwYVFi5XKxY5A9eSQPzVBuSueTXUy4ljuDbgNi8KRvD3YRiEr49XsIJK_PnErtDPxgqSQ4gsC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=X0DepcpQ7ilWMGzluvcoIA&oh=00_AfiODDlHzAbjRmPIxii-jBSTzLG_Hb7DhKvKPEsn6hfnSg&oe=69311C19;Değerli Hemşehrilerim,  Kırklareli Belediyesi olarak, Tarım ve Orman Bakanlığımız ile Orman Genel Müdürlüğü’nün “Geleceğe Nefes” projesi kapsamında, 24 Kasım Öğretmenler Günü’nde, şehrimizin geleceğine emek veren 1636 öğretmenimiz adına fidan bağışında bulunduk. Bu yıl artan orman yangınları ve yeşil alan kayıplarımız, bu anlamlı hediyeyi daha da anlamlı kıldı.  Bu vesileyle, TOBB Anadolu Lisesi Müdürü Sinan Çiftlik ve okulun değerli öğretmenlerine kendi adlarına dikilecek fidanların sertifikalarını takdim ettim. Bu fidanlar büyüdükçe, öğretmenlerimizin adı da gelecekte yaşamaya devam edecek.  Tüm öğretmenlerimizin Öğretmenler Günü kutlu olsun.;;0
