PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DQ98ULsjv5y/;Carousel;2083;41;0;2025-11-12 22:17:43;https://scontent.cdninstagram.com/v/t51.82787-15/582433312_17928643539135439_5390109262446448257_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc2NDQzMDEyMzc1MjY0MjY5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=folY3nkwgJsQ7kNvwGmJtLu&_nc_oc=AdnHdVhHUUUCNahA-O8RXV8FirL3ya_mUGSrHc4WGG5-KshVtXNv1C-3D9KlRKAVyPE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfgpCJzbtAe5Y9gIBa_4WSgIJTW7OaHRIrMIFv4iJqjAKw&oe=693120C0;Bu akşam eşim Dr. Ayten Canalp hanımefendi ile birlikte 3. Batman Gastronomi Fuarı’nı ziyaret ettik.  Fuarda stantları gezerek esnafımızla ve vatandaşlarımızla sohbet ettik, çağ kebabı kestik ve birçok hemşehrimizle hatıra fotoğrafı çektirdik. Vatandaşlarımızın fuardan duydukları memnuniyet ve heyecan bizleri son derece mutlu etti.  Batman artık bir “festivaller şehri” haline gelmiştir. Geçtiğimiz yıl Batman’da il merkezinde düzenlenen çeşitli fuar ve festivaller ile 5 ilçemizde gerçekleştirilen ilçe festivallerine toplamda 1,5 milyondan fazla ziyaretçi katıldı. Bu yoğun ilgi, hem şehrimizin tanıtımına hem de yerel ekonomimize büyük bir canlılık kazandırdı.  Bu akşam fuarın renkli, kalabalık ve enerjik atmosferinde vatandaşlarımızla bir araya gelmekten büyük mutluluk duydum. Batman’ın zengin gastronomi kültürü, misafirperver halkımızın ilgisiyle birleşince ortaya gerçekten gurur verici bir tablo çıkıyor.  Batman, kültürüyle, lezzetleriyle ve insanıyla artık tam anlamıyla bir festivaller şehri olmuştur. Tüm hemşehrimizi fuarımızı ziyaret etmeye ve yöresel yemeklerimizi tatmaya bir kez daha davet ediyorum.  #batman #gönüldengönüleköprülerkuruyoruz #gastronomifuarı;14228.0;0
https://www.instagram.com/p/DRpscteiN7k/;Reels;50;1;2072;2025-11-29 22:06:30;https://scontent.cdninstagram.com/v/t51.82787-15/588239269_18340681579227622_5953220861993885954_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3Njc0NTI0OTU0OTM3NzI1MjE4MzQwNjgxNTc2MjI3NjIy.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg0MDYuc2RyLkMzIn0%3D&_nc_ohc=bE_-nXpWotwQ7kNvwF-v6VM&_nc_oc=AdmyQWC_3mIwu5pHfOJYIK0Kk7OfaOp8idW8SFroGCc-CzwQ71RWfPVG1FRkjwLj5CM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfiQ-XhwlbcnsA3BJ5xuDPlaBBvtCGM_uciFkX1TSbweew&oe=693114D6;"🌿 Sason Parkı  Hizmete Açıldı  Sason Parkı sadece bir park değil; bir sosyal yaşam vizyonudur. Banklar, yürüyüş yolları ve oyun alanlarından çok daha fazlası…   Valiliğimizin öncülüğünde, Sason Kaymakamlığı, Batman Belediyesi ve Sason Belediyesinin katkılarıyla hayata geçirildi. Doğayla uyumlu, sürdürülebilir bir şehircilik yaklaşımının somut bir örneği.  ✅1.808 m²’lik alanda, 1.325 m² yeşil doku oluşturuldu.  Bu alan:    ➡️Ailelerin huzurla vakit geçirebileceği,   ➡️Çocukların güvenle oynayabileceği,   ➡️Gençlerin sosyalleşebileceği,    ✅Büyüklerimizin keyifle dinlenebileceği bir yaşam alanı olarak tasarlandı.  ✅Bölge ekosistemine uygun ağaç türleriyle doğal bir yeşil kuşak oluşturuldu Badem, Dut, Yalancı Akasya, Çınar, Servi, Elderçamı ve Kızılçam. Bu çeşitlilik, bugünün değil; yarınların çevre mirasıdır. #batman #batmanvaliliği #sason";;0
https://www.instagram.com/p/DRpoxCYDLBM/;Reels;57;0;2107;2025-11-29 21:42:08;https://scontent.cdninstagram.com/v/t51.71878-15/588744388_1530978344811263_45491631839240781_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NjcyOTA1NDE5MjY0NDE3MjQxMjA2NDAyNzQ4NTcwMzQ%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=Z-hYWenwbVAQ7kNvwHuyKkx&_nc_oc=AdnW9oTxc_0H6rfEEyt33XSMUmigPA1q6NTVqFGKs1NnP6OwD6JO1lxXiybIiikQ9pw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_Afjfav0YcCLdHWwqFqk5le--Jm7FdzhLptyMyoBQa8jhJA&oe=69310ABD;"Mereto Dağı: Batman’ın Yükselen Değeri ve Yeni Cazibe Merkezi  Mereto Dağı’nın zirvesinden Batman’a baktığınızda, bu toprakların ne kadar büyük bir potansiyele sahip olduğunu bir kez daha görüyorsunuz. Her ziyaretimizde bize ayrı bir heyecan ve mutluluk veren Mereto, artık sadece bir dağ değil; Batman’ın yükselen değeri, bölgenin yeni cazibe merkezi hâline geliyor.  Hedefimiz, Batman’ımıza en iyi şekilde hizmet etmek ve şehrimizin turizmde hak ettiği yere ulaşmasını sağlamak. Bu kapsamda Mereto’da oluşturduğumuz yeni tesisler, yol ve altyapı çalışmalarıyla birlikte örnek bir destinasyon ortaya çıkarıyoruz. Yapımını tamamladığımız konforlu yol sayesinde burası artık herkesin rahatlıkla ulaşabileceği, keyifle zaman geçirebileceği bir noktaya dönüşecek.   Batmanlı hemşehrilerimiz artık uzak yerlere gitmek zorunda kalmayacak; buraya gelerek hem dinlenebilecek hem de memleketlerinde keyif alabilecekleri bir deneyim yaşayacaklar. Yazıyla, kışıyla, her mevsimiyle farklı bir güzelliğe sahip olan Mereto, şehrimizin doğal zenginliklerini en güçlü şekilde yansıtıyor.  Turizmi güçlendirmek için attığımız adımlar devam ediyor. Bölgeye inşa edeceğimiz mağara evleri, villalar, konaklama ve kamp alanlarıyla Mereto’yu ulusal ve uluslararası ziyaretçilerin ilgisini çekecek bir merkez hâline getirmeyi hedefliyoruz. Güneydoğu Anadolu’nun en yüksek dağı olma özelliğiyle Mereto, misafirlerine unutulmaz bir deneyim sunacak.  Batman’ın değerlerini öne çıkaran, ekonomimizi güçlendiren ve şehrimizi geleceğe taşıyan her projede olduğu gibi, Mereto da bu vizyonun önemli bir parçası olacak.  #batman #gönüldengönüleköprülerkuruyoruz #sason #ekremcanalp";;0
https://www.instagram.com/p/DRpl6OWjFQ2/;Reels;163;3;6100;2025-11-29 21:10:47;https://scontent.cdninstagram.com/v/t51.71878-15/587292763_4763910173867111_5722265588257629078_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NjcxNjQ5MTM4ODExMzk3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=O_EleWuCOLQQ7kNvwHytFS7&_nc_oc=AdlJ0lp1SL8NumPgndpPmwLwarF2NuEOHizAcClUb6XVae0J_4IvlC4d9Plq4f_NHG4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_Afh302ciOYY52r-JJeYzJk0HH-05k0GR_Tg3gA9nvi7F1g&oe=693127A5;📍 Sason / Mereto Dağı  Sason – Mereto Dağı, Batman’da turizmin parlayan yıldızlarından biri oluyor...  #batman #gönüldengönüleköprülerkuruyoruz #sason #ekremcanalp;;1
https://www.instagram.com/p/DRpf0h6DOOt/;Carousel;54;1;0;2025-11-29 20:15:19;https://scontent.cdninstagram.com/v/t51.82787-15/587546522_17930379003135439_1651253357776180514_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NjY4OTcwNDQwNjkzMzI5Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=uTPraaEw6FYQ7kNvwFjIv5n&_nc_oc=AdmSaL2BOjefJaWdfi8AzpKVmpbe9793wviCdQh2yhLDgOOJuppve0R3guk43dHdxwM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_Afi9Fqmho2gdVbvKZw7Hd0d8vQDgK_vtHAEg0s1v4CS19Q&oe=693125C4;"Sason’da Yeni Park Hizmete Açıldı   Valimiz Ekrem Canalp ve Batman Milletvekili Ferhat Nasıroğlu, Batman Belediyesinin destekleriyle Sason Kaymakamlığı, Sason Belediyesi’nin işbirliğiyle Sason ilçesinde yapılan parkın açılışını gerçekleştirdi.   Parkın açılış kurdelesini çocuklarla birlikte kesen Valimiz ve Milletvekili Nasıroğlu, açılış sonrası parkta vakit geçiren vatandaşlarla yakından ilgilenerek, bir süre sohbet etti.    Parkın açılışında bir konuşma yapan Valimiz, Sason’a her gelişlerinde bir açılış yaptıklarını, yeni projeleri değerlendirdiklerini veya devam eden çalışmaları yerinde incelediklerini belirterek şunları söyledi; “Şükürler olsun ki, pedal çevirdikçe, çalışmayı hızlandırdıkça, Sason da bu çabadan payını almaya devam ediyor.  Batman turizmi dediğimizde yıllardır akla ilk gelen yer Hasankeyf’ti. Bugün de Hasankeyf turizmde en önemli odak noktamız olmaya devam edecek. Fakat artık turizmi sadece Hasankeyf’ten ibaret olmaktan çıkarıyoruz. Turizmi; Sason’a, Kozluk’a, Beşiri’ye, Gercüş’e ve şehir merkezimize kadar geniş bir alana yaymayı hedefliyoruz” dedi.   Mereto Dağı’nı önemli bir turizm merkezi hâline getirmek için bir çok projeyi hayata geçireceklerinin altını çizen Valimiz, “Burası Türkiye’nin yol yapımı açısından en zor bölgelerinden biridir; neredeyse iki bin metre rakım farkı ve ciddi uçurumların bulunduğu bir coğrafyadan söz ediyoruz. Tüm zorluklara rağmen, yolun korkuluklarıyla birlikte yapımında son aşamaya gelmiş bulunuyoruz. Dağın zirvesinde bulunan Meryem Ana Kilisesi’nin restorasyon çalışmaları da büyük ölçüde tamamlandı. İnşallah bahar döneminden itibaren inanç turizmi ve kültür turizmi için gelen misafirlerimizi burada ağırlayabilecek duruma geleceğiz.   Zirvenin hemen altında bir festival alanı inşa ediyoruz. Bundan sonra Batman genelinde yapacağımız festivaller için kalıcı bir alanımız olacak. Ayrıca bölgedeki ihtiyaçları karşılamak üzere kafe ve restoranlar kurulması için teknik ekiplerimizle yerinde incelemeler yaptık. Böylece ziyaretçilerin her türlü ihtiyacını karşılayacak tesisleri tamamlamayı hedefliyoruz.  🔗https://x.com/batmanvaliligi/status/1994816645500375296?s=46";;1
https://www.instagram.com/p/DRpe2wmiHqh/;Carousel;441;5;0;2025-11-29 20:06:53;https://scontent.cdninstagram.com/v/t51.82787-15/587302022_18340670026227622_1877157547345021411_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NjY4NTQ1NDE5MjYwMTE0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=WEdRSdp5tt0Q7kNvwHv7axa&_nc_oc=Adnqe_qGIehRouxVvwoPQRFxdycbwFDJ6RLThOqBVMtzwuBYpLGEZrtIRbRaHS8iPco&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_Afh6akJngYKEtlV5VBWhoi3SJDhnFrQGL4IICy2U9IVPWg&oe=693134AC;"Mereto Yolunun Asfaltlama Çalışmaları Tamamlandı   Valimiz Ekrem Canalp ile Batman Milletvekili Ferhat Nasıroğlu, ilimizin önemli turizm merkezlerinden biri hâline gelen Mereto Dağı yolunda tamamlanan asfaltlama  ve devam eden bariyer  çalışmalarını yerinde inceledi.  Yolda incelemelerde bulunan Valimiz, yürütülen çalışmalara ilişkin İl Özel İdaresi Genel Sekreterinden ve yüklenici firma yetkililerinden bilgi aldı.   İl Özel İdaresi tarafından yapılan beton hendek ve istinat duvarlarıyla birlikte 19 kilometrelik yolda asfaltlama çalışmalarının tamamlandığını belirten yetkililer, 12 kilometrelik bariyer düzenlemesinin ise 3 kilometresinin tamamlandığını, kalan kısımlarda çalışmaların ise sürdüğü  ifade edildi.   İnceleme sırasında yürütülen çalışmalara ilişkin değerlendirmelerde bulunan Valimiz ; “Mereto Dağı’nın zirvesindeyiz; burası her gelişimizde bize ayrı bir mutluluk veriyor. Hakikaten her Batmanlının burayı görmesi, temiz havayı ciğerlerine çekmesi ve eşsiz manzarayı deneyimlemesi gerekiyor.  En büyük hedeflerimizden biri Batman’a hizmet etmek. Buradaki tesisler, yol ve altyapısıyla Batman’a hitap eden ve hizmet eden örnek bir destinasyon oluşturuyor. Muhteşem bir yol yaptık; burası artık keyifle gezilebilecek bir nokta hâline geldi. Batmanlılar, uzak yerlere gitmek zorunda kalmayacak; buraya gelerek hem dinlenebilecek hem de memleketlerinde keyif alabilecekleri bir deneyim yaşayacaklar. Mereto, yazın da kışın da her mevsimde ayrı bir güzelliğe sahip.  Batman turizmini güçlendirmek için çalışıyoruz; dışarıdan gelen turistlerin ilgisini çekecek mekanlar inşa ediyoruz. Bölgede mağara evleri, villalar, konaklama alanları ve kamp alanları oluşturacağız. Burası, Güneydoğu’nun en yüksek dağı olma özelliğiyle, ziyaretçilere unutulmaz bir deneyim sunacak. Amacımız, buraya gelen herkesin bu mutluluğu ve keyfi yaşamasını sağlamak.”  İnceleme sırasında Valimize; Vali Yardımcısı Ekrem Güngör, İl Özel İdaresi Genel Sekreteri Abdulkadir Özer, Sason Kaymakamı Furkan Başar, Sason Belediye Başkanı İrfan Demir ile yüklenici firmanın yetkilileri eşlik etti.";;0
https://www.instagram.com/p/DRnULXiiPI6/;Carousel;0;0;0;2025-11-28 23:55:05;https://scontent.cdninstagram.com/v/t51.82787-15/587377759_18340583173227622_718237087954160482_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NjA3NTUzNDk5Njg3NDc5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=Qf48CaLTySwQ7kNvwEcwjWs&_nc_oc=Adl_ccdwQTQGkkkY3xaR-x9mdEZpT9eYsMcRHjW4I0NHSQ5EgQPITJQFbSUcOnfP19o&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfiKVFm8s1oypxVKvhiwxq8ZLwAFdmpigfjhY-asbNaTbw&oe=6931241E;"📍İstanbul - Atatürk Havalimanı  İçişleri Bakanlığımızın düzenlediği Jandarma, Emniyet ve Sahil Güvenlik Teşkilatına 9.200 Yeni Aracın Hizmete Alım Töreni;  Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın teşrifleri, İçişleri Bakanımız Sayın Ali Yerlikaya, Valimiz Ekrem Canalp, Bakan Yardımcıları, Milletvekilleri, İl Valileri, İl Emniyet Müdürleri, İl Jandarma Komutanları, Sahil Güvenlik Komutanları ve protokol mensuplarının katılımı ile gerçekleştirildi.  @rterdogan  @tcicisleri  @canalpekrem  #TürkiyeninHuzuru🇹🇷";;1
https://www.instagram.com/p/DRlpNQeCJ5j/;Reels;326;3;42125;2025-11-28 08:24:15;https://scontent.cdninstagram.com/v/t51.71878-15/587599411_1390968652592314_2857566164220708878_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NTYwNTA5MzU2MzkzMjI1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=K2cL3Gy7BO8Q7kNvwH_Bml1&_nc_oc=AdnmsDfPrAUwl_lCncGp28i3gUXf5K00v4IywyoHP-1Rh7nz8V7NPifFwyTNTbHrum4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfgxC9Lbs3mXCV3JF8z4LPiyFj-nOrQOarZjsfGJ8L0PZQ&oe=69312F62;"MODERN AİLE MEZARLIĞI PROJESİ SÜRÜYOR  Batman Belediyesi, Vali ve Belediye Başkan Vekili Ekrem Canalp’in talimatlarıyla Kent ve Aile Mezarlığı Projesi’nde önemli aşamalar kaydetti.   146 dekar alana sahip Aile Mezarlığı’nın 40 dekarı tamamlandı. Modern ve fonksiyonel yapısıyla toplam 3.447 mezar yeri bulunacak. Ada yapıları 4’lük, 8’lik, 16’lık ve 32’lik düzenlerde planlanarak ihtiyaca göre çeşitlendirildi.  Mezarlık alanında; • Çeşmeler • Aydınlatma direkleri • Ağaçlandırma alanları • Oturma birimleri • İdari bina • Gasilhane • Cami • Atölye ve otopark yer alacak.  Batman Belediyesi, çevre düzenlemesi tamamlanmış, sürdürülebilir ve modern bir aile mezarlığı oluşturmak için çalışmalarını aralıksız sürdürüyor.";;0
https://www.instagram.com/p/DRkgNPXCHo_/;Reels;670;29;63407;2025-11-27 21:45:24;https://scontent.cdninstagram.com/v/t51.71878-15/591171376_1586100959047974_965693987685049944_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTI4NDAzNDk3NzQzMDA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=NhbH2FD3_eIQ7kNvwEi0BdL&_nc_oc=AdlvLziYfW7MMfZD0VcVZv2aDMMm_xOP6zH1TtnTIal3sRir8CRcB0x8Nxe_00JOAQI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfgYiBp9CZxe26JsXV7k1WxGIfCIdeKCc7E0VfjFenIMEw&oe=6931321B;"BATMAN ŞEHİR GİRİŞİ YENİLENİYOR  Batman Belediyesi, merkeze bağlı Diktepe Köyü mevkiinde, şehrin giriş–çıkış noktalarından görülebilecek konumda 10 metre yüksekliğinde “Kadim Toprakların Modern Kenti Batman’a Hoş Geldiniz” yazısının yer alacağı bir yapı ve kapsamlı bir peyzaj düzenlemesi yapıyor.  Valimiz ve Belediye Başkan Vekili Ekrem Canalp, alanda incelemelerde bulunarak proje hakkında yetkililerden bilgi aldı. Valimiz, bu noktaya dikey bahçelerle zenginleştirilmiş estetik bir peyzaj çalışması yapılacağını ve alanda ışıklandırılmış büyük bir “Batman” yazısının yer alacağını ifade etti. Proje kapsamında karşılama yazısı ışıklandırılacak, alan yeşillendirilerek oturma alanlarıyla desteklenecek.  Batman Belediyesi ve Karayolları Şube Müdürlüğü iş birliğiyle, 5 ve 6 metre yüksekliğindeki gabion duvarlarda dikey peyzaj uygulanacak; aynı güzergâhta yolun sağında, solunda ve orta refüjde ağaçlandırma çalışmaları yapılacak.";;0
https://www.instagram.com/p/DRkcaiXCBiQ/;Carousel;228;5;0;2025-11-27 21:09:21;https://scontent.cdninstagram.com/v/t51.82787-15/587730369_18382955203148639_1732392283803117556_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTI2NzMzNzY2Mjg5NzgzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjkzMXg2MjAuc2RyLkMzIn0%3D&_nc_ohc=CG5c2WVXCuAQ7kNvwHVXJSW&_nc_oc=Adkz0ZBz-n58bfFwtFxcmNbzgfB0wm56r6CStL2ILbfek6FeKA8CEx8NhfUZ5LNUQKA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=U1fwXtPXHTYKyJw07oN1lg&oh=00_AfgPup-k2b7WGbjo6TeC25LA3uALWPmgTuz2cPi9Gmi7xg&oe=69311992;"MODERN AİLE MEZARLIĞI PROJESİ DEVAM EDİYOR  Vali ve Belediye Başkan Vekili Ekrem Canalp’in talimatları doğrultusunda çalışmalarını sürdüren Batman Belediyesi, Kent ve Aile Mezarlığı Projesi’nde önemli aşamalar kaydetti.  Belediye Mezarlıklar Müdürlüğü tarafından 270 dönüm  arazi üzerinde  yapımı devam eden Kent Mezarlığı’nın 146 dekar olan Aile mezarlığının  40 dekarı  projelendirilerek yapımı tamamlanmış, Modern, fonksiyonel ve ziyaretçi odaklı olarak tasarlanan Aile Mezarlığı’nda toplam 3.447 mezar yeri bulunacak. Alan içerisindeki mezarlık adaları; 4’lük, 8’lik, 16’lık ve 32’lik düzenlerde tasarlanarak ihtiyaçlara göre çeşitlendirildi.  Vatandaşların dini vecibelerini rahatlıkla yerine getirmesi, yakınlarını huzurlu bir ortamda ziyaret edebilmesi için mezarlık alanında;  Çeşmeler, Aydınlatma direkleri, Ağaçlandırma alanları, Oturma birimleri, İdari bina, Gasilhane, Cami, Atölye, Otopark gibi yapılar yer alacak.  Batman Belediyesi Mezarlıklar Müdürlüğü’nün titizlikle yürüttüğü proje, çevre düzenlemesi tamamlanmış, sürdürülebilir ve fonksiyonel bir modern aile mezarlığı oluşturmayı hedefliyor.";;0
