PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRprm1qDIBx/;Carousel;275;2;0;2025-11-29 21:58:18;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/588574859_18555309064009596_764942150817974121_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3Njc0MTUzNTM5Mjc3MDU5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM0Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=nYd5VtY9ypkQ7kNvwH9b2um&_nc_oc=Adlz4VWVuC5nXkGRo6cA5Q6Sp1tAuvGm8ORrEpI0lRRR9C_1FnpJEfcwSo4VMg3sOO684xCfn4oFnStgL_xtSxiG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_Afg93lWOt9LaWsfQL4PpYhTQBBYC3MQLA8UrCeWFVHPspw&oe=6930FA98;"Herkese anlatalım; Türkiye CHP’ye hazır, CHP Türkiye’ye hazır.";8951323.0;0
https://www.instagram.com/p/DRpg1UnjCPr/;Photo;17291;313;0;2025-11-29 20:24:09;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/588047635_18555297448009596_963214340122087591_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=1&ig_cache_key=Mzc3NjY5NDE2NDI4NTgyNjAyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyOTB4OTYzLnNkci5DMyJ9&_nc_ohc=F7Erk60he6oQ7kNvwHorwBf&_nc_oc=AdnWxHMfuRr3vkMqJAAee27aUEBvBbQoHIcFm_G6fJu95QAKBk2orL7bR1p_xayOOkvU6A2r7_UFpiNv71vPGGfU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfiLCHSS0eTCiD92LsiRNN9ojsAS2AaabC2fkW1nZeddbQ&oe=6931098F;"Türkiye Cumhuriyeti’nin kurucu partisi Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nda, tüm delegelerin oy birliğiyle yeniden Genel Başkan seçilen Özgür Özel’i içtenlikle kutluyorum.   Bu zorlu dönemde önemli bir sorumluluk üstlenen Genel Başkanımıza başarılar diliyorum.   Eminim ki hep birlikte, yeni programıyla, ilk seçimde Cumhuriyet Halk Partisi’ni iktidara taşıyacak; Türkiye’yi hak ettiği özgür, müreffeh ve güçlü geleceğe ulaştıracağız.";;0
https://www.instagram.com/p/DRm5we6jKZq/;Reels;91839;2231;1559876;2025-11-28 20:04:45;https://scontent-ham3-1.cdninstagram.com/v/t51.71878-15/591143566_1609964983749076_1727930114187727462_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NTk1OTM1Nzk3NzMwNjczMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=q8OvUPnkAkMQ7kNvwEyVndQ&_nc_oc=AdmTzWMyyhFgEuWyIRyr8wLsc3UC4noNsMdHWRsIPiKaL5dr1joo6DSZPS9HUvN2fqa-439E88XBEKhDhcn5CBOH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfiRQwsJmQ1LMI4FD8r6PaF6_gdVQ2HPlGOQEksISXbBXQ&oe=69312145;Sizleri çok özledim benim güzel çocuklarım. 🫶;;0
https://www.instagram.com/p/DRkV2Q8jCYe/;Carousel;65305;1488;0;2025-11-27 20:11:58;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/591526014_18554984386009596_6421249449510649715_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTIzODQ2ODI1MTk4NTUxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=l37vavGo8OcQ7kNvwGULd_8&_nc_oc=AdmTHiRWeZ-XChs0M55EFQXXdstit7xIB-VC1nrc3kqaWjkHjsOZpclibfwqOmu3pUWIIckXC9k7o8ME59UC0I6v&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfiVcmVP-oGKhIUaFY9EKOfLnUuNrXEz2EdhDaanoaYJ6g&oe=69311217;Türkiye CHP’ye hazır   CHP de Türkiye’yi yönetmeye hazır.   Az kaldı…;;0
https://www.instagram.com/p/DRjexjDDAMM/;Reels;18377;257;777577;2025-11-27 12:11:39;https://scontent-ham3-1.cdninstagram.com/v/t51.71878-15/587111452_1364399818511981_2632021711354881180_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NDk5NjI1ODk0ODM4MzUwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=ko6TkLTwSF8Q7kNvwGt33sL&_nc_oc=AdnARNlPHUh1ufrsIz-DIMNfXl9mTAAnkmhAoj2NpuhKei3tfuA9pamB0GrgJ9VZjp9GVG-odPM36BWcIulyMuV-&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfjxexbTrf56h0J72K5ThnrlhC4W3XoZAioLR_YFk3-0_w&oe=6930FDEC;"Acının ilmeğiyle umudu dokuyan kadınlar…  Bosna’da, İrlanda’da kadınlar yaşadıklarını patchwork (kırkyama) ile dile getirdi. Yaslarını motiflerle büyüttüler tarihe kayıt tuttular.  Her dikiş, bir hatıra; her desen, bir direniş…  Türkiye’deki kadınlar da bugün yaşanan adaletsizlikleri ilmek ilmek anlatıyor. Desenleriyle, renkleriyle dayanışmayı, umudu büyütüyorlar.   Hepsinin ellerine sağlık.";;0
https://www.instagram.com/p/DRh8TnmAqlR/;Reels;35103;396;1362829;2025-11-26 21:54:50;https://scontent-ham3-1.cdninstagram.com/v/t51.71878-15/587776419_1907574060108460_9178521933566403202_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NDU2MzE5MzY4NzU1MDI4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=jcgq2BrsAasQ7kNvwF9fU5S&_nc_oc=Adngfppqn8F5qgmY5SZhGI_IGo2ZEXHbB8HrCgdNCqqn_ToR4RyRPOsljMhRRx8ntiFcFdASF1gCwPIM925HEdqO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfhBzbv7uwcxs2vkc0nY_Cq6MQoCXh2kFk0iQ8pD5yBnwA&oe=69311A5C;"Bu haritanın kumaşında inanç, dayanışma, umut var. 81 ilden kadınlar bu ülkenin vicdanını, ümidini ve ortak bir gelecek hayalini bir araya getirdi. Bu ortak vicdan haritası gösteriyor ki; bir araya geldiğimizde hiçbir güç bizi ayıramaz. Biz birlikte güzeliz. İyi ki varsınız, iyi ki varız!  Bu büyük dayanışmaya emeğini ve yüreğini koyan herkese tüm kalbimle teşekkür ediyorum.";;0
https://www.instagram.com/p/DRhzjKIDIwS/;Carousel;120354;2326;0;2025-11-26 20:33:47;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/587379368_18554837740009596_8761586155303450379_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NDUyNDY3MDA1NDUzMTc5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM0Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=rGfsWB8CmnkQ7kNvwFryhAr&_nc_oc=Adne2B6CjWQTdS2J6RHqINSMVfaghYWnLMajOQKBksKD9uRyW7Sfc3fxYKaqC1G2dpFzFgcjocNTK7yp_-RhdLLU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfghhsMov1fqlyHkY7p26JlW8Z3oUSfAlwd2pZO0qwX6_A&oe=69312E05;Barış için:  Sevmeyi Güvenmeyi Ruhumuzu anlamayı Ruhumuzla birbirimizi sevmeyi Aydınlanmayı, aydınlatmayı, ekmeği Ekmeği üretmeyi, büyütmeyi Ekmeği hakça paylaşmayı öğrenelim.;;0
https://www.instagram.com/p/DRfTud7DJPF/;Carousel;155092;2905;0;2025-11-25 21:17:13;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/587613175_18554692966009596_1873425372134829789_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MzgyMTc1ODczNTE1Nzk5OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM0Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=ICq--O5Y73oQ7kNvwF52os-&_nc_oc=AdlUtRN5O5KgyRjKhz89HixGNTjpGI1Mu0jWryqgEdDTke3_qh5ZNfaudZDYz68-AUP8LN13FRFOc7mHvTo04ZTU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_Afguy2g2H3GepYdaQsrfoclu1PwNs6mZdisIbSBxk3uJsQ&oe=6930FFD0;Bunlar suçsa evet ben SUÇLUYUM!;;0
https://www.instagram.com/p/DRcv3CRjNKI/;Carousel;96175;1847;0;2025-11-24 21:25:20;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/587536305_18554536780009596_2937555316823980379_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3MzEwMTA3MDU3MTI5OTM2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM0Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=iSUW7u28yFsQ7kNvwHTuv1r&_nc_oc=AdmZm8kQQmjsT1sbe7qIEgCq1d9NgJcLmYJlNoFxbE-KFOu3KV1XIzuV3dF2wOotqY4FzOIYmlSe1VKWMSG6F4L2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfjROKZeOifxv-0MbJKhDabD2Y8Q2LPtn4gggwzwaauEng&oe=693101EA;"Sevgili Mektup Arkadaşlarım; Cezaevinde oluşan büyük yoğunluk gereği mektuplarınızı aşağıdaki adrese bekliyorum. Yazdıklarınızı okumaya, sizlerle dertleşmeye devam edeceğim.    Sizleri sevgiyle, saygıyla ve hasretle selamlıyorum.   Her şey çok güzel olacak.   📩 Cumhurbaşkanlığı Aday Ofisi, Üsküp Sokak, Çankaya / Ankara";;0
https://www.instagram.com/p/DRbdiSMDA7l/;Reels;44830;557;1385086;2025-11-24 09:26:23;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/587661240_18554709862009596_1568962005047404115_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MjczOTAxMjE5MzQyMzA3NzE4NTU0NzA5ODU5MDA5NTk2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg0MDYuc2RyLkMzIn0%3D&_nc_ohc=dKtS7-jfRpIQ7kNvwG51hsG&_nc_oc=AdmQ35eE0FzzUxkBZbbRV_eZPBRruZSCd5RkbJuFJmJT3WZHZsLPKXYV85sY61CS2yg--SipljwZgFiD0DS1cjCz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=XDq_m3MYUzmvFBaNTi-Twg&oh=00_AfjdQOT806fn6Lc2n0D2BuPk_gd3ieuuGyDgrRWHfhe-Ww&oe=69311D33;Bir çocuğun kalbine dokunan, bir gencin yolunu aydınlatan her öğretmen, bu ülkenin en büyük umududur.   Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü kutlu olsun.;;0
