PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpGoAvjBtV/;Reels;429;8;17626;2025-11-29 16:38:15;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/588232815_1833573650585528_5836029651479265357_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjU3ODkwMDM4MjcxODgwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=CfzkyHDgy1oQ7kNvwG327Fr&_nc_oc=AdmHfSyZ8uZezfxstwfaDO2c5YfSiKoo4k1qFbHEZPoEwKBIcgsYK_9Iwv78DVkyFy0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfjWTfzTLE9gmDh6wqSJ6VyI9aOeGFZp0XxkZEhBpqOjrA&oe=69310001;"Eşim Duygu hanım ile birlikte biz de Niğde’mizin gelenekselleşen etkinliği; 8️⃣. Niğde Kitap Fuarı’ndaydık 🙋🏻‍♂️ 📚   Yarın kapanışını yapacağımız kitap fuarına gelmediyseniz acele edin, sizleri de bekliyoruz 🤗";46720.0;0
https://www.instagram.com/p/DRo_NznDZhB/;Carousel;345;6;0;2025-11-29 15:30:24;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/588730216_18376373800152424_2534353790271949737_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjU0NjI5MzEzMzY5ODUzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=BZhb3yxoEwoQ7kNvwFHpTwR&_nc_oc=Adn7LksMAfRP1fcGSeZ8e0KUOyYM1bI8bGf5RocBLbVCURNRRJ3zogpaCQrtye-oj-I&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfhS_uooMTaS_qfAbjooc9XtvCGzQdWrCkm_rTSCZ5NplQ&oe=693107B4;"Niğde’mizin gelenekselleşen etkinliği; 8️⃣. Niğde Kitap Fuarı’nda kitapların büyülü dünyasında hemşehrilerimizle bir araya geldik 📚   Edebiyat üzerine, kitaplar üzerine sohbet ettik ☺️  Yarın kapanışını yapacağımız kitap fuarına gelmediyseniz acele edin, sizleri de bekliyoruz 🤗";;0
https://www.instagram.com/p/DRog-sFCLwx/;Carousel;272;6;0;2025-11-29 11:06:12;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/591747122_1343861097535573_3724836858221816218_n.jpg?stp=c0.1.1440.958a_dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjQxMzMwOTU4NzcxMTE3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=tvfk1mJ3fL4Q7kNvwEBQq8l&_nc_oc=AdlLg8pTZIMLDeX8e98jQxuUlkTRoY9twnUh_MIEzVEHm_K1fte-Xt6SxtTfyYG1cQ8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfgWyYY_Qfmr1QH9aqrFhAEui6LIiEwuzpcgWbQANTJKVQ&oe=6930FB84;"Çamardı İlçe Jandarma Komutanımız, Jandarma Astsubay II. Kademe Kıdemli Başçavuş Osman Deniz için İl Jandarma Komutanlığı’nda düzenlenen törendeydik 🇹🇷  Kıymetli komutanımıza Allah’tan rahmet; ailesine, silah arkadaşlarına ve sevenlerine sabırlar diliyoruz.  Mekânı cennet olsun. 🇹🇷";;0
https://www.instagram.com/p/DRnWd40Dbnm/;Reels;2284;60;91839;2025-11-29 00:16:36;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/588055404_1954796818716510_6031801250180877123_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjA4NTYyMzQ2NDM3NjgwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ogQuGx2ktYcQ7kNvwGBINsw&_nc_oc=Adl6lJb2aqgJ29DiQzpXwvQsJ_-Jeln4uHGoxfoaBTQ9pVMBcPT4T5OZ2FnCugYYoyk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfiXMbVyqOoiZQHkBSosedbsdeoH4MV8KIfIByXrmcSv4A&oe=69310B35;Sabah açıyoruz inşallah 😎  📍 Süleyman Fethi Caddesinde canla başla çalışan ekip arkadaşlarımızın yanında, sahadaydık 🙋🏻‍♂️  Özveriyle çalışan ekiplerimizle birlikte sabah 09.00’da yolumuzu tamamen açacağız inşallah 🚧;;0
https://www.instagram.com/p/DRnJ3a8je_O/;Reels;1030;70;34877;2025-11-28 22:25:10;https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/591074667_18376309450152424_6564851361905313485_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi41MDR4ODk2LnNkci5mODI3ODcuZGVmYXVsdF9jb3Zlcl9mcmFtZS5jMiJ9&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFi4pojsH4uEXDmRiGaTefF7YNvyAtQXPkHpbr5KSySZnLeJrRm9e8CfFBdvARolqc&_nc_ohc=ipyzR5o__hUQ7kNvwHfm4VB&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=Mzc3NjAzMDIwMzQ5NjQ5MzAwNg%3D%3D.3-ccb7-5&oh=00_AfijqAlvsJa8rV1d0I8M1P9P_oQKaY1AHXnb4iDzn1LxAQ&oe=69311A5D&_nc_sid=ee9879;Tek Yön Projesi kapsamında attığımız aşınma asfaltını yerinde inceledik 🚧;;0
https://www.instagram.com/p/DRm8JHHCJG1/;Carousel;290;10;0;2025-11-28 20:25:04;https://scontent-atl3-2.cdninstagram.com/v/t39.30808-6/591729703_1343460874242262_938624417133556135_n.jpg?stp=c0.0.1440.959a_cp6_dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTk2OTgwMjg2Nzc0OTQ3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=McUsYT6XIyIQ7kNvwHbKbNI&_nc_oc=Adkh2bZZQaYRZuoz8LzvRfg6OffFYW-2yaVnOkEYAD7pgNN3jMoL7NEhkzWYpITWH9w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfgulaO4Rt_OGKWJtQ5lcSMPVYGKH98wLJIMU2T8DkDa9Q&oe=69310E57;"AK Parti Kadın Kolları Genel Başkan Yardımcımız, Gaziantep Milletvekilimiz Derya Bakbak’ı (@deryabakbak27 ) Belediyemizde ağırladık, Akabinde; AK Parti İl Kadın Kollarımızın Danışma Meliclisi Toplantısına katıldık 🙋🏻‍♂️  Sayın Milletvekilimize nazik ziyaretleri için çok teşekkür ediyorum ☺️";;0
https://www.instagram.com/p/DRkSGlIiFjz/;Reels;672;27;46607;2025-11-27 19:41:05;https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/586795515_18376195522152424_5354527060153268129_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NTIyMjAwNDY2ODk3OTQ0MzE4Mzc2MTk1NTE2MTUyNDI0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=lh5EBW7U_qUQ7kNvwF48rxV&_nc_oc=AdmBa7q8pkJJbdlNRU4419PyCuiZF50ZYuTDYPLKsHhzmCnUtPGonNqYYvE72yNNX4Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfjcX8-8A5aPBycIAUPfaEsS5dVmX_cNNF_4Ix3lLlktCQ&oe=6931313D;Bugün çok özel, çok güzel misafirlerimiz vardı 🥰  Özel gereksinimli kardeşlerimizi havuzumuzda ağırladık, hediyeleştik, onlar yüzdü, hep birlikte eğlendik 🏊‍♀️ 🏊   İyi ki varsınız ❤️;;0
https://www.instagram.com/p/DRj92VOiBKb/;Carousel;275;7;0;2025-11-27 16:42:15;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/591738026_1342601704328179_7422097178757568392_n.jpg?stp=c0.1.1440.958a_dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTEzMjg4MDYwNzkxMDg1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=l7RRmtZUeOYQ7kNvwG8fWCm&_nc_oc=Admgur1_HxujM3p74FDwyMiKNVQm9WqsAY0AcWmDoMsXgP9hT-nH1gQCm6zMQgQFDv4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_Afjhwygm5e_mZq_7x--J3X1T65b6J7UPR9ishDpqZBWRiQ&oe=693115C4;AK Parti Grup Başkanvekilimiz, Manisa Milletvekilimiz, oyuncu, yazar Bahadır Yenişehirlioğlu’nu (@yenisehirlioglu ) Niğde’mizde ağırlıyoruz 🙋🏻‍♂️  Niğde 8️⃣. Kitap Fuarında gerçekleştirdikleri söyleşi ve imza etkinliğinin akabinde önce kendisini Belediyemizde misafir ettik, akabinde birlikte AK Parti İl Başkanlığımızı ziyaret ettik ☺️  Tabal Gastronomi Evi’mizin lezzetlerini de tattırmadan yolcu etmediğimiz sayın Milletvekilimize nazik ziyaretleri ve güzel söyleşisi için çok teşekkür ediyorum ☺️;;0
https://www.instagram.com/p/DRhcpc3iEh6/;Carousel;220;4;0;2025-11-26 17:13:40;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/590771881_1341885317733151_8694214773317287047_n.jpg?stp=c0.0.1440.959a_dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NDQyMzkzOTMwNTQ3NTc3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=DPLPyzx2oScQ7kNvwEg52Pc&_nc_oc=Adl-XeZSjYTSs9twhRpjoxjVATYXDxEXWNSAekBNeklsEZaqO6cmiXYim8RBjIhr254&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_Afjr5UN8AI6BteBYU6qPcRftd2FeYJ1vntU3Bxyy_AZZMg&oe=693115C5;"Aile ve Sosyal Hizmetler İl Müdürümüz Nurettin Kesler’in Akabinde; Tarım ve Orman İl Müdürümüz Furkan Mete’nin misafiri olduk 🙋🏻‍♂️  Değerli müdürlerimize misafirperverlikleri için çok teşekkür ediyorum ☺️";;0
https://www.instagram.com/p/DRhBe4piEpN/;Carousel;224;3;0;2025-11-26 13:16:17;https://scontent-atl3-1.cdninstagram.com/v/t39.30808-6/588224511_1341727871082229_190956339606065516_n.jpg?stp=c0.0.1440.959a_dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NDMwNDQ2MDQ1Mzk3ODY1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=PUC1UcH3ROoQ7kNvwGB4vM5&_nc_oc=AdnVqnxC4CGpC67_bxqIETm9RoxU4h88UnP2_Us-5xRfpT32zSZYyAWezfadpIaLTpU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=_Q37KLEQotBDH3aE7zVrQA&oh=00_AfgSzzPE3kSRDzaHJyBwztT1E2HLbBBTig5B6zPKRZVqqQ&oe=6931201E;Yerli ve milli üretime güçlü destek 😎  Patates Araştırma Enstitümüz tarafından geliştirilen yerli ve milli patates çeşitlerinin Migros mağazalarında satışa sunulması için işbirliği protokolü neticesinde ilk alım gerçekleşti ✍🏼   Niğde’nin bereketli topraklarında yetişen ürünlerin değer kazanması, çiftçimizin daha güçlü yarınlara adım atması için taş üstüne taş koyan herkesten Allah razı olsun 🥔 🌱🇹🇷;;0
