PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRo_HCiDLga/;Reels;554;18;40126;2025-11-29 15:30:39;https://scontent-mia3-3.cdninstagram.com/v/t51.71878-15/588683526_828569436723480_5020604022861975196_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NjU0NTg0ODIzNTQ0MDE1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=euEce12ZpOIQ7kNvwEZtmlM&_nc_oc=AdnpdUWXj1F3a-YtSawbYB3LX3f4PAIE9NskrU0DK7FgHNt-cCW1RzCvmGYf9BFWulI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfgVctOFCIeCg0KnYY4mViaI-PMsjCUNyJ8cFDbBivMj5g&oe=69311303;"📍Lokanta, Restorant ve Dinlenme Tesisleri de denetimimizde. 👮‍♂️🖐️  🚨Zabıta Ekiplerimiz; şehrimiz genelindeki işletmelerin; 🤍Hijyen,  📑Ruhsat,  🍱Gramaj,  ⏱️Son Kullanma Tarihi,  💰Raf - Kasa Fiyatlarını titizlikle denetliyor. 🏪🥣🥩  Kurallara uymayan işletmelere cezai işlem uyguladık. 📝✅  Daha sağlıklı, daha güvenli ve daha düzenli bir şehir için çalışmalarımızı aralıksız sürdüreceğiz...🙋🏻‍♂️  #AksarayaDeğer ❤️";36294.0;0
https://www.instagram.com/p/DRoshLdDN-h/;Reels;2044;17;70295;2025-11-29 12:47:11;https://scontent-mia3-2.cdninstagram.com/v/t51.71878-15/587552380_1984696722073788_8374649803189388487_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjQ2NDA4MTYzNzkyNDc2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=Nl7Jt2VkHz0Q7kNvwEOgKCW&_nc_oc=AdkeD0ZXBHGsm4YaTtByx-20KHz2JxfPDkWtdWN6jYohnGBN7F2hwTGLvx7DPaMADmE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfhdwxklGn7ufeqDiSUMlv77NzAwKI1gq3Ji1DdJhklzpw&oe=693101E3;Yazdan kalma güneşli bir günle Aralık ayını karşılıyoruz...  Aralık ayında geçtiğimiz yıllarda çekilen görüntüler ile bir #tbt hazırladık.🙋🏻‍♂️  Tıpkı eski yıllarda olduğu gibi Kar yağışını özledik. Barajlarımızdaki su miktarı çok azaldı. Hem ülkemizin hem şehrimizin yağmura ve kara ihtiyacı var. Rabbim hayırlısını versin İnşaAllah.🤲  #Aksaray  #Tbt❤️ #KarYağışı❄️⛄;;0
https://www.instagram.com/p/DRoKWAZDKDE/;Carousel;307;2;0;2025-11-29 07:48:24;https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/588055264_18101089819666914_5282398651658506802_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjMxMzc3MTEyODgxNDI3NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=yn2wtlPe_IsQ7kNvwGuZQ6L&_nc_oc=AdmsxsDoJ_PUK065V0x4vfQVupHnFoYjkl3gG3ggNTKDBr2dJFDE7FOUKW5u0pZkG8w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfiJQFbiVYnqzyeYIOEI9lQLxjspXz0k3OpNNWb_Nvs00g&oe=69312280;"Havası, toprağı, insanı ve tarihiyle ; Bir bAŞKadır benim memleketim...❤️   Günaydın Aksaray’ım🙋‍♂️   Her sabah Aksaray’ımızın bizlere sunduğu güzellikleriyle uyanmak bir ayrıcalık. 😎   Yüzünüzden gülümsemenin, kalbinizden sevginin eksik olmadığı güzel bir hafta sonu diliyorum...☀️🏔️🌸   #Günaydın  #Aksaray  #Haftasonu";;0
https://www.instagram.com/p/DRm7L5tjI_X/;Carousel;383;3;0;2025-11-28 20:16:43;https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/589290560_18101051500666914_8481146060485468581_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NTk2NTYyNDY3ODU0NTc0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=W2Exelz_dTcQ7kNvwG7iy83&_nc_oc=AdnAR4rzP_gyBcWa-qjz5WvP-11_8l3-oFwxuVngG9tQQ-wWHhxCcAnZHWwXCBJsp2I&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfjZZuW8w5Ovf1Lx_yPemkOL6OGulSap3S5p35--PbLATQ&oe=693106A9;"Şehrimize yakışan, kalıcı bir eser daha kazandırıyoruz…❤️  Şehrimize uzun yıllar boyunca hizmet edecek; 📍Yeni Şehir Mezarlığı Külliyesi Projemizde, çalışmalar hız kesmeden devam ediyor. 🕌🏗️🧰  Sahada incelemelerde bulunarak ekiplerimizden detaylı bilgiler aldık. 🙋🏻‍♂️  Hemşehrilerimizin kabir ziyaretletini daha rahat ve huzurlu bir ortamda geçirmelerini sağlayacak projemiz şehrimize #HayırlıOlsun 🧿  Bu vesileyle de ebediyete intikal eden tüm hemşehrilerime Allah’tan rahmet diliyorum. 🤲  #AksarayaDeğer ❤️";;0
https://www.instagram.com/p/DRmE4-tjC2A/;Reels;753;6;42336;2025-11-28 12:23:16;https://scontent-mia5-1.cdninstagram.com/v/t51.71878-15/586673920_828047359843245_4893895935528154685_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NTcyNjg0NTQwOTYzNTcxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=Xc5EOHNGZQgQ7kNvwFDXhQO&_nc_oc=Adm3gUyUTdkFZrsjAmmrQTV2EjeWhU6nEcDXVUTiVyLNRCtCyun2ef0_1lQ6ZNqacPw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfhO4Fz_cf_MwgHfHGDmNsGqmbWGveOl-SLrEIyqysM1rw&oe=6931161F;"Anadolu’nun Pisa Kulesi; 📍Eğri Minare 🕌🌹😎  Anadolu Selçuklu mirası ve şehrimizin sembollerinden biri olan Eğri Minare, her geçen yıl daha fazla turisti kendine çekiyor. 🤗  2.28°’lik eğimiyle “Yapılırken mi eğri yapıldı, yoksa sonradan mı eğildi?” sorusu hâlâ gizemini koruyor. 🙋‍♂️  Bu özel haber için TRT Haber muhabiri @birgulyazicii’ye teşekkür ediyorum.  #Aksaray ❤️";;0
https://www.instagram.com/p/DRlm5cTjNeu/;Photo;354;4;0;2025-11-28 08:00:11;https://scontent-mia3-1.cdninstagram.com/v/t39.30808-6/589340571_1379757820177773_5235232088729283862_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTU5NDkzNTc5MDM5MzI2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyODB4ODUzLnNkci5DMyJ9&_nc_ohc=RR1_NsFb3gIQ7kNvwHRGeih&_nc_oc=Adk0ZufbVrpeuBdqJiZhzoBnYZn2ouxFTwJmP9lN2TlV_g1bwF_oRvoyz4zO6kNbd6E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfjXbkeyynOdok3c6cUqrrT5Ju5iV3HjdEiz3hYTqiEcFw&oe=6931287C;“Kişinin kendi alın teriyle kazandığından daha hayırlı bir lokma yoktur.”  — (Hadis-i Şerif)  Hayırlı sabahlar, hayırlı Cumalar.🙋🏻‍♂️  Tüm hemşehrilerime mutlu ve huzurlu bir gün diliyorum.🤗  #Aksaray❤️ #HayırlıCumalar🕌;;0
https://www.instagram.com/p/DRkSFLcjMVM/;Carousel;608;21;0;2025-11-27 19:39:03;https://scontent-mia3-2.cdninstagram.com/v/t51.82787-15/588080042_18100954663666914_5646914297744058289_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTIyMTg5MTMzOTE3NDAzNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=0ND5Qf-9EhIQ7kNvwGhQjZL&_nc_oc=Adl0w8lA2rwne7Dz0l2xcGlqCShBvkOljIN0q0ochbF9lSOf0vJ1wd6DYgxG9fi0DZY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfivcI-vBJ15OeHLW_5k5pa9YEpL31PQbwUy_aLSRFnwig&oe=69313622;"Bir projemizin daha sonuna geldik.😎  Hemşehrilerimizin beklemeden, otopark sorunu çekmeden hızlı ve konforlu bir şekilde hizmet alacakları; 📍Yeni Belediye Hizmet Binamızda sona geliyoruz.🙋🏻‍♂️  Büyüyen ve hızla gelişen Aksaray’ımız için projeler üretmeye devam edeceğiz.🚧🏗️🤝  Şehrimize hayırlı olsun.🧿  #AksarayaDeğer❤️";;0
https://www.instagram.com/p/DRhhqm5jEim/;Carousel;297;4;0;2025-11-26 17:57:30;https://scontent-mia3-2.cdninstagram.com/v/t51.82787-15/587912138_18100855804666914_9179469798141840326_n.webp?_nc_cat=107&ig_cache_key=Mzc3NDQ0NjAxMjcxMTM0NzM1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=gNY3iftfjeMQ7kNvwFT8cup&_nc_oc=Adnyvk-GK4lzMQ6VN-S-y6Jxg4uH-wV6tmp9DhJZQM-AX40EOLcyf-kh1h7YxSSkXBQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfjEwCowm-tawvLuNK-OCO9CaC5lHWMtfucwZ8Oe5X1dow&oe=693121A2;"Yaşamın her rengini barındıran bir buluşma noktası inşa ediyoruz...🍁🍃❤️  Yıllarca atıl durumda kalan Eski Cezaevini; 📍Yeni Yaşam Merkezi projemiz ile; yaşamın, huzurun ve üretkenliğin bir arada olacağı yepyeni bir yaşam merkezine dönüştürüyoruz. 😎  ☕ Kafeterya,  🍀Çeşitli etkinlikler için çim amfi, 🥎 Spor severler için tenis kortları, 🚵🏻‍♂️ Güvenli ve keyifli bisiklet yolları, 🏞️ Doğayla uyumlu biyolojik gölet, 🏠 Kültür ve sanatın merkezi olacak modern bir kültür evi, 🏃🏻‍♂️ Sağlıklı yaşama davet eden yürüyüş ve koşu parkurları yer alacak…  Şehrimize #HayırlıOlsun 🧿  #AksarayaDeğer ❤️";;0
https://www.instagram.com/p/DRecpYDjNWl/;Carousel;230;2;0;2025-11-25 13:15:56;https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/588084807_18100747012666914_8296363876545604016_n.webp?_nc_cat=102&ig_cache_key=Mzc3MzU3OTUxODE5MjM5NjI1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=1cLfEhScTVQQ7kNvwEjf0Ud&_nc_oc=AdkHjRAzc79-WK1xeVGGaY6lzmiQz1H0G8vAJYlH1zNAZJtCJgATiZWOleWskeCkR24&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_Afhk545qQu72vNtJYfDMn6KUmFk2F8vTg9MKFsqo8XeRYQ&oe=69312101;"Şehirlerin arası dayanışmayı, ortak vizyonu ve tecrübe paylaşımını her zaman kıymetli buluyoruz...❤️  Enerji Kentler Birliğinde birlikte çalıştığımız, Türkiye’nin en önemli termal tesislerine ev sahipliği yapan; 📍Afyon Sandıklı Belediye Başkanı Adnan Öztaş'ı ve Sandıklı Ticaret Odası Meclis Başkanı İsmail Özer’i belediyemizde misafir ettik. 🙋‍♂️  Şehirlerimizin geleceğine yön verecek projeler ile istişarelerde bulunduk. 🤝  Başkanlarımıza nazik ziyaretlerinden dolayı teşekkür ediyor, çalışmalarında kolaylıklar diliyorum...  #AksarayaDeğer ❤️";;0
https://www.instagram.com/p/DRcpyNtDCM3/;Carousel;1346;7;0;2025-11-24 20:32:15;https://scontent-mia3-2.cdninstagram.com/v/t51.82787-15/587528876_18100696579666914_8323309746355350541_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MzA3NDM0OTc0MjY1ODM0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjg2M3g2MzAuc2RyLkMzIn0%3D&_nc_ohc=F62uf02BKA0Q7kNvwFr_bGj&_nc_oc=Adn5T2opZUR2t7fr-pMDhXQZJ9EwVoZAo766KWO_fu2oUhD08T2a29OXIaNDYoTrxSQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_gid=_3JJkjuUI4HVf4jfnYzA_Q&oh=00_AfgoNdIIgeR6Cev61ylPgWwkhpz397ed4fdUjOdR3ZN8Kg&oe=69313528;📍Anlık şehrimizden yağmur manzaraları 📸  Tüm hemşehrilerime hayırlı akşamlar diliyorum.🙋🏻‍♂️  #Aksaray #Yağmur🌧️;;0
