PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpfP8FCiQY/;Photo;220;4;0;2025-11-29 20:10:19;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/587276762_18541448113054169_1141591965713702784_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjY4NzE5NzI2OTkyNjkzNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1NXgxMjY4LnNkci5DMyJ9&_nc_ohc=3-6oikka1AUQ7kNvwHwtm-u&_nc_oc=AdlAM9EvJwa16nLPMLyp8Yb9SV1Xem6G5FCH0_gc79ZgTMxe2zcUPgrSlfjZJr00h1U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_Afj1FoKxsWFxxvc2UyTL2kD4RsV06B4-M8cztIkjObVmOg&oe=693122C9;İŞTE LİDER, Geçerli oyların tümünü alarak, hakkıyla yeniden genel başkanımız seçilen Sn ÖZGÜR ÖZEL Başkanımızı kutluyorum.  Yolumuz uzun.;25639.0;0
https://www.instagram.com/p/DRoj24NCiDg/;Reels;286;16;5300;2025-11-29 12:23:10;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/587089046_1208310297864095_184265165833763572_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjQyNTk5MDM3ODEwMzAwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=GbZdgzzLu3sQ7kNvwFhTDhq&_nc_oc=AdmIyo3oFsJKotGWjhTFKCqIeqzCtnIXue4JNL6oGhC6mK1m9MWV6Fiw-xhsaobYNHs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfjX-a_mdSxriAx8cLPnE_flCcRtuD6Md06A5_OmIsmybg&oe=6931101C;;;0
https://www.instagram.com/p/DRoWHdBDGSr/;Video;135;3;710;2025-11-29 09:31:18;https://scontent-atl3-3.cdninstagram.com/v/t15.5256-10/589945926_25103328759360407_300418145987832518_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NjM2NTU1Njc2NTg0NDY1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNTJ4NzIwLnNkci5DMyJ9&_nc_ohc=yrQkzn1Qgs0Q7kNvwHKrqUe&_nc_oc=AdlT7lthQ3Uusxg6X6vMNsCJ1TXmNmsuIzyrPckdRanT7DEMwSL7GwIUqRghYOZpzqg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_Afhcb-7XAm6f0Ps-L3pn-O9y9MAqknhb3WCNxJhBbCR8ZQ&oe=693136EF;#umudunşehriardahan NURİ VATAN KÜLTÜR MERKEZİ, Sanat kurslarımızda 100 lerce Çocuk genç ve yetişkin kursiyerimizden bir örnek. İyi hafta sonları.;;0
https://www.instagram.com/p/DRnDfDfirYd/;Reels;430;34;9623;2025-11-28 21:32:20;https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/589621771_1597480514752812_8909309335523874749_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NjAwMjE0MDc2NzE3MjEyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg0ODAuc2RyLkMzIn0%3D&_nc_ohc=Zpxw3jMsyhAQ7kNvwH7O1L-&_nc_oc=Adk8DkDv-P3YvkA_f6PrdAMXEnScXnfE0Jwh5cOCEl_MkBtwbLxV9AXmC4KJbv21GhQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfifskBb0PqJ1Th3IYTj-FVrlQHsuRTquwDPHxlkkkTodQ&oe=69311968;İyi geceler can ARDAHAN’ım.  11 yıl önceymiş bu çekim.;;0
https://www.instagram.com/p/DRmbwr3imbZ/;Reels;180;6;9787;2025-11-28 15:42:39;https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/590419376_1746081652748641_2716876736680745003_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTgyNzQzMDQ5MDEzODMyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=KsP_0SPNf0IQ7kNvwHWoXr9&_nc_oc=Adm1cd9LO7pOy0hvMLC8ghzzB2hD42Et-MCuyWmACF_HWqUpY1KsoVc2a-A8iLAg1zw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfgMpVduO7P8er60BJbqZ3MEmLy8TpXFrxWjNDiEYv58jw&oe=69311F1C;ANA CADDELERİMİZDEKİ YOL İŞGALLERİNİ ORTADAN KALDIRIYORUZ.  Şehrimizin bir kaç noktasına OTO PARK yapımına başladık.;;0
https://www.instagram.com/p/DRlqb9XCr06/;Photo;402;9;0;2025-11-28 08:31:07;https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/587615265_18541219822054169_508029531636576024_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTYxMDUwMTg4NDE5ODIwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1NHgxMjY2LnNkci5DMyJ9&_nc_ohc=vwf6jCYgEKIQ7kNvwEGHm20&_nc_oc=AdkRQlY7elgVcBVkYjihfFz9CQ_FaBkwpTk_Lndq05qYKHwhibRvp8187slg7vCDmPU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_Afh3SN4DLAOGk2FwDpbmYhnAueMqouMnDLkj_gNvlvSKhA&oe=693100AD;#umudunşehriardahan Günümüz aydın olsun, değerli hemşehrilerim ve güzel ülkemiz.  Ebedi Başkentimiz GMK ATATÜRKÜN BAŞKENTİ, ANKARA’dan.  CHP 39. Kurultayımız hayırlı uğurlu olsun.;;0
https://www.instagram.com/p/DRj8xOPjvGw/;Photo;119;1;0;2025-11-27 16:32:50;https://scontent-atl3-2.cdninstagram.com/v/t39.30808-6/588370996_25268009269506677_44033769341759854_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTEyODE3ODAwNTA0NTY4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg2MDMuc2RyLkMzIn0%3D&_nc_ohc=xBSaAc-ohn4Q7kNvwGOVkdI&_nc_oc=AdlYbjacP-v6Xl-3_lv1W9l4VuAHq2VA9AlecpjcAS1pIkBnVJB7oT4hVcLI0-g6YQQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_Afhq7Ii-_MXAFrMP7cNKdzHlrSOVYoUHcSbs9VFe1Q4J7w&oe=693134CB;Serhat Ardahan Spor'un yapılan Olağanüstü Genel Kurulu'nda Kulüp Başkanlığına seçilen iş insanı Abdullah ÇEKİM'i kutluyor, başarılar diliyorum.  Önceki Başkanımız sevgili İskender ALİHANOĞLU'na da hizmetleri dolayısıyla teşekkür ediyorum.;;0
https://www.instagram.com/p/DRe_TuwDEg1/;Photo;128;4;0;2025-11-25 18:18:49;https://scontent-atl3-1.cdninstagram.com/v/t39.30808-6/588596922_25252770174363920_497762964452609965_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzczMTk3MDU4MTU0NzA2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjgxMXg5NjAuc2RyLkMzIn0%3D&_nc_ohc=gKsEhRz-WVEQ7kNvwENMUkD&_nc_oc=Admwe247N_TwYPx6sQtICCbKJcsNI5vDUNQSn0ed6QqxZTSv2EPMj5XtyEXl4vNzsL4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfgZn7xqVm7XKxPxKQfgseImqFlXinecHg7JOS2Vka--SA&oe=69312162;ARDAHAN MEDYA Gazetesinde bugün çıkan haberimiz.;;0
https://www.instagram.com/p/DRb-YQGCmo6/;Carousel;709;8;0;2025-11-24 14:12:58;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/584316412_18540642727054169_3914205515946088281_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3Mjg4MzQ0MTMwNjc0MzA0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjg4Nng5NjAuc2RyLkMzIn0%3D&_nc_ohc=JGVaVYyHAPQQ7kNvwHNB5Jc&_nc_oc=AdlrA8UR9ocAy7GolgJALG2cZ00N6hfB70bAaRJP0XS31xA6nmFzITWwjHF_sNb8wOo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_Afg8a4DLOhF2dwNQ2U9sERDlpGALZqLed3lR7eHd7QTHUg&oe=69310336;Sosyal Demokrat Belediyecilikte yaptığı başarılı projelerle öne çıkan ve her zaman destek olduğumuz kıymetli ANKARA BÜYÜKŞEHİR BEL.BAŞKANIMIZ SN. MANSUR YAVAŞ’a yönelik sindirme ve yıldırma politikalarının sonuçsuz kalacağına inanıyorum.   MANSUR BAŞKANIMIZ YALNIZ DEĞİLDİR.;;0
https://www.instagram.com/p/DRbU2v2Dvp-/;Photo;174;3;0;2025-11-24 08:10:08;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/587968821_25241663172141287_966224425579142276_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MjcwMDgzNjAwNzcwNTIxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MjA0OC5zZHIuQzMifQ%3D%3D&_nc_ohc=Cgu3CqWLTd0Q7kNvwHNQxAk&_nc_oc=AdlzqMNUq_jDOXgnHIt3hYEz8k80A86p377MqF_1Q-gHKDWxp0XRiK3wUfCw6mdkAxI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfjPJfUrJPQmhjZ2biFluklUhvF-jJ4FyDGRmmWDHI8Ruw&oe=6930FFB2;"“Öğretmenler! Yeni nesil, sizin eseriniz olacaktır...""  Başta Başöğretmen Mustafa Kemal Atatürk olmak üzere tüm öğretmenlerimizin #24Kasım Öğretmenler Günü'nü kutluyorum.";;0
https://www.instagram.com/p/DRZ6HM9ittq/;Reels;615;14;9463;2025-11-23 18:58:51;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/584313662_1196576015689275_6552656457330403201_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MjMwMTc0NDU1MDg5NDQ0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=q8gWXBhgDJIQ7kNvwHI8Xc4&_nc_oc=AdnP1GoD1YE9BzhG-CswP6-F5MWezGIBDJLYQ1enb7KZJ7gE2Q4-NyRvZCF1wnKj1R0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfhvM5TPBqwOA-57NUVvBgM4KhxcG553LLmZkdmFgrt-EQ&oe=69312C3F;MÜYORBIR Meslek Birliğimizin 25 Kasım 2025 Salı günü yapılacak genel kuruluna mutlaka katılalım. Desteğim BURHAN ŞEŞEN listesin.;;0
https://www.instagram.com/p/DRZ4k-zjEk1/;Photo;200;3;0;2025-11-23 18:43:48;https://scontent-atl3-3.cdninstagram.com/v/t39.30808-6/587932295_25237276402579964_7425409578721954222_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MjI5NDk5NDg0MjExMDI2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjc2OHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=rMEPTPKmDCAQ7kNvwECseen&_nc_oc=AdlDRhT7EYBgV3exs5jTVO67NHiDpt3kgJG_RckWmt3lDP3waRPNecO12fLMnueGCsU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=v77pVTixClkat89zrN0BOA&oh=00_AfgkzpVxa6ikT0eHc1mFZnJcoHvuoe-fhl744LRr2WhDbw&oe=69313729;MÜYORBIR Müzik Yorumcuları Meslek Birliği.  % 70 i değişmiş.  Tecrübeye , yeni isimler eklenmiş.  MÜKEMMEL BİR KADRO, Desteğim sizlerle.  Burhan ŞEŞEN başkanımız  deneyimli, çok çalışkan, Şeffaf ve biz üyeler en iyi telifi başkanlığınız döneminde aldık diyebilir.  Başarılar.;;0
https://www.instagram.com/p/DRZ4OEzCpSd/;Photo;4437;466;0;2025-11-23 18:40:40;https://scontent.cdninstagram.com/v/t51.82787-15/586669511_18540520102054169_15917479652498321_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MjI5MzQyMDcyODA5NTkwMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1NXgxMDc1LnNkci5DMyJ9&_nc_ohc=VdyS9tdRk2UQ7kNvwGa5sU7&_nc_oc=AdlfbNIlgBWamhWtvMaozelns8BhDad8Q_iuvHRLZyqUpDQMtop5Yy3vq4K1gT5CY_4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=MXDihC3T3T4ffHlFlOKHoQ&oh=00_AfhPL9i7e5I3IRi-cmsrelStX6lTLzBylvUR73isHZWSZQ&oe=69311A43;Sizinleyiz  Sn Gnl Başkanım ÖZGÜR ÖZEL.;;0
https://www.instagram.com/p/DRZQIkTDJsq/;Photo;162;10;0;2025-11-23 12:50:24;https://scontent.cdninstagram.com/v/t39.30808-6/586595373_25235172739456997_8055582634789821420_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MjExNzEyMDM3Mzc5MTUzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjQ5Mng0OTAuc2RyLkMzIn0%3D&_nc_ohc=Xyd_zAA3GKgQ7kNvwE54VUy&_nc_oc=Adm8NSz0LHMgrW4TE64K_whE0V-pFSMyEpC7vRmGxL1VL0JTQE0Nl_CLS7wksIg2WqQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=MXDihC3T3T4ffHlFlOKHoQ&oh=00_AfioNIU71TlDfucAsefclhwu4NYAya92Yu6TDtv48zm46g&oe=69312A74;Ardahan Bağdeşen köylü hemşehrimiz Rize Kasaplar ve Lokantacılar Esnaf Odası Başkanı Gökmen AKÇAM'ın vefatını üzüntüyle öğrendim. Allah rahmet eylesin, ailesine ve yakınlarına baş sağlığı diliyorum.;;0
https://www.instagram.com/p/DRWvQK3Cqix/;Photo;96;4;0;2025-11-22 13:24:35;https://scontent.cdninstagram.com/v/t51.82787-15/587283876_18540314725054169_4514350752697636740_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MTQwOTU1NzMyNzg4MjQxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1OXgxMjc0LnNkci5DMyJ9&_nc_ohc=DfvtMavChlcQ7kNvwGMZ_Wu&_nc_oc=AdkVAjdGXPev-v4S8POOif3bkg_wNVNjIgrWTVAgxUQfO6szjeI2DECJLHAtoVoYJD0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=MXDihC3T3T4ffHlFlOKHoQ&oh=00_AfjgzSJAktKW_XK5nj210t-flvR0RMf_FBHF3VPB6Uz8gA&oe=6931268F;Bugün günlerden ZONGULDAK.;;0
https://www.instagram.com/p/DRWlt3zCghV/;Photo;150;1;0;2025-11-22 12:01:16;https://scontent.cdninstagram.com/v/t51.82787-15/585132316_18540306235054169_259630237433363205_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MTM2NzYxNzk3ODgyODg4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExMDR4MTQ3Mi5zZHIuQzMifQ%3D%3D&_nc_ohc=vMK0TpUjO_4Q7kNvwGthD3Y&_nc_oc=AdmpsOqFQcMkdEGpWiK4RybOmng8immaXsgqeHG8_IgOaxrkfllXZgJDlOqsGu0MArI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=MXDihC3T3T4ffHlFlOKHoQ&oh=00_AfgG3IlSQ84i9UeU4LcH0GlLs_GMi8Rl4LPdjqZ1Nb0z9Q&oe=69310BCD;;;0
