PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRnPKeeiBAF/;Carousel;157;2;0;2025-11-28 23:11:17;https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/586832819_18432444589107838_3227242196217767598_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjA1MzQ4Mjk3Mzg0MTcxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=ommWn0qtN_8Q7kNvwHePvuh&_nc_oc=AdmWbBzlVcSBmrsEWr81nXMQyX40V3E09u3zbUYcnJPrpDeliZkrTfJFLLFVKzUhnczggUth3f48Z459gT-ftiAF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_Afjsjd5Zv5ZxLNKul7ADtsnIRVEyjAqdL2VNxC4csYT0XA&oe=6931057B;"Samsun’da düzenlenen AK Parti Yerel Yönetimler Başkanlığı Bölge Toplantısı’nda, Yerel Yönetimler Başkan Yardımcımız Sayın Recep Altepe’nin moderasyonunda, Gaziantep Büyükşehir Belediye Başkanımız Sayın Fatma Şahin ve Balıkesir Milletvekilimiz Sayın İsmail Ok ile birlikte belediyeciliği konuştuk, görüşlerimizi paylaştık.  Toplantıda Düzce örneğine dikkat çektim; yerel yönetimlerin hizmet kapasitesi, donanımı ve nitelikli projelerinin öneminden bahsettim.  Toplantımıza katılan Amasya, Bartın, Çankırı, Çorum, Karabük, Kastamonu, Kırıkkale, Samsun, Sinop, Zonguldak’ın il, ilçe ve belde belediye başkanlarına teşekkür ediyorum.  Yerel Yönetimler Başkanımız Sayın Mustafa Demir Bey’e şükranlarımı sunuyorum.";45912.0;0
https://www.instagram.com/p/DRm6eNTCHkK/;Carousel;204;2;0;2025-11-28 20:10:28;https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/587398351_18432429046107838_3594418542340001647_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NTk2MjQ4NTIxNjU2OTYxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=S8pCZv4PmesQ7kNvwHwrG2I&_nc_oc=Adn-rHK-9DDvV6ni9qWRZg5pWm_JLGTb4fjMpZ6lmylmbTg3vyC8U2bZBucwqS0tCFbcMUdcU7NkYsFd5vNopBMR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfjRktKZLSYyY7nBtpHN4cHBVdT5NZ_8hbDvs0S_FF0n9w&oe=693113ED;Yerel Yönetimler Başkanımız Sayın Mustafa Demir’in nezaretinde Yerel Yönetimler Bölge Toplantısı için Samsun’dayız.  Samsun Büyükşehir Belediye Başkanımız Sayın Halit Doğan, AK Parti Samsun İl Başkanımız Sayın Mehmet Köse ve dava arkadaşlarımız ile birlikte toplantı öncesi istişaremizi gerçekleştirdik.;;0
https://www.instagram.com/p/DRl-kjzDUU0/;Photo;92;3;0;2025-11-28 11:27:03;https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/587631409_18432375268107838_1805218184470930432_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTY5OTA1Mzg0MjM1MTQxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=SGoi8K4cZGIQ7kNvwE9jHdF&_nc_oc=AdkZhyd8pjOLud_2ywXrgeq-O-C7IyFNO_1-gz-MvkouN94PobbWwd0dVao8PzU_2BGbSb5KBNJrif66NSzgYD47&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfgHHKvhAgu2-Hlekh_NM6FxakvzfxgS40MXTEOgZAjbqQ&oe=69311CAE;Bugünü ihya eden kullardan olabilmek, hayırlara erişmek için dualarda buluşalım.  #HayırlıCumalar;;0
https://www.instagram.com/p/DRkfSg6jdfg/;Reels;3204;309;216518;2025-11-27 21:35:01;https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/588468292_18432312205107838_8309950092974739476_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTI3OTk5OTM3Nzg1NjQ4MDE4NDMyMzEyMjAyMTA3ODM4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjQ4MHg4NTQuc2RyLkMzIn0%3D&_nc_ohc=sEwKtITjzfAQ7kNvwE-NCLE&_nc_oc=Adnbd-mA7Z5t_ViVFk3CjPnOl7qMCOUREthxsD297bWVdwrDgjtmTTnIN8UQqB1CeTlFqNhsIRiJb7SgiezwLj_F&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfiY9UW4kd59AINb-i-AFnWYdurZ8v7yDCSYCmjYMZ_a-Q&oe=69311591;Anlayana…;;0
https://www.instagram.com/p/DRkeYXYjXSk/;Reels;200;5;15675;2025-11-27 21:29:06;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/586715874_1173853304225998_2629103679563981397_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTI3NjAwMzQxNDA3ODYyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=iyJ8Rkpcc_YQ7kNvwH5ahGp&_nc_oc=AdluCB5X9a_Jmait3UbwpHPdUqlRIzJpa_N6W1RN_H3zz0qqGMRr6IuugeWK3-NYR-hQY5GpYPQZPbrcPrn_BH3D&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_Afgp_9RCzUyODtLj-oNfDkPB3bDc5YGPFDfN17g5HYA1bQ&oe=69310CBD;“Şehirlerin gelişmişlik seviyesi, eğitimli ve nitelikli demografik yapı ile yükselir”  ▶️ AKİT TV | Gün Başlıyor;;0
https://www.instagram.com/p/DRka2tBjf9G/;Reels;171;3;9106;2025-11-27 20:57:56;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/591147199_2061842081293260_2961873728625169381_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NTI2MDQ5NjA0ODgxNTk0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=5JqmRRNi2EwQ7kNvwFnk3DD&_nc_oc=Adm6sgsVafV6waYGqs7IjraKDCtJQdFsVJ6BKZYX3RuFIYw437-TnPOB0H6LpyRk-F9ABGbigTc3j7N0yf1PesJz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfgyqqAdBfxK4VaCH_1Up6kvC453fJNtyMOLUI2tNc8bgw&oe=69310330;“Düzce tarihinin en büyük İçme Suyu Alt Yapı Yatırımı’nı biz yapacağız. Kuraklığın en büyük sorunlardan biri olduğu bu dönemde yaptığımız yatırım sayesinde şehrimiz önümüzdeki 50 yıl sorun yaşamayacak.”  ▶️ AKİT TV | Gün Başlıyor;;0
https://www.instagram.com/p/DRkCoLziOZP/;Reels;133;2;8023;2025-11-27 17:24:51;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/588082075_917765528082179_2577419172388714845_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NTE1Mzk0NTE5MTE3OTg1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=3O_SAZ4c6JUQ7kNvwHbdBlm&_nc_oc=AdkSYwomM5SiPCDS75xX1u24Yq6fnpIqc_32C9Qdq7qudSA0klQK9xnR4DyCBdQlDmzaQZC36Y2G-hPKklIQlCLH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfjAgXsjUwaC67rw_B2sS1_ZpcK_S9QHeD_s4Lkj4hfO2A&oe=693107A3;"“Türkiye’de afetlere dirençli kaç şehir var diye sorsalar; Düzce listenin en başında gelir.”  ▶️ AKİT TV | Gün Başlıyor";;0
https://www.instagram.com/p/DRiHBafju9q/;Reels;160;2;13663;2025-11-26 23:25:17;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/587746176_703607319469444_2650242766465437941_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NDYxMDMyMTE4MTY5OTk0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=a86Sy1zMRu0Q7kNvwHGHdHx&_nc_oc=Adm5jnyA-OltVltRAdUwTqIrsqJH2Fr2lsJv9J5SbPMdmXwgtzDB6qDhM090Iy4FNk8udzETYBP5niMAamudbmT2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_Afi_ie4v5vRybrR-Ai_r6AaZbL_NCTH4iXlIE-ofkRiRwA&oe=69311B6B;"“Evimiz temiz, Şehrimiz temiz; Düzce bizim evimiz”  Vatandaşlarımızı çevre temizliği konusunda bilinçlendirmek ve daha duyarlı hale getirmek amacıyla Düzce Belediyemiz tarafından başlatılan “Temiz Şehir Düzce” kampanyası çerçevesinde, öğrencilerimizin farkındalığı artırmak için TOKİ Mehmet Akif Ersoy İlkokulunda düzenlenen etkinliğe Belediye Başkanımız @dr_farukozlu ile birlikte katıldık.  Öğrencilerimize şehrimizin temiz tutulmasında gösterdikleri duyarlılık için çevre kahramanı rozetlerini takarak, bir elçi gibi görev yapmaları gerektiğini belirttik.  #TemizŞehirDüzce #kalptenkalbedüzce❤️";;0
https://www.instagram.com/p/DRiFw2ICO5s/;Carousel;262;5;0;2025-11-26 23:12:56;https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/587353451_18432201133107838_6336556704683694653_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NDYwNDc2NDI1Njk4MjgyNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=2bP2hlE5C2UQ7kNvwGUgeZs&_nc_oc=Adkq5GdpuWX9pBn5zUB0gEjd2JavNUjQu-XQIuZjtASHZXiL31PvvSrT3eIGzzpRZ7owWfng_CFdvrrsY26lMmfe&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_Afg7OI0DY8A6beuHPyLFCtx4mXYjWZ_gZhZE5z-Y9GQtWA&oe=69311080;Eczacıbaşı Holding Yönetim Kurulu Başkanı, iş insanı Sn. Bülent Eczacıbaşı beyin şeref konuğu ve konuşmacı olarak katıldıkları toplantımızda ülkemizin yetiştirdiği çok değerli iş insanları, akademisyenler, ekonomi yazarları ile bu akşam bir araya geldik.  İş dünyasında 50 yılı aşkın deneyimi ve entelektüel birikimini bizimle paylaşan Sayın Bülent Eczacıbaşı ile çok değerli katılımcılara ayrı ayrı teşekkür ediyor, şükranlarımı sunuyorum.;;0
https://www.instagram.com/p/DRhr616iPhA/;Photo;79;0;0;2025-11-26 19:27:06;https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/588620038_18432181594107838_8844408414038101984_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NDQ5MTEyMjMzMzE4NjExMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=RyiEYshfCWkQ7kNvwEEorcP&_nc_oc=Adlj0O54SUBryBCLPqv5Yey-L5SI_9HSt3I3jbVKOknVh6C9E_j8E-1mmpfkHbD7TsKL22dc5DZaSglWLQ9TPNNh&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=T7JBGao9q0_-E4JbjUKCRg&oh=00_AfhTRGGKTFGZVufDTsZD5GcmPDQJZyRi5MmdWSzmOWnEHw&oe=69310839;27 Kasım Perşembe Günü saat 09.30’da Akit TV ekranlarında Murat Şahin’in sunumu ile Gün Başlıyor programının canlı yayın konuğu olacağım.  Düzce’miz için bugüne kadar yaptıklarımızı ve hazırladığımız projeleri anlatacağım programı izlemeniz dileğiyle...;;0
