PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpVO2HDCUm/;Photo;231;4;0;2025-11-29 18:42:47;https://scontent.cdninstagram.com/v/t51.82787-15/589820435_18402001315192639_2387333790699778611_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjY0MzE0MTY3NjU3Mzk5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=32za_MN2oZoQ7kNvwHNJAXc&_nc_oc=Adk1HBISfiFzifEgi3wVmL6uLhM5atk9D8vfYlshWTn-W3DkUXBA-qf1jeV0XUATcAA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfjN5AzdiynVsHfKQDZfvRxF4XpzpG4dwNa1x72rUJm1qw&oe=693115B7;"Partimizin 39. Olağan Kurultayı’nda tüm delegelerimizin desteğini alarak yeniden Genel Başkan seçilen Özgür Özel’i yürekten tebrik ediyorum.  Yenilenen örgüt yapısı, güçlenen kadroları ve kapsayıcı siyaset anlayışıyla partimiz; kimseyi dışarıda bırakmadan, dayanışmayı büyüterek kararlılıkla iktidar yolunda ilerliyor. İnanıyoruz, birlikte başaracağız.";81535.0;0
https://www.instagram.com/p/DRou21ADIdB/;Carousel;682;5;0;2025-11-29 13:07:27;https://scontent.cdninstagram.com/v/t51.82787-15/588553933_18401971306192639_1400242350222803123_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjQ3NDM1NTczNjUxMjY1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjc5OXg1MzIuc2RyLkMzIn0%3D&_nc_ohc=uNL55FIbZBsQ7kNvwF4-03f&_nc_oc=AdlAazDxv22qelntI0G2s-TltKj5TVP39Yq9hJAVUZUVWRRuag7R9dNIynCzD0p74lc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfhTwVl6XH5NOilAexPEHECV4K8Ibq67Hhna4fLm7MSKpw&oe=69310BEB;Genel Başkanımız Sayın Özgür Özel’in liderliğinde iktidara yürüyoruz.   Ülkemizin ve milletimizin umudu CHP’mizin 39. Olağan Kurultayı ile birlikte daha güçlü bir Türkiye için durmadan, yılmadan mücadele etmeye devam edeceğiz.  📍39. Olağan Kurultay;;0
https://www.instagram.com/p/DRnStxbjJDK/;Photo;458;4;0;2025-11-28 23:42:19;https://scontent.cdninstagram.com/v/t51.82787-15/587606278_18401916376192639_7459515810546993354_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NjA2OTEyMjg2MjY0OTU0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTMwLnNkci5DMyJ9&_nc_ohc=LofoZxFqY1QQ7kNvwH8G4mp&_nc_oc=AdleEQBR1AySF9txoIYBko6u0vsxchmS6-SZp1fUAIXO-fKue1vbuz5qLT-s2whxlWc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfiWIRYEgOPd41LfRZj9cCeDpjjgkAYmlsx5egnmDJuVxQ&oe=69312074;Bu akşam Giresun Milletvekilimiz Elvan Işık Gezmiş ve İl Başkanımız Gökhan Şenyürek ile birlikte Ankara Şebinkarahisar Vakfı’nın misafiri olduk. Nazik ev sahiplikleri için Vakıf Başkanı Zafer Gürçay’a ve tüm yönetim kuruluna teşekkür ederiz.;;0
https://www.instagram.com/p/DRm-bWxDBJp/;Photo;185;2;0;2025-11-28 20:45:02;https://scontent.cdninstagram.com/v/t51.82787-15/588210893_18401904460192639_4872748125708311389_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTk3OTg5NjM1MTQ5NDc2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMi5zZHIuQzMifQ%3D%3D&_nc_ohc=0y_Owhn2NqoQ7kNvwGiQrEh&_nc_oc=Adnhn9Sacmh13v6WSxMEbdalmUVhxFLo118DXuv2L7MAyLWq8K9-zdnDoAk5oFaD26s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_Afj6OLl8AtyWWUTnWp03rcQIvLjIxv0kLV7bohcYLUBA_g&oe=69312534;Kıymetli Hemşehrilerimiz, Kültür ve Fuar Merkezimizde devam eden 5. Giresun Kitap Fuarı kapsamında, 26. Genelkurmay Başkanımız Sn. İlker Başbuğ, 29 Kasım Cumartesi günü 13.00’te söyleşi, 14.00’te imza etkinliği ile bizlerle olacak. Tüm hemşehrilerimizi bu değerli buluşmaya davet ediyorum.;;0
https://www.instagram.com/p/DRmgamFjJuE/;Carousel;2782;24;0;2025-11-28 16:22:47;https://scontent.cdninstagram.com/v/t51.82787-15/588987257_18401877562192639_2327550921990088422_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTg0Nzg5MjQ1MjY1OTY3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjgwMHg2NDAuc2RyLkMzIn0%3D&_nc_ohc=u7uq4ACQt8oQ7kNvwE2sJHN&_nc_oc=Adl09u3T_qwGqVIQqf2I4I7sRvbXijUfkbd9bCUU9gHy9ThiGCi3cL2uCtdcRq0r8-g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfgDlRxFpmK3UaIqBfegHS2lcAAvgDMqX5yZ_KMrztoeqw&oe=693105C2;Ankara’da Anıtkabir’i ziyaret ederek Atamızın huzuruna çıktık. Cumhuriyetimizin kurucusu, Ulu Önder Gazi Mustafa Kemal Atatürk’ü saygı, minnet ve özlemle andık.   O’nun bizlere gösterdiği aydınlık yolda, ilkelerinden ödün vermeden, kararlılıkla ve yorulmadan yürümeye devam edeceğiz.;;0
https://www.instagram.com/p/DRjPId4DNY_/;Carousel;1423;29;0;2025-11-27 09:54:02;https://scontent.cdninstagram.com/v/t51.82787-15/590410008_18401739913192639_6545713252988149663_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NDkyNzQ1NjU5MjIzNzU2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=GAUKprjprvAQ7kNvwGSMMkh&_nc_oc=Adk0Ok20399XB00uIWtMMITvOTdK-LU-JqiMeJr2z-haYZgApqgrCNhNK1fc9xmJMPQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfimbFQybGyRvmcr8ygay8F20XJSWKdvXnWbBbct218heQ&oe=69312CEB;"Söz verdik, hayata geçiriyoruz. “Bizim Evimiz Projesi” artık hayal olmaktan çıktı, gençlerimizin sıcak bir yuvasına dönüşüyor. Artık iç dekorasyon ve peyzajda son dokunuşlardayız.  🎓 Üniversiteli kardeşlerimiz için; 🍵 Sıcak çorba, çay 🛋️ Sıcacık bir ortam hazırlıyoruz.  Giresun Belediyesi olarak gençlerimizin yanında olmaya devam ediyoruz, devam edeceğiz. Çok yakında “Bizim Evimiz” kapılarını açıyor… 🥣";;0
https://www.instagram.com/p/DRjLVoejFPq/;Carousel;630;6;0;2025-11-27 09:20:53;https://scontent.cdninstagram.com/v/t51.82787-15/588594422_18401737960192639_8112885154154184909_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NDkxMDc2MDg1NDc1ODk0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=lg4fB2HJF08Q7kNvwE1y-eR&_nc_oc=AdkfGuwrxXRebXagNvcc-mT4hawkU0A-awGfjB_VyQDjJyKDi-7Ftzlt88aYIwNFuK4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfgX3a4E9RVvx0WTaGG1SX-HkUMD_pUVrswOhy0jgP54oQ&oe=69311424;Tarihi Kazancılar Yokuşu’nda bir süre önce duyurduğumuz yenileme çalışmalarına başladık. Modern kaldırım taşlarıyla tarihi dokuyu koruyarak bölgeyi estetik bir görünüme kavuşturuyoruz. Çalışmalarımızı en kısa zamanda tamamlayıp sizlerin kullanımına sunacağız.;;0
https://www.instagram.com/p/DRjJR3uDFpT/;Carousel;516;4;0;2025-11-27 09:02:54;https://scontent.cdninstagram.com/v/t51.82787-15/590402509_18401736751192639_5551580007720958934_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NDkwMTcwOTU2MzU1NjQ3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=uSiR1T7cA28Q7kNvwEVSlPK&_nc_oc=AdlgSBXEtX3Z5GhUiDnB61OgysPpbSjIBzaBrcDBgT1kWRkan30lgu2gfHdGVVS4DUk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfhiQaVh7ipuMAUVw4Y8KO_8V9D4umjc-cFvQ65MGdtKhw&oe=6930FFB5;Şehrimizin her köşesinde alt ve üstyapı çalışmalarımız tüm hızıyla devam ediyor. Erikliman Mahallesi 201 ve 69 Nolu Sokak’ta taş duvar yapımı ve yol genişletme çalışmalarını sürdürüyoruz. Nerede ihtiyaç varsa, ekiplerimizi orada görmeniz mümkün. Çünkü tek gayemiz, insanımıza hizmet. Bunun için çalışıyor, üretiyor, emek veriyoruz. 🚧;;0
https://www.instagram.com/p/DRhpJlUDPez/;Carousel;990;9;0;2025-11-26 19:02:54;https://scontent.cdninstagram.com/v/t51.82787-15/587617002_18401680816192639_7015959179982084497_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NDQ3ODkyMzQ4NTQ3NTAxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Y7DaAM06YRUQ7kNvwEwYYvp&_nc_oc=AdlUmhFp_j2U1yKqehAai9c_fFapgylTq08j8LRVzagieqN3rK_Hz2e8OhN_283ps8A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_Afhlmh2RHWjy_9d68Jc1gGDM65b2manc0HSR84oGR_7lEg&oe=6930F918;Bugün de Kitap Fuarımızda gençlerimizle bir araya gelmenin mutluluğunu yaşadım. Fuar alanındaki enerji, merak ve okuma heyecanı bana her defasında büyük bir umut veriyor. Gençlerimizin kitapla kurduğu bağ, şehrimizin kültür yolculuğunun en değerli parçası.  Her bir gencimizin gözündeki ışık, Giresun’un yarınlarına duyduğum güveni güçlendiriyor. Bu güzel atmosferi yaşayan, emeği geçen ve fuarımıza ilgi gösteren tüm hemşehrilerime teşekkür ediyorum.  Kitabın birleştirici gücünü birlikte çoğaltmak için herkesi fuarımıza davet ediyorum.;;0
https://www.instagram.com/p/DRhYf9IjCM1/;Carousel;613;3;0;2025-11-26 16:37:25;https://scontent.cdninstagram.com/v/t51.82787-15/588044011_18401666842192639_4322814986438995154_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NDQwNTY5OTYwMzAzNTQzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=Hq_Sgb47xJ4Q7kNvwHbd63w&_nc_oc=AdmV-BMuwFkk6UHJuXHsIp_A2RfAgrUUbUPRsZsALiBzu75A5y4wgQ0NgjYQmESZ064&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=UIX9zzsPe9qBii1zsgh6fg&oh=00_AfjdsZa3dvUO7a8lskM18Qn2-q3PSMBnReidwZGrhjPPwg&oe=6930FA23;Bugün tarihi Millet Bahçemizde hemşehrilerimizle keyifli sohbetler ettik. Şehrimizi birlikte yönetmek için tüm görüş ve talepleri dikkatle not alıyoruz. İlgi ve samimiyetleri için herkese teşekkür ederim.;;0
