PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DQeXaL5jNkL/;Reels;3384;137;2749017;2025-10-31 16:01:55;https://scontent.cdninstagram.com/v/t51.71878-15/573118830_1361624352171142_551838864146464831_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc1NTU0MjA5MzgyNjQxNDg1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=WGkrW0SJCQwQ7kNvwEb-wVU&_nc_oc=AdlsHpA31kEDla9GfFcAAwm1zXL6mBGidXWI7ZBxK-0g7yWyBa87NSxU1FUxoP70Awc&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfiUdgfQdqotVMMKLJpz1_yijUWr5AAkKKz0S377Fh4shA&oe=6931187C;"Kahramanmaraş, artık UNESCO Edebiyat Şehri!  Uzun soluklu bir emeğin, sabrın ve inancın ardından; kelimenin, şiirin, hikâyenin başkenti Kahramanmaraş, UNESCO Yaratıcı Şehirler Ağı’na resmen dahil oldu. Türkiye’den “Edebiyat Şehri” unvanını alan ilk şehir olmanın gururunu yaşıyoruz.  Bu başarı; yüzyıllardır kelamla yoğrulmuş bir medeniyetin, kitap kokulu sokaklarda büyüyen bir kültürün, kalem tutan her yüreğin ortak zaferidir. Tüm paydaşlarımıza şükranlarımı sunuyorum.   Bu unvan, Sütçü İmam’ın direnişinde, Abdurrahim Karakoç’un dizelerinde, Cahit Zarifoğlu’nun dualarında, Sezai Karakoç’un umutlarında, Necip Fazıl Kısakürek’in satırlarında vücut bulmuş bir edebiyatın taçlanmasıdır.  Bugün Kahramanmaraş, bir millet hafızasının, bir medeniyetin kelimelerle yeniden doğuşunun simgesidir. Artık dünyanın her yerinde, edebiyat dendiğinde Kahramanmaraş yankılanacak.  Kelimenin kalbi, şiirin vatanı. #Kahramanmaraş #UNESCO #CreativeCities #EdebiyatŞehri #CityOfLiterature #YediGüzelAdam";99700.0;0
https://www.instagram.com/p/DRnNSxqDHJE/;Reels;1210;26;56846;2025-11-28 22:55:46;https://scontent.cdninstagram.com/v/t51.71878-15/587928438_1462912788116132_2319891597700027829_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjA0NTI3NzQ0NzQ4Mzk3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=bt5iIX3StbwQ7kNvwFzqBAs&_nc_oc=Adlo1ok9TXjbt3Ll_RQkRHW4z5ALsVd4_SWBh3BvCsuSKXVGskVgNFOFz2vBSqsy3nQ&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfhBinKpATMhyPKgEv_Ov4aeJI2H6KYrTRDADPr2owXdlA&oe=693109CA;📍Afşin  • Büyükşehir Belediyesi olarak 19 ayda Afşin ilçemiz için öz kaynaklarımızla 1.7 Milyar TL’lik yatırımı hayata geçirmiş olduk.   • İlçe merkezi ve kırsal mahallelerimizde 120 Milyonluk altyapı çalışmasını tamamladık.   • 800 Milyon TL’lik yatırımla, bölgeye hitap edecek Kuzey İlçeleri Asfalt Üretim Tesisimizi son aşamaya getirdik.   • 685 Milyonluk yatırım olan Kuzey İlçeleri Entegre Katı Atık Tesisimizi faaliyete aldık.   • 250 Milyon TL’lik yol yatırımı gerçekleştirdik.   • Depremde barınma merkezi olarak kullanılan Millet Bahçemizin yenileme çalışmasına başladık. Önümüzdeki Haziran ayında tamamlamış olacağız.   • Göksun – Elbistan yolu Hüyüklü kavşağından Afşin Şehir Hastanesi ve TOKİ Yerleşkesine uzanan 2,5 km uzunluğundaki arterde yenileme başladı. Yaklaşık 100 Milyon TL’lik bir çalışma. Bakanımız Vahit Kirişci başta olmak üzere tüm milletvekillerimize ve Karayolları Genel Müdürlüğü’müze teşekkür ediyorum.   • Millet Konağı, Gündüz Bakımevi ve Kreş ile Otogar projelerimizi de inşallah bir bir tamamlayacağız.   • Her alanda, sosyal desteklerden yeni projelerimize kadar Afşin’e hizmetlerimiz artarak devam edecek.   Kahramanmaraş’ı her ilçesiyle her sokağıyla yeniden ayağa kaldırıyoruz.;;0
https://www.instagram.com/p/DRl9WbyjEII/;Reels;2888;56;96113;2025-11-28 11:17:23;https://scontent.cdninstagram.com/v/t51.71878-15/589356425_1891253038096539_6776008476712401475_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NTY5MzY4NTEyNDc3NjQ1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=BnJHNSDlGZ4Q7kNvwFfpzdK&_nc_oc=AdnVizLEeo7Dq-39WAXTWGUtWS4NdU4KKP7g4X_wx7GzM0FNMvhmKsDTI6Cin15IdK4&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_Afg99a4I4E9fRXq6ueyUf7jA8MJp02LjRKpwz8DIxE8aLg&oe=693110C4;Maraş Milli Mücadelesi’nin sembolü #BayrakOlayı’nın 106. yıl dönümünde kahraman ecdadımızı ve aziz şehitlerimizi rahmet ve minnetle anıyoruz. 🇹🇷;;0
https://www.instagram.com/p/DRhyrphDF5C/;Reels;2274;65;82302;2025-11-26 20:30:17;https://scontent.cdninstagram.com/v/t51.71878-15/587295817_1553690259162214_2647271994486115095_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NDUyMDg2NDU1NDExNDYyNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=EuBct2d-0YAQ7kNvwHLxoyQ&_nc_oc=AdnhUC8_Pa0uR-JkNf4eHA21UzLpfNNFCTR5sRfWv-smRImkafdt3QTvNTLJdF9mzdY&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfivKDdEe858pC83NPK9ggHchV44tdaybPFkwYci2xZvmA&oe=69312F73;"Aynı göğün altında ortak bir paydaya gönül vermek; Kahramanmaraş ❤️";;0
https://www.instagram.com/p/DRe-YMcDCWf/;Reels;1032;30;54175;2025-11-25 18:12:25;https://scontent.cdninstagram.com/v/t51.71878-15/588722966_1161333252862665_6508008554589129687_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MzcyNzg3OTI4OTY0NDQ0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=LHrnp0_yGYAQ7kNvwEcI1N_&_nc_oc=AdkWhCp6glY2_L-IfdqYFl0ulVPawP4ovg5-YIurjRqtpJoH5ghiapVTLqiCEUlwbCo&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_Afh7YaIVr49_tiINuyc32GcMOfSQUrJhOEAIBaBsq2vJxg&oe=69311F22;"6 Şubat’ın yaralarını sararken Türkiye’de bir ilke daha imza atıyoruz.  Büyükşehir Belediyemizin öncülüğünde geliştirilen Yapay Zeka Destekli Sosyal Risk Haritası ile artık şehrimizin tüm hassas grupları çocuklar, kadınlar, yaşlılar, engelliler ve sosyal destek ihtiyacı olan herkes tek bir sistem üzerinden takip edilecek.  Bu yenilikçi model sayesinde: • Mahalle mahalle, sokak sokak gerçek ihtiyaçlar tespit edilecek, • Şiddetle etkin mücadele güçlenecek, • Bağımlılıklara karşı erken müdahale mümkün olacak, • Tüm sosyal hizmetler tek çatı altında entegre şekilde işleyecek.  Bu çalışma; kamu kurumları, yerel yönetimler ve STK’ların ortak akılla yürüttüğü Türkiye’de ilk kapsamlı sosyal risk yönetim sistemi olma özelliğini taşıyor.   Kahramanmaraş için daha güçlü, daha güvenli, daha dayanışmacı bir gelecek başlıyor. Şehrimize hayırlı olsun.";;0
https://www.instagram.com/p/DRc0L70DNry/;Reels;6163;154;184281;2025-11-24 22:04:21;https://scontent.cdninstagram.com/v/t51.71878-15/587360623_24535387756135849_9013090929925398887_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MzEyMDEwNjM4NjQ3OTg1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=rFS4PZ3SoZkQ7kNvwHaZNUf&_nc_oc=AdngfMZsnQIonnEkP8IHslYedC64ZQjikQ8qm2q1sKcf6Qwmalz9iDFTlWYh_k3aEfc&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_Afhr9teNpCnJwrpeI2tx7vWAdPNy331J656l13HtV_9LhA&oe=6931216B;Seher Türker, İlkokul Öğretmenim ♥️  Ben ziyaret edecektim ama “Seni iş yerinde görmek istiyorum” dedi.   Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü kutlu olsun 💐;;0
https://www.instagram.com/p/DRVM_rXDEWW/;Reels;2144;75;102243;2025-11-21 23:06:46;https://scontent.cdninstagram.com/v/t51.71878-15/584395246_1776750182983244_113335972473620469_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MDk3NzQxNTQzNTQwNDY5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=ace5PumQk2EQ7kNvwGPW6Fr&_nc_oc=AdnBojbsryKK5nQWXNQLYDO0XdLvddCc2fmzCQVJFOAmd9m_-w0gPKJFWuvMjmThOA8&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfjEQd4IcNEteA9iM_8wSzmSmQ7aomibgIZOMZ_4NKsGZQ&oe=69310B3F;🔹Yeni Stadyum  🔹Yeni Hastane  🔹Yeni Sanayi Sitesi   Hemşehrilerimin desteğiyle nice nice yeni işlere...;;0
https://www.instagram.com/p/DRP8QCxDDvS/;Reels;6490;233;275688;2025-11-19 22:04:28;https://scontent.cdninstagram.com/v/t51.71878-15/584050432_868146389052342_292168072002080642_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc2OTQ5NjM5ODQwNTA1NzQ5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=6-Tt4wKW35MQ7kNvwFTO0Mw&_nc_oc=AdlPJ9wVuiT9n57NYgc1BpsltEr9kmez25LTOgni_Ng5QLuDU0NDMFvR7FH1dgI6AFE&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfgoFVH3gABSobhrh-SBv_Pgn52iXet4CCjha7YuU37jHg&oe=6931062C;Çok daha güzele, hep birlikte♥️;;0
https://www.instagram.com/p/DRNOjazjFFb/;Reels;1442;44;71119;2025-11-18 20:47:44;https://scontent.cdninstagram.com/v/t51.71878-15/583044149_1357783739147573_1266846162521734684_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc2ODczMjQ2OTc5MzkzNTcwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=d3TwA5C9HfEQ7kNvwEPVwsj&_nc_oc=AdkvN435FQp2Y_yJq4YOla6uy-7-n2-4c9RxKSJFjX4en7K912UYIENX_PV2tR7jT7Q&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfhjhbFEle3rBCD_h1cfqr3umonpQMoZMoi5KO00BdAu_Q&oe=69310496;Pusula Maraş ile gençlerimize söz verdiğimiz birçok projeyi gerçekleştirdiğimiz ilk 6 ayı geride bıraktık😍  Yeni çalışmalarımız da olacak…  Pusula Maraş’ın gündemine yeni projeler eklemek isterseniz yorumlarda buluşabiliriz ☺️;;0
https://www.instagram.com/p/DRFWvYLjDdT/;Reels;2067;32;108231;2025-11-15 19:23:43;https://scontent.cdninstagram.com/v/t51.71878-15/582472361_1995722891211067_4206813693887868782_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc2NjUxNjY3NjE2NzQ4MTE3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=cP6boSHh_AEQ7kNvwFVH1sq&_nc_oc=AdnQeu1LlnQ6QKVqnD4yXQV9jYKb4pxXHEnbDYaLy1yjj8Xk6GL9tmyIu40yBQRC5rs&_nc_ad=z-m&_nc_cid=125&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=fhE-1jv4HD_KgRdrW54fiw&oh=00_AfhQfY_y1Mpzz_KFxSzpDqi-go_T5iXXV9jhJyrvJkxNdw&oe=69311D5F;Şehrimizde 51.875’inci, deprem bölgesinde ise 350.178’inci konut ve işyerinin anahtar teslimlerini Sayın Cumhurbaşkanımız Recep Tayyip Erdoğan’ın Adıyaman’dan canlı bağlantı katılımlarıyla gerçekleştirdik.   Dakikada 3, saatte 23, günde 550 yeni konut üretebilen güçlü bir devletin mensubu olmaktan onur duyuyoruz.  Şehrimizi ve deprem bölgesini bir an olsun yalnız bırakmayan Sayın Cumhurbaşkanımıza ve Sayın Bakanlarımıza şükranlarımı sunuyorum.  Hayırlı olsun Kahramanmaraş.;;0
