PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRhbNnmDIIu/;Reels;2003;71;75547;2025-11-26 17:03:32;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/587035898_695268920315580_2941831099232937921_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NDQxNzY0NTgzNjQ2ODc4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=kSfvjZTrfJQQ7kNvwFEU77b&_nc_oc=AdntcGkvadSHybudH9x8rwPFbEElQBHgZXOuUT1jGL9_EiDvWsn5NXdf400sXuyaQA2EVz_DqM82qn2R0-QWdVSe&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfildBzMUmtXli5__OQORHF79MqErRg58l8577--cS7EMA&oe=69312C37;"Çocuklarımızın emri başımızın üstüne… 💐 Bugün belediyemizin gerçek sahiplerini, geleceğimizin mimarı olan evlatlarımızı ağırladık. İlerleyen yıllarda ise biz onların misafiri olacağız; daha güzel bir şehirde, daha umutlu bir gelecekte…  Onlar için çalışmaya, üretmeye ve şehrimizi birlikte büyütmeye devam edeceğiz.";57954.0;0
https://www.instagram.com/p/DRfITZ4jvxa/;Carousel;776;2;0;2025-11-25 19:37:24;https://scontent-lga3-2.cdninstagram.com/v/t39.30808-6/589601195_736079339512263_3642544312571231636_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mzc3MTUxMzQ1NjQyMjc4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyODB4ODU0LnNkci5DMyJ9&_nc_ohc=d9DHeEXmD6kQ7kNvwFIlchd&_nc_oc=AdlwQZwN_GMnT73mo-p57WO4m9eGf4XJT74s5W8C-Qe8eTM93t5fVETGmhbmKmdYJkcTcQ041CB0dgViJ5G7uwgr&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfhcHhwP3BxO2Lyn3ZydXs9Pr663rj9FSVVmKO8YYY4FRg&oe=69311288;📍Genç çiftlerimizin nikâh akitlerini gerçekleştirdik.  Bu özel günde onların mutluluklarına şahitlik etmek bizim için büyük bir onur.Bir ömür boyu huzur, muhabbet ve birlik diliyorum.  Rabbim mesut etsin. ❤️;;0
https://www.instagram.com/p/DRcrYGajnI_/;Photo;214;2;0;2025-11-24 20:46:10;https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/586159254_735360552917475_6073298112835390602_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3MzA4MTM1OTk4NTA0NjA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTUzNi5zZHIuQzMifQ%3D%3D&_nc_ohc=EcBkYPw782sQ7kNvwGgdo5A&_nc_oc=Adnb9f8yQNXtoQ6ncRFGaB3ZD29lj4asDg1uiuYI68zpX4R6UdejbJkk0prTetnqRx3VDheHCToB4E8451EWS-dY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_Afjo9FWI9vvwinDEZPpkmU5I9zoPwZIXETqOXDv9NRxTHg&oe=69311761;Haftaya dolu dolu bir başlangıç! 🤝✨  Cumhuriyet Halk Partisi İl Başkanımız Av. Umut Sapan, Merkez İlçe Başkanımız Ahmet Geloglu ve Belediye meclis üyelerimiz ile bir araya gelerek hem istişare toplantımızı yaptık hem de memleket üzerine güzel sohbetler ettik.  Birlikte konuşuyor, birlikte üretiyor, birlikte güçleniyoruz. 💪🇹🇷;;0
https://www.instagram.com/p/DRcNREmEnSa/;Reels;1307;42;39073;2025-11-24 16:27:59;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/586060988_18052073672654757_3414490108541117457_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3Mjk0ODkzNTU5OTA5Mjg5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMTV4MjE2MC5zZHIuQzMifQ%3D%3D&_nc_ohc=CdrG7wQdmksQ7kNvwF3pZnx&_nc_oc=AdnrHMFr8AZqK4dLnOMiapBHd0o-Chj_K42VoZ_pNPo6M2JVuWG_jJeJh7kC4y3UjQ-lkQreO7rLoY2L-JZvTaVp&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfikClhEgyXq9ZGdTTGu_XX29Cnn7QEd2p-fnEvVL-ulxQ&oe=6930FFEB;Şehit öğretmen kardeşlerim, sizleri ve aziz hatıralarınızı unutturmayacağız...  24 Kasım Öğretmenler Gününüz kutlu olsun.;;0
https://www.instagram.com/p/DRb9fJ1jktY/;Carousel;727;11;0;2025-11-24 14:05:10;https://scontent-lga3-3.cdninstagram.com/v/t39.30808-6/588724817_735118742941656_5937494735108294198_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3Mjg3OTUxOTExMjY0MzI3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyODB4ODU0LnNkci5DMyJ9&_nc_ohc=mwKinwWJnXMQ7kNvwEVIweV&_nc_oc=AdkKYhYrXWePz6G2nmC8cG131sw9zBW_nmK9dpL71pBS4RaujkI7UfwdpfDjNgxCzlKMphGlDaH3yzmA5-vwrRqM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfhLbxDLg41YRK7QhUC14gv7sDguz9mocc6r-F-Ub59c-A&oe=693129A1;"Açtığın yolda, gösterdiğin hedefte…  Cumhuriyet’in güçlü, üretken ve ilham veren kadınlarını anlatan Cumhuriyet Kadınları Sergisi kapılarını açtı! 🇹🇷  Her bir eser; emekle, umutla ve Atatürk’ün izinde yürüyen kadınların hikâyesini taşıyor. Sanata, Cumhuriyet’e ve kadınlara gönül veren herkesi bu özel sergiye bekliyoruz. ✨💫";;0
https://www.instagram.com/p/DRZOSgHjOZD/;Reels;441;6;39138;2025-11-23 12:54:42;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/587193606_9732345116890104_5875435114659501113_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MjEwOTAwNjk4NzY1MDYyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=FHfIK1x1-ucQ7kNvwFK7D67&_nc_oc=AdmGCMyCd0oSkJiRIuIGP6JN-dbHMvNGEgy3NXyh7FopcA1Ck5y28v_EIByWCM11UNP4yAFtaerhsVNtuv5VKJCM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfjzvStUpug51J6-YHmzkyMfXGITiAkgRV-k6J27FdhtKQ&oe=6931003E;📍Şehrimizde gerçekleşen mitingi vatandaşımıza sorduk…  Sahada nabzı tuttuk, mikrofonu hem esnafa hem vatandaşa uzattık.  Herkesin ortak beklentisi belli: Daha canlı bir şehir, daha hareketli bir ekonomi, daha güçlü bir esnaf.  Biz de tam bunun için buradayız.Her adımımız, her etkinliğimiz, her organizasyonumuz şehrimize değer katsın, esnafımıza kazanç olsun diye.  ✅Ne yapıyorsak, şehrimiz ve esnafımız fayda görsün diye yapıyoruz.;;0
https://www.instagram.com/p/DRXg1zSjAMV/;Photo;166;0;0;2025-11-22 20:37:54;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/587816783_18051887144654757_5758509318706788633_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MTYyNzY0NzYzODcwMDgyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTAxNC5zZHIuQzMifQ%3D%3D&_nc_ohc=st5JEXiL8UUQ7kNvwEFzLv3&_nc_oc=AdlnMa8gF4KUqAhOCVq6OKa4vgdAKIhsIrfRRdwxridt7Hc3PewxYKRzAw_dAIGz8tJMlCum6S5W92pOF8V9rhEG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfjFkA1o9euOQoN7vA7IG5rIhuiLpU6jp8OcKZMnCJ2qMg&oe=693113D2;"Söğütlüdere Mesire Alanımızda; çim ekimi, ağaç budama ve bitkilendirme çalışmalarımızı başlatıyoruz. Sizlerin daha keyifli, daha yeşil ve huzurlu bir ortamda vakit geçirebilmeniz için alanımız 10 gün süreyle piknik kullanımına kapatılmıştır.  Bu süre boyunca Söğütlüdere Restoranımız sizlere hizmet vermeye devam edecektir.  Daha güzel günlerde buluşmak dileğiyle… Anlayışınız için teşekkür ederiz.";;0
https://www.instagram.com/p/DRWkhrUjQUX/;Carousel;569;4;0;2025-11-22 11:50:51;https://scontent-lga3-3.cdninstagram.com/v/t39.30808-6/588696159_733474856439378_5234593254791460911_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MTM2MjM3MzgyNDAxMjEyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MS5zZHIuQzMifQ%3D%3D&_nc_ohc=P_q9FXEC3FYQ7kNvwF7q_Ak&_nc_oc=AdkHaY_8CBnBwiD-GNEAaFiJvaCQHl3nwJNvuLUq-E72IQAOSfUzXmm_dBulyXPpq7s4gCJ8tJx6PvJYz8Ts4lOo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfhSchWAErJJA6w1ToX2X1Iy32Eh_aw_adO8Po3gYd-AOg&oe=6931367B;Birleşmiş Milletler Kalkınma Programı (UNDP) ile yaptığımız görüşmede, Kilis’te hayata geçirilen Dijital Gençlik Merkezi (DİGEM) projemizin son durumunu değerlendirdik. Gençlerimizin yapay zekâ ve çeşitli teknolojik alanlarda eğitim alarak nitelikli meslekler edinmesini hedefleyen bu önemli yatırımın ilerleme sürecini ele aldık. İnşaat süreci önümüzdeki günlerde başlayacağı haberini kıymetli hemşehrilerime sunarız.   Ayrıca, Birleşmiş Milletler hibesiyle kurulacak olan yeni Atık Ayrıştırma Tesisi’nin mevcut durumu ve yapılacak çalışmalar üzerine kapsamlı bir değerlendirme gerçekleştirdik.  Ayrıca şehrimizdeki kadınların ekonomik ve sosyal hayata daha güçlü katılımını sağlamak amacıyla, kadın meslek edindirme merkezlerimizin yeniden faaliyete geçirilmesine ilişkin son derece verimli bir görüşme yaptık.;;0
https://www.instagram.com/p/DRUl5b3jHMp/;Photo;1800;20;0;2025-11-21 17:24:21;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/584248828_18051765125654757_4011930072632352452_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3MDgwNTQ2MjY3MDAxMzIyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=ConQryBt3uUQ7kNvwGmoSzJ&_nc_oc=Adm8PoXNtPTgGstQoB1SLHzrFXv_GjGuMPPEVNyq0gylH8CPhFkik4L5Nr8i6C-Iaskc0RmHhnFjUQQfR71Nes1n&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfgjH9xOD0l7pGkFw_xg0KZNV_9dZT3blY6poYaBdrMqeA&oe=693115DD;İsveç büyükelçisi Malena Mård ile Kilis’te içme suyu altyapısının revizyonu ve kayıp-kaçak oranlarını azaltmaya yönelik kurulacak yeni teknolojik sistemin finansmanı hakkında verimli bir görüşme gerçekleştirdik.;;0
https://www.instagram.com/p/DRMbSFmks9l/;Reels;1386;37;38889;2025-11-18 13:21:54;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/581533040_18051422315654757_8022809268097490462_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc2ODUwNjk3ODQyNDUwODI2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=rqdS7BvfpmYQ7kNvwEgMeFE&_nc_oc=AdlmCzYgd3XTJYOHk6gNbcX-lWy3zwiY8KoHAT4frmKIsXVKYamiUF9aXgt5kyfBlXb90dIWUp326vMDMM7aYPex&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=adJgvPU2nTx8MWWYztbwkg&oh=00_AfjO_ZDZx30C9HpuhTQX1SHz73y_XRQ_Dphr6F4upRo2pg&oe=69312E4F;Türkiye’nin Çaresi Genel Başkanımız Özgür Özel’i ve Ankara’nın gururu Mansur Yavaş’ı şehrimizde ağırlamanın büyük mutluluğunu yaşadık. ❤️  20 yıl sonra yeniden Cumhuriyet Halk Partisi’ne kazandırdığımız belediyemizde, halkımızın coşkusuyla unutulmaz bir gün yaşadık.   Genel Başkanımızın güçlü duruşu, örgütümüzün dayanışması ve hemşehrilerimizin desteğiyle daha yapacak çok işimiz, kazanacak çok yolumuz var.  Birlikte büyüyoruz. Birlikte güçleniyoruz. Birlikte kazanıyoruz. 🇹🇷;;0
