PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpjqSIDDKo/;Reels;286;5;11550;2025-11-29 20:55:09;https://scontent-man2-1.cdninstagram.com/v/t51.71878-15/586842582_738538401940639_3699574020104423767_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjcwNjU5OTgzNTE1MzA2NDgxNzgyNDU1MTE1MzYxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=3IXeXJAtZsgQ7kNvwHegm-R&_nc_oc=AdmnBDHFsM-5RSDxWaK0c2Wa1wSSZkPPT4Mxu007vgat3pzoMFyGPlJVRQ9udPuycXw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfiEwIHik7pIXhsotZdI934ODzLCsxyibyItF-UqYP_eOA&oe=6930FFC5;Kalpten kalbe giden yolu görmek ayrı, anlatmak ayrı, o yolda yürüyebilmek apayrı mesele...  Şehrimizin yaşayan değerlerinden Âşık Rıfat Kurtoğlu, konuğumuzdu. Ustaya Allah’tan sağlıklı ve uzun bir ömür diliyorum.  #ÇorumİçinAşkla #Âşık #Aşık;200610.0;0
https://www.instagram.com/p/DRo7wvCjMbi/;Reels;1278;25;55832;2025-11-29 15:19:01;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588628917_18230230150307214_3776985125222769664_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjUzMTEyMTMzNzg0NTQ3NDE4MjMwMjMwMTQ0MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=gPNaQU1qQb4Q7kNvwEqF0mB&_nc_oc=AdmmHxIKT1mQ3besAzgN9Rj4QQi43XTjT8XX7lK_1tdpxsPaQwQf4cinpflnAU3N7oI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfjdSDeW2zkxOhrspKH1bIqwbk-UNsF13K6v8w7YSqYmpg&oe=6931154F;Çorum diye yazılır, samimiyet diye okunur 🫶🏼❤️🖤  Mutlu bir hafta sonu geçirmeniz dileğiyle 🧿🫶🏼  📍Gülabibey Mahallesi  #ÇorumİçinAşkla;;0
https://www.instagram.com/p/DRmhuqTjO97/;Reels;2232;39;146929;2025-11-28 16:58:17;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589059559_18230142586307214_1824089548637131519_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NTg1MzY3OTY1MjY5NTkzMTE4MjMwMTQyNTgwMzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=nQ6p63bnZ3kQ7kNvwHCVkiQ&_nc_oc=AdmJyKLtxmut09P1xph81ar2LZKaJDzjCUk8xEbto8uNZnLx62hu9LMG2ZzN7fdajnQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfjKV5ylcxBrRVchWEO94wkxS6yjNYE6Mxdf8RaXr8pl-g&oe=6930F763;Suyumuz, tertemiz 🧿💧🧐  Dağ, tepe arayıp bulduğumuz ve binbir zorlukla şehrimize getirdiğimiz su, musluklardan da tertemiz aksın diye önemli bir yatırım daha yaptık.  SCADA (Denetim) merkezimizin envanterine kazandırdığımız yeni analiz cihazı ile suyumuzun tüm testlerini artık şehrimizde yapabileceğiz.  Güzeller güzeline bu güzellik de hayırlı olsun 🫶🏼  #ÇorumİçinAşkla #Su;;0
https://www.instagram.com/p/DRl6XXojNaz/;Reels;1696;24;103209;2025-11-28 11:13:43;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589131188_18230118898307214_2128863990913307209_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTY4MDU1NTI0MjAxODQ4MzE4MjMwMTE4ODg5MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMyIn0%3D&_nc_ohc=FtumfLDUWuoQ7kNvwEcr8x4&_nc_oc=AdkGr2QsKaaYy1RJxgda3aI3ozoQU3x8gVh2D6AArRh9f6X5Pl0dooXYK8wk8Vx_HXQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfidKa8brk_025Qhv-LcLWfe2ipwCaMwQkWFb0DF6kU9cQ&oe=69310119;Yine çok güzelleşiyorsun 😉🧿🎨🖌  Çorum Kalesi'nden Ulu Camii'ye uzanan ve seçim öncesi sözünü verdiğimiz projeler arasında yer alan Tarihi Kültür Yolu projemizde cephe sağlıklaştırma uygulamamızda sona yaklaşıyoruz ⌛️  Projemize sundukları büyük destekten dolayı Çevre, Şehircilik ve İklim Değişikliği Bakanımız Sn. Murat Kurum’a bir kez daha şükranlarımı sunuyorum.  #ÇorumİçinAşkla #HayırlıCumalar #HayırlıSabahlar #Çorum;;0
https://www.instagram.com/p/DRjYmA2jCyg/;Reels;3872;76;202089;2025-11-27 11:24:47;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589278533_18230023357307214_7695236338503721140_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NDk2OTA3ODAzODE0NjIwODE4MjMwMDIzMzUxMzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=T_aubESo74MQ7kNvwFNJvbE&_nc_oc=Adnn4DTJFfIDveBf2kg1mHPJTYbcYIjcG0utyFW9CYbgciIPNDbUsqOV_8QVsYT6K6c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfgTpagnxanNyJ7PqgoQogupHH5OEE3442kpRwWdNEJkDw&oe=69312A7F;Halkın evinde, halkın emrinde 🫶🏼  Halk günümüz, her çarşamba 14.00'te.  Tevazu, samimiyet ve gayret ile #ÇorumİçinAşkla   📍Çorum Belediyesi Yeni Hizmet Binası;;0
https://www.instagram.com/p/DRhzYy1jGub/;Reels;21968;275;599953;2025-11-26 20:37:00;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587552877_18229970698307214_1391658072907533394_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NDUyMzk2NjkzODE4MDUwNzE4MjI5OTcwNjk1MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=H5bJPXclA38Q7kNvwEoOAjH&_nc_oc=AdkGQKCjLhHYDzSvVJz6N0h_Rlx_SW3nNSiyr9yJjiPn3YjheIvjRWy0lMrvE0KMnNA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_Afh49SrdDFJZO0e1Gg2jhLyULSkHep7ROOadG8oS0k7zGQ&oe=6930FBBB;Çorum'da hangi sokaktan kim çıkar, belli olmaz 🫶🏼  Sürprizlerle dolu güzel şehrin güzel sakinlerine selam olsun 🫶🏼❤️🖤  Kardeşimizin yüreğine sağlık💐  📍Gazi Caddesi   #ÇorumİçinAşkla #HayırlıAkşamlar #Çorum;;0
https://www.instagram.com/p/DRhcwIZjKjL/;Reels;6856;144;209662;2025-11-26 17:31:35;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588550215_18229953544307214_6987586129063002663_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NDQyNDQxNTU2ODk2Mzc4NzE4MjI5OTUzNTM4MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=11vjXoe_MWEQ7kNvwFZoo1a&_nc_oc=AdnxeK8Uljta8hnsPUejIT3wt9Fyr04qrDoCP_JQKzwX3zlT6D_LsSAvDrK1QOGIdWs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_Afgd2mGh0ZG7U4bojkyryZ7_aBPc8LyAQrtVdaGLLx9deQ&oe=6931166E;Seviyoruz, hem de nasıl çok 🫶🏼🥰🧿  📍Öğretmen Salim Akaydın Ortaokulu  #ÇorumİçinAşkla;;0
https://www.instagram.com/p/DRgslvojI1x/;Reels;6704;128;334673;2025-11-26 10:38:14;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589048595_18229922773307214_2612935389831478523_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NDIxMjU5NTU0OTc2OTA3MzE4MjI5OTIyNzY3MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=M2IQ_mltCGIQ7kNvwGVTzFv&_nc_oc=AdlyC15aBjXcEjwVJlldx7pSFXp09rizQZPpPCCk7-TkXePcGRFDgkoTwHIj4zMME5Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_Afi0pk77dBfBIs6qYrl265TfW08zABiDprWcypzpQdfDqw&oe=6930F7B0;Çorum'da aşkın rengi belli ❤️🖤😉  Bahçelievler Mahallesi Şenyurt Sokaklar, A'dan Z'ye yepyeni ve kendi üretimimiz olan kırmızı-siyah karo ve bordürlerle çok şık.  Güzeller güzeline hayırlı olsun 🫶🏼  #ÇorumİçinAşkla #ArcaÇorumFK #HayırlıSabahlar #Çorum;;0
https://www.instagram.com/p/DRfCxH9jIl6/;Reels;800;8;47219;2025-11-25 19:31:05;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587676351_18229866547307214_8707238807747928739_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3Mzc0NzE4NDY1NTk2MDQ0MjE4MjI5ODY2NTQxMzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=fjpu6j8FBJEQ7kNvwEkbi-q&_nc_oc=AdlgBN63TpDYEi_UHhLkeNk9OAySBMPXGCeYCLJvIgEIpEqxudCa-ivXIf80A4i44tA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_AfjUnfi9BigVUylMSvngH5mLyj0ntqFXVoS0IKZB7UGdOQ&oe=69312787;Ellerinizden öpüyoruz 💐🫶🏼  Eğitim yöneticilerimiz, gençlik ve kadın kültür merkezlerimizde görev yapan mesai arkadaşlarımız ve şehrimizdeki emektar öğretmenlerimiz için düzenlediğimiz Öğretmenler Günü programımızı Sn. Valimiz Ali Çalgan, İl Milli Eğitim Müdürümüz Sn. Cemil Çağlar ve değerli protokol üyelerimizin de katılımlarıyla gerçekleştirdik.  Bir kez daha Başöğretmen Gazi Mustafa Kemal Atatürk, vatan evlatları için şehadete eren kahraman öğretmenlerimiz ve ebediyete irtihal etmiş öğretmenlerimiz başta olmak üzere tüm öğretmenlerimizin gününü gönülden kutluyorum 💐;;0
https://www.instagram.com/p/DReIj4RjJgT/;Reels;2530;65;114106;2025-11-25 10:31:12;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587618255_18229826992307214_4288885883788722928_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MzQ5MTE4Nzc2MDc5NzcxNTE4MjI5ODI2OTg5MzA3MjE0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=DLP0aD9jGVoQ7kNvwGCD0WN&_nc_oc=AdkKCkE6lBGWDwURtK32pqAuJ7Hf7w21WuTt-aKTIvjKef7Y2b_ZXhtTYVoI_t5UEJk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=ED524z5YcJI6lPqzogGEWg&oh=00_Afj5ze_uKAMU_XoLl8PMwVs1P5d0tChAuh8c4umK6B2yIg&oe=6931155A;Ekip yine eski yerinde, hayırlı olsun 🫶🏼🧿😊  Tadilat nedeniyle bir süredir Melikgazi Kültür Merkezi'nde hizmet veren Çorum Belediyesi Engelli Eğitim Merkezi'mizi tadilat sonrası asıl yerine geri taşıdık. Bu güzel kavuşmaya da güzel bir açılış ve kutlama yakışırdı 😉🫶🏼🥰  Engelli Eğitim Merkezi, yepyeni haliyle kardeşlerimize yeniden hayırlı olsun.  #ÇorumİçinAşkla #HayırlıSabahlar #Çorum;;0
