PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpYxPcDFnC/;Carousel;442;3;0;2025-11-29 19:13:42;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/587869960_18130086790499539_849873448668204534_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjY1ODY4MzM1OTcwODQ1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=f8_UZppENxcQ7kNvwG95Je5&_nc_oc=Adl4Ma8B95s72svjpgsxMoBHwEVBo_KrVBerfoRPeq7vU7pY4M1bWE9IEo0UtuX3_eD3v5dIvFidRgA8pveI4nxa&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_Afh2Obd1yHcwczB1GAdpWBbfp3heHG35jxr8rRgLja-EQg&oe=6930FE45;"📍 Samsun’umuzda “Yerel Yönetimler Başkanlığı Bölge Toplantısı”na ev sahipliği yapıyoruz.  AK Parti siyasetinin merkezinde insan ve insana dokunan hizmetler vardır. AK Parti belediyeciliği, “Milletle bütünleşen belediyecilik”tir.  Yerel Yönetimler Başkanlığı Bölge Toplantımızın 2. gününde; AK Parti Genel Başkan Yardımcımız ve Yerel Yönetimler Başkanımız Sn. Mustafa Demir, AK Parti Genel Başkan Yardımcımız ve Seçim İşleri Başkanımız Sn. Ali İhsan Yavuz, AK Parti Genel Başkan Yardımcımız ve İnsan Hakları Başkanımız Sn. Hasan Basri Yalçın ve araştırmacı gazeteci Sn. Ferhat Murat’ın katılımıyla eğitim programlarımızı tamamladık.  Bölgemizdeki 11 ilimizin çok kıymetli belediye  başkanları ve partimizin değerli isimleriyle gerçekleştirdiğimiz programımızla; Cumhurbaşkanımızın Sayın Recep Tayyip Erdoğan’ın önderliğinde şehirlerimizi, bölgemizi, ülkemizi daha ileri taşımak adına yol yürümeyi sürdürüyoruz.";69410.0;0
https://www.instagram.com/p/DRo2u3BjOqT/;Reels;451;12;21720;2025-11-29 14:16:51;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/587112119_1586881479402740_5787438397268580749_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NjUwOTAwMjIzOTUwMjk5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=F67OKdzQLpsQ7kNvwFEpW2A&_nc_oc=AdlC1plO7JoSAQGm86NMqQTSwlevAijGjYsWGWEWM4I-NH4xzsZbMGEI5t6VC7qK1-YjQBKf415UvtCCuE_AOGtB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_AfjX_ms0PdPE-BRlaqNyMBzJpMy4uTxZr7PH6g9hkVWwTw&oe=69312E86;"Samsun’da; proje var, eser var, insana dokunmak var!  Biz gönle girmeyi şiar ediniyor; “Önce hizmet, önce memleket” diyerek ahenk içinde hareket ediyoruz.  Mahallede, ilçede, ilde, bölgede “Ahenk” diyerek; bölgemizdeki belediye başkanlarımızı Samsun’umuzda ağırlayarak Yerel Yönetimler Samsun Bölge Toplantımızı gerçekleştiriyoruz.  Başta Yerel Yönetimler Başkanımız Sayın Mustafa Demir (@demirmustafatr) olmak üzere, partimizin tüm kıymetli isimlerine şükranlarımı sunuyorum.";;0
https://www.instagram.com/p/DRnPOj0DLV5/;Carousel;359;2;0;2025-11-28 23:11:50;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/587776482_18130012774499539_6159708635636196665_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjA1Mzc3MzE0NDQ1OTk2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYyLnNkci5DMyJ9&_nc_ohc=IrO5vvYW790Q7kNvwF5oXN6&_nc_oc=AdmHT2Zo_vTkzCUJvFEuBjvYeepc4mQOxDAUe8wxxjQSU7w56041dfICWsULBf3rMGqh3klOpbjbjdCd1Qa7ba7B&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_Afho9gWKll74EkfU25Mu6yR5MqLChgGJHQmwavhoHrzfFw&oe=693103E0;"📍Yerel Yönetimler Samsun Bölge Toplantısı  Milletle bütünleşen, gönle girmeyi şiar edinen, merkezine insanı alan bir geleneğin mensuplarıyız bizler…  AK Parti Genel Başkan Yardımcımız, Yerel Yönetimler Başkanımız Sayın Mustafa Demir, Yerel Yönetimler Başkan Yardımcımız Sayın Recep Altepe, Gaziantep Büyükşehir Belediye Başkanımız Sayın Fatma Şahin, Düzce Belediye Başkanımız Sayın Faruk Özlü ve Balıkesir Milletvekilimiz Sayın İsmail Ok’un katılımlarıyla, “Deneyim Paylaşımı” programımızı gerçekleştirdik.  Dünü bilen, bugün için emek harcayan, daha ileri yarınlar için durmadan çalışan bizler; dinlemeyi, istişare etmeyi, birlikte yol yürümeyi önceliğimiz kabul ediyoruz.  Kıymetli katılımları ve tecrübe paylaşımları için kıymetli başkanlarımıza şükranlarımı sunuyorum.";;0
https://www.instagram.com/p/DRm2ozXDF8y/;Carousel;727;4;0;2025-11-28 19:36:58;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/588563744_18129998245499539_2083654853140500850_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTk0NTYyNjYzOTcxODM3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=qN-hOS_tvpcQ7kNvwFmfETh&_nc_oc=AdleB5ImbzKl_ruIE8iGmuQF4jULOgBcCGLUBMOotvvdUUY2uY3RBOnOWgQtUGecPIOS_6y74yQyiLBZlpAxskzT&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_AfiQXPuGj1MRIVnblHd7dKV3RlxVJk_5H7mhFVyCEvnTQA&oe=693109CE;"AK Parti Genel Başkan Yardımcımız, Yerel Yönetimler Başkanımız Sayın Mustafa Demir (@demirmustafatr), Gaziantep Büyükşehir Belediye Başkanımız Sayın Fatma Şahin (@fatmasahin), Düzce Belediye Başkanımız Sayın Faruk Özlü (@dr_farukozlu) ve çok değerli misafirlerimizi Büyükşehir Belediyemizde ağırladık.  Partimizin çok kıymetli isimleriyle birlikte 3 gün boyunca şehrimizde “Yerel Yönetimler Bölge Toplantımızı” gerçekleştireceğiz. Samsun’umuzu, bölgemize kattığımız değeri ve daha ileri vizyonumuzu paylaşacağız.   Türkiye Yüzyılı Belediyeciliğinde, AK Parti ailesi olarak; Cumhurbaşkanımız ve Genel Başkanımız Sayın (@rterdogan) Recep Tayyip Erdoğan’ın liderliğinde örnek belediyecilik hizmetlerini hemşehrilerimizle buluşturmayı sürdürüyoruz.";;0
https://www.instagram.com/p/DRmjfMZjN_C/;Reels;2010;47;102083;2025-11-28 16:50:38;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/588404014_18129986218499539_7811698642473556196_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NTg2MTQxMjg0MTk3MTY1MDE4MTI5OTg2MjEyNDk5NTM5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg0MDYuc2RyLkMzIn0%3D&_nc_ohc=pf79Vp1YOY8Q7kNvwE5s14B&_nc_oc=AdlLDeme09zXAH2WtF7HAY8nAHi6JvFJTZ4ldvLSXYRsh9SSzXNYAf1mlrJxbGa05GrDvfHN37hZpI0316pcBCB4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_Afi00NpHF2HvMG_nkEfjJRRQ_6zuZ3q9BuOqy6TmFBBEEQ&oe=693116BB;Şehrimizin ihtiyaç duyduğu her alanda hizmetlerimizi gerçekleştiriyoruz.  Bu kapsamda Samsun’umuzda sağlık altyapısının daha da güçlenmesi, acil müdahale kapasitesinin artırılması için önemli bir adım atarak 100 ambulansı şehrimize kazandırıyoruz. 🚑   İl Sağlık Müdürlüğümüze hibe edeceğimiz 100 yeni ambulansın sağlık envanterine eklenmesi ile sağlık hizmeti daha hızlı ve sağlıklı işleyecek.  Bu hizmetler Samsun’daki birlik ve beraberliğin eseridir. Başta Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan olmak üzere TBMM Plan ve Bütçe Komisyonu Başkanımız, Milletvekilimiz Sayın Mehmet Muş ve kıymetli milletvekillerimizin desteği ile oluşturduğumuz yönetim yapısı ile şehrimizin tüm ihtiyaçları için çalışıyoruz.  Şehrimize hayırlı olsun.;;0
https://www.instagram.com/p/DRl80__DDzI/;Carousel;1444;23;0;2025-11-28 11:11:49;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/589034057_18129963631499539_6086162059318113925_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTY5MTM2NDgyNzQ1OTgwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=m9jp4CghaUIQ7kNvwESYEXd&_nc_oc=Adkbbf3fxQMCMkcs9xobAocDwg2mm8I8DKX3aHNgj1bxapXLmiKFdxhAH0wklPFGBsWivNwe5pbkZui9IUHKnW9Z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_Afh9gZyQv4StqoEeXSSt1ncSgrsmbeHfKZx0Qer0ljeK8g&oe=693126CC;"Karadeniz’in parlayan şehri Samsun’umuzda dev bir sağlık yatırımı hizmete başlıyor.🏥  Samsun Şehir Hastanemizi; İl Sağlık Müdürümüz Sn. Mustafa Uras ile birlikte ziyaret ettik. Kıymetli hemşehrilerimiz ve sağlık çalışanlarımızla bir araya geldik. İlk hastalarımızın memnuniyetine şahitlik ettik.   ✅305 bin metrekarelik arazi üzerine inşa edilen, 1458 yataklı kapasiteye sahip hastanemiz, 230 tek kişilik yoğun bakım odasıyla ileri yoğun bakım hizmeti de sunuyor.  🚎 Hastaneye ulaşımı sağlamak adına da R1 Ring Hattımız ve 25 Numaralı Otobüs Hattımız hizmet vermeyi sürdürüyor.  Bu kapsamda büyük ve donanımlı bir hastanenin şehrimize kazandırılmasında emeği olan başta Sayın Cumhurbaşkanımız Recep Tayyip Erdoğan olmak üzere  herkese şükranlarımı sunuyor; Samsun’umuza hayırlı olmasını diliyorum.  Samsun her şeyin en güzelini hak ediyor.";;0
https://www.instagram.com/p/DRhk8uQDD78/;Carousel;1135;25;0;2025-11-26 18:26:12;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/587813442_18129815581499539_7668785423588923533_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NDQ2MDQ1MjA1NTg2NjE1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=UjpGtfqoHGIQ7kNvwGQwyka&_nc_oc=AdnrhPge07kk4kXxc8QrZPFSFAayya3VgGYhHqwX5nChhkPBxA-2FdzfSYbhh6yIGOLLJiWbsycnk68hSfEPKYez&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_AfisxIAy2c9rZjTLu1vw0Uhgs6L9r2k4C0UofX-br3tp2g&oe=6931307D;"📍Recep Tayyip Erdoğan Bulvarında gerçekleştirdiğimiz dönüşüm çalışmamızı yerinde inceledik.  Ekiplerimiz genişleme biten alanlarda geçici asfalt serimine başladı.   Şehrimizin ulaşım altyapısında köklü bir dönüşüm sağlayacak bu büyük proje ile yolumuzu 2 şeritten 3 şerite çıkaracak; şehir içi trafik akışını daha güvenli, konforlu ve kesintisiz hale getirmiş olacağız.";;0
https://www.instagram.com/p/DRe7s65DMmo/;Carousel;688;7;0;2025-11-25 17:47:18;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/587958608_18129726850499539_5642195955510401495_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MzcxNjEwMTc4NDY4MjAxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=Rg3SwTjorOgQ7kNvwEsdixX&_nc_oc=AdmQeL_ggS-D28d_PJxcV9qd_ev9rPLRxF7RAenWxbsHPX0CIZDUAuqXOuiKhxTlWAJgXgLolEeGELBmSlJf5xux&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_AfiU1xycvPBieQbDBYXD9JzpN-Bv92PXpOxHKfZM8DIhzA&oe=69312DE8;"📍Havza OSB’mizdeyiz..🏭🏗️👷‍♂️  Havza Organize Sanayi Bölgesi Yönetim Kurulu Toplantımızı gerçekleştirdik ardından OSB alanımızda incelemelerde bulunduk.  Yerel üretimle bölgesel kalkınmaya katkı sağlayacak organize sanayi bölgelerimizi çok kıymetli buluyoruz. Samsun’umuzun evladı çalışmak için başka bir şehre gitmek zorunda kalmasın diye tüm emeğimiz.   Kuzeyin üretim merkezi Samsun’umuzda, şehrimizi daha ileri taşımak; üretim ve istihdamda lider konuma gelebilmek için OSB’lerimizdeki altyapı çalışmalarımızı sürdürüyoruz.";;0
https://www.instagram.com/p/DRcjGZXDLWr/;Reels;1507;138;61853;2025-11-24 19:34:14;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/588563756_1404675561178562_4944749565007896007_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3MzA0NDk1OTAwNDYzNjU4Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=vRWvDGpFLZAQ7kNvwH5zS9O&_nc_oc=AdkRye2YCvhEHEP_hmzLde_ZIFAg5CUGQn7G_CuUCPbXDbJPewF86uOMccGNcF5RYKkoBlLH7estNuhumxL73r4w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_AfhIeuaxqfPKD9-llz1pR3BrvjkR6_7ZMfA1ELHZtSwbpw&oe=69311AD0;📍Selahattin Ereren İçme Suyu Arıtma Tesisi’nin 2. Kademe İnşaatını meclis üyelerimizle birlikte yerinde inceledik.  Bu dev yatırımla beraber Samsun’umuzun dört bir yanında daha fazla haneye sağlıklı, temiz ve güvenilir içme suyu ulaştıracağız.   Amacımız, şehrimizin bugününü güçlendirirken geleceğini de güvence altına almak.;;0
https://www.instagram.com/p/DRcdAyrDPRo/;Carousel;498;38;0;2025-11-24 18:40:39;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/589589654_18129642397499539_1153714140309112218_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzAxODE3NzY2MDUyNTQ1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=YPvfIfBiXKgQ7kNvwFflfwI&_nc_oc=AdmQPNpUp0Ikpa8Jgx-KZOwGeivG8PlLpEx9ruRHQF-SXlc5HoJOPR44lQJRCQXe4cCffHhVsx9exFGAp1w6O4yX&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=wqdXFtqjclWksvsgmKvaJw&oh=00_Afh8pTCiTHbFamnGwxBqTHiN9t_xthSJGRwW_1x2_tZ37A&oe=693110FB;"📍SASKİ Genel Müdürlüğü 2025 Yılı 2. Olağan Genel Kurul Toplantımızı gerçekleştirdik.  Her bir damla suyun değerinin bilinciyle; kaynakların verimli kullanılması ve suyun israf edilmemesini önceliğimiz kabul ederek hareket ediyoruz . Suyu varken yönetmek, yokken yönetmekten daha kolay.  Hayata geçirdiğimiz projelerde her zaman önceliğimiz Samsun.  Samsun’un uzun yıllar boyunca su ve atık su altyapısı açısından güvenli, sürdürülebilir ve dirençli bir yapıya kavuşmasını sağlayacak önemli çalışmaları hayata geçirmeyi sürdürüyoruz. Meclis Toplantımız şehrimize hayırlı olsun.";;0
