PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRmOUapDI-y/;Reels;2352;52;40496;2025-11-28 13:45:42;https://scontent-fra3-2.cdninstagram.com/v/t51.71878-15/587632737_1534384134458948_4230358012226316850_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NTc2ODMxMzI0MzQwNjI1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=ItjEoKsP5D0Q7kNvwFdI1n2&_nc_oc=AdklDHcc025R21zsuZjLgCDed5KPNPmR1D0gkm0ZsS3meHyuJGPOSqY7EbpCRJuMfckMq9cAHbWqhJ02-tRJ07qY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfjsqCJ78PNDXg01-19VYJKgqwH3xAXw0IpcECUelkSwlg&oe=69310E02;"Ağrı’nın kalbine yeni bir nefes, yeni bir buluşma alanı kazandırmanın gururunu yaşıyoruz. Açılışını gerçekleştirdiğimiz kent meydanımıza, halkımızın hafızasında ve yüreğinde özel bir yere sahip olan Dengbej Şakıro’nun adını verdik.  Dengbej Şakıro, sadece bir sanatçı değil; sesinde halkımızın acısını, sevincini, direncini ve umutlarını taşıyan yaşayan bir tarihti. Onun sesi, bu coğrafyanın rüzgârına karışmış bir hafıza; türküleriyse bizi birbirimize bağlayan güçlü bir köprüydü.  Bu meydanı açarken, Şakıro’nun sesini geleceğe taşımayı, onun mirasını yaşatmayı, gençlerimize ilham olmasını amaçladık. Meydanımızda her adımda onun izini, halkımızın kültürünü ve ortak değerlerini hatırlayacağız.  Bu eserin ortaya çıkmasında emeği geçen herkese, halkımıza ve buraya ruhunu veren bütün güzel insanlara en içten teşekkürlerimi sunuyorum. Ağrı, geçmişiyle gurur duyan ve geleceğini birlikte inşa eden bir şehir olarak yoluna devam edecek.  #keşfet #kesfetteyiz #ağrı";28858.0;0
https://www.instagram.com/p/DRkfRXaDAxD/;Carousel;2137;23;0;2025-11-27 21:34:18;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/587850416_17927846472155986_6024454863983668555_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NTI3OTkwMzQwMzcwOTAwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=gogoyrRvj4kQ7kNvwHOo3Kj&_nc_oc=AdmOojY6rgHywa60cShNrgP1-ZSPC32lWWjBaAywTibTmVNiwWIPLLKAClf7jBp5mYma4Mu9is0NlWNLxko29saD&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_Afj-n-KYASSCqawK2UUKM3AUQ8_DBB1KtwFYO7tagjFlBA&oe=693113B9;DENGBEJ ŞAKÎRO KENT MEYDANI AÇILDI  Ağrı Belediyesi olarak kente kazandırdığımız Dengbej Şakîro Kent Meydanı, bugün düzenlenen programla yurttaşlarımızın hizmetine açıldı.  Modern mimarisi, geniş oturma alanları, yürüyüş hatları, güçlü aydınlatma sistemi ve altında yer alan geniş kapasiteli otoparkıyla Dengbej Şakîro Kent Meydanı, Ağrı’nın sosyal yaşamına yeni bir nefes alanı sundu. Ağrı Belediyesi, kent yaşamını güçlendiren ve ortak kullanım alanlarını büyüten projelerini kararlılıkla sürdürmeye devam ediyor.;;0
https://www.instagram.com/p/DRg-hYGDN1u/;Reels;6028;138;159467;2025-11-26 12:50:52;https://scontent-fra3-2.cdninstagram.com/v/t51.71878-15/587535635_1349400836372654_5409321793437953624_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NDI5MTQ2MDIzNDIwNjU3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=QVD7LN4eAuAQ7kNvwGtLTm9&_nc_oc=AdnLWfJZOAwToOagwVPb-QVtvFOd77qpWaQlcsx7CcvXw4r8YOKgfVHcr_Qamn3bBtmjio3vyZv0izF_H3H1N4t4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_Afi5nY2az5zjoaY0wAQC8_9Z_pPlyw1PMOWbTNicTRl0ww&oe=6930F4F1;Son demler🌸  #kesfet #keşfetteyiz;;0
https://www.instagram.com/p/DRfBVvfDCmI/;Carousel;2453;19;0;2025-11-25 18:36:33;https://scontent-fra3-2.cdninstagram.com/v/t51.82787-15/588014721_17927619045155986_2670640078784899470_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3Mzc0MDg5ODg0NTUxNDM1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4OTAwLnNkci5DMyJ9&_nc_ohc=Uom7TPngje4Q7kNvwH8Kf2v&_nc_oc=AdnEK_c5xQo10OlFEiKBva-Lp9ofHOrCCKCRiIVI7quHAcbVG1hUmsiPGe4q2L2VbXAzlpQVfdiCOYamTsAVNxdL&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfgYcnfdkSIZPk9-xg1jntPuQdO_hsN2THVFhSXXO7kbRw&oe=6931071A;Gece geç saatlere kadar kent meydanında hep birlikte emek veriyoruz… Açılışımıza sadece iki gün kaldı. Ağrı’nın kalbini yeniden ayağa kaldırmak, kent meydanını bir an önce halkımızla buluşturmak için gece gündüz demeden çalışıyoruz.  Bu süreçte emeğini, alın terini, yüreğini ortaya koyan tüm emekçilere sonsuz teşekkür ediyorum. Birlikte yoruluyor, birlikte umutlanıyor, birlikte güzelleştiriyoruz bu şehri.;;0
https://www.instagram.com/p/DRfAV9PjN50/;Carousel;517;1;0;2025-11-25 18:27:51;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/587778877_17927618196155986_4197387553289375486_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzczNjUxNzUyNTg2Nzg4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=vfvpnCMjPbkQ7kNvwH88EzH&_nc_oc=Adnz62617X7kqiGbaOb9XKryYVuEMl5BBIf8yph99ZWps5yWewrrQRLPjq0uzlRsWe5-Cp8wGiRTt_ZSoIfKhrWo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfhHom5BcDZHD28G5RZQ2F_Nk2figR8jxrvSIkWP6TA0-Q&oe=69311C92;25 KASIM’DA KADINLARA ÜCRETSİZ SİNEMA ETKİNLİĞİ GERÇEKLEŞTİ  Ağrı Belediyesi olarak, 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü kapsamında kadınlara özel düzenlediğimiz ücretsiz sinema etkinliğini Haspark’ta gerçekleştirdik.  Kadınlarımızın yoğun ilgisiyle gerçekleşen etkinlikte, şiddetsiz bir yaşam mücadelesine dikkat çektik ve dayanışmayı büyüttük.   Katılım sağlayan tüm kadınlara teşekkür ediyoruz.;;0
https://www.instagram.com/p/DReifDmDGT-/;Carousel;374;4;0;2025-11-25 14:06:57;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/587878118_17927592822155986_3201271841507189475_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MzYwNTE5ODY1NzQ5MDA2Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjg4NXg2MDcuc2RyLkMzIn0%3D&_nc_ohc=aKdkQ9qWJewQ7kNvwH1oNvk&_nc_oc=Admsh9kPaYffxRb_a9K_CGXfBbxke7K1BFF6fJD7DRmnGTAVoorjE9Tb3DR5i8rDLmq5lUe9R7K5nZeSEdWLQyrQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfidxHWpYSQzkYqotfUilD90lIimMMHCw6Zz-CxvbO_4kA&oe=69311BF7;"Gelê Me Yê Hêja, Di vî bajarê ku me bi hev re mezin kiriye de, em şanaz in ku qadên nû yên jiyanê, ku dê ji hemûyan re bibin bêhn , digihînin we. Em kêfxweş in ku Qada Bajêr a Dengbêj Şakiro û Otoparka Bajêr a ku di nav qadê de cih digire temam kir û ji bo xizmetê pêşkêşî we dikin.  Di heman rojê de, me avahiya Midûriyeta Agirkujiyê û Îkmal, Lênêrîn û Temîrkirina Makîneyan ku ev 50 sal bûn nedihat bikaranîn, hilweşand û bi temamî nû kir; em vê avahiya ku me gihande pêkhateyeke modern û xurt, vedikin.  Di merasîma vekirina van veberhênanên girîng de, em ê ji dîtina we ya di nav me de rûmetdar bibin.  Bernameya Vekirinê – 27ê Mijdara 2025an Pêncşem:  📍 Vekirina Midûriyeta Agirkujiyê û Îkmal, Lênêrîn û Temîrkirina Makîneyan: Saet 13.30 📍 Vekirina Qada Bajêr a Şakiro û Otoparqa Bajêr: Saet 14.00  Değerli Halkımız,  Birlikte büyüttüğümüz bu kentte, hepimize nefes olacak yeni yaşam alanlarını sizlerle buluşturmanın gururunu yaşıyoruz.Dengbej Şakıro Kent Meydanı ve meydan içerisinde yer alan Kent Otoparkı’nı tamamlayarak hizmetinize sunmanın mutluluğunu yaşıyoruz.  Aynı gün, 50 yıldır kullanılamaz durumda olan İtfaiye ve Makine İkmal Bakım ve Onarım Müdürlüğü binasını yıkıp tamamen yeniledik; modern ve güçlü bir yapıya kavuşturarak faaliyete açıyoruz. Bu önemli yatırımların açılış törenlerinde sizleri de aramızda görmekten onur duyarız. Açılış Programı – 27 Kasım 2025 Perşembe: 📍 İtfaiye ve Makine İkmal Bakım ve Onarım Müdürlüğü Açılışı: Saat 13.30 📍 Şakıro Kent Meydanı ve Kent Otoparkı Açılışı: Saat 14.00";;0
https://www.instagram.com/p/DRc2nZyjOSA/;Reels;418;1;27362;2025-11-24 22:24:56;https://scontent-fra5-2.cdninstagram.com/v/t51.71878-15/584430843_2095411230996332_5835954105900017918_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3MzEzMDc5MDA5MjQ2NTI4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=HlnavV0sxVQQ7kNvwFE4SSV&_nc_oc=Adn_KxnpppXQ0se4MDmsJbsC-svM1KmbcO1OYjkoYqUyNkzanznUuWqDMAlGv2gAhUSFQJOtyjjEriOaar1pYFve&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_Afjm7gQoe6azXox44U0cdzf_viHvutiG19grCXZ628aTXQ&oe=6930FA28;"25 Kasım Sadece bir takvim yaprağı değil; duyulmayan seslerin, görülmeyen yaraların, yarım kalmış hayallerin günü… Biz bugün standımızı kurarken, bir kez daha hatırladık: Şiddet bir kader değildir. Hiçbir kadın yalnız değildir. Hiçbir acı “normal” değildir.  Her bir kadının hayatı eşsizdir; her kadın sevgiyle, saygıyla, güvenle yaşama hakkına sahiptir. Ve biz, bu hakkı savunmak için buradayız. Bir aradayız, yan yanayız, ses oluyoruz…  Sessizliğin kırılması için, karanlığın aydınlanması için, şiddetsiz bir dünya için… Bugün sadece bir duruş sergilemedik, bir söz verdik: Kadına yönelik şiddetin karşısında her zaman duracağız.  Çünkü bir kadının umutla attığı her adım, hepimizin geleceğini aydınlatır.  #keşfet #keşifteyiz #ağrı";;0
https://www.instagram.com/p/DRcaxdoDED2/;Photo;289;6;0;2025-11-24 18:21:04;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/584617747_17927510793155986_3072261424496786419_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MzAwODMzNjEwMzY4NjM5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4ODA4LnNkci5DMyJ9&_nc_ohc=Rdb2AdxSBHQQ7kNvwG7tHwU&_nc_oc=Adk1dKM5vXJDclLW6DkkdrNrGom0senRHBWYdUwXUHOfn3E76sfoI1bCB5S_q4F6j4f9YeS_rYun1X0RecSfIEi3&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfhRcjGV1SZ4NR5d8NslD093gN7AGaOq-nDieaxkQTk-0w&oe=693121C7;"25 KASIM’DA KADINLARA ÜCRETSİZ ULAŞIM  Ağrı Belediyesi olarak, 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü kapsamında;  🔹 Belediyemizde görev yapan tüm kadın personellerimiz yarın idari izinli olacaktır.  🔹 Şehir içi toplu taşıma hizmetlerimiz, gün boyunca tüm kadınlar için ücretsiz olacaktır.  Bu uygulamalar yalnızca 25 Kasım tarihini kapsamaktadır ve kent genelindeki tüm hatlarda geçerlidir.  Kadına yönelik şiddete karşı farkındalığı artırmak, eşitlik ve özgürlük mücadelesini güçlendirmek için çalışmalarımızı sürdürmeye devam edeceğiz.";;0
https://www.instagram.com/p/DRb3hcoDLfS/;Photo;476;0;0;2025-11-24 13:13:03;https://scontent-fra3-2.cdninstagram.com/v/t51.82787-15/587701437_17927484411155986_7109981809883696885_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3Mjg1MzMwMzg5MDQ1ODU3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5oZHIuQzMifQ%3D%3D&_nc_ohc=I8T5vgTkeZ4Q7kNvwHCYnQM&_nc_oc=AdkJsFK56hYlooXIh-1NF22tjcNvS29yEKdG5NsC0CPQuaBOAFupeaMyFCDzjo5W2lUXgB8iLbgK8n2wFUmGr96L&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfgFlbAfEql4uyaNpZmHAFxXAaxulOCR-EDwsCsU3zAzRg&oe=69310E25;"Van İHD Kadın Komisyonu’ndan Belediyemize Değerli Bir Ziyaret  Bugün belediyemizde, yüreğini kadınların hak mücadelesine adamış Serpil Sezer’i, İHD Kadın Komisyonu MYK üyesi sıfatıyla ağırlamanın mutluluğunu yaşadık. Van İHD Kadın Komisyonu’nun bu nazik ziyareti, bizlere dayanışmanın ne kadar derin, kadın emeğinin ve mücadelesinin ne kadar güçlü olduğunu bir kez daha hissettirdi.  Serpil Sezer’in samimi sohbeti, kadınların karşılaştığı zorluklardan umut dolu yarınlara uzanan bir yolun ancak birlikte yüründüğünde mümkün olduğunu hatırlattı. Bu ziyaret, içimizde hem duygu bıraktı hem de mücadelemize yeni bir güç kattı.  Ziyaretleri için kendilerine gönülden teşekkür ediyor; kadınların sözünün, gücünün ve varlığının her zaman en büyük yol göstericimiz olduğunu bir kez daha vurguluyoruz.";;0
https://www.instagram.com/p/DRbepCAjB-T/;Photo;325;1;0;2025-11-24 09:35:38;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/587561457_17927470473155986_2084821333376687145_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3Mjc0Mzg3MzkwMzQ2ODQzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTAyMS5zZHIuQzMifQ%3D%3D&_nc_ohc=p6kU81C3rKsQ7kNvwH3DDxZ&_nc_oc=AdlKne5UWJ5uPGHHU8KWqwFRxFdg-5w8zmMbjqx6OXOhRUYJn97cx33SiS323Yqy-qmTKzDRu-kYSgJbjxXoBQpE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=sj6zRLug-1EsoPlKnt-oZg&oh=00_AfhPByxbJS0kG9YiUiBWOkqU_FnS9ommseYhi4rCL9YfXA&oe=69312C84;24 Kasım Öğretmenler Günü kutlu olsun.  Geleceğimizi şekillendiren, emekleriyle toplumun aydınlık yarınlarını büyüten tüm öğretmenlerimize teşekkür ediyoruz.;;0
