PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DQvl5njjOhW/;Photo;1231;79;0;2025-11-07 08:32:29;https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/573978623_18184470037339646_1348881137419588944_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc2MDM5MDkwMTA4MTEwNjUxOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=_vLKiPiGSbIQ7kNvwH2Ytab&_nc_oc=AdkpDB11Z1ewob3cu1I_Hh2a3B5AuR7C_WTdlqdI9reG7F9_epBpLdbmLXTv_7hd-Fm6f6PvdBEutIoHFSlvDM21&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfjcDMs0A1A3j_iWEA2fetcl3OiZQYsPfpSbfmX5kwk-PQ&oe=6931003E;NOHUTLU CADDESİ ARTIK IŞIL IŞIL Karanlık aydınlığa kavuştu. Nohutlutepe Caddesi'nde alt yapı çalışmaları tamamlandı.  Ömürlük bir çalışma oldu. Nohutlu Caddesi de ilk defa ışıl ışıl, artık karanlık bitti. Şimdi sıra asfalta geldi, ona da başlıyoruz. Birileri dedikodu, fesada, biz ise işimize devam ediyoruz. İyi de devam ediyoruz ve inşallah daha iyi şeyler olacak.;26801.0;0
https://www.instagram.com/p/DRlurPwCo_a/;Photo;497;14;0;2025-11-28 09:08:11;https://scontent-phx1-1.cdninstagram.com/v/t39.30808-6/589893944_25601730596106475_6245047414769761262_n.jpg?stp=c0.30.720.900a_dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NTYyOTE0NDYwOTE2NTI3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=nDBvDdJV6_4Q7kNvwFI-vtD&_nc_oc=AdmmkHnuw12yJFTd8VRAXaR_Do1qorqO7TsTls_dTp-EKGz9W9axyvzVVYhE6ea5ZzjVTXZ5qekSQOykKuR9w-zC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfhhG8otyayrb57gIaq1-R-sIqdNChdjaBheUfiofunQlw&oe=69311D1D;"Bir makama getirilen kişi, kendisini göreve getirenlerin, etrafindakilerin istek ve arzularını yerine getireyim çabası ile süresini doldurur.  Bu dönemde o kişiye bağlı çalışanlar görevi gereği sayıda küsür etmezler. Ama sevgi yoktur. Sonra o kişi ile yolda vs karşılaştıklarında selamlaşmamak için ne yapacaklarını şaşırırlar. Çok yaşadık.  Başkanım. Yozgat, Yozgat'lı sizi 35 yıldır tanır. Ve hangi makamda olursanız olun hep çocuğu,  insanı, hayvanı kısacası Allah'ın yarattığı her canlıyı mutlu etmeye uğraştınız.  Ister bir makamda olun, isterseniz emekli. Caddede gezerken karşı kaldırımdan, arabasının camından size ""Müdürüm, Vekilim, Başkanım, Ağabeyim, Amca vs"" diye seslenenler hep olacak. Bence en büyük makam insanların gönlünde yer almaktır.  Gönüllerde yeriniz baki! Önemli olan bu kubbe'de ""BİR HOŞ SEDA"" bırakmak. Gönüllerdesiniz, RAB'BİM YAR VE YARDIMCINIZ OLSUN! ... (Bu sabah face hatırlattı, bir kardeşimiz yazmış Allah razı olsun. Marifet iltifata tabidir, bizim de ihtiyacımız var her zaman hayır dualara. Böyle düşünmeyenler de elbette vardır ama Cuma duası niyetiyle sizlerle yeniden paylaşmak istedim. İŞİNİZ GÜCÜNÜZ RAST GİTSİN!)";;0
https://www.instagram.com/p/DRh4yWNjMSg/;Reels;352;167;20686;2025-11-26 21:23:16;https://scontent-phx1-1.cdninstagram.com/v/t51.71878-15/587081292_1355839679341541_6343401153195812351_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NDU0NzcxMzE0MTI5NDI0MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMiJ9&_nc_ohc=-lSviytR6VcQ7kNvwFK_ldA&_nc_oc=Adkx1I6HKdJUPO1OA1ghI994mpTrMX9X_FcWJBBGgNH7Tgq6kO8Xra2AI3CY8rHn7PUsr5lBbLefdtwTVRC1rkPn&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfjefZ7L174Y0aIsAl6T2oDi1nccM9xn7MxD3N9T7zUCBg&oe=69311E71;100. Yıl Sanayi Sitesi’nde esnaflarımızla bir araya gelerek keyifli bir sohbet gerçekleştirdik. İstek ve taleplerini dinleyip her zaman yanlarında olduğumuzu bir kez daha ifade ettik. Yozgatımız için durmadan, yorulmadan çalışmaya devam ediyoruz. “Söyleyecek sözümüz, yapacak çok işimiz var.”  #Yozgat #Dr.KazımArslan #YozgatBelediyesi#EsnafBuluşması #100YılSanayi;;0
https://www.instagram.com/p/DRgnwYKiht9/;Photo;399;9;0;2025-11-26 09:31:31;https://scontent-phx1-1.cdninstagram.com/v/t39.30808-6/589958498_25586154060997462_7424854659828755063_n.jpg?stp=c0.51.631.788a_dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NDE5MTMzNjAzMTkxODk3Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjYzMXg4OTEuc2RyLkMzIn0%3D&_nc_ohc=UY2OggH_e4cQ7kNvwGSD2ve&_nc_oc=AdmoGv03CZZpl8eWjLvgvAhAzQSp8TtU1214I1hQbrK3CcC1ncrVG3WbIvPUEcNlddpkfhB-bIAAABVA4odyXK2M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfggNGLoc52Zna6Z7kKTp3pxrw7j2nPIFG2kfr6F4yZCtQ&oe=693119A7;Başarı imkanla ilgili değil, istemek, dert etmek, alın teri dökmek, emek vermek, gayret göstermekle ilgili bir durumdur.   İmkânsızlık ise elimizde bir şeyler olmaması değil içimizde bir şey olmamasıdır, dert etmemekle ilgili bir durumdur.   Biz istiyoruz, dert ediyoruz, alın teri döküyoruz, emek veriyoruz, gayret ediyoruz. Bu yüzden başarmamak için de bir sebep görmüyoruz.;;0
https://www.instagram.com/p/DRZ-x7EjELA/;Carousel;856;39;0;2025-11-23 19:37:59;https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/588388173_18186139135339646_4512414925378550921_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MjMyMjI2ODA3NzQxNjQwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=IceVhcy0w4wQ7kNvwFMrFAu&_nc_oc=AdnxR2XTwv73M5KK1tuu-iykMUG_W9AO_dwoJTyarJiYQ65WLFABSXe_MvJ6HsVk4YDM969O5fhHI9ZbbdSiEvvx&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_Afh9VndNkEkWbuEWe-gyLi49VanSTcIAtKIaNLHTjpH15A&oe=69312A62;İşimizi biliyor ve çalışıyoruz. Şehrin kuzey girişinde, cezaevi TOKİ bölgesinde de sona yaklaştık, orta refüj, kaldırımlar, aydınlatmalar tamamlandı, Nohutlu Tepe'den sonra asfaltını da atıp şehre yakışır yepyeni bir cadde kazandırmış olacağız. Yozgat kurulduğundan beri var olan karanlık yerini aydınlığa terketti. Hemşehrilerimizin bugüne kadar neden düşünülmedi ve yapılmadı diyeceğine inandığımız yeni caddemiz hayırlı olsun. Birileri konuşmaya devam edebilir ama biz daha iyilerini yapma gayreti içerisinde olacağız.;;0
https://www.instagram.com/p/DRY7VQ4CkyA/;Photo;213;4;0;2025-11-23 09:48:39;https://scontent-phx1-1.cdninstagram.com/v/t39.30808-6/586608834_25562016213411247_2696812684009027770_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MjAyNTYzMzg5NjAyNTIxNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE2MDB4MTA2Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=9mPmOKf5WVUQ7kNvwHafFi-&_nc_oc=AdkOGFjdaAFofUFL8beRYF1dGOGKOCT4_5RJlLguck4c5XzWVw1PPslcGTTxP2k3APJExHJC6BXetKEbJh-vILPN&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfiL-MMkA_XL45y_Pm7ua2pP7M8XDW146GC7WpS7nQGX1Q&oe=69312095;Yürümek için de sebepler vardır, durmak için de.  Devam etmek için de sebepler bulabilirsiniz, tamam demek ve  geri dönmek için de.  Mücadele etmek için de sebepleriniz olabilir, vazgeçmek için de.  Zorluklara, fırtınalara direnmek için de sebepler her zaman vardır, boş vermek, gevşemek, teslim olmak için de.  Hayat böyle bir şeydir işte, tercihimize göre de bize bir not verir, verdirir!  Günaydın, günümüz çok güzel olsun İnşallah!;;0
https://www.instagram.com/p/DRWh8ZNCKq_/;Reels;4578;124;1077413;2025-11-22 11:32:35;https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/584346171_18129393655494151_504086520873283001_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3MTM1MTAyMzczNTA1NzA4Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=6oFhcQBLGD0Q7kNvwEcC6H1&_nc_oc=AdnQ6PNPoUl3VVW0PPRkCpfbNIapRvLFGoUqGLX04MrGpvoOS8d_lWREMr9hoBOsl4CrVYDGDF7FUv_FjWBi5Rjr&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfgH17cPXlSpRCTBi8twMrV--VB-9dA1C35id2uUFXTgcg&oe=69313491;Tek Plan, Tek Nefes: Yozgat Geceleri 🌃✨  Dörtyol'dan başladık, Terminal ve Türkiye'nin Tam Ortası'nı selamlayıp Lise Caddesi üzerinden Saat Kulesi'ne ulaştık. Kesintisiz, tek plan (one-shot) drone turu ile Yozgat'ın gece silüeti. 🚁🎥  ​Şehrin ritmini yukarıdan izlemek her zaman büyüleyici. Bu rotayı nasıl buldunuz? 1'den 10'a kadar puanlayın! 🔥  #yozgat #bozoküniversitesi #keşfet #memleket #anadolu #dronevideo #dronereels #şehirturu;;1
https://www.instagram.com/p/DRWNJnSiqv-/;Photo;276;6;0;2025-11-22 08:26:37;https://scontent-phx1-1.cdninstagram.com/v/t39.30808-6/586245083_25553270590952476_3117614359570385311_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MTI1OTU3MzIzNjMxMzA4Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=E3XbfnTN8tsQ7kNvwGyJq6z&_nc_oc=AdnElYOHiBQiKJKhxlTqXrIwQNlrgqiU7PF7rWQO6yYmfTsYW0t5Jz0fbPtpRtYOhGTl1ruyb3GnjT8EMIYKNy2h&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfglZKJ4CbEPpUEgvuhdO_D-0U567ndlTedBxnTQ2O6VLQ&oe=69310B48;Estetik düşüncesi ve medeniyet tasavvuru olmayan idarecilerin karar sahibi olduğu şehirler, hakikatte çok gariptir, köy gibi olmaya ve öyle kalmaya mahkumdur.  Bizler galiba biraz da bunun sıkıntısını çekiyoruz.  İnsan, şehri inşa ederken aslında taşın toprağın arasında kendisini inşa eder. Gönülde her ne var ise o şehir olarak görünür.  Gönlü taş olanın şehri taş, gönlü aşk ile dolu olanın şehri gülistan olur!  Gönlü taş değil aşk ile dolu insanları bulmak dileğiyle HAYIRLI SABAHLAR.  Günümüz inşallah çok güzel olsun.;;0
https://www.instagram.com/p/DRU6nFFinLK/;Photo;102;8;0;2025-11-21 20:25:21;https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/586669203_18427818565104801_6096458751951339928_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3MDg5NjU2MDIzNDg1MzA2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=5Le6Sql0EJAQ7kNvwEMOgDc&_nc_oc=AdnjR9wpt2XgAEsAdixuM3B2solmnwKU1RGafcR5aaK4br1IYFHQo-Ue1wHjXRF5ZqLXOV8yunzvST2MhDOotk1v&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfiXEBgmxX-NSpzyrhVRjdBPibfYoIbvk5FSEY4DmQANxQ&oe=69310B46;Geleceğimizi sevgiyle şekillendiren tüm öğretmenlerimiz için anlamlı bir gece hazırladık.  Yozgat Belediyesi Bozok Ezgileri Müzik Topluluğunun sahne alacağı Öğretmenler Günü Özel Konseri, 22 Kasım Cumartesi günü saat 19.00’da Büyük Sinema Kültür ve Sanat Merkezinde sizlerle buluşuyor.   Tüm öğretmenlerimizi ve hemşerilerimizi bu özel etkinliğe davet ediyoruz.  #DrKazımArslan #YozgatBelediyesi #ÖğretmenlerGünü #BüyükSinemaKonserleri #BozokEzgileri;;0
https://www.instagram.com/p/DRTz0cDDEWP/;Reels;518;43;24709;2025-11-21 10:09:12;https://scontent-phx1-1.cdninstagram.com/v/t51.71878-15/587566220_1227871646058517_5343467600772267638_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MDU4NTIxNjk0MDAwMDY1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=UC_x2WBowksQ7kNvwE1H18E&_nc_oc=AdmfS_-w5FEFIi1cNy3o2hwVJmOHJz0xOeuhQIMU0NP-x1T9Nu98CtFHd3dZa5Js1PQ1s1k6Lz4Uud9jByCWIsxL&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=n57cnil4ZC3uOld1p8pVXg&oh=00_AfjE0mes1-RKLEs63vhiLG7WyqEgdUgc9yxY4A1dLcmIjA&oe=69310538;Nohutlu Tepe Caddesi'nde asfalt serimine başladık. Biraz geç oldu, güç oldu ama değdi, ömürlük bir cadde oldu. Çalışanlarımızın da ellerine, emeklerine sağlık. Birlikte daha çok güzel işler yapacağız.;;0
