PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpYRqMDCRu/;Photo;51;0;0;2025-11-29 19:09:23;https://scontent.cdninstagram.com/v/t51.82787-15/587796030_18400666606127316_2629980691537030214_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NjY1NjUyOTE3MzUyMTUxOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=b04_GbbdVBkQ7kNvwEr1pv0&_nc_oc=Adk9XA0sR8dKuIgQQa9tJENtorf8_jvt089Iyk5Z_DI0KRUqqfFVANbX0eCsOStFYVFpchmggLc6sIkxEWuMEPgA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_Afj1O8O9NPKlHetlYx9TX84Qak5Db97f82TjVn1za8u4IQ&oe=69313121;39’uncu Olağan Kurultayımızda geçerli 1333 oyun tamamını alarak dördüncü kez Cumhuriyet Halk Partisi Genel Başkanı olarak seçilen Sayın Özgür Özel’i tebrik ediyorum.  Genel Başkanımızın liderliğinde, Cumhuriyet Halk Partisi olarak iktidar yürüyüşümüze devam ediyoruz.  #ŞimdiİktidarZamanı;26885.0;0
https://www.instagram.com/p/DRo8hOWDPnf/;Carousel;185;4;0;2025-11-29 15:06:50;https://scontent.cdninstagram.com/v/t51.82787-15/587751666_18400640521127316_6537237640145381744_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NjUzNDQ0MTYzMjczODgzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNzh4MTAzMy5zZHIuQzMifQ%3D%3D&_nc_ohc=Qek_gIP1__IQ7kNvwGr3W9U&_nc_oc=AdlUh-pNm9FmU0m_Lf6aiBmYBjV-3UTIQRJndLWAUjr-TYyuv3cCZx09p-sOiLbiD8inPOiEmLNSrlYrBu2Qv381&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfjCWq58Cqnrgmnj9Aji0bej4ABrEAtfo5Pp2wYU1yB9ww&oe=6931014B;📌 Cumhuriyet Halk Partimizin muhalefetteki son kurultayında Ankara’dayız.   39’uncu olağan kurultayımızı Genel Başkanımız Sayın Özgür Özel’in liderliğinde büyük bir coşku ve heyecanla gerçekleştiriyoruz.  Bugün burada yeşeren tohumlar daha adil, daha demokratik, daha eşit ve daha aydınlık bir Türkiye’nin köklerini oluşturacak.  #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRmOJbxDC31/;Carousel;119;0;0;2025-11-28 13:43:09;https://scontent.cdninstagram.com/v/t51.82787-15/587690961_18400516789127316_1407981473655424225_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTc2NzU0ODUyOTQ4MjAyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=31ibLrz3Bz4Q7kNvwHnG7qz&_nc_oc=AdmyEEvrr7Y-5wtyKAGypXAjresFEvT6HG96qHf0Exj_6GYaHbNkVVH8rNF5EeeDllsaZ5KFimOC_Na2K8lIjyYR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfiIj96VuSIcRAtwTB8G4GND2FbRYjvMMNCUs_GqbwpdXQ&oe=69312BC9;📍Ankara  Baba ocağımız, Cumhuriyet Halk Partimizin 39. Olağan Kurultayı için il örgütümüzle birlikte Ankara’dayız.  Genel Başkanımız Özgür Özel’in liderliğinde iktidar heyecanını hep birlikte yaşıyoruz. Kurultayımızın partimize ve ülkemize hayırlı olmasını diliyorum.  Daha adil, daha aydınlık, daha eşit ve daha özgür bir Türkiye hayalini, anadolunun bereketli topraklarında hep birlikte yeniden yeşerteceğiz.;;0
https://www.instagram.com/p/DRkC-hzDHGx/;Carousel;223;14;0;2025-11-27 17:27:04;https://scontent.cdninstagram.com/v/t51.82787-15/587354796_18400423420127316_8482016113870499881_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTE1NTQ2NzA5NDYwNTMyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4MTAyNC5zZHIuQzMifQ%3D%3D&_nc_ohc=TZWSrXxUpegQ7kNvwEA7xWx&_nc_oc=Adldz8GTIGKe1Npl_cAbEWb6QJJoQGf8sQsjJ4qw8p6Nw8au_Rw2fEMQUHqwqLvoKTJaBCOxOb461Gb1mm3-ZAbE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfjCjodRnputD1Czm0nMbPafQIbLXfVc0rtb35NofbGYtQ&oe=69310A1E;🚧 Mustafa Kemal Paşa Mahallesi’nde Asfalt Çalışmalarımızı Sürdürüyoruz.   Hüseyin Altan Caddesi’nde başlattığımız asfalt çalışmalarımız, bağlantı yollarından biri olan 236.3 Sokak’ta da devam ediyor.  Bugün, ekiplerimizin sahadaki çalışmalarını yerinde inceleyerek çalışmalar hakkında bilgi aldık.  🛣 Her şey çok daha güzel bir #Yalova için!;;0
https://www.instagram.com/p/DRezCvAjBlx/;Carousel;145;0;0;2025-11-25 16:31:38;https://scontent.cdninstagram.com/v/t51.82787-15/587778350_18400191748127316_1955676547545989607_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MzY3ODAyMTMyOTYxNjgxOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjN4NzA2LnNkci5DMyJ9&_nc_ohc=k590uIDKS9MQ7kNvwF2ZCeM&_nc_oc=AdlRH3qjqYeP1ZW2roY7s1ats6gcmUVZU4w9mm8T47J-y3dYIJFo3XLScQ3d7_HdIwi3SF8RZI5U8CgHTIgME2Qo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfhbQpVIYoWM60qNqGYdYGx5opTxfrgceJKKbrKAe1VL7w&oe=6931201C;"25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü kapsamında, CHP Kadın Kollarımızın düzenlediği basın açıklamasına katıldım.  Kadına yönelik şiddetin karşısında durmak; eşitliği, adaleti ve insan onurunu savunmaktır. Bu mücadelede tüm kadınlarımızın yanındayız. 🙏  Şiddetsiz, eşit ve aydınlık bir Türkiye için hep birlikte mücadele edeceğiz. ✊💜";;0
https://www.instagram.com/p/DReuN6XDJYJ/;Carousel;331;2;0;2025-11-25 15:49:28;https://scontent.cdninstagram.com/v/t51.82787-15/587835306_18400187200127316_5197687430766237511_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MzY1Njc5MjMwNDQ3MjMzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwMTR4NzYxLnNkci5DMyJ9&_nc_ohc=SX0PvFk7qbUQ7kNvwFD05rl&_nc_oc=AdloswMgQUaxnma_mkSMr20rI1OT593L7pTF8UHdO2Sned6cxyB-6R8A42PZFILAD7sTP2XFHQ4mdDdnMXw66pV6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfgmGE6UJM1pQ5uNb4CFcMMrwJK5xjFpeJxyqH2FWESfhw&oe=69313003;💐 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde, Uğur Mumcu Kültür Merkezi önünde kurduğumuz stantta kadınlarımıza çiçek hediye ettik.  Sadece bir gün değil, her gün şiddetin karşısında, kadınlarımızın yanında olmaya devam edeceğiz.;;0
https://www.instagram.com/p/DReLkgtjKEF/;Photo;211;2;0;2025-11-25 10:46:43;https://scontent.cdninstagram.com/v/t51.82787-15/587978529_18400163263127316_706747181870489188_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzUwNDQyNTMxOTc2ODMyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=W_UwBdqhaakQ7kNvwHk52Iy&_nc_oc=AdktDV4uH9Cgv_Dtv241NCP6xaXJo44cJwgW7EpjUQSlmn9TdJNVsdVqgnD3ZCtACbY5l8t8yJRf_w2dhMn4VgE7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_Afjb08axp8xgE_cwEvonD73Vpzc_Ri4t8zTy9w7AlGOEBw&oe=693127AD;"Kadına yönelik şiddet; insan haklarının, adaletin ve toplumsal vicdanın en ağır ihlalidir. Şiddetin hiçbir bahanesi, hiçbir gerekçesi olamaz.  Kadınların özgür, eşit ve güven içinde yaşayabildiği bir toplum için mücadelemizi kararlılıkla sürdürüyoruz. Destek mekanizmalarını güçlendirmeye, farkındalık çalışmalarını artırmaya ve her koşulda kadınların yanında durmaya devam edeceğiz.  Bir gün değil, her gün! Kadına şiddete hayır! ✋";;0
https://www.instagram.com/p/DRcrIC1jDfZ/;Carousel;344;5;0;2025-11-24 20:43:58;https://scontent.cdninstagram.com/v/t51.82787-15/588354777_18400105393127316_5477568178904126756_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzA4MDI0ODMzNDk4Nzk4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwMTF4NzU4LnNkci5DMyJ9&_nc_ohc=Oc6s5UmGllYQ7kNvwHZxa2m&_nc_oc=AdmYLl0uoS8zKfpFP10BcGyyTRnJ1o_43kZgPghjKB-lWAs6S8q-xNsS9lpqLoA_p9yDaGcAqiXcAG0XHL2UH0nG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_Afi_vHF1lg0rcmKVLhJf8ZsnABu_5jy7qmqSTyZYNKYCPg&oe=69310F9F;24 Kasım Öğretmenler Günü’nde, eğitim camiasına 39 yıl boyunca hizmet etmiş, 90 yaşındaki değerli öğretmenimiz Zekiye Yıldız’ı evinde ziyaret ettim.   Kendisiyle hem geçmişin izlerini taşıyan keyifli bir sohbet gerçekleştirdik hem de eğitime olan katkıları ve belediyemize yaptığı anlamlı bağışlar için teşekkürlerimizi ilettik.   Tüm öğretmenlerimizin ellerinden saygıyla öpüyor, emekleri önünde bir kez daha sevgiyle eğiliyorum.;;0
https://www.instagram.com/p/DRcUybcDGxy/;Reels;111;0;6193;2025-11-24 17:29:29;https://scontent.cdninstagram.com/v/t51.71878-15/587313716_1463571914703863_6757414611557390728_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3Mjk4MjAxNDE5NTI5NzM5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=0l1cHaSg5h4Q7kNvwGUU3x8&_nc_oc=AdlbPpE3vAkKMV3BeatqVc6yQ0f23SoinRZ_NWWQ3ZHH1pnIZj1TFaroDKupB0K2WD82SJNQT1VwtFnFvlwMC0wt&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_Afhmp6AZahlvQrOlTst94u4ML4K6Y7JFwQESNwfsmX9Q9g&oe=69313081;Kutsal mesleklerden biri olan öğretmenliği her koşulda icra ederek,  Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün izinden yürüyen ve bizleri yetiştiren tüm öğretmenlerimizin ellerinden öpüyorum.  İyi ki varsınız…❤️❤️;;0
https://www.instagram.com/p/DRb6x0kDN1W/;Carousel;305;3;0;2025-11-24 13:41:30;https://scontent.cdninstagram.com/v/t51.82787-15/587603801_18400061932127316_6840881811178484509_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3Mjg2NzYwNjkyMDA0ODQwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjk1MXg3MTMuc2RyLkMzIn0%3D&_nc_ohc=dasNfIUkPhsQ7kNvwFFNIwT&_nc_oc=AdklCg5wGSF_HM7mLauL5FdQiCF65tMk714viCU_4J0j5z-S0LKidANyKZqa1a6lhZTjAAcfHtcq0lfiOnSoV3nl&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=gZTZWy-4Asbb4K-lTiwKvg&oh=00_AfisORtdJlFJ-fOTnPz1acs6FaUBLREcJ0b-ZnfuQON4Bg&oe=69310B0A;📚 Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün izindeyiz…  24 Kasım Öğretmenler Günü’nde, geleceğimizi ve çocuklarımızı emanet ettiğimiz tüm öğretmenlerimizin emeklerini saygı ve minnetle selamlıyorum.  CHP Kadın Kollarımızın düzenlediği anlamlı programda birbirinden değerli öğretmenlerimizle bir araya geldik. Asırlık çınarımız, değerli büyüğümüz Abdurrahman Gezer hocamız ve öğretmen olan annem Fatma Selma Gürel’le buluşmak da günümüzü daha da özel kıldı.   Tüm öğretmenlerimizin Öğretmenler Günü kutlu olsun! 🌹;;0
