PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpXqVHDQKm/;Carousel;117;1;0;2025-11-29 19:04:01;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/587682147_18202113220316445_6243217562548130142_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NjY1MzgwNzMxMzU2MDg4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=htBkvr66EXIQ7kNvwE59OQU&_nc_oc=Adk1a6bKxNDYPIk07n1DSZyy5cV7Ayth8vOouD0CASvZp51NnSK3_z4irqGL7uW3NQs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_Afi8g9_jbTlWWenU4YTmtZulsrRMXaetdnDzIl44c_-WPg&oe=69310A83;Yerel Yönetimler Bölge Toplantımızın ikinci gününü verimli bir şekilde tamamladık.   Programın ilk bölümünde Samsun Büyükşehir Belediye Başkanımız Halit Doğan, AK Parti Samsun İl Başkanımız Mehmet Köse ve Genel Başkan Yardımcısı Yerel Yönetimler Başkanımız Mustafa Demir’in konuşmaları, günün ikinci bölümünde ise Genel Başkan Yardımcılarımız Seçim İşleri Başkanı Ali İhsan Yavuz, İnsan Hakları Başkanı Hasan Basri Yalçın ile Gazeteci Ferhat Murat’ın sunumlarıyla belediyeciliğin çalışma yöntemleri ve vizyonuna dair çok değerli bilgiler edindik.  AK Partimizin yerel yönetim vizyonunu sahada daha güçlü şekilde uygulamamıza katkı sağlayacak toplantılarımızı yarın tamamlayacağız.;276588.0;0
https://www.instagram.com/p/DRnL0Bhjegh/;Carousel;199;0;0;2025-11-28 22:42:00;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/587756628_18202039816316445_3937221100336428969_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NjAzODc0NjY1NjIwMjA1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=rPc7EbyqsMUQ7kNvwHatAHt&_nc_oc=AdlVaBUnfLS1apm6nWo2hywo5nSEGSvBMJdTotg_EldCPmuBNTRms3D0eqdlRap-Umc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfhnkSdy6SKbDM0f4ir5G_43WBGP2-NNft5i3byIag-chA&oe=6931132E;Samsun’da, Genel Merkez Yerel Yönetimler Başkanlığımız tarafından düzenlenen ve üç gün boyunca devam edecek Yerel Yönetimler Bölge Toplantımızın ilk gününü tamamladık.  Belediye başkanlarımız ve yerel yönetim kadrolarımızla bir araya gelerek verimli bir başlangıç yaptık.  İlk gün programı olan Deneyim Paylaşımı Paneli’nde, şehirlerimizin farklı alanlardaki uygulamalarını dinleme fırsatı bulduk. Belediyeciliğin gelişimine katkı sunan bu görüşler, hepimize yeni bir perspektif kazandırdı.  Yerel yönetimlerde başarı, ortak akla, sahadan gelen tecrübeye ve güçlü işbirliğine dayanıyor. Bu buluşmalar vesilesiyle şehirlerimize daha etkili hizmetler üretmemiz için önemli bir zemin oluşuyor.  Toplantımız, yarın ve pazar günü devam edecek oturumlarla daha kapsamlı şekilde sürdürülecek.;;0
https://www.instagram.com/p/DRmNwPVDZeg/;Carousel;416;3;0;2025-11-28 13:39:43;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/589231187_18201997420316445_8279982621095236777_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTc2NTgxNDAwMDMwMDczNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=dZKhCdBxiCwQ7kNvwEzGnMx&_nc_oc=AdmZzwRW3I_bvmSGRo3pDOm12Il_veoG-bjEqSs-KMveM_WuRcrSzmN8iZM_8ZcTIpg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_Afj0dJbrwDK_UyuXFdfkTMxP2GM1MSsw5JHtVSmgT9NDvA&oe=69310D21;Zaferi Milli Camii’nde namazımızı eda ettikten sonra, burada gelenek haline gelen Cuma sonrası çay-simit sohbetimize katıldık.  Dostlarla birlikte içilen çayın, paylaşılan simidin tadı gerçekten hiçbir sofrada bulunmaz.;;0
https://www.instagram.com/p/DRlzn2AjWPC/;Reels;480;16;16386;2025-11-28 09:52:25;https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/587836065_1236176421680572_1968218997048766268_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTY1MDkwMTA0MzAxMjU0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ir7b3uVQGRYQ7kNvwF7Vsz1&_nc_oc=AdnwwwlEGHJSDxqgO8Pig2sjELe1rmIn5X1i0efKpZs0G6zpFhrYv0-gaGoAkhAP0pI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfiRWFAC6BUnu0BSBc3B-_sVKQD6pYC11606vH6wNtCbSw&oe=6930FF5A;Altınordu Rıhtımı’nda devam eden çalışmaları yerinde inceledik.;;0
https://www.instagram.com/p/DRlqrWLiKbS/;Photo;304;10;0;2025-11-28 08:33:13;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/587538197_18201982207316445_903816264990948437_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTYxMTU1OTMyNjgyMDA1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=OULVdsW-zRcQ7kNvwGW7Ww-&_nc_oc=AdmpFvGf64ynswBC-Wv5Rk-AQvDFmaBx-jQy4f9HjvABPiGAOxk_-vX1Qiy2pAjFQr4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfgijsEU6U-z6I3Fr1IfkZutm_ZM_SHIjki5sNHGQU9PQA&oe=693120E3;Allah’ın selamı, rahmeti ve bereketi üzerimize olsun. Cuma’mız mübarek olsun.  Hayırlı Cumalar 💐;;0
https://www.instagram.com/p/DRkfKaujTWU/;Carousel;230;2;0;2025-11-27 21:33:21;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/589327263_18201945700316445_3301981356168174_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTI3OTQzMDM2MTc2ODY4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=sdri7lUi_r8Q7kNvwEoR0ya&_nc_oc=Adkp6Fj8IUcYLT_3Ztjz5HSJrFwUP0uMkwEK97qdFOA8NYpSgiyZ7YhjzLew-V44n3s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfgeeXvUP-WMEgLZYjR1Fp7iWmYLaszvOkkA6T4-09EwUg&oe=6930FD91;AK Parti Gürgentepe İlçe Başkanı Mehmet Şahin ve yönetim kurulu üyelerini, Büyükşehir Belediyemizde ağırladık.  Gündem Gürgentepe ve projelerimizdi 😊  Kıymetli teşkilatımıza nazik ziyaretleri için teşekkür ederim. Birlikte çalışarak Ordu’muzu daha yaşanabilir, daha huzurlu bir şehir haline getirmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRka4gIDbdD/;Carousel;237;6;0;2025-11-27 20:55:58;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/589007550_18201942919316445_2949328445038719492_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTI2MDYwNzE4OTQ1NTM0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5NS5zZHIuQzMifQ%3D%3D&_nc_ohc=_OnlcNNBEd8Q7kNvwFImkfb&_nc_oc=Adkrv1slMXuEB_yvIw20p4A9WUTRwnBF6pWKzVbx05H255KUwikdSkiclDLnZcNibI8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_Afja2cPvLHEDbh3A11fWN88zGmdohx6roeOYRVyUXSUs0A&oe=693122EF;Değerli Hemşehrilerim,  İlçe belediye başkanlarımız ve meclis üyelerimizle birlikte gerçekleştirdiğimiz Ordu Büyükşehir Belediyesi Kasım Ayı Olağan Meclis Toplantısı 2. Birleşiminde, şehrimizin bugününü ve yarınını şekillendirecek projelerimizi paylaştık.  Bu vesileyle, siz kıymetli Ordululara hem gerçekleştirdiğimiz hizmetleri hem de geleceğe dair vizyonumuzu aktarmak istiyorum.;;0
https://www.instagram.com/p/DRj4KlnDXf8/;Carousel;272;2;0;2025-11-27 15:52:36;https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/589637431_18201916879316445_3417049701115749888_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTEwNzkxMTM3OTY4NjgzNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4NzIwLnNkci5DMyJ9&_nc_ohc=_srgWpVkIrQQ7kNvwFziwn3&_nc_oc=Adl-yD_GFjOShD0OK0Rmt_huKu59WpWBYHMTiiv5Ehynu0tDAMExeWQH9p9g2OMwT6s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfguC6xizgKPJo39uarjAP-PvKVJx7qXDfPT0TGZpynljA&oe=69310182;Ordu Ticaret ve Sanayi Odamızın işletmeciliğini üstlendiği “Yelken Kulübü”nün açılışını hep birlikte gerçekleştirdik.  Bu yeni sosyal alanın ilimize değer katmasını diliyor, Ordu’muza hayırlı olmasını temenni ediyorum. Emeği geçen herkese teşekkür ediyorum.  Açılış programının akabinde kıymetli misafirlerimizle Kirazlimanı Yaşam Merkezi’nde yer alan yatırım noktalarımızı gezdik.  Şehrimizin yaşam kalitesini artıran bu yatırımları misafirlerimizle birlikte yerinde görmekten memnuniyet duydum. Ordu’muz için değer üretmeye, hemşehrilerimizin hayatına dokunan çalışmaları kararlılıkla sürdürmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRjI6uaDdNN/;Reels;168;4;11654;2025-11-27 09:01:23;https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/587783272_1394471252379922_3474709543018777832_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NDkwMDEzMjU5NzU4NDcxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=2BiD4Y2ex84Q7kNvwH4IeVy&_nc_oc=AdlXEsbkdjixBUaJjuUNRi82AgqoUemB0rtsblq_TqDWvKCzoVh_R8deX5-FxVqVw4g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfhO7QPYAyTV1Dba7S6K8l4d-hb7wxbOX6yQ7XWMgMocbw&oe=69312CCB;Altı yıl önce ‘Kendi Kendine Yeten Şehir’ sloganıyla başlattığımız tarımsal faaliyetlerden sadece birisi olan fide üretim seramızda yazlık 400 bin adet fide, kışlık ise 800 bin adet fide yetiştiriyoruz.  Kendi seralarımızda, 3’te 1 maliyetine ürettiğimiz fideleri,  üreticilerimize dağıtarak ‘Doğduğu Yerde Doyan Bir kent’ için çalışmalarımıza aralıksız devam ediyoruz.;;0
https://www.instagram.com/p/DRh2_W5DS7r/;Reels;583;13;24033;2025-11-26 21:05:13;https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/587243130_1852574758964027_4630784054390072115_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NDUzOTgxMTEzMTMwNTcwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMiJ9&_nc_ohc=ftmpE_GgQjoQ7kNvwEFP8vH&_nc_oc=AdnwIw8sLHrjcTqCY1GYsoU8OW7C3uIXzyBlArsjO1-cOSKBCfqozr24qU5YsLhRxEw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_gid=pZZ8lqMTz3QSXGZzadlzYQ&oh=00_AfjZ-FrRUfd-UZwSDM9zE58iSgqbMF0glCW353sC-c4LdA&oe=69312A9C;19 ilçesi 772 mahallesiyle şehir değil, şiir ❤️;;0
