PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpqYFpDIaA/;Carousel;18;0;0;2025-11-29 21:47:33;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/591100105_18543240583061106_8634398220020269322_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjczNjEyOTQyOTg1ODAzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=vdN3aS_W1DoQ7kNvwGkCcBE&_nc_oc=AdmUycr6qIquwy3Ksq4ca9G2dNTGhU8Y7piwnQ22S4hU8GPv2JrHoqUSvRAhIVtgrTE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfjYv7BiXV-mXnIoYek-iu-KiJ9Q6mozKXg901IWYuDDig&oe=69310189;"Ulaşımda çözüm ortağımız Kentkart Firması’nı ziyaret ettik.   Şehrimizin ulaşım altyapısını daha da güçlendirecek yeni nesil dijital çözümler, inovatif fikirler ve ARGE çalışmalarına dair kapsamlı bir değerlendirme yaptık.  Erzurum’da ulaşımı; daha kolay, daha hızlı ve daha erişilebilir bir yapıya kavuşturmak için hizmet ağımızı sürekli genişletiyor, teknolojiyle uyumlu adımlarla hemşehrilerimizin hayatını kolaylaştırmaya devam ediyoruz.  Misafirperverliğinden dolayı Kentkart Yönetim Kurulu Başkanımız Mazhar Umur Basmacı kardeşime teşekkür ediyorum.";56618.0;0
https://www.instagram.com/p/DRpiQhzjDsw/;Reels;70;0;2243;2025-11-29 20:37:14;https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/587908437_2911650929173030_3056720213791724837_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjcwMDQzMTkxODE4NTI2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=rH_KmVzL-rQQ7kNvwHtRdnI&_nc_oc=AdkHRoit_O7LlcFnMkt3xhD8pqc2mFQ-EH5OlLwybISN6iH-KMItCAuAPAAjsKJ1vU4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfjkdIsey_1sOwLnedJoiQAgaLtG5wJ78ej3_ZExoe8mig&oe=6930FF29;"Doğu Anadolu 7. Kitap Fuarı’mız, bu yıl yine Erzurum’umuzun kültür iklimine güçlü bir nefes oldu.   Yüzlerce yazarın, binlerce eserle buluştuğu bu büyük kültür şöleni; şehrimizin ilme, irfana ve bilgiye duyduğu derin muhabbetin yeni bir nişanesi oldu adeta.   Aynı zamanda Fuar Merkezimiz, sadece bir mekân değil; gençlerimizin ufkunu açan, hemşehrilerimizin kültürle temasını artıran bir yaşam alanı…   Erzurum’umuzun geleceğini inşa ederken bu merkezin kapıları, her zaman olduğu gibi, bilginin ve hikmetin yolcularına sonuna kadar açık kalmaya devam edecek. Tüm hemşehrilerimizi de Fuar Merkezimize bekliyorum.";;0
https://www.instagram.com/p/DRpJUadDCqO/;Carousel;122;1;0;2025-11-29 16:58:41;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/588021021_18543201529061106_3397333482236577439_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjU5MDc0MzAyNTI2NjI0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkxMC5zZHIuQzMifQ%3D%3D&_nc_ohc=lVUCOUrKEBwQ7kNvwE0fmY3&_nc_oc=AdmarmsjZ1kMXzaCejjnNZsqP-nPlpjkguxiPt7_Isq0dvn4McB78bziP7xY4RoK74k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfgTVjIlWNMhmwnd7hdBxGN1qBfxxL7kDisBMpiISc5FGw&oe=6931202D;Abu Dabi’de düzenlenen Büyükler Kick Boks Dünya Şampiyonası’nda gösterdiği üstün başarıyla Dünya 2’ncisi olan Erzurum Büyükşehir Belediyesi Spor Kulübü’müzün sporcusu Cebrail Gençoğlu’nu gönülden tebrik ediyorum.   Şehrimizi bir kez daha gururlandıran Cebrail evladım, başarıların daim olsun.;;0
https://www.instagram.com/p/DRnLsreDCgW/;Carousel;327;1;0;2025-11-28 22:41:00;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/590943887_18543093886061106_2816350857196932124_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjAzODI1NDkzMjY5MzIwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=XcMTB8FppwIQ7kNvwHEb8si&_nc_oc=AdluDPklLwx7kQ3iiG1Q2CA92Sie2ZpI7Mpe5HQfj0jWBqRQ19wwHWErfZibkeY9UkA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfhtsGpqsqMJdZmd-WNF7j2pfbgPmJRMj5UCVTFYr1_s-A&oe=6930F92B;"İzmir’deyiz.  İzmir’de faaliyet gösteren Erzurum Pazaryolu Gülçimen Köyü Derneği’ndeki kıymetli hemşehrilerimizle bir araya geldik.  Gurbette Erzurum’un sıcaklığını, dayanışmasını ve gönül birliğini yaşatan tüm kardeşlerime muhabbetimi sunuyorum.  Birlik ve beraberliğimiz daim olsun; her yerde Erzurum’un vakur duruşunu, kadim kültürünü yaşatmaya devam edeceğiz.";;0
https://www.instagram.com/p/DRnLOMfjO2L/;Carousel;234;0;0;2025-11-28 22:36:50;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/588006389_18543093460061106_8350233646800463120_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjAzNjE1OTM1Nzc1MjEzNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=q3LP4cVBR5MQ7kNvwFZvf0Y&_nc_oc=AdmH_1wRWAwjHwBDDPzDlxfja6vO2y7Blys4U8ed_MlZ74HfNnolFwvi6XALx7qDQXE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfgsBZcqkfl8N3NA0ohupQW3C7LoMN-gbRUIdPVxzQVhwg&oe=69310C44;Ege Bölgesi Erzurum Dernekler Birliği Federasyonu’nun düzenlediği İzmir Erzurum Tanıtım Günleri’ne katılarak hemşehrimizle gönül bağımızı bir kez daha tazeledik.  Erzurum’un ruhunu, kültürünü ve değerlerini Ege’de yaşatan tüm hemşehrilerime yürekten teşekkür ediyorum.  Bu güzel buluşmada emeği geçen herkese şükranlarımı sunuyorum.;;0
https://www.instagram.com/p/DRm4oVajN_A/;Reels;131;0;7005;2025-11-28 19:55:19;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/589836404_784656584593798_1434469943863077386_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NTk1NDM5OTk3NDQ0OTA4OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=I402RFf-dVIQ7kNvwG0nAWR&_nc_oc=AdmK_ZDIGwuaY9OTTw8dK6GTcNf18YLB-lWSWhtRIGCp7op1Qdq9zIkyotLfB830nIA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_AfhTrWp6LczoY2363mqtr68NYrgpPiTV1HjQWFWGMrSSog&oe=69311218;"Doğu Anadolu 7. Kitap Fuarı’mız, Erzurum’un kültür hayatına yeni bir soluk getiren, yazarları, eserleri ve binlerce kitapseveri buluşturmaya devam ediyor.   Kadim şehrimizin ilim ve irfan iklimine güç katan Fuarımız; söyleşilerden imza günlerine, çocuk etkinliklerinden yazar buluşmalarına kadar geniş bir kültür şöleni sunuyor.  Bu güzel atmosferi yaşamak isteyen tüm hemşehrilerimizi bekliyoruz.";;0
https://www.instagram.com/p/DRmcVUijA9o/;Photo;300;12;0;2025-11-28 15:47:07;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/587555408_18543042472061106_2777276667317572792_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTgyOTk0ODA2MjUwMjc2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMi5zZHIuQzMifQ%3D%3D&_nc_ohc=WK826yBGFzIQ7kNvwFKqR6t&_nc_oc=AdnKCzLSV0tF1JxP9OZBlJnI-dxfrzpmQIB-_QYtWXqGPNQnz5hFt578HNqOZbFADqg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_Afgjk6t75o85r5Ba0tuXlcAZDZzLWHUx7w-V-w14Yv8YZg&oe=69310681;Erzurum Büyükşehir Belediyesi Meclis Üyemiz, Eski Bağbaşı Belediye Başkanımız Karabey Eroğlu kardeşimin vefatını teessürle öğrendim.   Merhuma Cenab-ı Allah’tan rahmet, ailesi ve sevenlerine sabır ve başsağlığı diliyorum. Mekanı cennet, makamı ali olsun.;;0
https://www.instagram.com/p/DRlrtMljLRh/;Photo;123;2;0;2025-11-28 08:42:12;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/587923034_18543003229061106_6681174829721230521_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTYxNjA4NDUxMTMzOTYxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=2kUFZ2x3Gt0Q7kNvwE2CAyi&_nc_oc=AdlCb7O9QHaToGwh1metsPnipdJ57Kpe0UCC7iTL4jcW2Pwk3oa9EJdG9W5J9qZAMzU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_Afij4fb81bVZ3_iab0C5SEIIiea-jYlGkuw9W6Zi143h2g&oe=693122C7;“De ki: “Benim namazım, ibadetim, hayatım ve ölümüm, hepsi âlemlerin rabbi olan Allah içindir.” (En’am Suresi - 162. Ayet)  Cumamız mübarek olsun.;;0
https://www.instagram.com/p/DRj6Jt0jAsB/;Photo;345;12;0;2025-11-27 16:09:57;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/587564981_18542894953061106_2801764215287037581_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTExNjY2NzAzOTUxNzQ0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTExNy5zZHIuQzMifQ%3D%3D&_nc_ohc=G4CtdOQiQXoQ7kNvwGY3XVT&_nc_oc=AdlRHXSN8xPlhvUaREtwpQlssrxWGtVq7vir0S6xmI88OaO5p1sCeDUhsVmhN4vd170&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_Afjz5bcFD0_qouqaimkSfghwiZRU0IwBYuC_FQb5gvOo_g&oe=6931118F;"Kıymetli hemşehrimiz, Antalya Karayolları 13. Bölge Müdür Yardımcımız Sabri Gökhan Genç kardeşime Cenab-ı Allah’tan rahmet; ailesi ve sevenlerine sabır ve başsağlığı diliyorum. Mekanı cennet, makamı ali olsun.";;0
https://www.instagram.com/p/DRj5cKSjAmG/;Reels;1154;69;37058;2025-11-27 16:05:46;https://scontent-lga3-1.cdninstagram.com/v/t51.71878-15/588567649_4401625260056226_5052401786619746010_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3NTExMzUzNjUxMTY3NDc1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=a708-hkId-UQ7kNvwGKoHmO&_nc_oc=AdmCnzbz26EL19eMHpg-Dz5MPSSo1aImtlR-DYM8AlvuoDAjD1n5FgWjUJrtKXdBYcA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=_bd-3a_hKRxCpHCIrUfw7g&oh=00_Afg2L0js2lS_3ofRVAyKjYciq0Awx3nskgsOZajUO0nc7g&oe=69310AF8;Gazeteci-Yazar Zafer Şahin kardeşimin Halk Pazarı’mıza gösterdiği ilgi ve güzel sözleri için teşekkür ediyorum.   Aziz hemşehrilerimizin günlük yaşamına değer katan, üreticimizin emeğini ve şehrimizin bereketini buluşturan Halk Pazarları’mızı daha da güçlendirmeye, şehrimizin her köşesinde canlı ve güvenli mekânlar oluşturmak için çalışmalarımıza devam ediyoruz.;;0
