PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpYmA8DEXc/;Carousel;205;3;0;2025-11-29 19:12:10;https://scontent.cdninstagram.com/v/t51.82787-15/587926044_18351195631164012_2391597109904179395_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjY1NzkyMTQ2NDM1MDQ2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=H2Pl7uQkyNAQ7kNvwESZPY_&_nc_oc=Adnc2g6t_vZQAQdOuRqGSepIwTsI11oIR5dwT1qt-aGu-P3VXRtOwpg0yA9dFbA502opmXdZGjd3GF0NEjmOpMVR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfgUauTYzIu4P4E_SEua7pqFUnOyKXeS1W24BOROm0QKqw&oe=693122FB;Hastane Bölgesi ile Sanayi Sitesi–Doğa Koruma ve Milli Parklar İl Müdürlüğü güzergâhlarında altyapı ve sağlıklaştırma çalışmalarımızı tamamlayarak, bölgemizin ulaşım konforunu artıracak asfalt serim çalışmalarına başladık.  Hemşehrilerimizin daha güvenli, düzenli ve modern bir şehirde yaşamaları için tüm ekiplerimizle sahada olmaya devam ediyor, hizmetlerimizi şehrimizin her noktasına titizlikle ulaştırıyoruz.   Asfalt çalışmalarımızın ilimize hayırlı olmasını diliyorum.;27408.0;0
https://www.instagram.com/p/DRpJFuqjOvL/;Carousel;468;1;0;2025-11-29 16:56:41;https://scontent.cdninstagram.com/v/t51.82787-15/587775847_18351182611164012_7702369236289462253_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NjU4OTcyNjcyODYxNzA5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5oZHIuQzMifQ%3D%3D&_nc_ohc=0rXWLKQqE-8Q7kNvwHdd3xR&_nc_oc=AdmllgsGMR7gK1sgXfditWFoM4Q6wwxSBLPt2DcZawYDRxgOJPJlE8nYq_zC9N51uD80iiTqo4bVmSoZv9GEVKM8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfjnAKpSsBRCZt3-dDOPZ3_Ul_r7iibeJQj_g66FrjN5Mw&oe=693131E0;Uluslararası Melayê Cizîrî Sempozyumu vesilesiyle ağırladığımız Kürdistan Demokrat Partisi (KDP) Başkanı Sayın Mesut Barzani ile birlikte, merhum Bakanımız Şerafettin Elçi’nin mezarını ziyaret ettik. Ardından Hz. Nuh Türbesi, Melayê Cizîrî Türbesi, Mem û Zîn Türbesi ve Kırmızı Medrese’de kadim tarihimizin izlerini yeniden hissettik. Bu toprakların ruhunu, kültürünü, kardeşlik manevi duygusunu paylaşmak bizler için büyük bir onurdu.;;0
https://www.instagram.com/p/DRpC0QOjJpw/;Carousel;499;1;0;2025-11-29 16:01:52;https://scontent.cdninstagram.com/v/t51.82787-15/588578321_18351177934164012_2491898166099014310_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NjU2MjEzMzQxNzY0NzU4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=EoNcKyVLPqgQ7kNvwESisOG&_nc_oc=AdnTlus3xSKBKoUCJ6saYFnYjuVky0vubZBUSD4TnWks4fwxvZZ6PFOEwz5ALjWyqzffKUC6npGmPuMUFNEIBw1S&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfhaJ8IgPY5ywRFobJEb3Ot4GhdXjs7HH-8ft-vvcViOTQ&oe=69311FCA;"Valimiz Sayın Birol Ekici, Kürdistan Demokrat Partisi (KDP) Genel Başkanı Sayın Mesut Barzani, İçişleri Bakan Yardımcımız Sayın Münir Karaloğlu, Cumhurbaşkanı Başdanışmanımız Sayın Gülşen Orhan, Milletvekilimiz Sayın Arslan Tatar, DEM Parti Milletvekilleri Sayın Ayşegül Doğan, Sayın Zeki İrmez ve Sayın Nevroz Uysal Aslan, HÜDA PAR Gaziantep Milletvekili Sayın Şehzade Demir, Erbil Valisi Sayın Omid Xoşnav, Zaho Valisi Sayın Guhdar Şexo, Rektörümüz Sayın Prof. Dr. Abdurrahim Alkış, Cizre Kaymakamımız Sayın Ahmet Vezir Baycar, İl Başkanımız Sayın İbrahim Halil Erkan, Kadın Kolları Başkanımız Sayın Bişenk Fatma Acar, Merkez İlçe Başkanımız Sayın Rahmet Taşar, Gençlik Kolları Başkanımız Sayın Arif Tatar, il protokolümüz, Kanaat Önderlerimiz, STK temsilcilerimiz, değerli akademisyenlerimiz ve kıymetli hemşehrilerimizle birlikte ikinci gününde devam eden 4. Uluslararası Melayê Cizîrî Sempozyumu’na katıldık.  Melayê Cizîrî, yüzyıllar önce kaleme aldığı eserlerle yalnızca bir şair ya da bilge olmanın ötesine geçmiş; insanlığı, aşkı, hikmeti ve en önemlisi birlik ile kardeşlik duygusunu eserlerinin merkezine yerleştirmiştir. Onun öğretilerinde, toplumları bir araya getiren en güçlü bağın dil, coğrafya ya da aidiyetler değil; ortak bir gönül dünyası ve ortak bir insanlık bilinci olduğu vurgulanır.  Bugün bu sempozyumda bir araya gelişimiz, Melayê Cizîrî’nin bıraktığı bu manevi mirasın hâlâ canlı, yol gösterici ve birleştirici olduğunu bizlere hatırlatmaktadır. Farklı düşünceler, farklı kültürler ve farklı bakış açılarıyla bir arada bulunmamız; Cizîrî’nin asırlardır yankılanan “kardeşlikte buluşma” çağrısının günümüzde de anlamını koruduğunu göstermektedir.  Bizler de onun hikmetli sözlerinden ilham alarak, toplumumuzda barışı, hoşgörüyü ve karşılıklı anlayışı güçlendirmeye; gönülleri birleştiren değerlerimizi yaşatmaya devam edeceğiz. Melayê Cizîrî’nin sesinin, fikirlerinin ve kaleme aldığı hakikatlerin geleceğe taşınması için kararlılıkla çalışacak; birlik ruhunu her daim diri tutacağız.  Bu anlamlı etkinliğin gerçekleşmesinde emeği geçen tüm kurum ve kişilere teşekkür ediyor; sempozyumun kardeşlik ve birlik iklimini daha da güçlendirmesini temenni ediyorum.";;0
https://www.instagram.com/p/DRmgZO8jEGx/;Carousel;321;2;0;2025-11-28 16:22:36;https://scontent.cdninstagram.com/v/t51.82787-15/587767945_18351084745164012_4617449507957323375_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTg0NzgwMjAzMTgzNjY3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=KPHBm0H6gC0Q7kNvwE60RPp&_nc_oc=AdnhUgYm4s0rUsi7Wp_2sMG40c5fj_n4obygMVOF2JTiSXp_fXNXgaHahV2XGjJDySBWUScWTXyuaVXVu7--DD9Z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfgBq4wb1S89GucvCUlaNCcyw3pbMYREnFQrOX59mTn4WA&oe=6931321C;Milletvekilimiz Sayın Arslan Tatar’ı belediyemizde ağırlamaktan büyük bir memnuniyet duyduk.   Ziyarette, ilimizde yürüttüğümüz çalışmalarımızı, projelerimizi ve şehrimizin ihtiyaçları üzerine verimli bir değerlendirme gerçekleştirdik.   Nazik ziyaretleri için Sayın Vekilimize teşekkür ediyor, güç birliğimizin ilimize hayırlı hizmetler olarak yansıyacağına yürekten inanıyorum.;;0
https://www.instagram.com/p/DRmEY-qDOTz/;Carousel;240;1;0;2025-11-28 12:17:54;https://scontent.cdninstagram.com/v/t51.82787-15/588205917_18351066697164012_9126003871012266432_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTcyNDYzMjgxMzYwODUyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=y3lJsFuUFjMQ7kNvwGlzmT_&_nc_oc=AdlVM1iGrdUoPWPyVTlff8Zp5ZchuDNK9vs2CjQ6_nD5J6yRoINC4PzTHXxiBASn0XuNRpBBzYhiUY1pEIrgmXJ2&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfiYVrMfyLWk0Fk7ASN10ud5RLRfM-rFvnjHMQXyiD1I1g&oe=69310B51;"Milli Eğitim Bakan Yardımcımız Sayın Nazif Yılmaz, Cumhurbaşkanı Başdanışmanımız Sayın Gülşen Orhan, Valimiz Sayın Birol Ekici, Milletvekilimiz Sayın Arslan Tatar, Gaziantep Milletvekilimiz Sayın Şehzade Demir, Rektörümüz Sayın Prof. Dr. Abdurrahim Alkış, Cizre Kaymakamımız Sayın Ahmet Vezir Baycar, İl Başkan Vekilimiz Sayın Agit Tatar, Kadın Kolları Başkanımız Sayın Bişenk Fatma Acar, Merkez İlçe Başkanımız Sayın Rahmet Taşar, Gençlik Kolları Başkanımız Sayın Arif Tatar, İl Protokolümüz, kanaat önderlerimiz, STK temsilcileri, kıymetli akademisyenlerimiz ve hemşehrilerimizle birlikte 4. Uluslararası Melayê Cizîrî Sempozyumu’nun açılış programına katıldık.  Bu yılın teması olan Melayê Cizîrî’nin ahlak anlayışı, sadece geçmişimizin değil, bugünün toplumsal değerlerine de ışık tutuyor. Cizîrî’nin insanı merkeze alan, erdemi ve hikmeti önceleyen yaklaşımı; ilim, edep ve ahlakı bir bütün olarak gören bakışı bizlere yeniden hatırlatıyor.  Bu anlamlı sempozyuma katkı sunan herkese teşekkür ediyor; Cizîrî’nin kadim mirasının gelecek nesillere aktarılmasına vesile olmasını diliyorum.";;0
https://www.instagram.com/p/DRktaFdDrYY/;Photo;93;0;0;2025-11-27 23:37:50;https://scontent.cdninstagram.com/v/t51.82787-15/590414825_18351023293164012_142479741257296227_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTM0MjA5MjI5ODkyNTU5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=VXcrF4BCXoIQ7kNvwG70dZ7&_nc_oc=AdnJGt5DMzPc-EcT5m9Xs0w1grx72qdt2afhM3p2zVyFcuIs8GWUfZXAQtjjM1y9H7iTnCmL8KUr1B1PhQkejqwz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfjwsXXzpYcWHcvV4-1l09_5WNUi2hZLx8cd9nQ7aiTaRQ&oe=69313285;Cumamız mübarek olsun. #HayırlıCumalar;;0
https://www.instagram.com/p/DRkF62ljNPm/;Carousel;176;0;0;2025-11-27 17:52:47;https://scontent.cdninstagram.com/v/t51.82787-15/587819541_18350999935164012_2501719944060204834_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTE2ODQxNzY3OTMxMzY3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=rNY9fOjnQpwQ7kNvwGhTgAU&_nc_oc=AdlDR_5uk2W2ew1-53jv0lUwLn__wjkf6EWDCVat9N1AYoIuc0UA7QcvrqXr2SyBWNIio-XoieEpx_okVi0vdIv1&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_Afhz4Frc_P-DbDMeWStBfYDUb8Enipr4-RGgZ7xSf5ZwjA&oe=6931103E;Ankara Üniversitesi Teknokent Genel Müdürü Sayın Güray Değerli ve beraberindeki kıymetli hocalarımızı belediyemizde ağırladık.  Nazik ziyaretleri dolayısıyla Sayın Genel Müdürümüze ve hocalarımıza teşekkür ediyorum.;;0
https://www.instagram.com/p/DRjxfm9jI7q/;Carousel;313;1;0;2025-11-27 14:54:18;https://scontent.cdninstagram.com/v/t51.82787-15/588021021_18350986003164012_7636311998690001572_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTA3ODU3OTg5ODcwOTM5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=eut6Y9fsDuYQ7kNvwEqh7Uo&_nc_oc=AdnhReZbLYuiCcVoiwOCfQLQNrsjTLiT3sQNwvUFtl3gY7eaT7bx-L7QNP3ix8LrNek92M9In_hTPQKCim73i_PA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_Afhj-yLumvAM0pVfI1MyDLNsBZppHMdp3zUl8sfXQfOhug&oe=69310534;Merkez İlçe Başkanımız Sayın Rahmet Taşar ile birlikte, işletmeciliğini hemşehrimiz Kemal Acar’ın yaptığı “ASTERİA GÜZELLİK SALONU” adlı işyerinin açılışını gerçekleştirdik.   Yeni işyerinin Kemal Acar kardeşimize ve tüm hemşehrilerimize hayırlı olmasını diliyor, bereketli bol kazançlar getirmesini temenni ediyorum.;;0
https://www.instagram.com/p/DRjnu4fDMmp/;Photo;227;0;0;2025-11-27 13:29:00;https://scontent.cdninstagram.com/v/t51.82787-15/588092027_18350978827164012_3658949570880111764_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTAzNTY1ODIyNjk0NDQyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=U4mND-3oXggQ7kNvwF762bZ&_nc_oc=Adkk6mo_QVQuGyjTgmGsEpM-tknHRE7h7bP1pTV3KKvQexa2ORwN21RNyoIiLgmcMcNTWh9lrFtcojGwfg7Vy0rk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_Afj3yUuuCjdp5GYo1ID2ZHX5jL_evOl-CtuEnsuhj5XOhg&oe=69312E8D;Çakırsöğüt Jandarma Komando Tugay Komutanımız Tuğgeneral Sayın Şinasi GÜÇLÜ’yü belediyemizde ağırladık.  Değerli ziyaretleri dolayısıyla Sayın Çakırsöğüt Jandarma Komando Tugay Komutanımıza teşekkür eder, görevlerinde muvaffakiyetler diliyorum.;;0
https://www.instagram.com/p/DRjRR_zDAky/;Carousel;268;0;0;2025-11-27 10:12:49;https://scontent.cdninstagram.com/v/t51.82787-15/587681196_18350966878164012_368761224109591621_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NDkzNjkwODc0MTUwODI3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=6xze0GqiY9kQ7kNvwHs5eTe&_nc_oc=AdnbncDPXpgWT9XzwujsUnCy87-lHxVfjLTxNJzHe1DMIUh7CT8AFbvwYO7JqwWJBXcPKXmrBwXU2SNCsCyZRIIb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JFCap_6WDdlRwQQTFhvDvA&oh=00_AfixliNNf4YgAQW7PVXOLiUcHkslvcOm5cj1X5bHma3wjA&oe=693106D6;Yeni güne hemşehrilerimizle bir araya gelerek başladık. Hal hatır sorduk, sohbet ettik, onların görüş ve önerilerini dinledik.  Güler yüzleri ve içtenlikleriyle güne enerji katan tüm hemşehrilerimize işlerinde kolaylıklar, bereketli bir gün diliyorum.;;0
