PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRc83NeiCGk/;Reels;2422;61;115038;2025-11-24 23:19:47;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/586701327_17969648342981091_7936675105759392391_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MzE1ODI2NDY2MjQwMTQ0NDE3OTY5NjQ4MzM5OTgxMDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=1oJ6QcZNvpYQ7kNvwE0xNAR&_nc_oc=AdlRbpMXHygMucM-08vBoEEqz6AKQOX2gB80nvg6Nk0ol6mg-U9Py4SliaQD7nhQQbu8Xk7uFLdlsZnkDQCTwY7h&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_Afg9h1UfCbuZRkNWk7kCtqgr3SnPnsVepeii8FZeKd2OBQ&oe=69312526;Hatay’ımızda en zor günlerde bile hayat hep devam etti.  Çünkü bu şehirde ne eğitim durdu ne de üretim.  Esnafımıza ve öğretmenlerimize minnettarız, şehrimiz sizinle ayağa kalkıyor.;249989.0;0
https://www.instagram.com/p/DRUsZIECAeG/;Reels;14460;319;1783209;2025-11-21 18:21:20;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/587535527_17969683595981091_5482383518222205236_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MDgzNDAyODcwNjkyNDQyMjE3OTY5NjgzNTg5OTgxMDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=fT8JdaBHcNUQ7kNvwFYelPD&_nc_oc=AdkCypdpdOIfgOjaRvr_sjnMjwi-PXxolqu4zdvY9qeG4MNlxJbuTdqDaJgVgy5cEh2c20UKmi8b6imQvd8fsWyN&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_AfgDmSYpOTgeWnBAXC7ZTHSysUbzeBGPfRRmqjmn_Ssyfw&oe=69310260;Vatandaşımız için her şeyin en iyisini düşünmek zorundayız.  Yeni otobüslerimiz Hatay’ımıza hayırlı olsun.;;0
https://www.instagram.com/p/DRSLsdciCvS/;Reels;10104;451;519800;2025-11-20 18:57:08;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/583518851_1104369058260161_5078729790409556550_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MDEyNzI3MTg0ODMyNDA1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=wbs_QoRYcRcQ7kNvwGqwsEa&_nc_oc=Admhhdem6TGXR1O5lNjVlZoZQlodY7Y09asOfQbw78YxO-ZjZ3zfRatrszjB23TLLEXW3g3e4h1FsHtdDtHjVby_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_Afh6RHQxxGNnTZD3Dwc-08jqRVIgbIvtcpXwLZzq4PeqrA&oe=69311462;Kimse Hatay’dan büyük değil.   Firmanın faaliyeti durduruldu. Kanunların elverdiği en üst sınırdan ceza kesildi.  Denetimlerimiz sürüyor. Bu şehirde başıboşluğa müsaade yok.  Herkes hesabını ona göre yapsın.;;0
https://www.instagram.com/p/DRR2rHeiPSb/;Reels;14469;293;693572;2025-11-20 15:53:43;https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/586854263_842843488247039_1573109793623218104_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3MDAzNDgyMDU2MzM5OTgzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MTAuc2RyLkMzIn0%3D&_nc_ohc=eZwI6dKYfPMQ7kNvwHEHOkz&_nc_oc=Adkh0Nt_zSXt0i8fM73EvysXxUiHJ3MCwDURZA4k5gxaBDOw5WbVRbI3g2ogX21dkRJkQq8r-SsxKiXhkIk0QANF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_AfidM4g0mwsC847PIovVVR0Ob3B8NPWkhdALV6U3mNmeLg&oe=6930F9D7;Göreceğiz.;;0
https://www.instagram.com/p/DRPG13CCAet/;Reels;6772;158;494834;2025-11-19 14:17:31;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/582650135_1648862182758826_7529251996148876489_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc2OTI2MTUwMjYzMzYwOTEzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=3r2vgjLbM4wQ7kNvwFdMhrJ&_nc_oc=Adl31vCiwn-zMzLf4lT8u5boF3uC_PkQtx3taCi2OEa_06UnglwllBA7dxT_NkAGYm_ZzD3_j0lh4j1i4h4LdH5h&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_AfjEWmuae6mlCjRVBFWgGQlDQJdzqa_t47fz02lYUeTDTA&oe=69312AC9;Hizmetlerimizi hızlandırmak için, işaretli yere basılı tutun.😊;;0
https://www.instagram.com/p/DREO3zZCJfQ/;Photo;775;14;0;2025-11-15 08:55:19;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/581019482_17968625990981091_7291883791476268559_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc2NjIwMDU5NTc5MTc3OTc5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=WJYKTDpUt1IQ7kNvwEsgaBv&_nc_oc=AdnHRREksZXjdVZPmKA-Lk494nGro4i_5qJtVszrUseSjLfI4qOqBp9RDEVPYlFOazu_XVSH8JKvYgPyhJtVunQm&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_Afj6QTRvETQJWFETt2ikG3Opiwa_rM56HwYW1Idfv_8CmA&oe=6931180F;Hassa’mızın düşman işgalinden kurtuluşunun yıl dönümü kutlu olsun. 🇹🇷  Bu toprakları bizlere vatan kılan aziz kahramanlarımızı rahmet ve minnetle anıyorum.  Onlardan aldığımız ilhamla Hatay’ımız için gece gündüz çalışıyoruz.;;0
https://www.instagram.com/p/DQ3grBgCMva/;Reels;14565;222;262617;2025-11-10 10:21:05;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/581255382_17968141478981091_127357405022986879_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc2MjYxOTcwNzcyODM4MjkzODE3OTY4MTQxNDc1OTgxMDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=v6tC0iCsgG0Q7kNvwGfoKQs&_nc_oc=AdkVcAdbeU44aJ4VXZxYRBiNm5vyzQVf5MKajBH7-RvhaSuPL2806J6wzulc3bm71iqrqvFMy7uyZiZ2LxgbeUUr&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_AfgujJKGlkm83RBsMAPxFiQMveX3KOGL5FETHLrjZ0jf8g&oe=6931102B;O, Hatay’ı hiçbir zaman unutmadı. Biz de onu…  Gazi Mustafa Kemal Atatürk’ü rahmet ve minnetle anıyoruz.;;0
https://www.instagram.com/p/DQ3RF4ZCJTH/;Photo;1979;20;0;2025-11-10 08:04:35;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/576077637_17968126817981091_1081160116619903943_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc2MjU1MTE4NDYyODk0NjExOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=ZhPpW-0W8OMQ7kNvwGtcSFc&_nc_oc=AdkPhCbXIoygg2iUUz8S8wa23z7Z-08AUQ7qmqWkUYnIdmtyayFUmG97jaO2c_AMPqndEDRJdrCa1Drr5Duz66JS&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_AfgrvSv8UAA4TlTPuPU-1leD8nl3uPTwhJNV_XIG2P5BvQ&oe=693104CD;Cumhuriyetimizin kurucusu Gazi Mustafa Kemal Atatürk’ü, ebediyete irtihalinin yıl dönümünde saygı ve rahmetle anıyorum.  ‘Şahsi meselem’ dediği Hatay’ımızı onun kararlılığına yakışır bir şekilde ayağa kaldırmak için çalışıyoruz, çalışacağız.;;0
https://www.instagram.com/p/DQzF8CtiLqo/;Reels;4291;141;186195;2025-11-08 17:10:40;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/574481482_17968079309981091_8648007366907631000_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc2MTM3NjIzMDA5NzA3NDg1NjE3OTY4MDc5MzAzOTgxMDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=7FtKhy24n68Q7kNvwEEWlGS&_nc_oc=AdkjPtVC9mbyUJv3UWLp1Gun-bOXTmTnJVcavSA2Bf7j8efQb8rHl3WKU-95vQqATBi7_3UrZx2Yx7oKI7wYAAzh&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_Afghat7ol3rwdUEFfNAhEdiKW7RAXtHRheB_EUUIYfko6g&oe=69312D7A;Kaynaklarımız sınırlı, sorumluluğumuz büyük.  Her isteyeni belediyede işe almak mümkün değil ama kimseyi de yalnız bırakamayız.  İş arayan hemşehrilerimizi HAKİM projemizle işverenlerle buluşturuyor, istihdama katkı sağlıyoruz.;;0
https://www.instagram.com/p/DQuD3tBCLC2/;Reels;4494;89;151687;2025-11-06 18:16:36;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/573154469_17967773318981091_5207633904341658877_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc1OTk1OTc2MDk0NzQyNTQ2MjE3OTY3NzczMzA5OTgxMDkx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=fJWB00Zw_SYQ7kNvwGAe9Rf&_nc_oc=AdnAFOsAoWv7csEYHEcVrVmZQ-UBYtmvQXTXlScztQvVEdDsNGAknGHvQztcrJTr9OmFq2cdrb9PxqfXidyu7zVf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=MNgWkeFfK-5pE6xlviWt2g&oh=00_Afj95YJY3hQ5soFwwV4zQ2MQPQ_7tQ4RyCKB5AxHiBolrQ&oe=69311AF4;Yıkılmış bir şehri yeniden ayağa kaldırmak hiç kolay değildi.  Emekle, sabırla, dualarla büyük bir yol katettik.   Bitmedi, az kaldı… Çok daha güzel günler bizi bekliyor Hatay’ım. ❤️;;0
