PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpWdjRjAht/;Photo;895;9;0;2025-11-29 18:53:32;https://scontent.cdninstagram.com/v/t51.82787-15/588657892_18542494777008793_3063855508358335691_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjY0ODU1MDI5MDI5NDg5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=YOLuhX21LlcQ7kNvwH0_uSv&_nc_oc=AdkrRkGb8qx0rFa7tzX8Eoq8pnRSv_3eGFxkDGgTiynpOgWs0m59k6UE6z4lwKJS81M&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_Afg1rYam8Gg_O48waNuzHbU_FVM8eVoebGWqf301DX26-A&oe=6931205D;İktidar yürüyüşümüzün bu kritik eşiğinde, muhalefetteki son kurultayımızda partimizin tarihindeki en yüksek oyla yeniden Genel Başkanlığa seçilen Sayın Özgür Özel’i yürekten tebrik ediyor, her daim yanında olacağımız onurlu mücadelesinde kendisine üstün başarılar diliyorum.  @chp  @eczozgurozel;235637.0;0
https://www.instagram.com/p/DRo4hv2DNrS/;Carousel;1159;5;0;2025-11-29 14:31:58;https://scontent.cdninstagram.com/v/t51.82787-15/588169177_18542460244008793_6001022653710455233_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NjUxNjg4NTc5NDUyMzU2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=1lM6aI8qaQ0Q7kNvwET1VQC&_nc_oc=AdkZVj7zoGZWrcOlFcs7AlpVGadu8ZTG7b7Zc5GuZZ6W_o4wgbKYYSFJSbpmEToB3_k&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfiAggxGBiJlqbNcvxB44VOSmfP5U1l7uoRJwWCvPpjTSw&oe=6930F701;"Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nın ikinci günündeyiz.  Genel Başkanımız Sayın Özgür Özel liderliğinde; cesaretimizi tarihimizden, gücümüzü dayanışmadan, umudumuzu ise bu ülkenin aydınlık yarınlarına inanan milyonlardan alıyoruz.  Türkiye’nin değiştiren ve dönüştüren büyük hikâyesini hep birlikte yazacak, bu yolculuğun sonunda iktidar olacağız.  #ŞimdiİktidarZamanı  @chp  @eczozgurozel";;0
https://www.instagram.com/p/DRmVXBgDMkH/;Carousel;968;9;0;2025-11-28 14:46:11;https://scontent.cdninstagram.com/v/t51.82787-15/590822096_18542312452008793_5540183423317209357_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTc5OTI2NDc5MDk4OTIzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=pBK-Di5fshoQ7kNvwESKCjp&_nc_oc=AdmLAhJGRbNUxj3FGoetT_SOl6_Slnm0mS4Gl6PqrXMqSSv_TsU6Bl0mOJTIYACByio&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfinlIoet6D_z_pw77zz65AgRIcYrHpeNNqeFthGGRGpgw&oe=69310783;Cumhuriyet Halk Partimizin 39’uncu Olağan Kurultay’ını Genel Başkanımız Sayın Özgür Özel liderliğinde gerçekleştiriyoruz.  Daha adil, daha demokratik ve daha aydınlık bir Türkiye için çalışmaya devam ediyoruz.  #ŞimdiİktidarZamanı  @chp  @eczozgurozel;;0
https://www.instagram.com/p/DRiA0zpDJv8/;Reels;2096;32;46063;2025-11-26 22:30:37;https://scontent.cdninstagram.com/v/t51.82787-15/588246445_18542080000008793_5103736548177703113_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NDU4MzA2NjU1MjIxMjQ3NjE4NTQyMDc5OTk0MDA4Nzkz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=wR8DXRA7LDYQ7kNvwEV_mWU&_nc_oc=AdkNxgpZgrFq8CaRXkd2lfQh83eLh4BlJqRQGccqDCsg-hOcfqXUJTcOlR7RikKYnZU&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfhQIuD7ldtCPzMDyjB_meB9i2xieE8YusbDuN0UhLz0Mw&oe=693124EA;Yeniden Yeşeren Her Filiz Umudu Çoğaltıyor!🎹🌱  Sanat Akademisi Piyano ve Çok Sesli Çocuk Korosu öğrencilerimiz ile Bursa Elena Çekiç Müzik Akademisi öğrencilerinin Şeyh Edebali Kültür ve Kongre Merkezi’nde gerçekleştirdiği Genç Piyanistler ‘Türkiye İçin Umut Konseri ile doğaya saygımızı genç sanatçılarımız aracılığıyla sunduk.;;0
https://www.instagram.com/p/DRff1qijMKP/;Carousel;1823;6;0;2025-11-25 23:03:04;https://scontent.cdninstagram.com/v/t51.82787-15/588602286_18541928839008793_5531523063569779464_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3Mzg3NTAyNjM3OTE2NTA2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=h_5ZSEBuEmgQ7kNvwFXu0X6&_nc_oc=AdlTUdLaA0gfaRv8tpUex8MP7_sag6jQ1_H3JKstYUnNC2rD62_htGnt3aB6fnS2nxE&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_Afgy0xMh942HSMwCVgcjXkhg0YJBxi70B5p6lW0vuDOXKQ&oe=6930FA51;"Emekli öğretmenlerimizle bir arada olmanın gururunu ve mutluluğunu yaşadık. Onlara duyduğumuz saygı ve sevgi, hiçbir sözle ölçülemeyecek kadar büyük. İyi ki hayatımıza dokundular; iyi ki yolumuzu bilgiyle, emekle ve yürekleriyle aydınlattılar.🌼";;0
https://www.instagram.com/p/DReKVfajOqn/;Reels;1229;14;59559;2025-11-25 10:37:04;https://scontent.cdninstagram.com/v/t51.71878-15/584400987_2036931113751659_5367144845734905641_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MzQ5ODk5NTA4ODYxNjEwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMiJ9&_nc_ohc=P7sN0xQAVUEQ7kNvwEcQhTG&_nc_oc=AdnABPiMEOx4Zvi8G0rPBpFbb0baQBKG1PZ_76pH_adxjTMACqr9t269igLWxEaUR-4&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfiF8KYKbh2__TMscq3zQ2O6-WLvM3t9k81rxQPVrmLMHw&oe=6930F5BC;Kadına Yönelik Şiddeti Asla Kabul Etmiyoruz, Etmeyeceğiz!;;0
https://www.instagram.com/p/DRcl0szDL7L/;Carousel;2133;8;0;2025-11-24 19:57:38;https://scontent.cdninstagram.com/v/t51.82787-15/587019672_18541750759008793_3182703104726085453_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzA1NjkzMDYzMDM3NDY0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=kstRSK7L6_MQ7kNvwFFNPWt&_nc_oc=AdlRM2tnqT0tm5bpqVHTWYgnrr57O8F0P6vnwq1NaS0OCScF7LIThCAZ8bCSptXtpnY&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfiFs8w8nAC1xyyV2Lx0f39gu8V66OvClX5xcSwA_1wAlA&oe=6930FEF9;Bilecik Belediyesi Çocuk Sosyal Tesislerimizde ve belediyemiz bünyesinde hizmet veren öğretmenlerimizle bir araya gelerek 24 Kasım Öğretmenler Günü’nü kutladık.🌼  Başöğretmen Mustafa Kemal Atatürk başta olmak üzere tüm öğretmenlerimizin Öğretmenler Günü’nü kutluyor, emekleri ve özverileri için öğretmenlerimize teşekkürlerimi sunuyorum.;;0
https://www.instagram.com/p/DRbqUQKDK95/;Carousel;4455;21;0;2025-11-24 11:17:39;https://scontent.cdninstagram.com/v/t51.82787-15/587119002_18541686181008793_599585609998692901_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3Mjc5NTIxNjE2MDY3OTQzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=WKLI1nZoEx0Q7kNvwEVwxGd&_nc_oc=AdmaLyuWUuJ507TX985rOkiZtaR18ytZAbgGFuDGaH_qiO6uUPCU-dGxO1tEF9A0FcM&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_AfjO-2NW86BWngleEF0OblLPSdKIeGJTutyox7ODd8yNBw&oe=693100E2;24 Kasım Öğretmenler Günü’nde Cumhuriyet Meydanı’nda düzenlenen Çelenk Sunma Törenine il protokolü ile birlikte katılarak Başöğretmen Gazi Mustafa Kemal Atatürk’e minnet ve saygımızı sunduk.  Ülkemizin aydınlık yarınlarını inşa eden ve üzerimizde emekleri büyük olan tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü kutluyor,  fedakâr öğretmenlerimize gönülden teşekkür ediyoruz.;;0
https://www.instagram.com/p/DRbasi9jCoX/;Photo;734;0;0;2025-11-24 09:01:10;https://scontent.cdninstagram.com/v/t51.82787-15/587118993_18541673896008793_8121914574142134325_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MjcyNjUyMzI1OTAwNTQ2Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=VoQB3iXXZ0gQ7kNvwHlrE0W&_nc_oc=AdmtsGR0I3BEfNCia6l_JI_qrRZPVI81hIzxpBll1q_4eTHz-ftKC6Ylh8NU_PDMVUk&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_Afj3gbnOALViReUUQ13O0FQXbB6kUbIu3fNBP3-euYsZ4Q&oe=6931267B;Başöğretmen Gazi Mustafa Kemal Atatürk başta olmak üzere ülkemizin yarınlarını inşa eden tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü kutluyor, ebediyete intikal etmiş kıymetli öğretmenlerimizi saygı, minnet ve rahmetle anıyorum.;;0
https://www.instagram.com/p/DRWukSqDCBs/;Reels;34475;856;654813;2025-11-22 13:20:17;https://scontent.cdninstagram.com/v/t51.71878-15/584392892_811861885082412_5728583007611255034_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MTQwNjU0MjA0MjgzMzAwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=9HiEZZSnzG4Q7kNvwHmaSZ0&_nc_oc=AdlUITZvX6QuHSMQMntnCiztkzzu6YmChnv6k49QtF4ae0EQ_J8Z46ZBzWWI1F35fco&_nc_ad=z-m&_nc_cid=1001&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ERi71QZmvjJhxfm5fjaasg&oh=00_Afj19NR--VXMu6wady-EkAAHT2LvDrTB57R_4f_MCuRDjw&oe=69312C8E;+1 Mutluluk Kafemizde emek veren çalışma arkadaşlarımız bizlere güzel bir buluşma yaşattı.🌼🤍  Gülümsemeleriyle günümüze ışık katan tüm arkadaşlarıma yürekten teşekkür ediyorum.;;0
