PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpV6PcjdGJ/;Reels;84;2;6201;2025-11-29 18:51:48;https://scontent-muc2-1.cdninstagram.com/v/t51.71878-15/587783441_859442693194516_7879246483778398408_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NjY0NjEyMzgxODQzOTA0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=RFKmyM8Al60Q7kNvwFBK3iB&_nc_oc=AdmLaMvYcMMr4Gy5pcSOhQzV-5-Nq6NqJKXYAkA5p--19Trm_NTJkZQqaE_syMsa8qc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_AfjvLvN33-cQlVk9pHU9hzGN9A8CBrCRHuy7OogrYbVeGQ&oe=69311966;Özvatan’da huzurlu ve konforlu bir yol deneyimi için önemli bir adım daha attık. 🚧  Küpeli Mahallesi’nde 5 bin 300 ton sıcak asfalt kullanarak 5 kilometrelik yolu baştan sona yeniledik. Hemşehrilerimizin daha güvenli, daha rahat ve daha modern bir ulaşım altyapısına kavuşması için çalışmalarımız aralıksız sürüyor.  Biz de her zaman olduğu gibi gösterdiği uyumlu ve özverili çalışmalar için Halit Başkan’a teşekkür ediyor, yapılan çalışmnın Özvatan’a hayırlı olmasını diliyoruz. 🙏;65351.0;0
https://www.instagram.com/p/DRpGNGkDUXB/;Photo;194;3;0;2025-11-29 16:31:28;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/589535078_18549834241001303_2890590242216451439_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjU3NzA1MTIwNjQzNjI4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=Gv-nzPfCl6AQ7kNvwFSGiaq&_nc_oc=AdlWf5jAj-ZV2lXlVndUotPl4fb7KoKomPY1c5NEoLN4WXRX2jBRzD6prnr7giphDuA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afg-8ZYqbrA_5P4B9PhmIsyE-DFyfBijM5qXFMMWzbjjkA&oe=69312653;Karadeniz’de muhteşem bir galibiyet👏👏 Tebrikler çocuklar👍  Bizim için çok önemli bir üç puandı. Hepinizi alınlarınızdan öpüyorum.💛❤️;;0
https://www.instagram.com/p/DRoh2utDbQO/;Photo;107;0;0;2025-11-29 11:13:51;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/590957755_18549799930001303_7926250856646403665_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjQxNzE4NDA4NDc2Nzc1OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=gmbUbBtltKgQ7kNvwEFOKV9&_nc_oc=Adl5haG5MH6F5u-VMnIOxDpB9ch2n_euJv3K3z5V5S36owtcDaMQoThkYYGgZH0XcUc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_AfhwYKJkR9YKvnRiXKGE5sVuYe_WZcozPwuRCcHZr0YrNg&oe=69310E21;Deplasmanda Çaykur Rizespor ile oynayacak olan Kayserispor’umuza başarılar diliyorum.💛❤️  Her ne kadar tribünde yanlarında olamasak da yüreğimiz onlarla birlikte..❤️;;0
https://www.instagram.com/p/DRohCMJjcbZ/;Reels;241;15;14548;2025-11-29 11:07:05;https://scontent-muc2-1.cdninstagram.com/v/t51.71878-15/587571379_1163279715894027_7321805376300907488_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NjQxMzU3MzU2OTE2OTExMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=CERqxI92K2kQ7kNvwFbJcvs&_nc_oc=AdluT2SaatA-p5TBIN6fXZCAykkNWd7CjoWqRiBFoEeywNYB0aBkDVl69bc-_uHbdNQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afhvq7JfWJeGZ2xns_dOCotwoAoV-kocc0ZjV3ir_PxWkA&oe=69310841;Kayseri’de toplu taşımada dijital dönüşümü başlattık. 🚍  GTFS entegrasyonu sayesinde vatandaşlarımız artık Google Maps üzerinden otobüs rotalarını anlık görebilecek, aktarmaları kolayca planlayabilecek ve seyahat sürelerini önceden öğrenebilecek.   Teknolojiyi vatandaşımızın günlük yaşamına entegre ederek, Kayseri’yi akıllı şehirler arasında öncü hâle getiriyoruz.   #HerŞeyKayseriİçin;;0
https://www.instagram.com/p/DRnHW3TjduB/;Reels;238;9;8735;2025-11-28 22:04:22;https://scontent-muc2-1.cdninstagram.com/v/t51.71878-15/588712828_2614575378943020_2030779834550711792_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NjAxOTE3MDExMTM4MDM1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=1_a_Rv8ANjIQ7kNvwFWa7GL&_nc_oc=Adk_Aov2eN69FIgiNQBPWo5Gyt_abg4JSEWAbWup5FsFGH-MiD7iy5yo2PRRuht9DGA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_AfhU0itX-SFLEoanqS7MsQ9isZ_L-WQ8DTlb2guKjyRJJQ&oe=693130DA;Tüm çabamız daha mutlu bir Kayseri için.. ❤️   📍AK Parti Sosyal Politikalar Başkanlığı İç Anadolu Bölge Toplantısı, Kayseri;;0
https://www.instagram.com/p/DRnA5ARDY1V/;Carousel;205;4;0;2025-11-28 21:06:33;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/588358953_18549718411001303_3340580752978862012_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTk5MDcxODcyMTI0MTQyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=BeuNqxn9pY8Q7kNvwFbt0o5&_nc_oc=AdlvRwbzGB1InS2Tis2_3UDcccfPTcusPADlbQY8kDlTZdtY0by3q_yo-CcxeU3rizc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_AfhcARTMYecIBgHzWY59dJ-wBRQt2DB1jdTO4fYvH8vL5A&oe=6930FD12;"AK Parti Genel Başkan Yardımcımız Sayın Fatma Betül Sayan Kaya’nın teşrifleriyle; Genel Merkez Gençlik Kolları MKYK Üyesi Sayın Yunus Emre Müküs, AK Parti İl Başkanımız Sayın Hüseyin Okandan ve Gençlik Kolları Başkanımız Sayın Hayri Danacı ile birlikte Recep Tayyip Erdoğan Millet Bahçesi’nde bulunan İl Halk Kütüphanesi’nde gençlerimizle bir araya geldik.  Şehrimizin ve ülkemizin gündemine dair tecrübe paylaşımında bulunduğumuz bu anlamlı buluşmada, gençlerimizin merak ettiği soruları samimiyetle yanıtlayarak karşılıklı istişarelerde bulunduk. Gençlerimizin vizyonu, enerjisi ve heyecanı bizlere umut veriyor. İyi ki varsınız gençler ❤️";;0
https://www.instagram.com/p/DRmS4UdjTuq/;Reels;526;12;33106;2025-11-28 14:31:43;https://scontent-muc2-1.cdninstagram.com/v/t51.71878-15/591159598_1399875585066200_7152009502522734309_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NTc4ODM3MjY5NTI2ODI2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=HAjigDNP3v0Q7kNvwE2r_Wl&_nc_oc=AdkHrvHagaE2bhRy98rZpKYuoKFlMhIrD8VqbPrf5tFvt_bXD4ih-lWRgZSqzginsYA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afj0emWXwnG-S8_OhIFop8f5upKHK1VmL3X8o6YbA34J7w&oe=69312757;Yerköy–Kayseri YHT Projemizde çalışmalar güzel bir şekilde ilerliyor, her aşamasını yakından takip ediyoruz. 🚄  İnşallah tamamlandığında Ankara–Kayseri arası 1 saat 45 dakikaya düşecek ve hemşehrilerimize çok büyük bir konfor sağlayacak.  Bu değerli yatırım için Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan ile Ulaştırma ve Altyapı Bakanımız Abdulkadir Uraloğlu’na teşekkür ediyorum.  #HerŞeyKayseriİçin;;0
https://www.instagram.com/p/DRmPsx6DQaZ/;Carousel;426;9;0;2025-11-28 13:56:43;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/588985661_18549663301001303_1183005719264217626_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc3NDM3MjQxMDUwNzg5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Y_RQP_rvOvIQ7kNvwGE58gN&_nc_oc=AdmAyl99CaWLdVMH2131RqSjml2cotyVx6Tc4Y5VQsThK1NdeP9F05gMzTcw-wiVUao&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afia4aY5oAYXERRDaSBuG-ZTDnfKMdj6OwjJSVJl6VsROQ&oe=69310DB9;Hunat Camii’nde kıldığımız Cuma namazının ardından hemşehrilerimizle ve esnaflarımızla bir araya gelerek hasbihal ettik. Hal hatır sorduk, gönül gönüle sohbet ederek hemşehrilerimizi dinledik.;;0
https://www.instagram.com/p/DRmK6YhDSvB/;Carousel;178;4;0;2025-11-28 13:14:53;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/588163761_18549658783001303_9001739392770031633_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTc1MzMyMTc0Mzk5OTc1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=JsYn9aAOy84Q7kNvwGOvNGB&_nc_oc=Adm8HLNuG10XeOQhvb73hnfRfKltyLd_yEMJpa9I2xRAkzJuQTYaFQdKP-ZWRNrUSSk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afi-LzjXvyi5q1Wbw92jkUwbqK6fPdydHZJE8TJqqN_Azg&oe=69312786;"AK Parti Sosyal Politikalar Başkanlığımızın düzenlediği İç Anadolu Bölge Toplantısı’nı kadim şehrimiz Kayseri’de ev sahibi olarak gerçekleştirmenin mutluluğunu yaşıyoruz.  İç Anadolu teşkilatlarımızın Sosyal Politikalar Başkanlarıyla bir araya geldiğimiz bu önemli toplantıda, AK Parti’mizin sosyal politika alanındaki hizmetlerini vatandaşlarımıza daha etkin şekilde ulaştırmak adına yapılması gereken çalışmaları kapsamlı bir şekilde ele aldık. Oldukça verimli geçen toplantımız, istişare ve ortak aklın en güzel örneklerinden biri olmuştur.  Toplantımıza teşrif eden; AK Parti Genel Başkan Yardımcımız Sayın Fatma Betül Sayan Kaya’ya, İçişleri Bakan Yardımcımız Sayın Mehmet Aktaş’a, Milli Eğitim Bakan Yardımcımız Sayın Celile Eren Ökten’e, Gençlik ve Spor Bakan Yardımcımız Sayın Halil Yunus Ersöz’e, Çalışma ve Sosyal Güvenlik Bakan Yardımcımız Sayın Lütfihak Alpkan’a, AK Parti MKYK Üyesi ve Kayseri Milletvekilimiz Sayın Dursun Ataş’a, AK Parti Kayseri Milletvekilimiz Sayın Bayar Özsoy’a, AK Parti İl Başkanımız Sayın Hüseyin Okandan’a, kıymetli milletvekillerimize ve tüm değerli katılımcılarımıza teşekkür ediyor, katkılarından dolayı şükranlarımızı sunuyoruz.  Birlik ve beraberlik içerisinde, sosyal politikalar alanında daha güçlü adımlar atmaya, milletimizin yanında olmaya kararlılıkla devam edeceğiz.";;0
https://www.instagram.com/p/DRjtSh8DZAE/;Carousel;424;7;0;2025-11-27 14:17:34;https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/589133538_18549514309001303_858185285567189438_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTA2MDA4OTY3MDI4MDc5OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=UZpu13kruSQQ7kNvwFt9vdw&_nc_oc=AdkpvyiFSL6ixEJDQyPGFcIkd-m4EW0l0zzpNMM0KZGZhxZap_uTX5iqa79QpuUpewQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=lOJCjJK-D4zOb9-2eSP_TA&oh=00_Afjj_CmEAQDtxnnQD8VzCldFPKh41HuRR_bLuEjsBldyaw&oe=6931056A;"Dün, okulda boğazına kaçan bir atıştırmalık nedeniyle henüz çok küçük yaşta aramızdan ayrılan KAYTUR personelimiz Volkan Polat’ın kıymetli oğlu Ahmet Emiralp için taziye ziyaretinde bulunduk.  Bu elim hadise hepimizi derinden üzmüştür. Rabbim evladımıza rahmet eylesin, mesai arkadaşımıza ve ailesine sabır, metanet ve güç versin. Acıları büyük, sınavları zor; ancak bilinsin ki Büyükşehir Ailesi olarak her daim yanlarında olacağız.";;0
