PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpWWFejGhO/;Photo;92;2;0;2025-11-29 18:52:31;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/588086978_18063760847441977_4416495743188002141_n.webp?_nc_cat=103&ig_cache_key=Mzc3NjY0ODAzNzI1OTgzMTM3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=vWSpVmHiEtoQ7kNvwFL0x_j&_nc_oc=AdmuyWCnnMzXB02lLfiS0bp1DT6uNcwVVoOJuCPO-1DKHgweBPZhyQPFZQEHcGh5z37N4SnDJjlsIrxR0tjOFqt_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfivdqUY5xkhK91rnMnjTlAZBK2SHrDblpdCtzMLWS_3Yw&oe=69310B26;"""Şimdi İktidar Zamanı""  “Cumhuriyet Halk Partimizin bugün gerçekleştirilen kurultayında geçerli oyların tamamını alarak yeniden  Genel Başkanımız seçilen Sayın Özgür Özel’i yürekten kutluyorum. Partimize yeni bir soluk, ülkemize yeni bir umut olacağına inandığımız bu önemli süreçte göstermiş olduğu liderlik için kendisine teşekkür ediyorum. Demokrasi, adalet ve eşitlik mücadelesini büyütme kararlılığıyla çıktığı bu yolda, Sinop olarak kendisinin yanında olduğumuzu ifade etmek isterim. Ülkemizin aydınlık yarınları için hep birlikte çalışmaya devam edeceğiz. Kurultayımızın partimize, ülkemize ve tüm yurttaşlarımıza hayırlı olmasını diliyorum.”  Metin Gürbüz Sinop Belediye Başkanı";11333.0;0
https://www.instagram.com/p/DRpBNqSDBv7/;Carousel;87;2;0;2025-11-29 15:47:52;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/589354305_18063745151441977_5028201487627611764_n.webp?_nc_cat=105&ig_cache_key=Mzc3NjU1NTA4NzQ3MzQxNjgyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzh4OTU5LnNkci5DMyJ9&_nc_ohc=ho6AVUv6XdMQ7kNvwGYrkfu&_nc_oc=AdmbcZmJaV0z7oDGzSjCyx1ZNUnnNkhX11O7C6yqx90ymP0Sla_59ykSVcRYAmA8IZSF3Z3HwS4KtEN2qllV_Ip4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_Afh_d0xQcFAkza_FnwnIq6zOqTvdsc1N60aFBhCMDYgLIg&oe=69312801;"""Şimdi İktidar Zamanı""  “Cumhuriyet Halk Partimizin 39. Olağan Kurultayı, yalnızca partimiz için değil, ülkemizin demokrasi yolculuğu için de tarihi bir dönüm noktası olmuştur.  Kurultayımızın, partimize ve ülkemize hayırlı olmasını diliyor; emeği geçen her bir yol arkadaşımı, katkı sunan her delegemizi ve bu büyük ailemizin tüm neferlerini yürekten selamlıyorum.”";;0
https://www.instagram.com/p/DRmkI8wiIov/;Photo;115;1;0;2025-11-28 16:55:20;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/586685368_18542456170018606_8994398786950779248_n.webp?_nc_cat=109&ig_cache_key=Mzc3NTg2NDI4MjI2NTcxNzI5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNTJ4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=U_we42SpPz4Q7kNvwGtZtKO&_nc_oc=AdkBFkqBGTqU9gMxJc9BjneLRgmdBMziBtbjucvvu0Vdvbav4IYx6wAzhNzU_d12YR11UuFHrcHYrxHOK8ts5Xhs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_Afhc8ha1ne3pyqarWGF48l7krz7bWfs4wLyl2ug5tELisg&oe=69310873;"📣 Eski Hal Binası, ""Yeni Ödeme Noktası""  ✅️ Yeni ödeme noktamız, 01 Aralık 2025 Pazartesi gününden itibaren Eski Hal Binası içerisinde hizmet vermeye başlayacaktır.  ✅️ Vatandaşlarımız, belediye veznemizde gerçekleştirdikleri tüm ödeme işlemlerini artık bu yeni noktadan da yapabileceklerdir.  ⚠️ Bu birim, yalnızca ödeme işlemlerinin gerçekleştirilmesine yönelik hizmet verecektir!";;0
https://www.instagram.com/p/DRmTlDuiDOp/;Photo;277;10;0;2025-11-28 14:30:37;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/586657965_18542438446018606_6887036986777396162_n.webp?_nc_cat=105&ig_cache_key=Mzc3NTc5MTQ0NzEwMjk5MzMyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTAzNC5zZHIuQzMifQ%3D%3D&_nc_ohc=TVi_Gr34ICkQ7kNvwHzJiuZ&_nc_oc=AdnM-mtnCYjzWwn9XkSc-YeQcnZaNhI9kx_0JOUwNo_bnq0JZIDmjnN-ocQtnUBx9J0UPkCEeLuiNxf8iasMacHz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_Afg7x_kUfCkfUFU8lzUIgqGw_kOBXCanVR7Xz3ZDGHrzqg&oe=69311E36;"Sinop Belediyesi, Sinop Ticaret ve Sanayi Odası, Kadın Girişimciler Kurulu iş birliğiyle; yerel üreticilerimizi desteklemek ve yeni yılı hep birlikte karşılamak üzere 01 – 31 Aralık 2025 tarihleri arasında Uğur Mumcu Meydanı’nda “Yılbaşı Pazarı” açılıyor! ✨🎄  Bu bir ay boyunca;  🍽️ Yeme–içme stantları, 🛍️ El emeği alışveriş ürünleri, 🎶 Birbirinden güzel konserler sizleri bekliyor!  Yeni yıl coşkusunu birlikte yaşamak, yerel üreticilerimize destek olmak ve keyifli anılar biriktirmek için tüm halkımızı Uğur Mumcu Meydanı’na davet ediyoruz! 🎉✨";;0
https://www.instagram.com/p/DRkBi0sCGgD/;Carousel;215;1;0;2025-11-27 17:14:33;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/584409661_18542304562018606_4722718291756521938_n.webp?_nc_cat=104&ig_cache_key=Mzc3NTE0OTE2NTEyNzQ1NjA2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=sHG5MOmHVP0Q7kNvwHQr7w6&_nc_oc=AdmM50JHWREoqmnR34DkdIiqwpWJudJNmBFVkCAZzfn_OG6h0oISAo0Iy9BzgZoS32nmNgnO_GlCmsMeUV8O8WlB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_Afg8zVZdI-arHbcsl6rNne-HutrfY3vF8g_5pbk90Bhy3A&oe=693124CB;Sinop Hemşehrilik ve Dostluk Derneği Başkanı Ayla Tığlı, yeni Yönetim Kurulu Üyeleri ile birlikte Belediye Başkanımız Metin Gürbüz’ü makamında ziyaret etti.   Ziyaretten duyduğu memnuniyeti dile getiren Başkanımız Metin Gürbüz Dernek Başkanı Ayla Tığlı nezdinde konuklarına nazik ziyaretleri için teşekkür ederken, ziyaret çekilen hatıra fotoğrafı ile son buldu.;;0
https://www.instagram.com/p/DRkA2OmCGUx/;Photo;313;3;0;2025-11-27 17:08:27;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/587491252_18542303725018606_794729357701681092_n.webp?_nc_cat=100&ig_cache_key=Mzc3NTE0NjExNDE2NTUzMTk1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyODZ4OTU5LnNkci5DMyJ9&_nc_ohc=5DpfI66rH9IQ7kNvwEeEDWw&_nc_oc=AdlPXMSlc40tXLvcQEK1tUaHgBqxm-_UK_4juK_ktYrssfEGd-fmDrfxLJd0xmjfjrwQuGPAj69qW-rJElJMRDOG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfhhUtx9afxvAiFKqjjPLGSdGeE_7JtqiFxUCQ5eKBjtdA&oe=69312D32;Merhum Belediye Başkanımız Hamza İnce’nin ağabeyi emekli pilot Kemal İnce Belediye Başkanımız Metin Gürbüz’ü makamında ziyaret etti.   Başkanımız Metin Gürbüz nazik ziyareti için emekli pilot Kemal İnce’ye teşekkür etti.;;0
https://www.instagram.com/p/DRevF9oiLDR/;Carousel;251;2;0;2025-11-25 15:57:07;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/584723167_18541994743018606_6546451309858951576_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzY2MDY0MDk0NzI0MTY5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYyLnNkci5DMyJ9&_nc_ohc=uyLX3guqzMwQ7kNvwEp0SCr&_nc_oc=Adk24ZJZzGtR379lI_5UIzR2ZaE1_OcGm6pD1KyBaJXi-Ei-WbXnUx0yhCc2otLT4NxvYnVkcA0d3sTlxXdzrp-B&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfhRFT9v95moaRkYK4Vy6-PbAsCJwuKwTcx341c1b3jvwQ&oe=693121F2;"Belediye Başkanımız Metin Gürbüz il protokolü ile birlikte; Sinop Organize Sanayi Bölgesi’nde Doç.Dr. Güneş Koza Anaokulu temel atma törenine katıldı.   Başkanımız program sonunda anaokulu için girişimde bulunan Kıvanç Group Yönetim Kurulu Başkanı Bedri Koza ve tüm emeği geçenlere teşekkürlerini iletti.";;0
https://www.instagram.com/p/DRcrcFkiB2s/;Carousel;115;1;0;2025-11-24 20:46:42;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/587461815_18541877503018606_18839742063349171_n.webp?_nc_cat=106&ig_cache_key=Mzc3MzA4MTYxMzY2NDU2NzMwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=-bV_q4eFh4cQ7kNvwE4JiLi&_nc_oc=AdnfUiPOrYkC6ZfFez5jon9-g8w4kfseZR6mMtYpSfaqZY9yh0dvF_Ytv0OYKHy-K8oX4zrLCBZ471Zm7MKcxHly&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfijHXhiIcGhmZqQ_Zv5c3ONGbpvHPbKaPIQ9Q9GUAVjJw&oe=69311CA5;Belediyemiz organizasyonu ile 22–24 Kasım tarihlerinde gerçekleşen  Karadeniz Bölge Üç Bant Şampiyonası bugün yapılan final müsabakalarıyla sona erdi.  Karadeniz’in farklı illerinden gelen 40 sporcu ile büyük bir heyecan yaşadık.  Dereceye giren sporcularımızı tebrik ediyor, başarılarının devamını diliyoruz:  🥇 1. Ömer Karakurt 🥈 2. Sıtkı Yüce 🥉 3. Nurettin Karakurt 🥉 3. Selahattin Kurbetli  Tüm sporcularımıza emekleri ve mücadeleleri için teşekkür ederiz.;;0
https://www.instagram.com/p/DRcqTQpDCYE/;Carousel;192;4;0;2025-11-24 20:36:46;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/589084872_18063327206441977_2066896704852864949_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3MzA3NjYxOTk2ODM5MjAwMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExMjV4NjMzLnNkci5DMyJ9&_nc_ohc=xGnT7h95IIgQ7kNvwFC-End&_nc_oc=AdlHkVclLTIMBwUqPwBbLn6frC90UUAQRmUJCNnIS2tBVAj-yB-IZbcXdJGcneH7ieAUxjoMhKBfkD8qTwE617gZ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfiTiRLkZx9HuNbcPVl6tfb41vSGZIcqxGrJax3ybIR0NA&oe=69311C20;"“Karanlık yolları aydınlatacak adalet meşalesini her daim yanımızda taşıyoruz.”  86 milyonun vicdanına, Halkın adaletine güveniyoruz. Çiğ yemedik ki karnımız ağrısın; Dezenformasyon son bulsun, masumiyet karinesi korunsun. Onlar her gün, her saat konuşuyor bir de Ekrem başkan konuşsun. Dava TRT’de Canlı Yayınlansın!";;0
https://www.instagram.com/p/DRcVn1IiEq6/;Carousel;296;4;0;2025-11-24 17:36:04;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/586519743_18541851835018606_1212053569027540054_n.webp?_nc_cat=100&ig_cache_key=Mzc3Mjk4NTY0OTc0MjIzNjAwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4ODEwLnNkci5DMyJ9&_nc_ohc=BB-_5qBSMBAQ7kNvwFJN_67&_nc_oc=Adn0-lB2ONoWkirZDTsVc5CPp97l9F4WkOOcNmRSTjGlyvqfIjfzKYTuce409hJEfn4s2ti5kf2UAko465H_UaWo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_gid=Hx_d-YYu2qXEYo6T1EcX3g&oh=00_AfgpKtO0VVf-MCAHI2LNBiXqvzhZ3T1r9l5Z4PYfL5DaaQ&oe=693120EC;"Belediye Başkanımız Metin Gürbüz, 24 Kasım Öğretmenler Günü dolayısıyla Seydi Ali Reis Mesleki ve Teknik Anadolu Lisesi, Gazi Mustafa Kemal İlkokulu ve Mehmet Akif Ersoy Ortaokulu'nda görev yapan öğretmenlerimizi ziyaret ederek bu anlamlı günü birlikte paylaştı.   Eğitime adanmış yürekleriyle toplumumuzun yolunu aydınlatan tüm öğretmenlerimize emekleri, fedakârlıkları ve özverileri için bir kez daha teşekkür ediyor; 24 Kasım Öğretmenler Günü’nü en içten dileklerimizle kutluyoruz.";;0
