PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpQy4fDNn8/;Carousel;761;18;0;2025-11-29 18:04:01;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/588316153_18350938012206947_1976437888669042701_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NjYyMzYxOTIwNDc2OTk3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY3NHg0NDkuc2RyLkMzIn0%3D&_nc_ohc=tCxSDQlUUa8Q7kNvwEp_gbB&_nc_oc=AdnzCzjPKTt4ycbcKAtEcjaNSSTl3pKu02Nk5rB-MrDh6-Rs81YK9SVxYZ4wH_FEBG3nUAwNXlH3uFYmBW2iMdLz&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfiL1quMgkdZclMN2AfckapupULE4yOerRHHU1n3FJJjvg&oe=69310AEB;Türkiye’nin var bir çaresi, onun da adı Cumhuriyet Halk Partisi!  Muhalefetteki son kurultayımızda 1333 oyun tamamını alarak yeniden Genel Başkanımız seçilen Sayın Özgür Özel’i yürekten kutluyorum.  #ŞimdiİktidarZamanı!;105518.0;0
https://www.instagram.com/p/DRoyoXzDCQd/;Carousel;373;5;0;2025-11-29 13:40:26;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/588229767_18350915017206947_3108567517491499731_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjQ5MDk1MjY1NjE3NzQyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=1UuXmjPINUUQ7kNvwGS9NOr&_nc_oc=AdmBJ1L4Td2gvhGM1dMKsi0omBakTZPLRx7jmzW30bldiJpQAMvFSbgUam6OvRGWO7gBEXTOLwFyzNVvwV7UxoIz&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_Afijtkg6y6btoIaM4DhdXlLq0qp3FWdnXz67UqrohFFqIw&oe=69310F0A;Partimizin 39. Olağan Kurultayının 2.  günündeyiz. Genel Başkanımız Sayın Özgür Özel’in liderliğinde muhalefetteki son kurultayımızı gerçekleştiriyoruz! #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRmNn4djJGM/;Carousel;726;13;0;2025-11-28 13:38:35;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587356005_18350817745206947_911012634279580112_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTc2NTI0NDMxMzEzNzgwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=R8D-KOJJwPcQ7kNvwGwhOeY&_nc_oc=AdnPpqW0tlCJW23-uoOYqPiZOiHYILO0J-HKeHlof1KLi_1aJvNa0QspiufnmtSnIal_ARqKkHADIIIlHjvksrzN&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_Afi0nAmQV3lg0Kz2eHUuUm6ygy3SSrh2jFTKg9E-Q9VClQ&oe=69310218;39. Olağan Kurultayımız için Ankara’dayız.  Türkiye’nin birinci partisi Cumhuriyet Halk Partisi, Genel Başkanımız Özgür Özel ile iktidara yürüyor!  #ŞimdiİktidarZamanı #ÖnceAdaletÖnceHürriyet #İmamoğluMilleteEmanet;;0
https://www.instagram.com/p/DRhW0MdDM86/;Carousel;861;12;0;2025-11-26 16:22:42;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587677112_18350633362206947_3445387223586371128_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NDM5ODI5NTMzMTA1NzMwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Jc0QtxSXmo0Q7kNvwGhU6BF&_nc_oc=AdmN2I7VjYWoU-_18LHHOAO2kC5LuM8dkECgj4w8Ojay8FdRbfZwdIeJvIQOOcOD2AcudjIey2s-RNQ7zgY8VEDe&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfjjOjAdrv8TGaFDUpQNHwnwTVXcHlcXvJK2ljkxAKzkWA&oe=6930FA09;"İlk adımı Çanakkale’de atılan ve 81 ilden kadınların ilmek ilmek işlediği “Önce Adalet, Önce Hürriyet” kırkyaması; Cumhurbaşkanı Adayımız Ekrem İmamoğlu’nun haksız tutukluluğunun 250. gününde dayanışmanın ve umudun bir sembolü olarak Saraçhane’de yükseldi.  Başta Dilek İmamoğlu, eşim Özen Algönül Erkek, Kadın Kolları Genel Başkanımız Asu Kaya, İstanbul İl Örgütümüz ve Genel Başkan Yardımcımız Suat Özçağdaş olmak üzere emeği geçen herkese yürekten teşekkür ediyorum. @ailedayanismaagi   #ÖnceAdaletÖnceHürriyet  #İmamoğluMilleteEmanet @chp";;0
https://www.instagram.com/p/DRhTNEWjJiU/;Reels;5771;185;411550;2025-11-26 15:54:00;https://scontent-hou1-1.cdninstagram.com/v/t51.71878-15/587553295_2066952974114807_9177937902381070663_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NDM4MjQyMzYyMzM3NDk5Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=2iggih43Z1YQ7kNvwEnpZr-&_nc_oc=AdmGVkFJJ3e63NbJkyRglluyrbxNDPaKYQQQ6aP6Kq4R3lpwl9pa2FfCYoDqnKkul1tQz2bbuPV9hJHeqIdFqWV9&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfhtrzyJ3cnoONZlwYynZKi_9mMZjVjR0R13P073zX3q5g&oe=69311984;Zabıta ekiplerimiz halk sağlığını korumaya yönelik çalışmalar kapsamında gıda işletmelerinde denetimlerini sürdürüyor.   #ÇanakkaleiçinÇalışıyoruz bu kenti çok seviyoruz... ❤️;;0
https://www.instagram.com/p/DRgmhnFjPdV/;Reels;1184;27;56663;2025-11-26 09:21:48;https://scontent-hou1-1.cdninstagram.com/v/t51.71878-15/584381099_1192547549474269_1545051275829702204_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NDE4NTkyMzIxNTY4NTQ2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=p_E_j_56PqYQ7kNvwGbi5uC&_nc_oc=Adm_E-BHJgmTrcD065no_tU95Z1F794HieXGsQ48CcEpLYcq-DiK9u2GajugucY9UhRLgF5Er42ATY7R1LwqOHd4&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfhTBF9-GfQ90AqrrQfqn9BZsxBo2pj372sooN5N0MfIng&oe=6931249E;Çanakkale’nin sokaklarında dolaşan kelimeleri bir araya getiren “Kent Lügatı” sergisi açıldı.  Sizin aklınıza gelen en Çanakkaleli kelime ne? 😊  Sergimiz 6 Mart 2026’ya kadar ziyaret edilebilir “beya”. ❤️;;0
https://www.instagram.com/p/DReE0ETDDWf/;Photo;322;2;0;2025-11-25 09:47:40;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587778486_18350504098206947_8067373252169122067_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzQ3NDcwNzk5NjQyMzU4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=chMmh4PhRIsQ7kNvwGxiX3E&_nc_oc=AdmJ0eNbdDjY1ytqaXlwyLah7-D4S7fPS6AzkFG-yKpjie_VLEqk59yjOWoEvbFIi_xdPeSB_yS0XHF5rgpeu5Q5&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_Afg55izvYcqYQUFymbjBfdlK2YZW7UGGyN2EJ0hlpgM3Wg&oe=6931002F;Dayanışma, mücadelenin en güçlü yanıtıdır!  25 Kasım Kadına Yönelik Şiddete Karşı Mücadele ve Uluslararası Dayanışma Günü’nde bir kez daha sesleniyoruz:  Ayrımcılığa, sömürüye, cinsiyet eşitsizliğine ve şiddetin her türüne karşı verilen mücadelede tüm kadınların yanındayız.;;0
https://www.instagram.com/p/DRd8wauDCRu/;Reels;732;10;49730;2025-11-25 08:39:07;https://scontent-hou1-1.cdninstagram.com/v/t51.71878-15/587755767_835337705872230_4313782603266658197_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3MzQzOTI3MjgyMTcyODM2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=iuI6xYr9xG4Q7kNvwG2FrEh&_nc_oc=Adn1zElY_D9zrSri_Mp43A-N0V2erLAekrdri-Uv6z73GtiHr4P0ZT9kBWG3NyVxSmuLwkgHGRHWbRw-8Vn9Jurr&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfgpVBzn7WRNjY9TB7iB9D4MPSc9WAcQ8yJTs7la8KaAlQ&oe=69312B0E;Belediyemiz, kentlinin ürettiği ve özgürce çalışabildiği alanlar oluşturmaya devam ediyor.  Prof. Dr. Türkan Saylan Sosyal Tesisleri içinde yer alan Ara Durak, herkes için tamamen ücretsiz bir çalışma ortamı sunuyor.  📘 Öğrenciler için: Sessiz, düzenli ve odaklanmaya uygun bir ders çalışma alanı.  💻 Bireysel çalışanlar için: Görüşme yapmak, proje üretmek veya bilgisayar başında çalışmak isteyenler için ideal bir ortam.  👥 Gruplar için: Geniş toplantı masası sayesinde ekip çalışmalarına, atölyelere ve ortak üretimlere imkân tanıyor.  ✨ Ara Durak, kent yaşamının içinde bir mola, bir buluşma, bir üretim noktası…  🎓 Çanakkale Belediyesi olarak eğitime, ortak akla ve paylaşıma değer veriyoruz.  #ÇanakkaleiçinÇalışıyoruz❤️;;0
https://www.instagram.com/p/DRcPrAijFgA/;Carousel;839;4;0;2025-11-24 16:44:04;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/589402924_18350431393206947_3594363456211610543_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mjk1OTQ5Nzg0NjA0MTA2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=UqALDm3IYTEQ7kNvwFYSrlD&_nc_oc=Adm9ZtnJzHzjzijnoHBAOsJ3LEe98tbbpQGP1ONajFanjBSHA670SwJ5UdDk4X8H7SJmIeJmtoXOik2swMFL4g2c&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfhWBNPdbUqDJOtXSGM-Yqm66x8Cs5Mc9XaS5CBsjF15SQ&oe=69310857;24 Kasım #ÖğretmenlerGünü’nde, Merkez İlçe Kadın Kollarının düzenlediği etkinlikte partimizin emekçi öğretmenleriyle bir araya geldik.  Fedakârlıklarıyla topluma yön veren tüm öğretmenlerimizin bu anlamlı gününü yürekten kutluyoruz.;;0
https://www.instagram.com/p/DRcHSe2DI-D/;Reels;1776;154;97912;2025-11-24 15:31:23;https://scontent-hou1-1.cdninstagram.com/v/t51.71878-15/587799163_1501187897602687_7814042229386800334_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3MjkyMjY0NDIyNDgzOTU1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=TRdQ2Hv-iFAQ7kNvwGGs8W2&_nc_oc=Adl5T9MMHV59CI7w2_bkyKLmC_vmLPaDz-TcfkOfP05Bf3ktRDZkgX7d8SIghZ3ZCyTZCw1ubKrjtkmX_UNBktGx&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=F4uMkFnLCovtCnZFFz0RTw&oh=00_AfiZZ3htIFtfN9QLxm-0n00Jzxb9JGzn0Yg9_vlZKvGbQA&oe=69311EE6;Zabıta Müdürlüğümüzden İşgal Denetimi…  Kent düzenini korumak ve toplum huzurunu güvence altına almak amacıyla denetimlerini sürdüren Zabıta Müdürlüğü ekiplerimiz, kaldırımları işgal ederek yayaların geçişini engelleyen reklam panoları, dubalar ve flamaları topladı.  Yaya güvenliğini ve trafik akışını olumsuz etkileyebilecek işgaliyelerin önlenmesi için denetimlerimiz kararlılıkla devam edecek.  #ÇanakkaleiçinÇalışıyoruz ❤️;;0
