PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi
https://www.instagram.com/p/DRbZvs5DPzd/;Reels;1144;11;49698;24.11.2025 08:53;https://scontent-ham3-1.cdninstagram.com/v/t51.71878-15/587429012_682367261620657_1403724442858815394_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MjcyMjM0MjAzMjg5OTI5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=-B8RxYJ6Ih8Q7kNvwETh7GH&_nc_oc=AdlTQkTY0o-cz2wRxpFThImR1AQlvUcWpUUTQn7A-YhpaHp_Pgb5ae9fOm3LDDKi47A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfgQ3YyU5qbstHYo_ls370hjcBaMTtfUUp2Tb0VwrbCYPQ&oe=692CD094;Sevgili hemşehrilerim, kıymetli Antalyalılar,   Bugün 24 Kasım, önemli bir gün. Öncelikle Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün devrim ve ilkeleri doğrultusunda yoğun mesai harcayan, bizlerin bugünlere gelmemize vesile olan kıymetli öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü kutluyorum.   Rahmete kavuşan tüm öğretmenlerimize rahmet diliyorum. Mekanları cennet olsun.;248693
https://www.instagram.com/p/DRZOKPRDAsn/;Photo;2098;89;0;23.11.2025 12:33;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/586397583_18401696026192172_2316972741131962593_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MjEwODQzOTEzNzU1MzE5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY3OHg3NTEuc2RyLkMzIn0%3D&_nc_ohc=H8-YFAuBCnAQ7kNvwG3RwQX&_nc_oc=Adlt14eF-SC_QmvWQsK9En47WXBH0NloP2QiuJpZgin2JWQfKxXj2VQI4AE4Eu1_ZqU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfiT9sUhT-W1yS_VzftI6Ad5UxJMaRyWPTq-ccZ0CoCnJQ&oe=692CDB62;Cumhuriyet Halk Partimizin önceki dönem Antalya İl Başkanlarından Özer Ahmet Ülken’in vefatını büyük bir üzüntüyle öğrendim.  Parti örgütümüze verdiği emekler, demokrasi mücadelesine olan inancı ve Antalya’ya sunduğu katkılar her zaman saygıyla hatırlanacaktır.  Merhuma Allah’tan rahmet, ailesine, yakınlarına ve partimize başsağlığı diliyorum.;
https://www.instagram.com/p/DRJnnGrjEeX/;Photo;969;59;0;17.11.2025 11:07;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/582320115_18398539918192172_6518650162845238686_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc2NzcxNjc3NDMxODcyMDkxOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNzB4ODU0LnNkci5DMyJ9&_nc_ohc=JFIrakgTxB0Q7kNvwEqUgIQ&_nc_oc=AdnSSIYD8eRcNNNuL3w_zOhKPy2OVdcQOdNyWmDl81v7vVmoSKvYBf2oFImgeCcrsLQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfhPtdeyXsrLS1dneYP9BSwWBdexoPhbMf8yc7UdB5p9Gw&oe=692CBAD5;Mersin Büyükşehir Belediye Başkanı’mız Vahap Seçer’in kız kardeşi Arzu Seçer’in hayatını kaybettiği haberini üzülerek öğrendim.   Arzu kardeşimize Allah’tan rahmet, Vahap Başkanımıza, ailesine ve yakınlarına başsağlığı, sabır diliyorum. @vahapsecer;
https://www.instagram.com/p/DREgr3DDA5L/;Photo;615;8;0;15.11.2025 11:30;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/582013477_18398333605192172_3082699895460959114_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc2NjI3ODkzOTkyMTM1NDMxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=wxk2Xk9utGEQ7kNvwHFgt3h&_nc_oc=AdmHXfX6CzRdxrOUgfTo-QqYRiFADm7sSS2UX-up3n9YNgKwETfAunJ2UzYxPxHeJuE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfiIFsB6QFsiCNRZgyT7Cl1jQKYSlNrrXVnEjiMGnUE-sQ&oe=692CE3D8;Kuzey Kıbrıs Türk Cumhuriyeti’nin 42’nci kuruluş yıl dönümü kutlu olsun.   Kıbrıs Türk halkının özgürlük ve bağımsızlık mücadelesine önderlik eden Kurucu Cumhurbaşkanı Rauf Denktaş’ı, Kıbrıs Barış Harekatı’nda tarihi bir sorumluluk üstlenen Bülent Ecevit’i ve bu uğurda canlarını feda eden tüm şehitlerimizi saygı, minnet ve rahmetle anıyorum. #KKTC42Yaşında;
https://www.instagram.com/p/DQ8lLD_jBVS/;Carousel;793;22;0;12.11.2025 09:36;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/579985127_18397738003192172_5576047160737786840_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc2NDA0Njg2NTQxNjEwMTg0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg1NDAuc2RyLkMzIn0%3D&_nc_ohc=tCu4vHkGXsMQ7kNvwHpVfVW&_nc_oc=Adm7MzxKW0ERPp34FFvPH2AdXrkku2YmvEKl_9yzVkH65pPvx-1MXRSRVjHdkfdxNgI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfjjQM7_oyuzxFsoLTuKqjobs2CRDHO6a2utBsTLCEjskA&oe=692CDAC5;Milletimizin başı sağ olsun. 🇹🇷  Azerbaycan’dan Türkiye’ye gelmek üzere havalanan askeri kargo uçağının Gürcistan’da düşmesi sonucu 20 kahraman askerimizi şehit vermenin derin üzüntüsünü yaşıyoruz.  Aziz şehitlerimize Allah’tan rahmet, ailelerine, silah arkadaşlarına ve milletimize başsağlığı ve sabır diliyorum.;
https://www.instagram.com/p/DQ2GGi-DHCO/;Reels;2587;28;70482;9.11.2025 21:11;https://scontent-ham3-1.cdninstagram.com/v/t51.71878-15/580959740_1210375344280587_4428829757326356902_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc2MjIyMTM3Njg1ODc3OTc5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=vhIYcy_d_0oQ7kNvwHBkR__&_nc_oc=Adli9W-ePdf0QCfpT2w9y7s-AgIF1I2avjX080ywqIOZVa46zEh9vcfXhsM_iXqetHQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfiXe5_8BGbds9uwQmjWctPTpPmDKybbOYVZmvmQ9jIKdw&oe=692CE51F;Ata’m, demir parmaklıklar ardında olsam da senin yolundan bir adım geri atmayacağım. Bu hücrelerin soğuk duvarları bile, kalbine kazıdığımız o mavi gözlerin sıcaklığını söndüremez. Emanetin, vatan toprağı gibi kök salmış içimde.   10 Kasımlar yas değil, yemin günümüzdür. Her nefeste seni anar, her sessizlikte söz veririz: Anlayarak, direnerek, yılmadan, yorulmadan sana layık olacağız.   Tutuklu olsam da özgürüm, çünkü senin fikirlerinle özgürüm. Yolunda, izinde, sonsuza dek... Özlemle, minnetle.   #EmanetineSahipÇıkacağım  #AtamSeninleYürürüz;
https://www.instagram.com/p/DQq8N6OjEN8/;Photo;673;20;0;5.11.2025 13:11;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/573410517_18396813061192172_6694145472097942149_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc1OTA4MTY3NzY1OTA2MzE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=7ILQOMrN_zkQ7kNvwHa9aAB&_nc_oc=Adld-By5P6gNjZul7v034HFxKNT5aGlseEDNkHyroP-_X9Kzut6m_xwOzla17le4cKA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_Afgqgcpifr0Oh5y6lklcjBNSPQm1GdLqO2XiSL5jr5IZLA&oe=692CB90D;Dürüstlüğüyle halkın güvenini kazanmış, emeğin ve adaletin sesi olmuş Cumhuriyet Halk Partimizin 3. Genel Başkanı “Karaoğlan” Bülent Ecevit’i vefat yıl dönümünde saygı ve rahmetle anıyorum.;
https://www.instagram.com/p/DQbXky9jE_Z/;Photo;3581;121;0;30.10.2025 12:02;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/572719624_18396154498192172_86744522275297708_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc1NDY5ODM5ODAzNDA1NTEyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=CxTCXUVq0sEQ7kNvwHaYL1A&_nc_oc=AdlKmha5tUHC8KYJ0zngiOy1Hves1biVgu3IqLvBOViEgCZFMrmpB4k1DMq40VndQKg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfjY08mkGAkYkTZKIgapTrDG82viMxUzaV8q962hyXZhuQ&oe=692CB2BA;Kıymetli Antalyalılar,  Sabah saatlerinde bazı medya kuruluşlarında gördüğüm haber üzerine bu açıklamayı uygun buldum.  Hepinizin bildiği gibi Covid sürecinde 108 gün yoğun bakımlarda kalmıştım. Şu anda günde 15 ilaç kullanarak ayakta durabiliyorum. 4 defa hastaneye sevk edildim, bugünlerde yine hastaneye gitmem gerekiyor. Kas-kilo kaybı, şeker, kalp, tansiyon, prostat, böbrek değerlerimin yüksekliği, ciddi akciğer sorunlarım varken asılsız bu haberler beni üzmüştür.   Haberlerde bahsedildiği gibi Antalya Cumhuriyet Başsavcılığı tarafından yürütülen soruşturmayla ilgili herhangi bir müracaatım olmamıştır.;
https://www.instagram.com/p/DQZ_0CBjKRh/;Reels;2060;25;93169;29.10.2025 23:18;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/572050617_18396104419192172_6680325005829436475_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc1NDMxMjQxNjkwNjQ4Njg4MTE4Mzk2MTA0NDE2MTkyMTcy.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg0MDYuc2RyLkMzIn0%3D&_nc_ohc=Oku2QXAJjFEQ7kNvwGh_GAV&_nc_oc=Adn0INjcxJuiPhHuBR0VvWUCap_EhA6IMiRprBXl3QAVW6sgYoj7vZScB1LJGcZlXzg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfgAH_P3kCgVwZ2dTIIHgm4Su_7HKHd1kt0k4w5jvijZ3g&oe=692CD3D3;Bugün, bir milletin esareti reddedip ayağa kalktığı, özgürlüğe, eşitliğe, kardeşliğe “Evet” dediği gündür. Cumhuriyet, en zor anlarda bile “Vazgeçmiyoruz” diyebilme cesaretidir. 🇹🇷  Gazi Mustafa Kemal Atatürk’ün bu büyük mirasını adaletle vicdanla sevgiyle taşımaya devam edeceğiz.  Biliyorum, bir gün bu duvarlar yıkılacak... Ve ben bir kez daha sizlerle omuz omuza “Yaşasın Cumhuriyet!” diye haykıracağım.  Yaşasın Cumhuriyet! Yaşasın Antalya!;
https://www.instagram.com/p/DQXaxZfDNEO/;Reels;1592;14;61305;28.10.2025 23:14;https://scontent-ham3-1.cdninstagram.com/v/t51.82787-15/571544533_18396103135192172_4303244537272345553_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc1MzU4NjU1ODI2NDcyNTc3NDE4Mzk2MTAzMTMyMTkyMTcy.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHg0MDYuc2RyLkMzIn0%3D&_nc_ohc=VWvy2FSbF6kQ7kNvwEG_GCC&_nc_oc=AdlVkbYoFMMsuAag9ZP6TPYSE5Y44VC9lQVFfReTyvZ7Of-JGb7QRkE2EZrUvdWQ0FU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_gid=kCOHnx1bDczCUrkdnf1D4A&oh=00_AfhaZDJKZeVSUxCqyo_tCaX-NEniagvFPOWFIR5tRejPZg&oe=692CD231;Cumhuriyetimizin 102 yıllık ışığı, özgürlüğümüzün ve bağımsızlığımızın sönmeyen meşalesidir.  Ulu Önder Gazi Mustafa Kemal Atatürk’ün bizlere armağan ettiği bu eşsiz mirası, gururla geleceğe taşımaya devam ediyoruz.  #29EkimCumhuriyetBayramı’mız kutlu olsun. 🇹🇷;
