PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpSnEcjcmp/;Carousel;515;0;0;2025-11-29 18:19:53;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587719687_18544164865051367_5507837285113264990_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NjYzMTYwMTMxNzYzMTc2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=dUQjN0HNv3sQ7kNvwGFJt4N&_nc_oc=AdkrV7FhbSDpN3TUe1ONL-xHFVzz23W2QfESYo8dAqm_BMRKeXkjk4I8V_u11wOrpvU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_Afi2vDSfnBD81pzAESGVK6CxP07iqr9dp8yPlLpwSwdNJw&oe=6930FE2C;Partimizin 39.⁠ ⁠Olağan Kurultayı’nda yeniden seçilen Genel Başkanımız Sayın Özgür Özel’i yürekten kutluyorum.  Genel Başkanımızın öncülüğünde, Cumhurbaşkanı adayımız Ekrem İmamoğlu’nun kararlılığıyla ve partimizin iradesiyle iktidara yürüyoruz.   Kurultayımız partimize ve ülkemize hayırlı olsun.  #ŞimdiİktidarZamanı @eczozgurozel;277054.0;0
https://www.instagram.com/p/DRora1ejVn9/;Carousel;1186;16;0;2025-11-29 12:37:25;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588984824_18544124812051367_5423729849101043452_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NjQ1OTIzNzc3ODg2NzIwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4OTEwLnNkci5DMyJ9&_nc_ohc=DETKrows2SYQ7kNvwF4EJAR&_nc_oc=AdkDaQPRtaYvB3qjCsEAFpSQZQOaysCwUZj1PKFgZSbYtNs2joLf7Mpcr14dkPpkAks&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfiqGg72wZ1QTjKqmuDZZ04QdUkyVgKOk2-o_3H17ZAMuQ&oe=69311614;"Baba ocağımız, Cumhuriyet Halk Partimizin 39. Olağan Kurultayındayız.  Genel Başkanımız Sayın Özgür Özel’in önderliğinde “Şimdi İktidar Zamanı” diyor, Türkiye’nin geleceğine dair umut, kararlılık ve değişim irademizi bir kez daha ortaya koyuyoruz.  Demokrasinin, adaletin ve eşitliğin hakim olduğu bir ülke için; emekçinin, gençlerin, kadınların ve tüm hemşehrilerimizin hak ettiği yarınları hep birlikte kuracağız.";;0
https://www.instagram.com/p/DRmyAbDjZ_x/;Photo;5568;610;0;2025-11-28 18:56:30;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587857320_18544023043051367_9062979650238892578_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=1&ig_cache_key=Mzc3NTkyNTI2ODk3MjkzNzIwMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=YA8ltRIm-u4Q7kNvwGDP9Jo&_nc_oc=AdmpCBODyzy9vdvuRuCAalNGxRF-fg2k3kFb4Ub_lC5WRjdDxGM2kRw6Nlqk0bE8h24&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfhKsNAaiN6ZCekDhvrwmd_oZPcTpT9YcPwv5C4JYaoM8A&oe=693102C1;"Katoliklerin ruhani lideri, Vatikan Devlet Başkanı Saygıdeğer Papa 14’üncü Leo’nun İznik ziyareti, Bursa’mızın taşıdığı büyük tarihsel ve kültürel birikimin tüm dünyaya yeniden hatırlatılması açısından kıymetli bir gelişme oldu.   Bursa; yüzyıllar boyunca farklı uygarlıkların, kültürlerin ve inançların iz bıraktığı zengin bir mirası taşıyor. İznik de bu büyük bütünün önemli bir parçası; insanlığın ortak hafızasında derin karşılığı olan bir tarihsel merkez.  Ziyaretle birlikte, dünyanın birçok ülkesinden misafirimizi ağırladık. Farklı inançların ve kültürlerin bir arada, yan yana, huzur içinde kardeşçe yaşayabileceği bir dünyanın mümkün olduğunu bir kez daha gösterdik.   Bursa Büyükşehir Belediyesi olarak, şehrimizin dünya mirası niteliğini koruma ve geleceğe aktarma sorumluluğunu gururla taşıyoruz.  Bursa’mızın tarih boyunca kurduğu köprülerin, kültürler ve inançlar arasında yeni bağlar kurmaya devam etmesi için çalışmaya devam edeceğiz.";;0
https://www.instagram.com/p/DRmENikjQIB/;Carousel;370;1;0;2025-11-28 12:16:20;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589096616_18543974242051367_1647797629984756089_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTcyMzg1MDQ1MDE5ODU3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=08IHMuWjl6EQ7kNvwEs0FN-&_nc_oc=Adl7IWG5lribhpgJPM8Ah9GmWGySq0F-D_hzg1Q-A7sAI1VRioVyj3yi9ykPNFCuiS4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfhBXYhwV-dGcDdJ5y9CX74AeHgl9V2yRjCEUJBh9O6frA&oe=693103F1;Genç Hukukçular Kongresi’nde akademisyenlerimiz ve geleceğimizin teminatı olan genç hukuk öğrencilerimizle bir araya geldik. Sivil anayasa üzerine özgürce üretilen fikirleri ve bilimsel değerlendirmeleri dinlemek, gençlerimizin bu alandaki güçlü katkılarını görmek bizleri umutlandırdı.  Bursa Büyükşehir Belediyesi olarak adalet, demokrasi ve hukuk devleti ilkesine değer veren her çalışmada gençlerin yanında olmaya devam edeceğiz. Kongrenin gerçekleşmesinde emeği geçen tüm kurumlara ve katkıda bulunan akademisyenlerimize teşekkür ediyorum.;;0
https://www.instagram.com/p/DRmAGXJDcjo/;Reels;1544;158;254730;2025-11-28 11:42:25;https://scontent-man2-1.cdninstagram.com/v/t51.71878-15/587761786_702339749236328_2323374592055120221_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTcwNTc3NDc2MTU2MDI5Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=XOyATA3pdTkQ7kNvwF7mv3h&_nc_oc=AdmUNykSjbRNXdkG36vaxxsKugwuvYBusu8aosJ_GpsTQgTCogx-DBlECtE7mimbvvA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfjuweKYuc3aoeYAs0j9Ew8rWUF5dvvNJ7alTlhNDrDgsA&oe=69312D18;"💬🌱 #1Fikir1Ağaç  Bursa Büyükşehir Belediyesi olarak, iklim krizinin etkilerinin hızla arttığı günümüzde, her alanda olduğu gibi ulaşımda da sürdürülebilir çözümleri hayata geçirmek için çalışıyoruz. Kentimizde ulaşımı daha modern, daha güvenli ve daha çevreci bir sisteme kavuşturmak için çıktığımız bu yolda, siz değerli hemşehrilerimizin görüşleri de rehberimiz olacak.  Hazırladığımız raylı sistemler ve toplu ulaşım anketine katılın, kentimizin geleceğini birlikte şekillendirelim!  💚 Unutmayın; ankete katılan her bir hemşehrimiz adına bir ağaç dikiyor, hep birlikte geleceğe nefes oluyoruz.  👉 Katılım için @bursabbetkinlik profilimizin linkler bölümüne göz atabilirsiniz.";;0
https://www.instagram.com/p/DRknTtCjXdF/;Carousel;620;3;0;2025-11-27 22:44:32;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587558070_18543900256051367_2502389678852530697_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTMxNTI1MjUxOTcyNDM0MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODN4NzMzLnNkci5DMyJ9&_nc_ohc=xgLN_BzgvVsQ7kNvwFS7OJF&_nc_oc=AdlEjrSVF1PVwEwuVnAtAjicXg7UrHLlPfRaQBMOHfqnQTUPgwxvPgsUh3jbNoLec6w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfgaTRIlb4VfIJ9kVqZzqn6Xj5u6WNbRSfSO0ZwZ4H-aFg&oe=69310C85;Bursa Uluslararası Edebiyat Festivali başladı.  Bursa Büyükşehir Belediyemiz tarafından ikinci kez düzenlenen ve 27–30 Kasım tarihleri arasında kentimizin birçok noktasında gerçekleşecek festivalin açılışını büyük bir memnuniyetle gerçekleştirdik.  Festival boyunca şehrimizin farklı alanlarında söyleşiler, imza günleri ve çeşitli kültür–sanat etkinlikleri Bursalılarla buluşacak. Birbirinden değerli edebiyatçıların katılımıyla kentimiz dört gün boyunca edebiyatın ve sanatın zengin dünyasına ev sahipliği yapacak.  Tüm hemşehrilerimizi bu güzel atmosferi paylaşmaya ve festivalimize katılmaya davet ediyorum.;;0
https://www.instagram.com/p/DRkikFYjU6u/;Carousel;1805;62;0;2025-11-27 22:03:05;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588685541_18546232234049691_8098580228826839588_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTI5NDM5MjUzNDYzODA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=lKq08-m0lVwQ7kNvwFh2aU1&_nc_oc=AdkxfP7dQi8B9N8PRcQICX8VXj79dfePaZmc01Xf75dtYVNjDytlq-FsPNcMgAlBRmk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfgEFuA0Hlfb6CYcPJZYII5s4KMT2x7DycsXPCugZI5OyA&oe=6930F8BC;📌 Kamuoyuna;;0
https://www.instagram.com/p/DRkCavnDRR_/;Photo;385;3;0;2025-11-27 17:22:11;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588731834_18543858676051367_4964885243573254066_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTE1MzAyMTU2Mzc2OTk4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=TH0apZfjYoUQ7kNvwHF9RO8&_nc_oc=Admm5ELxf_-kvtwSiwhPccsLxbfM5lk4FzYkaEu9QVdeZxzQFjcmx5xa9NQ1z_Co88A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_AfgjWi0Fc7eSY1JSQFhBoq9aqCxRmiW89y5ccmPmJbyTKw&oe=6930FF14;Bursa Valiliğimiz, Bursa Ticaret ve Sanayi Odası ve kent yöneticileriyle bir araya gelerek TEKNOSAB üzerine kapsamlı değerlendirmelerde bulunduk. Şehrimizin üretim gücünü artıracak bu önemli projenin mevcut durumu ve planlanan gelişmeler üzerine görüş alışverişi yaptık.  Toplantımızda projenin sonraki adımlarını ele alarak, kentimizin kalkınmasına ivme kazandıracak stratejik başlıkları değerlendirdik. Bursa’nın sanayide dönüşümünü destekleyen bu büyük yatırımın kentimize hayırlı olmasını diliyoruz.;;0
https://www.instagram.com/p/DRj2Ju8jYAM/;Carousel;911;5;0;2025-11-27 15:35:00;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588490539_18543843802051367_4498876429020614863_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTA5OTA2NDc5NTYxNDEyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=uz9G-zw0VUUQ7kNvwEbxtzt&_nc_oc=AdmPLiXc65DT43ejaXGJkMqgLbucAyytu4VtCMXpTVmukhlCIneGckN0ZHzUPZkjOVg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_Afgqw0VtB2sicJG7i6nCYXdE19rFP8EAQzjSZSAJvg_zdw&oe=69312B5D;Kentimizde gerçekleşecek Bursa Uluslararası Edebiyat Festivalini konuşmak ve tanıtmak için ulusal basın mensuplarıyla bir araya geldim. Festivalin yanı sıra şehrimizde yürüttüğümüz kültür–sanat etkinliklerine dair bilgiler paylaştım.  Toplantıda ayrıca Bursa Büyükşehir Belediyesi olarak hayata geçirdiğimiz projeleri, devam eden yatırımları ve hedeflerimizi anlattım. Ulaşımdan çevreye, sosyal hizmetlerden altyapıya kadar tüm çalışmalarımızda şeffaf ve hesap verebilir bir yönetim anlayışıyla kentimizi geleceğe hazırlıyoruz.;;0
https://www.instagram.com/p/DRjpJ38DS74/;Reels;502;13;42384;2025-11-27 13:50:15;https://scontent-man2-1.cdninstagram.com/v/t51.71878-15/591075345_2711168005910237_3686160636528856056_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NTA0MTkxMTExMjE1MDc3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=iDY6cv3TtvQQ7kNvwGY2sAn&_nc_oc=AdlRZHopP_rqOdMP6kVY3SR-6bsnVNHtxsU9CjvQOgXCx8JdZlnzVO9Lo0gRbMnxcBc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=jPzYMxC8ETkWR2MpDAvgfA&oh=00_Afg7aas_CBcuymTtMfFl2WQXWBlEG6htJDBtgPKEFbhwJw&oe=69312875;Yatırım yapıyor, hizmet kalitemizi her geçen gün daha da artırıyoruz.  Kentimize ve hemşehrilerimize daha hızlı, daha güçlü ve daha kaliteli hizmet sunabilmek için Destek Hizmetleri Daire Başkanlığına kazandırdığımız 50 adet yeni aracı hizmete aldık. Bu araçlar, belediyemizin sahadaki çalışmalarını hem hızlandıracak hem de verilen hizmetin niteliğini önemli ölçüde yükseltecek.  Hizmete aldığımız araçların belediyemize, çalışma arkadaşlarımıza ve Bursamızın tüm hemşehrilerine hayırlı olmasını diliyorum. Daha güçlü bir hizmet altyapısı için çalışmaya devam edeceğiz.;;0
