PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpHLH7jfWg/;Carousel;140;0;0;2025-11-29 16:39:57;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/590535527_18398894134125495_528438771432030355_n.webp?_nc_cat=101&ig_cache_key=Mzc3NjU4MTMwODcxODYxNzAyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTYwLnNkci5DMyJ9&_nc_ohc=zZMfXk35DhAQ7kNvwFbuxkG&_nc_oc=AdmkaK3rNUoguT2fe0G8AAxcy_EO7LPO_7UOU6Il39SnCgjQwxYTk-LmBj3dbrk09BYCSLs-KksFGlqlFLG172jC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_AfhhVGGIvv0PTmtMYK5dNSUO2_La3zw2lVEkOXj0RPQLpA&oe=69310A3C;Hüsrevpaşa Mahallemizde hizmet vermeye başlayan Umut Kıraathanesi’nin açılışını gerçekleştirdik.  Yeni iş yerinin hayırlı olmasını diliyorum.;11649.0;0
https://www.instagram.com/p/DRoj6zLDdIV/;Carousel;121;0;0;2025-11-29 11:31:53;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/589135597_18398869555125495_6635268414460993336_n.webp?_nc_cat=104&ig_cache_key=Mzc3NjQyNjI1MzQ2MTgzMzgyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=f6RhDnrGnzMQ7kNvwHInx3s&_nc_oc=AdmZDXyLnzkFiuJ3ALHAPT-G-8uU6ovLzvId1bEu_m7VVUw0k2yLO5a9vsY-HTcvyS-4n5QYR_OetWofQ1QiHjL7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_Afil1UEODyhpGAtNvgkY9D8awbYnycbYM-Ck-81B_N6Osw&oe=69311C2F;Bölge Koordinatörümüz Sayın  @MustafaAlkayis ve İl Koordinatörümüz Sayın @RamazannArkan Başkanlığında İlçe Başkanları istişare ve değerlendirme toplantımızı gerçekleştirdik.  Toplantımızın hayırlara vesile olmasını dilerim.;;0
https://www.instagram.com/p/DRnJ9-vDZRT/;Reels;137;1;3901;2025-11-28 22:26:48;https://scontent-dus1-1.cdninstagram.com/v/t51.71878-15/590415242_1935762280353702_6819835736787396263_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NjAzMDY1NDI0MTU0MzI1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=bZ2Ny7UIVb0Q7kNvwHdH3xu&_nc_oc=AdkQ_vK66F4u515Z8GN-4oyOWtN6ccXN8kEgQls7JzpvSlalHGK29UKhfpr2V88CCNgQ5h0_g8ED5xluvh9R0KQB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_AfjzchFfXOmDDl6CpzTSkb1j9-fhC7na8ungExRUzzHglg&oe=69310B82;Tarihi dokusu, kadim kültürü, eşsiz gastronomisi ve gönül insanlarıyla #Bitlis, #TRT1 ekranlarında!  🗓️ 01 Aralık Pazartesi 🕰️ 10.30 📺 @trt1 canlı yayında Bitlis’i keşfedin!;;0
https://www.instagram.com/p/DRm99JcjXcF/;Carousel;186;1;0;2025-11-28 20:40:55;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588338762_18398810227125495_1609640348358439448_n.webp?_nc_cat=101&ig_cache_key=Mzc3NTk3NzgxNTIzODYzNDY4OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTE1LnNkci5DMyJ9&_nc_ohc=ceML6kbq_ooQ7kNvwH-n7DR&_nc_oc=AdkxpWsYIRH_j7EJC9sNxHE6gELH7B1OqaE1OIucEkODcFBS2ZVJz8kALl9_G-OI02YQv1TvFu5UC1oYfei84itP&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_AfiG3txMIGsUiHCadvkT9ToRRyofh1aZi9oVs5ytSy3XIQ&oe=693114EA;"Bitlis Gazeteciler Cemiyeti (BİGACEM)’i ziyaret ettik. Cemiyet Başkanı Gazeteci Hakan Okay ve yönetimine, nazik ve samimi misafirperverlikleri için teşekkür ediyorum.  Bitlis’te görev yapan tüm basın emekçilerimize çalışmalarında kolaylıklar diliyor; şehrimizin sesi ve  gözü olan basın camiamıza başarılar diliyorum.";;0
https://www.instagram.com/p/DRm6UfjDa5k/;Carousel;337;2;0;2025-11-28 20:09:09;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588739740_18398806954125495_6250062407411748965_n.webp?_nc_cat=104&ig_cache_key=Mzc3NTk2MTgyNDQ3OTgwNTQyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTYwLnNkci5DMyJ9&_nc_ohc=zM0esYGj5aYQ7kNvwGwY0_F&_nc_oc=AdmCJ_y0uw708GipEkSLdSEDSE0JH7s6rbCKtmz7cvKLerNRa5xNuneKlJNJOor-kn812P4VzSEcT3wj6ec0RCH-&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_Afj3VWTIXQpvSl1jFKdUeeildAJKP2S5G_CD-o84QbNTsA&oe=69310486;"Pazar günü oynanacak KurtalanSpor karşılaşması öncesinde, Bitlis Sporumuzun kıymetli yöneticileri ve futbolcularıyla akşam yemeğinde bir araya gelerek takımımıza moral verdik.  Bölgesel Amatör Lig’de istikrarlı liderliğini sürdüren Bitlis Sporumuz, ortaya koyduğu mücadele ruhuyla şehrimizin gururu olmaya devam ediyor. İnancımız odur ki; kadim şehrimiz, sezon sonunda hak ettiği şampiyonluğu Bitlis Sporumuzun azmi ve kararlılığıyla kucaklayacaktır.";;0
https://www.instagram.com/p/DRlzJFoDVPH/;Photo;79;1;0;2025-11-28 09:47:11;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/589535078_18398752591125495_202841923418710121_n.webp?_nc_cat=106&ig_cache_key=Mzc3NTY0ODc4NzUwODA1NzAzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTIwNy5zZHIuQzMifQ%3D%3D&_nc_ohc=8XhMUfRtGB4Q7kNvwHX5JfN&_nc_oc=AdnCiHUDqtzOMDSJZPhOpBVIeAzMmNdysv54M8t2OFJO8rJwpbEdolf4qXbhYMxB7tz85usockrdL7oirdP2aWG8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_AfhH-dXEIT53d44Mm0CLqS_x1IH58Qj8aG2GtyQw8vF51Q&oe=69311AE2;Rabbim birlik ve beraberliğimizi daim eylesin. Cuma'mız mübarek, dualarımız kabul olsun. #HayırlıCumalar;;0
https://www.instagram.com/p/DRcjwrqDTzj/;Carousel;233;0;0;2025-11-24 19:39:37;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587302915_18398356714125495_662663258122360364_n.webp?_nc_cat=105&ig_cache_key=Mzc3MzA0Nzg1NjY5ODMzNzU4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTYwLnNkci5DMyJ9&_nc_ohc=hD1XSijxLicQ7kNvwGuVnrp&_nc_oc=AdmfBJAi_A-_68wXk0v2hR3-m3RXymtB0N9X2uy6395YdLq3oZWJgpSaf8aIGOXvCHhuAsTs611DnRcf7Rk0iuTC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_Afi9cCm6MWZz-CJaz-Q4oWyf4nAO4-sQlpauIK08vTVwsg&oe=6931011F;24 Kasım Öğretmenler Günü vesilesiyle, değerli öğretmenlerimizle akşam yemeğinde bir araya gelerek bu özel günü birlikte kutladık.  Geleceğimizi şekillendiren kıymetli öğretmenlerimizin emekleri, özverileri ve fedakârlıkları için her birine gönülden teşekkür ediyorum.;;0
https://www.instagram.com/p/DRce7W6DXcc/;Reels;135;0;5402;2025-11-24 19:01:32;https://scontent-dus1-1.cdninstagram.com/v/t51.71878-15/587524555_1201758438684293_5389423358752088874_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MzAyNjYwODI3MDM3NDY4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=ECSqOeeGKZ8Q7kNvwHU5VUk&_nc_oc=Adnrt4DYZ5JfquoFmqCKv5IesrEJgsu_51mF5f0myD6aRmS1E9ermVLhRdhg1jbVzZ2T_f-X6mltifcVOGrOuBGB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_Afi2V_AKzOGyOYT8MIJOH_o_ioLlwskb3BGnQixJOOie1A&oe=69310A44;"Minik yavrularımızın bana kendi elleriyle yazdıkları mektupları gördüğüm an, kelimelere sığmayacak bir duygu yaşadım. O çocuk yüreğinden dökülen cümleler, insanın içini ısıtan, bütün yorgunluğu unutturan birer umut ışığı gibiydi.  Her birinin gözlerindeki masumiyeti, mektuplarındaki sevgiyi ve safiyeti hissetmek; geleceğimizin ne kadar emin ellerde olduğunu bir kez daha hatırlattı.  📍 Bitlis Şehit Öğretmen Ergin Komut İlkokulu";;0
https://www.instagram.com/p/DRcDjkVDd-t/;Carousel;411;1;0;2025-11-24 14:58:12;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587387935_18398327830125495_7979857251259706010_n.webp?_nc_cat=103&ig_cache_key=Mzc3MjkwNjIxNzU0MzY3ODkxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTYwLnNkci5DMyJ9&_nc_ohc=XEehA3mdxwwQ7kNvwGSssVW&_nc_oc=Adn3Onsvhrfp-VAME7hbxRaxAHgALa1HT6sDmAPy4Tx61mp4Yhr5X_2vXAMHdIqwOysRzn_50j1kjXIy9XmlRLfJ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_Afi75Rw3oab4lZMpSom8nC-rh1vU7YzRg5K5N-Z8eljZ2Q&oe=6930F9D2;"AK Parti Bitlis İl Başkanlığı görevine atanan Sayın Engin Günceoğlu’nu, partimizin il binasında ziyaret ederek hayırlı olsun dileklerimizi ilettik.  Kendisine yeni görevinde muvaffakiyetler diliyor; şehrimize ve partimize hayırlı hizmetlerde bulunmasını temenni ediyorum.";;0
https://www.instagram.com/p/DRcCHZ1DSOT/;Carousel;380;1;0;2025-11-24 14:45:37;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587299114_18398326624125495_390634477359200064_n.webp?_nc_cat=102&ig_cache_key=Mzc3Mjg5OTg4MDIxODc0NTE0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=TS66lzruVYsQ7kNvwF54Lia&_nc_oc=Adl9I5qEY6kavvfFEABMlL64NcpkmDDBk3hhv_T4NVcAJoN7f7gMrrOW0d1g_1nLi3Wcii4FlCbgp-4fqZVn0HWs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=DHspv5FLtvgK_XunQ4iuQg&oh=00_AfiTqoSwwnXL3fMSbBBx0orLIoRjYX3WVP_8uPHhG5x-Rg&oe=69311359;"24 Kasım Öğretmenler Günü vesilesiyle, Şehit Öğretmen Ergin Komut İlkokulu’nu ziyaret ederek değerli öğretmenlerimize gül takdim ettik. Minik öğrenci kardeşlerimize ise boyama seti hediye ederek sevinçlerine ortak olduk.  Geleceğimizi şekillendiren tüm öğretmenlerimizin emekleri, özverileri ve gayretleri için ayrı ayrı teşekkür ediyor; her birine şükranlarımı sunuyorum.";;0
