PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRexYCijHYM/;Photo;156;13;0;2025-11-25 16:17:04;https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/588613381_1224964956111179_7454486876584986870_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzY3MDY5NDA1NjY1NDM0OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjUwMHg2MjUuc2RyLkMzIn0%3D&_nc_ohc=pijJKrpzWKkQ7kNvwHyWrEz&_nc_oc=AdnAy5rGroTwcEqV3IaTGFsmPIlyJ2FzFgkY_umnoN5dlZIbiycRNT0QSQ8lXb2z2FS1NbsFrUQwdXJOgk5lYwnD&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfhIrMovDKHu8xJTcCW8jh1H23Of7U-pK9EiHXKbBNJvLg&oe=69312DB1;Rize’nin sevilen simalarından, halk arasında “Cingar Mustafa” olarak tanınan Mustafa Yıldız Toptan'ın vefat haberini büyük bir üzüntüyle öğrendim. Merhuma Allah'tan rahmet sevenlerine ve ailesine sabırlar dilerim.;23913.0;0
https://www.instagram.com/p/DReewkeDABj/;Photo;85;0;0;2025-11-25 13:34:24;https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/589112555_1224869739454034_4899919537512939248_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MzU4ODgxNjg3MjA3OTQ1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE5NjJ4MTk2Mi5zZHIuQzMifQ%3D%3D&_nc_ohc=Sjg5fPwjE4IQ7kNvwFge7Ws&_nc_oc=AdmE0TLVW1qqN-U7gpEjhow4YzYl-kDZct7lhxGoEdjM7ctc2rxs4DtJT40vz_EzSzlE09yI-UcX69hIzTAXtxjH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfjJ227TFD0ONWPbZoxxE6724aNlN85XPzCBKhyfJll-9Q&oe=693107D0;Turkuvaz Medya A Haber Reklam Genel Müdürü Sibel Doğru ve Reklam Genel Müdür Yardımcısı Ahmet Yılmaz’a ziyaretlerinden dolayı teşekkür ederim.;;0
https://www.instagram.com/p/DReebNvjFBv/;Photo;69;0;0;2025-11-25 13:31:29;https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/588240865_1224868122787529_7967947262778508501_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MzU4NzM0OTM2MDYyNzgyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=iEOgbkDSmj0Q7kNvwGFnghK&_nc_oc=AdlMrRZtM9OUPsWlGbEHOywCsvYcBQbdaUNPbN3ZmNBsX9ZaGPHom8RmUrLxgV-qo4F0VpDnfJ-eNfuPG8lLf7gp&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfgS0cDyiT8ZQnLeOPCmipP5VX-BsNfm-hqrhWjwqiruSQ&oe=69310FEA;Güneysu Kaymakamı Eyüp Gürdal, Güneysu Belediye Başkanı Rıfat Özer ve AK Parti Güneysu İlçe Başkanı Gökhan Yıldız'a ziyaretlerinden dolayı teşekkür ederim.;;0
https://www.instagram.com/p/DRd4hhdD4_O/;Photo;32;0;0;2025-11-25 08:00:17;https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/584713670_1220699353204406_1328658743832871005_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzQyMDY1NzA3NDczNzEwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MjA0OC5zZHIuQzMifQ%3D%3D&_nc_ohc=lxkimNWm6h0Q7kNvwE9DSjt&_nc_oc=AdkwVY3gwFXlr4XyzgoNL1EGpJN_s-Y7xgQCDwvfBDm71dg7vD2bQapnDbRVa4d08StHhnjCUUEoHFLZ624cvHrp&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfjCPhLc8m7o1JW4rkNK4cJFFUU5Da8wx5g8g5SWsINPZQ&oe=693128CC;;;0
https://www.instagram.com/p/DRc2CM_Eoe7/;Reels;423;5;11078;2025-11-24 22:20:22;https://scontent-dfw5-2.cdninstagram.com/v/t51.82787-15/587404190_18544197322053363_8352887982424246509_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3MzEyODIzMzcyMzI2NzAwMzE4NTQ0MTk3MzE5MDUzMzYz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=BIS83SKPfzkQ7kNvwECxojx&_nc_oc=AdkZcFjCDoCgInvrH_mPtk3RH2yhNVbtzdVss4ZUHZ0OJaHQ3y4MI511pdqXxvaFqm27dXCVIb0V1ahc4_9nLJuS&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_Afi_yjOK_jqXf3lPj1AG63J5pkPFE_bfU0-8cWb4v5g3qg&oe=69310F12;24 Kasım Öğretmenler Günü’nde, kıymetli öğretmenlerimizle bir araya gelmek bizlere büyük mutluluk verdi. Emekli öğretmenlerimizin tecrübeleri, genç öğretmenlerimizin heyecanı geleceğe dair umutlarımızı güçlendirdi. Tüm öğretmenlerimize gönülden teşekkür ediyor, Öğretmenler Günü’nüzü kutluyorum.;;0
https://www.instagram.com/p/DRcyY2ZDFt2/;Carousel;199;1;0;2025-11-24 21:47:26;https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/587077722_1224426392831702_2377556720400378335_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzExMjE3NzYwMDAwMzI4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzIifQ%3D%3D&_nc_ohc=q0TfTKEL8vwQ7kNvwE4b6S3&_nc_oc=AdktCR_zGSYi1KkTaytg0J5IcVS610EYk81rZWYQJQd6iFf1sFA-cOH14u1SMjaf2u2GkorLzc4MEVBzVatIM6XU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfiP57AEOHHaZnMJvC_8ZdzQbIhTj4nCiXJ2vYWAg9ccQg&oe=693110CB;24 Kasım Öğretmenler Günü’nde, kıymetli öğretmenlerimizle bir araya gelmek bizlere büyük mutluluk verdi. Emekli öğretmenlerimizin tecrübeleri, genç öğretmenlerimizin heyecanı geleceğe dair umutlarımızı güçlendirdi. Tüm öğretmenlerimize gönülden teşekkür ediyor, Öğretmenler Günü’nüzü kutluyorum.;;0
https://www.instagram.com/p/DRb5loLjOj4/;Carousel;64;0;0;2025-11-24 13:31:06;https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/586888919_1224150716192603_1057226991128495220_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3Mjg2MjM3NjYzMTM1ODkxOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=8D6xy8vqr6MQ7kNvwE6dXc6&_nc_oc=AdkHaS2M0-NPMJhBIeP_SAb-yWwKqkXrctr-ZbQuVqq5n3j9Ihl7gvIlKE-O8HHzNmXwKXNyqD1IN5Fx4ndnwS1j&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfiiJDn_AkPxxHqR5VCtU3yK_arSUVWewC4-BrEUz8k9Xg&oe=6930FEFD;İsmail Kahraman Kültür Merkezi’nde, 24 Kasım Öğretmenler Günü’nü hep birlikte coşkuyla kutladık. Bu yılki programı hazırlayan Ali Metin Kazancı Rize Lisesi öğrencilerimize ve öğretmenlerimize teşekkür ediyorum.;;0
https://www.instagram.com/p/DRbTuwGjcYW/;Photo;53;1;0;2025-11-24 08:00:18;https://scontent-dfw5-3.cdninstagram.com/v/t39.30808-6/585567749_1220698859871122_1946182251515777321_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MjY5NTg4ODQ4MjEyNTMzNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MjA0OC5zZHIuQzMifQ%3D%3D&_nc_ohc=WQl6mO3fs2oQ7kNvwH8xL1E&_nc_oc=AdlsaYr16bnaDkkhspJpsc53ttFGfm3lKUTX1O9tgLLP6LReuDwbwSD3PDjQKc8HqMwfOesS7PsIFhZ9ahjAISOt&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-3.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfgyPUt2j_fhiPsDy9dMkIVh0vBbxvz5_wbDswAQ2uxPOQ&oe=69312DE3;;;0
https://www.instagram.com/p/DRZ5V62jHj7/;Carousel;300;0;0;2025-11-23 18:50:28;https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/587820336_1223616079579400_3228160659169429758_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MjI5ODM0NTA1OTI0MTM3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=k17LylGbyXQQ7kNvwF9ASA0&_nc_oc=AdmaNtol90YTE_5054TRqN-fdd8e5iHII0wdaOwSDka8mBx91aJbNPF_wU5w44EW-jV4GRta7oV_mbUtLRtylXsx&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfgAehiu8NCHCd5Km8kRCbwQAIGLgEYRwt1ligpeXgfs0g&oe=69312F4B;Kültür ve Turizm Bakan Yardımcımız Gökhan Yazgı ile birlikte Sahil Kordon’da vatandaşlarımızla bir araya gelerek sohbet ettik.;;0
https://www.instagram.com/p/DRZ5CngjPk3/;Carousel;69;0;0;2025-11-23 18:47:50;https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/587405233_1223614339579574_3772327441088217733_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MjI5NzAxODE4Mjc5MzI5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=P3jTr6Usxy0Q7kNvwEY2Qpm&_nc_oc=AdnZ3o0hjQkZ6TQ2sc1h6Ub4JOGpRPOw8dxwdVqN6TMbvJ9BfVW3tNQIqXYupknfTK06hHB18bcowvrbyyWqwVwb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=gdVGYtV_sBkU6d247lvL4w&oh=00_AfgMaEDgaaOLtPjXQhBHlD_RubeIKqDIVu75MdJr4Uil7g&oe=69311C70;Kültür ve Turizm Bakan Yardımcımız Gökhan Yazgı ile birlikte Rize İl Halk Kütüphanesi’ni ziyaret ettik.;;0
