PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpWIF9gnsN/;Reels;5228;142;134235;2025-11-29 18:51:04;https://scontent.cdninstagram.com/v/t51.71878-15/589637204_784165711293069_5452249081593630616_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NjY0NzA3NTcwNjYwMDIwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=4mS7RcH_4TUQ7kNvwHvQW24&_nc_oc=AdnfeIlMP4Z1ftr3TS-uQf1Fxm-abXaBsGsXBw6BoLrrCMlH3DuRE8yfzng-JhM7jSQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_Afi2PEnw_5eBkUAplJyjUGyeTRoIMKlKIII5O0rhoehcGA&oe=69310E20;Başkanlar sözünü tutar 😎😎;243170.0;0
https://www.instagram.com/p/DRmzyX4gsmp/;Reels;7377;177;222101;2025-11-28 19:12:31;https://scontent.cdninstagram.com/v/t51.71878-15/588379984_1070588291760054_8523441787101551109_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTkzMzA5OTU4NjgwMDA0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=Me1xh_mIBFsQ7kNvwEaM4l6&_nc_oc=AdnczaH2R1qnud8m4Z3EOBs3l9ugHFsTVzlqS2_AViLhTH_z03ZZm66jHujwW6DsQ3w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_Afiv7YywagM2xtrVIv7TQCw7wifwkVexSeuiJhDP-mDN5Q&oe=693115E7;Koş Serkancım koş! 😄 Bu şehir hız ister, hizmet ister! 💪;;0
https://www.instagram.com/p/DRmXETzgg1r/;Photo;365;16;0;2025-11-28 15:01:06;https://scontent.cdninstagram.com/v/t51.82787-15/587276178_18328165453246702_3243685018554509286_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTgwNjc4ODgwOTY1NzcwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=YhAQncc_BhoQ7kNvwG3tK3Z&_nc_oc=Adl_rM7NOxCDQVSkMkvEZeGhzo0rrZ1tRsLjJH1cOQB-ETHyMieriLh_gsD50h-8bCA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_AfhEe73lQAZ5cX5eldYxKsmyY2II6GECb_VWMrMHCN0ubA&oe=693130DF;🛹 Minik kalplere küçük bir mutluluk bırakalım istedik…  Ahmet Minguzzi Skate Park açılışında 50 yavrumuza kaykay hediye ediyoruz.  Açılışta birlikte olalım, bu güzelliği hep birlikte yaşayalım. Şimdiden tüm yavrularımıza bol şans olsun. 💙  👉 Çekilişe katılmak için: https://belsis.nevsehir.bel.tr/kaykay/web;;0
https://www.instagram.com/p/DRkOD1bAqm8/;Carousel;1060;12;0;2025-11-27 19:03:55;https://scontent.cdninstagram.com/v/t51.82787-15/575682982_18328085959246702_8151806430125155421_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTIwNDIwNjI4MjIwOTQ2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=9_vV-6ieBZgQ7kNvwHrs5p_&_nc_oc=AdkI6BXvzjzaXJC_x8fJQo9K3nwWH-9VGmIiUFiqjmf_J0bERCsr7Uy2p9xexpYR71Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_Afiq8-G3U4ZZly8AAz9CQlmUf-_nvBlWbaVWSYXRtbwR6A&oe=69310DBE;Asfalt çalışmalarımızın 2025 finalini yaptık. Emeği olan tüm çalışma arkadaşlarımıza teşekkür ediyor, hemşehrilerimize güzel günlerde kullanmak nasip olsun diyoruz. 💙;;0
https://www.instagram.com/p/DRhqfQegvbu/;Reels;4944;86;136825;2025-11-26 19:15:05;https://scontent.cdninstagram.com/v/t51.71878-15/584404406_4330965880467357_3824696867318495549_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3NDQ4NDgyODY2MjIwMDA0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=EZnwRH3kOOAQ7kNvwHaGNvW&_nc_oc=AdkbTy1Dg5iCGVLZhYGjhLj4-mTSqZb0wxbxwSoFFGeBVu4BatkC1j4l9MDU_r5FLig&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_AfhcJCWhOiIPtKS557q1KJUeiT2Mf1jifPJcDi7XIcdcVw&oe=69312E90;Mevzuat denince de Ahmet. 😅;;0
https://www.instagram.com/p/DRhNrXpAnSx/;Carousel;1324;9;0;2025-11-26 15:02:51;https://scontent.cdninstagram.com/v/t51.82787-15/586707019_18327966661246702_4341117888714943538_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NDM1ODA5Nzk4NDkzNzI1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=cvJlTEEe4BAQ7kNvwGdON2d&_nc_oc=Adl1aWr7rDD7ken962mxutkVrfVLZhFxgtWjtK6QmwvWWjtKH08KxgHz1zm-T2cr2PI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_AfgzJP1HbiWW9VALe_uddGq2skN3FaImHCs2hDoVC1Clew&oe=69312110;"Hem sahada çalışmaları takip ettik hem de esnafımızla selamlaşıp sohbet ettik.  Tek derdimiz; bu şehri her geçen gün daha iyi bir noktaya taşımak. 💙";;0
https://www.instagram.com/p/DRfE6Q2AoDG/;Carousel;2020;16;0;2025-11-25 19:07:45;https://scontent.cdninstagram.com/v/t51.82787-15/586708632_18327889837246702_5183995575346001527_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3Mzc1NjU5MDE3MjMwNjcwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=KypWLT9t3RAQ7kNvwGOYRL0&_nc_oc=AdmYm4lQCdQR535BVViTwBfbHbLkcdIR9ol2hb1Hwl9dqxj-NvczZWNZwwaq2F-mSIY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_AfjdrzcBuwxOVEEyiabwYva357JWQHSty2GpPCajOnZQBA&oe=69312823;PMT serimini ve çalışma alanımızı yerinde kontrol ettik. Her adımı titizlikle takip ediyoruz.   Bu şehrin yolu da gönlü de güzel olsun diye çalışıyoruz.🫶  📍 Güzelyurt Mahallesi;;0
https://www.instagram.com/p/DRcbXjQAozt/;Reels;12308;246;579634;2025-11-24 18:27:49;https://scontent.cdninstagram.com/v/t51.71878-15/587189095_824584337148297_3692224648638092_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3MzAxMDk1MzQ4Mjk2NDIwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=Ssm65r1Z5pcQ7kNvwEEFGzw&_nc_oc=Adk9YNQDNHfYHKlDe9X5p_WXp-uLOwThaVnoDky5C32aPgzayEXGGfU-8LKeH4Qp_eg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_AfhlkKK_IlCXBcV2R9_REaJoP5JPjvcn4rnfmiyQWZNqNw&oe=69311F1A;Asfalt sadece görünen kısmı…  Onun öncesinde hemşehrilerimiz için konforu ve sağlığı garanti altına alan büyük bir emek var. 💙;;0
https://www.instagram.com/p/DRbnQ21gi59/;Photo;497;5;0;2025-11-24 10:50:59;https://scontent.cdninstagram.com/v/t51.82787-15/587280830_18327750628246702_6252857940709631502_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3Mjc4MTc5NTA1ODI2NTcyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=VUgBHOc9sPQQ7kNvwE20eGX&_nc_oc=AdnQioXfZN-7cyWVTNBA9WQcyJSiJghk1QBc5b30hF9OknB3UbaJfmSTk3U7re5O68c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_Afj1-7uMuuEZKK6cR13XG_UPBZGVbBu2rtTWjALe4KB-iw&oe=6931323C;Başta Başöğretmenimiz Gazi Mustafa Kemal Atatürk olmak üzere tüm öğretmenlerimizin #24Kasım Öğretmenler Günü kutlu olsun!;;0
https://www.instagram.com/p/DRaBmGoAoYU/;Reels;7657;128;185483;2025-11-23 20:03:36;https://scontent.cdninstagram.com/v/t51.71878-15/587298169_1169235145275968_496362011751357834_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc3MjMzNDY1NDM3NjU0Mzc2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=zxadw6xj0HgQ7kNvwG5Yt5u&_nc_oc=AdnGYdSoWm28y0RGz54BtqkP6F1yqbMB02h7OOs_l1634cpk2qmuJAv2yzUaTetxu0c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=iydcPlyomtKz-5fFJuHGkQ&oh=00_Afg-U3J-x8V0IJJ_g5sXvYHDHxI-0rIRbjL4JjGQSkIDnw&oe=69311662;Evet, kokuyu alıyoruz. 🫶 Herkes Ömer’i soruyordu… İşte burada! 😂;;0
