PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpYGGYjDPW/;Reels;335;20;16862;2025-11-29 19:08:08;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/589111889_1628438301866281_2362149683056892880_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NjY1NTczNDgxNDI5MDkwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=VfjctfrKm6wQ7kNvwE6H4Z8&_nc_oc=AdnokVChszbM2l-AMegKViQBjSCaqbZe_xZm_EYpt_0JZuEQRb3TKetyxJhxxiWszKh0MljHSKnjlgo2jpSBI4lG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfhTvfPBWtKcet8nHKvjGartuM-DM5tpLsksPgyzTtf0Fg&oe=69312347;"Malatya’mızdaki trafik sorununa anlık çözümler üretmek zorundayız.  Sahada ekiplerimize talimat verdik; Alternatif güzergâhlarla en kısa sürede trafiğe bir nefes aldıracağız.";34879.0;0
https://www.instagram.com/p/DRkI05_jGki/;Reels;1145;72;90227;2025-11-27 18:19:49;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/588560404_860349389698044_5352320274722361747_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTE4MTIwNzY5NzY0NzkwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=J3tsBt0MAgEQ7kNvwHW0gDR&_nc_oc=Adkg9FdLM-rgvDMiLzDbcdah350PNEVlGO8MgFCvlUlL3Savj3xuRVYW5qsgwr9Jt6pV58jDrxsyyWYvPe_z6m8Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_Afgdv7Esn7T3Me4YZ_-gU6IkLA5qIUnciZu1SjYWAUBf9Q&oe=69310978;Malatya’mızı yeniden inşa etmek için gece gündüz demeden sahadayız.   Raylı sistemi, geniş yolları ve yürüme alanlarıyla Prestij Caddemiz şehrimizin yeni cazibe merkezi olacak.  Çok az kaldı.;;0
https://www.instagram.com/p/DRhzcVJjHcf/;Reels;739;73;83955;2025-11-26 20:33:59;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/587612364_1388127709763941_2202105499750147854_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NDUyNDIwOTkzOTM3OTk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=9wiQey-RwA4Q7kNvwEm0DLA&_nc_oc=AdnzgK-6r5rp4HG1MYvqFPwr3YGg6OGeKJ2RIYp-nyRygtgD23YjI512l6zbVODW_7vZoMkL4fzhhMfWQHUoWAfs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfgijfTC5ivKsFe0THJIQofgAZmXjiT7EUNHjSttFacrFw&oe=69310B60;Malatya’mızı sporun da merkezi yapacağız.  Yüzme havuzu, kapalı spor salonu, atölyeleri ve idari binalarıyla Karagöz Spor Kompleksi’ni 2026 sonunda bitirmeyi hedefliyoruz.  Şimdiden hayırlı olsun.;;0
https://www.instagram.com/p/DRfd238DCwK/;Reels;536;29;33384;2025-11-25 22:56:43;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/584393322_1567250390983478_8590013817583587525_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3Mzg2NjMyNzAyMzU2MTczOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=TCUqpVCTK7YQ7kNvwEuyal_&_nc_oc=AdmyP7yptpeF9QVgvQQamAH_UNcgABggdywd-4xnayd5UzRc5utuMmDsPccBimeghaWMIMCLrAKTFneRgGadOK-P&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_Afhf1tO3eNUYuc-CguhxBsJN_xVZAEGhsIXPR_fy8Z5xew&oe=693111E9;Gençlerle omuz omuza verdik, geleceğimize en güzel mirası hep birlikte ektik.   Biz bu şehri çok seviyoruz.🌱;;0
https://www.instagram.com/p/DReqqdcjAI3/;Reels;1171;56;71268;2025-11-25 15:19:30;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/587541747_734095199085417_8728651048746717032_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3MzY0MTE3MzU3MTk5NDE2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=L-QluBkwEHQQ7kNvwGv2u4j&_nc_oc=AdnpE_8efTiRKwSFN6KBNEcXp6-QZW4ODUY1Kgxytx9Y_KTyRXsgrX5o_7AbN2-DE3XKoN6KD14NPqm0YEVMUuYX&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfifSvB4s3d7yBxIQsoN_VFrEsok7cxEdrVW97E7QfGxjg&oe=6931326C;Hem çölyak hastalarımız hem de sağlıklı beslenmek isteyenler için Glütensiz Kafemiz artık hizmetinizde.  Tüm ürünler maliyetine sunulacak, ihtiyaç sahibi çölyak hastalarımıza da ekmek ücretsiz verilecek.  Malatya’mıza hayırlı olsun.;;0
https://www.instagram.com/p/DRcJH-WjI1Q/;Reels;317;7;22852;2025-11-24 15:50:17;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/588789881_1658689048434618_3919861003996893824_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MjkzMDcxODIzNDg3MzE2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=fJI6U1WYoyoQ7kNvwHxBUag&_nc_oc=AdmQOSZVUVnWXYwZ_zzHqcQpNyCgtnrRrzm1hNJPVZXcUAxO8VG5WXtvrOzot3j_3cwLowBHgSSO_KjgV2bxopKu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfiNVuH9G9wbH8Zxnz8LnWDsL4REGGfdbRtBl3IFotAeSg&oe=693121B4;Geçen yıl yaşadığımız kar afetini unutmadan, bu kışa tam kadro hazırlandık.  Malatya’mızın dört bir yanında, 269 araç ve 1117 personelle ekiplerimiz görev başında.  Herhangi bir olumsuzluk durumunda anında müdahale edeceğiz.;;0
https://www.instagram.com/p/DRZlhXYDOgR/;Reels;394;11;21754;2025-11-23 15:57:44;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/582616293_1179554306857352_269527956212400789_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MjIxMTE4MzQ2MjcwNTE2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=3LKEwpe94MoQ7kNvwHuT91L&_nc_oc=Adn7IuYmgG_T6H0sY4bMORQSyD_c6qK0Ho4_Ke805lxNjBd4FtkahCcygafjAlC2GIi4OeldNA_qE4IMc8o-Faho&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfhBVWVmv1lPkWToamqiwjagHz4gelVU5K07d_VWeG_ZeQ&oe=6931153C;Erenler Cemevi’mizde Abdal Musa Lokması’nda hemşehrilerimizle bir araya geldik.   Farklılıklarımız zenginliğimizdir, ayrıştırmak isteyenlere prim vermeyeceğiz.;;0
https://www.instagram.com/p/DRXfn2_jD9p/;Reels;331;18;16864;2025-11-22 20:28:38;https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/584448811_2287603904994453_828374703193935613_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3MTYyMjI5MTQ5NTczMTA0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=1P4vXUgHbekQ7kNvwExnq3B&_nc_oc=AdmufSZ3eJsif8C-x1mGafG5aoany2JXq6Nsq4jUcMtsmsLKY7VQ57v-GF4Mvyr7iBehPTDhJ6YBpsPd8L4FVktZ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_Afja4wdtjfmlt7kb_WuLvJtzOblRORFNDEsLlcKXdl9_pg&oe=6931169C;Her vatandaşımızın sosyal hayata katılımını güçlendirmek ve yaşam kalitelerini yükseltmek en büyük gayretimiz.   Bu yaşam merkezimiz engelsiz şehir hedefimizin önemli bir adımı, şimdiden hayırlı olsun.;;0
https://www.instagram.com/p/DRW5qIyjGbI/;Reels;1008;57;71791;2025-11-22 14:55:47;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/582956485_714450028363976_3055833683497162090_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MTQ1NTMyMjI3NjUyMTY3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=srmWzeUDWxQQ7kNvwEnEYzH&_nc_oc=Adk6QZdgsth_JbxExT2KOLCkqqJC_qEoJIC6Jr2NjjtQ_Kl23NahbOC0L_AoHWSWZZM1-hHBmP9tuqyaezC7obiz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_AfiUS_PJ86DUXRQMyZ2tR4SjShUeFCg4MGbfyLgcAvnUUw&oe=6931108F;"Malatya’mızı yeniden inşa ederken ibadethanelerimizi de ayağa kaldırıyoruz.  Final aşamasındayız; şehrimiz eskisinden çok daha güzel olacak.";;0
https://www.instagram.com/p/DRUhoqqjCWs/;Reels;510;12;24888;2025-11-21 16:47:35;https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/583504940_2365304787234968_8556778935673970852_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MDc4NjcxODE0MDg2ODAxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=_v_uq_XNYoEQ7kNvwENK9o2&_nc_oc=Admwbd_CYAwYVlSScMKw5Vt9kP-XXTLgjXXzc6NiiduftqXC6rFpwqThJLuM5vrfOTXdVVudTg7vxU-Ww9K-tpll&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_gid=2aApsHj7u7RKrdGtnD5OpQ&oh=00_Afg1U2MkEPWIXQ8suu66EDaaoIwR548kibi8G-sfB3IKWQ&oe=69311E3F;Bizim birlik ve beraberliğimizle aşamayacağımız hiçbir zorluk yok.   Şu anki tüm çabamız, şehrimize kalıcı hizmetler sunmak için.   Altyapı çalışmalarımız biter bitmez, yollarımızı da hızla tamamlayacağız, biraz daha sabır.;;0
