PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpr39eiLCy/;Reels;0;0;0;2025-11-29 22:01:54;https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/588751991_1157081602801462_4925569484682225669_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3Njc0MjcyNDEwODU5NTM3ODgzNTU2NTExNTg1MzYzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHg4MDAuc2RyLkMzIn0%3D&_nc_ohc=NtcYtebWhIYQ7kNvwEB169h&_nc_oc=AdkMOdSqq_3oCAmcKGGZY0wsAOupWjw4Hr5ADTomF_CaZmlxw-RiLVQ8Q5G5RRtO2Q8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfhdKVAl-926m03iS9ZeTV6CD7a_moPLqK2_LOB14h-1iw&oe=693105A2;"Genel Başkanımız Sayın Özgür Özel'in paylaşımından:  ""Ben size mücadele vadediyorum!""";24638.0;0
https://www.instagram.com/p/DRpRfn-iNC_/;Photo;344;4;0;2025-11-29 18:10:07;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/586700529_18204391003317650_5810123822530870375_n.webp?_nc_cat=105&ig_cache_key=Mzc3NjYyNjcwMjU0NjQyMzk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=IXdORDEcSKkQ7kNvwEoiHDp&_nc_oc=AdnTAV_bBAIsABcm_6twQXA1nttW3Wfeyp2p9nIfFwjGM9L66bXTRRkpaXH1FdKZV5g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfgHxy-iI1JZV8niWe_SF7eROm4xiPI8hwNyqHaWoX3ZvA&oe=69311A10;39.Olağan Genel Kurultay'da geçerli oyların tamamını alarak 4. kez seçilen Genel Başkanımız Sayın Özgür Özel'i kutluyorum.  @eczozgurozel  #SelahattinEkicioğlu #KırşehirBelediyeBaşkanı #ÖzgürÖzel #CHPGenelBaşkanı #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRpIUhkCC09/;Photo;364;1;0;2025-11-29 16:49:58;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/587547441_18204381973317650_8706735405962779492_n.webp?_nc_cat=103&ig_cache_key=Mzc3NjU4NjM1NzMyNjQ5MDk0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=awX3ziBXYQ0Q7kNvwFvm4B7&_nc_oc=Adm6SC4loChaltFv0ERSbb_dwWlFf6KbKU8_6L6o4w7W-EbYZ1LdWJ9e9QG7T1tG9Ik&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfjG8d2I4e_lVD-9C6ERDthUhuFJwGMy16PtHCDVNgXlSA&oe=6931161E;Cumhuriyet Halk Partisi 39. Olağan Kurultayı'nda genel başkanlık seçimi için oyumuzu kullandık. Partimize ve Türkiye'ye hayırlı olsun.  Millet egemenliğinin ve umudun partisi, Türkiye’nin birincisi partisi Cumhuriyet Halk Partisi'ni, Genel Başkanımız Sayın Özgür Özel'in liderliğinde yerelde olduğu gibi genelde de iktidara hep birlikte taşıyacağız.  @eczozgurozel  #SelahattinEkicioğlu #KırşehirBelediyeBaşkanı #ÖzgürÖzel #CHPGenelBaşkanı #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRpBbpRiLiR/;Carousel;153;1;0;2025-11-29 15:49:46;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/586678100_18204376003317650_7288288776468916676_n.webp?_nc_cat=109&ig_cache_key=Mzc3NjU1NjA0NTM1OTk0ODMzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=LHncw6aksl0Q7kNvwF0GOYO&_nc_oc=Adnv4YCfSVxJT5LhYYoQYttpFjUUc3yYfcvRi7K-pX1UGyN9YoigBykHsA6gPBKO6h4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfgXCt1vCeOYjIgJC9dT05PvRJE9wdJweBSrvgHREiuUQg&oe=6930FC62;"Genel Başkanımız Sayın Özgür Özel'in paylaşımından:  ""Yol arkadaşlarım;   Ben size ilk seçimlere kadar güzel günler vadetmiyorum. Ben size iktidara gül bahçesinden geçerek gitmeyi vadetmiyorum.  Ben size acıya katlanmayı ama teslim olmamayı vadediyorum. Ben size mücadele vadediyorum! Ben size onur, haysiyet ve cesaret vadediyorum.  Düşmesin bizimle yola, evinde ağlayanların gözyaşlarını boynunda ağır bir zincir gibi taşıyanlar. Bıraksın peşimizi, kendi yüreğinin kabuğunda yaşayanlar.  Akın var, güneşe akın. Güneşi zaptedeceğiz, Güneşin zaptı yakın!  Bu kurultay CHP’nin muhalefetteki son kurultayıdır.""  #ŞimdiİktidarZamanı";;0
https://www.instagram.com/p/DRl2shQiMEL/;Photo;504;2;0;2025-11-28 10:18:14;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/586760815_18204254332317650_4307504161324725368_n.webp?_nc_cat=110&ig_cache_key=Mzc3NTY2NDQxNjQ5OTQ4Mjg5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=GzihO3sL8k4Q7kNvwF0ZirB&_nc_oc=AdkbAeCkN3bzrwnerLlz5gki2aDIYgoe6yZcuWSSm5Nj5F6_4fa0YUdkafOr7KB3VNE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfhSrN1xU43TQ3uYil_4F1HMKNgc5YCMflIZ6h2FhdaD9g&oe=69311B33;ŞİMDİ İKTİDAR ZAMANI.  YERELDE İKTİDAR, SIRA GENELDE.  Cumhuriyet Halk Partisi 39. Olağan Kurultayı için Ankara'dayız.  Partimizi iktidara götürecek kadroların belirleneceği Kurultayımızın Türkiye'ye hayırlı olmasını diliyorum.  @eczozgurozel  #SelahattinEkicioğlu #KırşehirBelediyeBaşkanı #ÖzgürÖzel #CHP #CHPGenelBaşkanı #ŞimdiİktidarZamanı;;0
https://www.instagram.com/p/DRlt9dqCB65/;Photo;69;0;0;2025-11-28 09:01:54;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/586866794_18204250567317650_9105975523849966557_n.webp?_nc_cat=103&ig_cache_key=Mzc3NTYyNTk5ODQ0NDc5NzYyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=Mjco0dnXmm4Q7kNvwGUpouV&_nc_oc=AdkK9Ur7OEzUYYzssRcQcmXwgboWbqD8K4lPdOMf_Qr-RBuCaed5lXQ6uIMHQetNEsk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_Afh0rGZ2vcgS16MyCvQKq2gnC_L2jjdrk8LQlwKPcjR7xQ&oe=6930FCBF;🎭KırşehirBelediyesi 3.Tiyatro Festivali  #KırşehirBelediyesi #GiresunBelediyesi #Tiyatro #TiyatroDeğiştirir #TiyatroFestivali #NeşetErtaşKültürSanatMerkezi;;0
https://www.instagram.com/p/DRhIlgNCAvF/;Reels;256;5;9617;2025-11-26 14:18:43;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/590413029_1637528204099329_6289703768668113934_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NDMzNTcyNDI4NDI4Mzg0NTEwOTk4ODA5OTIwNjc4MzQ%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=bXy5gm7A8MUQ7kNvwHXCQNl&_nc_oc=AdloKR9eRL8BnNgNrUM3oeACunbNbfVbUu7ZPgc-EOV8K1Xa3AKfDMQs1ALJODwGQxk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfhElBTS0FvD6O8gRvrkM2u_-z0RBrbcY2tF6rCo35YKgA&oe=6931213B;HER ŞEY KIRŞEHİR İÇİN.  #SelahattinEkicioğlu #KırşehirBelediyeBaşkanı #KırşehirBelediyesi #ParkVeBahçelerMüdürlüğü;;0
https://www.instagram.com/p/DRgvVAIiNFh/;Photo;63;0;0;2025-11-26 10:37:39;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/586687751_18204076558317650_1646269229191120941_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NDIyNDYzOTE3NDY5MzIxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=-XW5Z5ImhXYQ7kNvwFroh06&_nc_oc=AdlZR6TPM3DpsBiZt2FspIAsGaaDpZ4FNhfyyzH6KyWTHGwPwabTq5mroWYilFDeX9A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_Afj8YDW4iLRLZhAVA9FaPHhEJzCzLRg2hOS5z7S162wgJg&oe=69311C85;#KırşehirBelediyesi #UşakBelediyesi #Tiyatro #TiyatroDeğiştirir #TiyatroFestivali #NeşetErtaşKültürSanatMerkezi;;0
https://www.instagram.com/p/DRelnTviB88/;Carousel;268;0;0;2025-11-25 14:34:17;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/586697451_18203994868317650_1223105839439221167_n.webp?_nc_cat=103&ig_cache_key=Mzc3MzYxODk1MDMzNzIyNTk1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4OTU5LnNkci5DMyJ9&_nc_ohc=qjmpXY5maQcQ7kNvwEUq2mU&_nc_oc=Adknod1pY4gGJjJC8bLq69LSQlei7-8BlCtb0f8XTBBBnZhGI1WvgMQYFMHRQSi2oto&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfgBG0ZliQMKTDWf-NJqivi6Jg6lbZVC8-BLBX4Q6fRHBQ&oe=69310DAB;Cumhuyriyet Halk Partisi İl Başkanımız Baran Genç ve Merkez İlçe Başkanımız Gürkan Yağmur ile birlikte, 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü nedeniyle, İl Kadın Kolları Başkanlığımız tarafından gerçekleştirilen basın açıklamasına katıldık.  #SelahattinEkicioğlu #KırşehirBelediyeBaşkanı #HatiecKoçak #CHPKırşehirKadınKolları #KadınaYönelikŞiddeteKarşıUluslararasıMücadeleGünü #25Kasım #İstanbulSözleşmesiYaşatır;;0
https://www.instagram.com/p/DRd_elvCKet/;Photo;138;0;0;2025-11-25 09:01:03;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/587377913_18203974561317650_7187252092335458810_n.webp?_nc_cat=101&ig_cache_key=Mzc3MzQ1MTI0MTgzODM4OTE2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=5Og_Sn-3luIQ7kNvwG_3fP0&_nc_oc=AdnuSeP1mnenI8SZJj_S3QRC6KjRwLHvVUvyq3cjPN89ArRdtbKSRt9f8xA13wwLH5k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=6ViVzrfYwNQYPx7F8QaHRw&oh=00_AfihWZQqebilIXipbZVI9IKIo3f_SNYa3QqmiLhp_v-3cg&oe=6931262F;#KadınaYönelikŞiddeteKarşıMücadele;;0
