PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpQZJbDHMR/;Carousel;1552;29;0;2025-11-29 18:00:30;https://scontent.cdninstagram.com/v/t51.82787-15/588731822_18552075925008371_6372559662897095649_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=1&ig_cache_key=Mzc3NjYyMTg1MTQwNjI0NDE4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4NzIwLnNkci5DMyJ9&_nc_ohc=pY7HjzcSNQAQ7kNvwHvtPnJ&_nc_oc=AdnQzYpV5YvwVpCJmHBgtsoRy6go_6ovCCzOx5Q-1VWCswcKWBFcXdsqFqh26id7N2U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfiaTuBOspedSZgAu0h-qegFE2G5tRmeBlTEv1xpG-IftQ&oe=69313052;"1,5 ay önce müjdelemiştik; Kartepe tramvayında ilk kepçe vuruldu.  10 Ekim’de Alikahya Stadyum Tramvay Hattı test sürüşünde sözünü verdiğimiz Kartepe tramvayında çalışmalara başladık. Vatan Caddesi üzerinde kazı ekiplerimiz sahada; ilk etapta 1.4 km’lik hat ve 2 durak tamamlanacak.  Nesibe Aydın Okulları bölgesine uzanan bu etap bittiğinde tramvay ağımız 18.9 km’ye çıkacak ve hat Kartepe Kent Meydanı’na doğru ilerlemeye devam edecek.  Kocaeli’yi demir ağlarla örmeye kararlıyız. 🚋";212480.0;0
https://www.instagram.com/p/DRpOt5QDA6K/;Photo;454;0;0;2025-11-29 17:45:51;https://scontent.cdninstagram.com/v/t51.82787-15/589347301_18552073462008371_914980233228179746_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjYxNDQ4OTAyNjk4OTcwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMiJ9&_nc_ohc=RjDuUG6dTX0Q7kNvwGBs3xk&_nc_oc=AdkJ3TqOtkzzcU-xbXxijItMKG3McnsvnK-GnV9JIWS76FED6EI_fQ4-BuzpEfQQWIs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfiCEm9Sdgh912w4RSsmI8bkF_rBFmvm7xatsKszHwpnAg&oe=69311DA5;Gebze’de trafik güvenliğini ve akıcılığını artıracak önemli bir düzenlemeyi hayata geçirdik. Eski Bağdat Caddesi’ni Hükümet Caddesi’ne bağlayarak tek şerit düzenine geçtik. Yeni dolaşım planıyla birlikte bölgede trafik akışı artık daha düzenli, daha kontrollü ve daha güvenli şekilde ilerliyor.;;0
https://www.instagram.com/p/DRnLVr4DKec/;Reels;6270;80;180554;2025-11-28 22:38:38;https://scontent.cdninstagram.com/v/t51.71878-15/589085314_2195613754296637_5297446934671485037_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NjAzNjY4MTMwNTMzNTcwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=ug1rpGhWSzsQ7kNvwHTFoM_&_nc_oc=Adkp77zn-mQRQvbwV9yQMtPNF7rxStqBgeOdhoFMG4fWI1uvhKOuej6HlSFaKizIgYY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfiZY10T34pcn6bsjmtuZZezUzuLE2vnW3FcBsp6dsR4nQ&oe=6930FE10;🌟 “Siuuuuu!” 💚🖤;;0
https://www.instagram.com/p/DRnG_y_jImo/;Photo;2192;110;0;2025-11-28 21:59:55;https://scontent.cdninstagram.com/v/t51.82787-15/589128894_18551952031008371_892939519787338993_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NjAxNzU4NDkzMjgxNzMyMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=_KU2mYI2PdEQ7kNvwEBcvFJ&_nc_oc=AdnceHXuYUgfFxPiUorlrG-20XkO1ijgclhYcKqDb8W2-z2-sYE8vnGMZSBRejcpsWw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfgiXA1e3qG0Q02szOHbTtr3uhU9-oQsx5e2VvVYYm0ARg&oe=693117C2;Evet arkadaşlar hep birlikte yeşilllll 💚;;0
https://www.instagram.com/p/DRmzyKmjANZ/;Reels;3109;19;92415;2025-11-28 19:27:03;https://scontent.cdninstagram.com/v/t51.71878-15/586678238_841619705255333_2429911169281077381_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NTkzMzA4NTMyNjc3MTAzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ukpXWDXGScsQ7kNvwHCDqzN&_nc_oc=Adkp-tVw1Pm7rCz4zLTQ62THYUfNIFnp8faqBpVmfZ29fLvO8WtjyqXnDETlc99RmQk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_Afh6sKU0y8qEnAPBETpqHnvQrBXrdD8iZt7N_VKAHBEKvg&oe=69311540;Kocaelispor’umuza başarılar diliyorum. 🖤💚  Kuruçeşme–Stadyum;;0
https://www.instagram.com/p/DRmwn-tjC9U/;Carousel;1017;5;0;2025-11-28 18:44:25;https://scontent.cdninstagram.com/v/t51.82787-15/587687659_18551927539008371_76794570773528525_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NTkxOTE4MzM2NDkxMTM5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTMzNS5zZHIuQzMifQ%3D%3D&_nc_ohc=FBNzsOy-RpgQ7kNvwHEvBfC&_nc_oc=AdnuyA65Mu5vFbDQPp4EP_i17stpTTPhdwVfmuCPoM6qoZ973oUL-6raK_C2mrEsioc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfhbfV7DHqdSuOV39SaXx-CT1FbiUvxnoV0AEBD5mtLa6Q&oe=69310C0B;Gençlik ve Spor Bakanımız Sayın Osman Aşkın Bak’la birlikte, İzmit Emre Yazgan Judo Salonu’nda kampta olan judo millî takımımızı ziyaret ettik. Judo Millî takımımıza başarılar diliyorum.🇹🇷;;0
https://www.instagram.com/p/DRmtuFWjOEn/;Reels;1232;15;54580;2025-11-28 18:19:30;https://scontent.cdninstagram.com/v/t51.71878-15/588097838_1352810406057075_871367228126532094_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTkwNjQxNjUzMjcwOTY3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=YtzxeGJcBmAQ7kNvwFHpsJv&_nc_oc=Adlj-hyotgpOGDNSyiroh9XM44-R9pFtcQidNRQdpcYj9j-t9GyjlxVjttk2RoxonXI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_Afgy3Cy6CvVY5EUFvIufKoHmHDk79J5rDrFnXldVb09-gw&oe=6930FE05;"Şehri imar ederken nesilleri ihya etmeyi ihmal ederseniz, gün gelir ihya etmediğiniz nesiller inşa ettiğiniz şehirleri imha eder; işte bu yüzden en büyük yatırımımız gençlere.  📍Körfez Kapalı Spor Salonu Temel Atma Töreni";;0
https://www.instagram.com/p/DRmh8PgDMz2/;Carousel;987;1;0;2025-11-28 16:36:07;https://scontent.cdninstagram.com/v/t51.82787-15/588806137_18551910637008371_2398986660050217730_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTg1NDYwMzEzNzczNjY5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzMDV4MTA2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=kmOB8ad-nAkQ7kNvwHQv-ZA&_nc_oc=AdlNpyK4nzQFpblQ-8L-F8cyIcLcQ2vjqKbZJBgwq9ARusgHd5b6Y97t0ioYEMzxtwE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfgDJTrySdgQoZjrJ-hy8Y8GtY9mM1qwiR6vV-PSyhBXqQ&oe=69310DDD;"İzmit Yeşilova’da hayata geçirdiğimiz Hasan Doğan Spor Kompleksi’ni Gençlik ve Spor Bakanımız Sayın Osman Aşkın Bak ile birlikte bir kez daha inceledik; Sporcu Gençlik Eğitim Merkezi, Hasan Doğan Bilgievi ve antrenman alanlarıyla 7 kulübe ve 1125 sporcuya hizmet veren bu tesis gençlerimizin hem spor hem eğitim yolculuğuna güçlü katkı sunacak.   #SporunBaşkentiKocaeli";;0
https://www.instagram.com/p/DRmZ1sdDEEy/;Carousel;842;6;0;2025-11-28 15:25:19;https://scontent.cdninstagram.com/v/t51.82787-15/587779524_18551902153008371_5904609373930951457_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTgxODk2NDA3Nzk1MDI0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=HsnsGUBU7xoQ7kNvwGhzSVW&_nc_oc=AdmKwaedWA99Hh_epOoeJS43BpZzg3bufDQYfpCM3q3iEN4a-QPowaVq46vP284Bamo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_AfiwnDwmNPcZSjqaiB05atTy0KYC2v6M4NiBDGkRCetgng&oe=69311FBC;"Gençlik ve Spor Bakanımız Sayın Osman Aşkın Bak’ın katılımlarıyla, Körfez Kapalı Spor Salonu Projesi’nin temelini attık. Körfez Tütünçiftlik Güney Mahallesi’nde 8 bin metrekarelik alanda hayat bulacak bu modern spor kompleksi; gençlerimizin enerjisini doğru alanlara yönlendirecek, spor kulüplerimizin imkanlarını güçlendirecek ve Körfez’in sosyal hayatına yeni bir ivme kazandıracak.  Şimdiden hayırlı uğurlu olsun.";;0
https://www.instagram.com/p/DRjf1IuDD7e/;Reels;1339;20;37178;2025-11-27 12:20:31;https://scontent.cdninstagram.com/v/t51.71878-15/590961123_896708599684604_4805312600727512350_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3NTAwMDkwMzYwMzIwNzkwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=V3_Oel-z4CEQ7kNvwEvw0tG&_nc_oc=Adk1C3J1uj54tTqge01w2zH0I_z6cKKnn8wsnTV2Q6IZTOFuvShaEH80w1CdF8sywWs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=08f-Dsr-uaUq3bgsL4gwQA&oh=00_Afj7Je8F1EH8WuvcZ9Sx2RPH1r2ga6ab6S_izS0ZPdo8Cg&oe=69310767;Yarınların Türkiye’sine bir yatırım daha yaptık. Hasan Doğan Bilgievi ve Sporcu Gençlik Eğitim Merkezi’ni gençlerimizin hizmetine sunduk. Geleceğin sporcuları ve başarılı gençleri burada yetişecek.;;0
