PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpUu0JjeUd/;Photo;257;2;0;2025-11-29 18:38:25;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589001174_18396685774135601_8876523905105393483_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjY0MDk0MDU0Nzg5MjUwOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=9PnARHj7ICsQ7kNvwH49UeW&_nc_oc=AdmVv1Goy41NqIVbpdsfzHrGzKDfmXytsWz_QIaV2_u_iVX6SDFw7SLvsbze4dCKCSM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_Afjp2_2G3wyb1FhSlWRDWNPm6rRD5UINC4LHI7JQGZ7HOA&oe=6931206C;Cumhuriyet Halk Partimizin 39’uncu Olağan Kurultayı’nda tüm geçerli oyların tamamını alarak yeniden Genel Başkan seçilen Sayın Özgür Özel’i yürekten kutluyorum. Şimdi İktidar Zamanı;24840.0;0
https://www.instagram.com/p/DRpOM9nDRvj/;Photo;308;8;0;2025-11-29 17:41:22;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588397747_18396680590135601_8728245459672531000_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3NjYxMjIyNTk2NTE2OTYzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNDV4MTI5MS5zZHIuQzMifQ%3D%3D&_nc_ohc=N16iv0trrYcQ7kNvwHFQ2BL&_nc_oc=AdmOrUJI88Peot6YLNRX0zSLKZccvbn8IQKcX1yMS3HuhOMrA33yHbAFa0tDiBKyvKg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfixQcZpNGQfjoUV3AvysXS45pEkufe3fYjVZLBg39Ulvg&oe=69312F4B;"Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nda demokratik irademizi ortaya koyarak oyumuzu kullandık. Bugün, birlik ve kararlılıkla çıktığımız bu yolda artık daha güçlü bir şekilde söyleme zamanı; Şimdi iktidar zamanı!";;0
https://www.instagram.com/p/DRova54DZlK/;Carousel;572;15;0;2025-11-29 13:12:23;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589273812_18396657403135601_7279509571829167918_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjQ3NjgzNDkwNTgyNDM1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTI3NC5oZHIuQzMifQ%3D%3D&_nc_ohc=F3rTPOJZj-0Q7kNvwG6JNyr&_nc_oc=AdmAJUq86m7304yKaT3EykKxxZPN5tHIbXiusibgdSdIhnbZ2jSFu0-sojdrH_rKMtw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_Afi1_HWxvfDBt-bkc_4rM8PXDj0LLZjo6GuDsMJRnEQVJQ&oe=6931323F;“Şimdi iktidar olma zamanı” diyerek çıktığımız yolda, Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nın ikinci günündeyiz. Demokrasiye, değişime ve halkımızın umuduna güç katmak için bir aradayız. Birlikte büyüyor, birlikte güçleniyoruz. Bugün burada sadece bir kurultaya değil, Türkiye’nin yarınlarına imza atıyoruz.;;0
https://www.instagram.com/p/DRolOuXDbPr/;Reels;309;19;20324;2025-11-29 11:45:11;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589053464_18156882001410728_8511856413703760989_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NjQzMjAyNzEyMjY0Mzk0NzE4MTU2ODgxOTk1NDEwNzI4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=6nsXeFFIagsQ7kNvwEp4mhQ&_nc_oc=AdkULMZI3jd1jFSlC2Y6lAs-C8iuuI8fo5X9R5pKYMtXG5jo2VUUxT_m9mUh7b0A4Qo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfjYVjWKVsLLrtyTKySleTCaNUKnY34wEAFjgiwtPL_H3g&oe=693134A2;2026 yılında suya zam yok!💧  Şehrimize ve tüm vatandaşlarımıza hayırlı olmasını diliyoruz.;;0
https://www.instagram.com/p/DRmJ0RijbKd/;Reels;1361;109;75364;2025-11-28 13:06:25;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587687577_18156796318410728_7475181741431911125_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc0ODUxMjI2MTQ1MjQ0NTE4MTU2Nzk2MzEyNDEwNzI4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=mmBy2HrPWQwQ7kNvwHU1qTB&_nc_oc=AdmKDnF1N1WFq741NKjtb3sEif5RgiZ2YNg3Qo3t0QiXgvs4-CU7zNUC1ZmxUxWCpPQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfifEYs9k2G4wv2_sxleNTJvRCU30Gyrnkgp7J1ZDCga0w&oe=69311839;Zabıta Müdürlüğümüze bağlı ekipler, kent genelinde faaliyet gösteren lokanta ve restoran işletmelerine yönelik işyeri ruhsatı, üretimde kullanılan hijyen koşulları ve genel temizlik konularında kapsamlı denetimler gerçekleştirdi.  Yapılan denetimlerde mevzuata aykırı durum tespit edilen işletmelere gerekli uyarılar yapılmış, eksikliklerin giderilmesi için ilgili işlemler başlatılmıştır.  Vatandaşlarımızın güvenli, sağlıklı ve huzurlu bir ortamda hizmet alabilmeleri için denetimlerimiz aralıksız devam edecektir.;;0
https://www.instagram.com/p/DRmBRm7DbAD/;Photo;157;2;0;2025-11-28 11:50:41;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589062753_18396548317135601_5829501060496075935_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTcxMDk0NTY2NzI5NzI4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5oZHIuQzMifQ%3D%3D&_nc_ohc=fBQlPlBoOWUQ7kNvwHYiymp&_nc_oc=AdmwP0LwPJBykhaHajPeARCTAm66LW4At6JlUqRYP2YpRqyOGMPqor3NyxnK_Rtg9Kc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_Afj1_R74VR1CjuaiZw56xPpcZ1r0br-q-HSDw_Vtc_3xxQ&oe=69312DF6;Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nın ilk gününde, Zonguldaklı üst kurul delegelerimizle birlikte yerimizi aldık.  Demokrasiye, değişime ve güçlü bir Türkiye hedefine olan inancımızla katıldığımız bu büyük buluşmanın partimize ve ülkemize hayırlı olmasını diliyorum.  Cumhuriyet Halk Partisi, umutla ve kararlılıkla yoluna devam ediyor.;;0
https://www.instagram.com/p/DRj42kUDUm7/;Reels;825;63;49412;2025-11-27 16:00:14;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/588963347_18156717253410728_3408820298724560254_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTExMDk1MzExNDA5NDAxMTE4MTU2NzE3MjUwNDEwNzI4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=jWX9hhBJDI4Q7kNvwGCQWPL&_nc_oc=AdnhB6YOHPhDlT--E92XLCO3XfyA4SC6atLc0dPHjTjqhmhA4DWq2ZqIsVxA2AG7d48&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfgaOVt1qVO4FlQylF2db2hAxaOZQ9n3SP9cR43YEiylFg&oe=693105E8;"Bir yakınımızın kaybı, hayatın en ağır sınavlarından biridir. Biz Zonguldak Belediyesi olarak, bu acılı günlerde ailelerimizin yanında olmayı insani bir görev kabul ediyoruz.  18 Kasım 2025’te Belediye Meclisimizde alınan kararla, belediyemize ait tüm mezarlıklarda defin ücreti tamamen kaldırılmıştır.  Ayrıca; • 50 kişilik taziye yemeği, • Masa, sandalye ve çadır kurulumu, • Çay kazanı, çay ve şeker desteği ile cenaze sonrası ihtiyaç duyulan tüm temel destekleri sunmaya devam ediyoruz.  Acınızı paylaşıyoruz… İhtiyaç duyduğunuz her anda yanınızdayız.";;0
https://www.instagram.com/p/DRjWmlpjVEy/;Carousel;268;3;0;2025-11-27 10:59:19;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/589300924_18156698200410728_6055588625017760462_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NDk2MDMxMzk0Nzc2NzEwMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=CApoNpOpwTgQ7kNvwHpsIxc&_nc_oc=AdnHhBvDPUOs2qJi7v6wVvPU9UqoctedCHr1Uo6SYiGbXGk7fVo9NKQI-tMMzI9VRv8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_Afghdak6gYhs9TMeLxUYQIJAatxH2YP3v9-v2YwwVi_5MQ&oe=693131E9;TÜM YEREL-SEN İLE ZONGULDAK BELEDİYESİ ARASINDA TOPLU İŞ SÖZLEŞMESİ İMZALANDI  Belediyemiz ile Tüm Yerel Yönetim Çalışanları Sendikası (Tüm Yerel-Sen) arasında 2025–2026 dönemini kapsayan toplu iş sözleşmesi imza altına alındı. 211 memuru kapsayan sözleşme, çalışanların sosyal ve ekonomik haklarında önemli iyileştirmeler içeriyor.  İmza töreninde, Tüm Yerel-Sen iş yeri temsilcisi Engin Deniz emek ve emekçiden yana duruşu ve destekleri için Belediye Başkanımız Tahsin Erdem’e teşekkürlerini iletti.  Başkanımız Tahsin Erdem, imza altına alınan sözleşmenin hayırlı olması temennisinde bulunarak çalışanlarımızın haklarını gözeten, sürdürülebilir bir çalışma ortamı oluşturma yönündeki kararlılıklarını sürdürmeye devam edeceklerini ifade etti.;;0
https://www.instagram.com/p/DRhckt6jW1V/;Reels;312;2;20443;2025-11-26 17:13:35;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587605382_18156639340410728_6018674189135116908_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NDQyMzYzMTIxNzM4ODg4NTE4MTU2NjM5MzM3NDEwNzI4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=JjE-zTtRC_sQ7kNvwEAeVBX&_nc_oc=AdlfSI8kA9GbYoAKU5lY21OaAaJoVF7tGeEBEoVRqKG0P-S_vi18MoQFRWCtgWZ-7SI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfgaowoZ78DCI7FLC1rs9UhhlTLa1pkmF6UbMu0pZcLbOA&oe=69312784;Gençlerimizin ürettiği her fikir, sürdürülebilir ve daha yaşanabilir bir Zonguldak hedefimize katkı sunuyor. ♻️🌍   İyi ki varsınız gençler👋;;0
https://www.instagram.com/p/DRhD3e_DT4t/;Carousel;285;3;0;2025-11-26 13:37:07;https://scontent-man2-1.cdninstagram.com/v/t51.82787-15/587576033_18156623068410728_4518950018810803846_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NDMxNDk1MDkyODcxOTY4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=5ixigjrsImIQ7kNvwGPb08D&_nc_oc=AdkX-03dp3rzI1PbKeypCdUpvOonaH8Lt1pEjtqWxhBl4P-RBFeDzhrEPk79VET49HI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_gid=u3u2HzZzoLwu2VlBACtnhA&oh=00_AfgRAFKdjTbaNWBt9sZEJX7ej-MU_i-xEviiwGN4APHxqg&oe=69312ADD;"Belediyemiz tarafından düzenlenen ‘Fikrini Atma, Dönüştür’ adlı yarışmanın ödülleri sahiplerini buldu.  Toplam 17 katılımcının sunduğu 21 proje, jüri tarafından titizlikle değerlendirilerek birincilik, ikincilik, üçüncülük ve jüri özel ödülü kategorilerinde dereceye layık görüldü.  Ödüller; Başkanımız Tahsin Erdem, Başkan Yardımcısı Hatice Alın, Belediye Meclis Üyesi Emine Berran Şeker Aydan ve İklim Değişikliği ve Sıfır Atık Müdürü Hasan Latif Çöme tarafından takdim edildi.  Başkanımız Tahsin Erdem törende yaptığı konuşmada, ‘Gençlerimizin ürettiği her fikir, sürdürülebilir ve daha yaşanabilir bir Zonguldak hedefimize katkı sunuyor. Bu yarışma, kentimizde dönüşümü birlikte başarmanın en güzel örneklerinden biridir. Emeği geçen tüm katılımcıları yürekten kutluyorum.’ ifadelerini kullandı.";;0
