PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRmoM7rjT80/;Carousel;397;4;0;2025-11-28 17:30:50;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/589319796_18383657815147265_4140095433568887886_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTg4MjEzNzEzMjkzMzI3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=vUlC3LmBNYUQ7kNvwFNHeNZ&_nc_oc=AdkjzTvhAiRyAJ-j0T3sj8Sz2f8LZRWTS08bZL9OM0UgCLOraLNeU75w5n7sifeGjYXMn52g6toQqMBQ3JFH2Cxd&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_Afjf6tqTEsa_DZeVLNSwBcXtoRXOHu9y4w4bxaFnOW-BYQ&oe=69310808;"Aile ve Sosyal Hizmetler Bakanımız Sayın Mahinur Özdemir Göktaş ile Selçuklu Otizmli Bireyler Eğitim Vakfımızın Mütevelli Heyeti Olağan Genel Kurul Toplantısı’nı gerçekleştirdik.  Her bir otizmli evladımızın yüreğimize dokunan hikâyesi; daha çok çalışmamız, daha fazla üretmemiz ve onların geleceğine umut olmamız gerektiğini bize bir kez daha hatırlatıyor.  Bu yolda emek veren, gönlünü koyan herkese teşekkür ediyorum.";234715.0;0
https://www.instagram.com/p/DRmXGHbDatV/;Photo;332;3;0;2025-11-28 15:01:21;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588963901_18383644378147265_6685662081132033953_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTgwNjkxMjk1MzQyODgyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTQxLnNkci5DMyJ9&_nc_ohc=nkby7vdx9YcQ7kNvwH-bkaN&_nc_oc=AdmHu0W4NHZ1i99d9Kc4KN3-fHF74bwa7zHzRgr2Enq_Gwkj7VMs3z8wcWhdOc_h8y0fc175jY8nafC7lJVuGFuK&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfgAUVCAaekeKuXq-PHFsyBgo-k-EgXxpDEUwKqfA2MNTA&oe=69311000;Ailelerimizin eğitimine, çocuklarımızın gelişimine katkı sunan bu tür merkezleri çok önemsiyoruz.  Aile ve Sosyal Hizmetler Bakanımız, hemşehrimiz Sayın @mahinurozdemir ile birlikte Selçuklu Aile Gelişim Merkezi’nde incelemelerde bulunduk.;;0
https://www.instagram.com/p/DRmPdtnDQw8/;Carousel;466;3;0;2025-11-28 13:54:40;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588982791_18383638372147265_2852095757594459185_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTc3MzM0Mjg1MTUyMzAwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=bvZVwj8AclUQ7kNvwEDIF4W&_nc_oc=AdkE92IP85RRHNY42WsszxCy24WOwda7DdzCTUT57KeV8FQwZ4o8sZx6f_T7Zhf1L3Ty0NTsSAqS6YeYoTGRCnwi&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfhhgM_MAcqWlFPDl7933LooN6qQcJju54Cd0tdfOZfWpw&oe=69311EDA;“Aile Yılı” kapsamında belediyemiz tarafından düzenlenen Şehir ve Aile Şurası’nın açılışını, Aile ve Sosyal Hizmetler Bakanımız Sayın Mahinur Özdemir Göktaş’ın katılımıyla gerçekleştirdik.  Sayın Bakanımız, şehir genelindeki 26 parkımız ve Akyokuş Mekânı için Konya Büyükşehir Belediyemize “Aile Dostu Mekân” levhası takdim etti.  Bu vesileyle Sayın Bakanımıza nazik takdimleri ve destekleri için teşekkür ediyorum.  3 gün sürecek Şehir ve Aile Şuramızın hayırlı olmasını diliyorum.  @mahinurozdemir;;0
https://www.instagram.com/p/DRjpYg3jfpc/;Reels;1476;29;99505;2025-11-27 13:43:41;https://scontent-dus1-1.cdninstagram.com/v/t51.71878-15/587930167_1390541842595637_770691265721453888_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTA0MjkxNzEzMjc5NDQ2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=f6NnguB3IOEQ7kNvwHA3AQk&_nc_oc=AdlFqe4YEtqojFidjI1rlSo0DOrq-cZa19_c0AdYODlA-CmwVDBnNzjKq_AGnnhF-SgFSzAj5GhLYD_9lbvVxo7-&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfhUtX190skfHqne-kh9sc5luoJsnBTnMKpylmVGH5Du1g&oe=693127D5;Yeşiller içinde Konya hedefimiz için bugün güzel bir adım daha attık.  Büyükşehir Belediyemiz tarafından “Geleceğe Nefes, Konya’ya Hayat” temasıyla düzenlediğimiz etkinlikte, yüzlerce çocuğumuzla birlikte fidanlarımızı toprakla buluşturduk.  Konya’mıza hayırlı olsun.;;0
https://www.instagram.com/p/DRhOzl-DWZY/;Carousel;443;2;0;2025-11-26 15:12:43;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587834283_18383441965147265_8813773103419009946_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NDM2MzA3MTUzMjU3MzQ2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=MU2bkqaYQ0MQ7kNvwHIzTOL&_nc_oc=AdnoYS0Q0ncHOGhTz0HWPzPEagLT_Qs3CL7i1_d8AHdn-AiNxgkHb0hzgQUc1z06KRvRb_r3-TZiTnSwnm_KgWxe&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfiRm7A00LqbLMevq9PKHTNMs9hFRdyfH1x0XYZmEgE1_w&oe=693105C2;Aile ve Sosyal Hizmetler Bakanımız Sayın Mahinur Özdemir Göktaş’ın açılışını yaptığı 4. Uluslararası Göç Konferansı’nda, “Göçün Toplumsal Yansımaları Üzerine Çok Boyutlu Değerlendirmeler” oturumuna katıldık.  Göçün sosyal, kültürel ve ekonomik etkilerine dair yürüttüğümüz çalışmaları ve Konya’mızın uyum ile huzuru önceleyen yaklaşımını paylaştık.  Konferansa katkı sunan tüm hocalarımıza, uzmanlara ve paydaşlara teşekkür ediyorum.  📍Polis Akademisi Gölbaşı Yerleşkesi;;0
https://www.instagram.com/p/DRfQaBjjSyo/;Photo;630;95;0;2025-11-25 20:48:13;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587951372_18383372050147265_3126058235735937002_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzgwNzE2OTg4MDUzNDE4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=hQ9WCaDZCMoQ7kNvwGAfAmz&_nc_oc=AdntEaGkZcn_9oKgOgQfsp3SM3fVm93FmXkAnrImuAA4xdoYNb3JSRUj4luPhW9SDNoP__zPhhwWhya3ZWyig5pf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_Afj1dnmvXG5bNkhlJG26veUeLRJEImqK3fsRSQX9eXcewA&oe=69311022;İlkokul, ortaokul ve lise düzeyinde eğitim gören 29.225 öğrencimizin hesabına toplam 74.132.000 TL eğitim desteği yatırdık.  Evlatlarımıza hayırlı, bereketli olsun.;;0
https://www.instagram.com/p/DRcG4pjjXwx/;Carousel;418;5;0;2025-11-24 15:27:18;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/587720943_18383234173147265_8868751845773209219_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MjkyMDg2MTA1ODQ3Mzg3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=XAwiYflR9r4Q7kNvwEwnhaP&_nc_oc=AdmCTkPIxLYBlNLr5amp5aqKW3y1RvkFQ4-4v5qfGEV4GW4hAg8tPQx7h7Rn107fLeBItLnfTRgWx7xcQhsvZxSZ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfgcpFFNIeL0AIu847_FKur3wVMM9tFbjjARUZQkDUJlLQ&oe=69310B13;“24 Kasım Öğretmenler Günü” programında öğretmenlerimiz ve öğrencilerimizle bir araya geldik, bu anlamlı günün coşkusunu birlikte yaşadık.  Güzel Sanatlar Lisemiz öğrencilerinin ve Konya’da öğrenim gören Gazzeli öğrencilerimizin hazırladığı resim sergisi bizleri derinden duygulandırdı.  Eğitime emek veren tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü yürekten kutluyor, her birine şükranlarımı sunuyorum.;;0
https://www.instagram.com/p/DRb2oj4jYEw/;Photo;973;12;0;2025-11-24 13:05:17;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588224609_18383224741147265_610888220861138171_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mjg0OTM5NDY3MzM1MzAwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNzB4MTE3MC5zZHIuQzMifQ%3D%3D&_nc_ohc=_hlpwvM6-AgQ7kNvwH4yIBT&_nc_oc=Adml4cr9SBeSvTioUWOYSNIENltziDBzu0orMWDvxOkLZFdk7ZeBIZvhlvuPNA3usD1kmPBMDb9WLLx3WJ69l3FI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_Afhkc4XzJ3LUEitQMtK-nSjR5FNoJPgkWL7vcsJqVRsEOA&oe=69313230;Rabbim ülkemizi ve evlatlarımızı her türlü kazadan ve afetten muhafaza eylesin.;;0
https://www.instagram.com/p/DRbxWscjSXz/;Carousel;775;11;0;2025-11-24 12:19:09;https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/588360195_18383222044147265_4488662485923544270_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MjgyNjE2NjEwNjEwNDI5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU3NngzMjQuc2RyLkMzIn0%3D&_nc_ohc=mWRIUMDuDf4Q7kNvwFM3ukx&_nc_oc=AdmkBDZPf0LVzCbr4mcOW58TqMS4ehdeVssLIE9RRsipf2DJtjJx9GdD83uQunkaQbR2BDFCHidGygIH8fBimLBR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfitfLpfWg6XqNIiNhgkIifMFc1plxBVKBWzsx9flMklsw&oe=69310EF8;Şam temaslarımız kapsamında Türkiye’nin Şam Büyükelçisi Burhan Köroğlu ve Şam Valisi Mahir Mervan’ı ziyaret ettik.  Şam ile Konya’yı kardeş şehir yapmak üzere belediye meclisimizde aldığımız kararı kendileriyle paylaştık.   İnşallah bu adımla şehirlerimiz arasındaki ilişkiler daha da gelişecek.;;0
https://www.instagram.com/p/DRbmgo-DVE4/;Reels;1094;31;72272;2025-11-24 10:44:45;https://scontent-dus1-1.cdninstagram.com/v/t51.71878-15/587630003_874383618435939_4498367030714562305_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3Mjc3ODQ4MTYzNDMzMjk4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=9ROyfERQN48Q7kNvwG60Qk7&_nc_oc=AdnJyPY0C8agPAEG5jHO8_-GhvF3Kf9zgAUR01zYlUhnyNFhXT5NtNjWbqQ710XlW2M8sTJSTV3U8kCw8DVi4Rie&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=vK1iKIWYzWhVAu4om-iMaw&oh=00_AfgkyEmrv7nyqsDGUKyZfUYMIm0LQ9JKN8RCDdBC-2lN4g&oe=6930FD50;Öğretmenler Günü vesilesiyle Konya Büyükşehir Belediyemiz olarak Huzurevi’nde kalan emekli öğretmenlerimiz Ömer Atabek, Ekrem Kapıcı ve Alaiddin Köseoğlu’nu Bilgehane öğrencilerimizle buluşturduk.  Başta üzerimde emeği olan öğretmenlerim olmak üzere, tüm eğitim camiamızın Öğretmenler Günü’nü tebrik ediyorum.  Ebediyete irtihal eden ve şehit olan öğretmenlerimizi rahmetle yâd ediyorum.  Allah hepsinden razı olsun.;;0
