PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpPiTpChbh/;Carousel;1732;12;0;2025-11-29 17:53:01;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/588982791_18431967124108280_4563397672331288643_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NjYxODA3ODg5ODA5ODYzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=vKNNyy4vQQIQ7kNvwFtsRaw&_nc_oc=AdkPBXqZIwCf6GLSTRbBPzns_gOvoLZO9cWjGZOf3Ae5yxvfj1_66qe6PS6zuKvs59c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfhBAxTTYtGYDroHMNMYdDpMREdaa1M_tzQgSKz3UgbKUA&oe=693118F0;Cumhuriyet Halk Partimizin 39. Olağan Kurultayı’nda ortaya konan birlik ve kararlılık, geleceğe dair umutlarımızı güçlendirdi.  Genel Başkanlığa yeniden seçilen Sayın Özgür Özel’i tebrik ediyorum. Parti organlarına seçilecek tüm yol arkadaşlarımıza başarılar diliyorum.  Ülkemizin umudu CHP’dir. Partimiz, Türkiye’nin tüm sorunlarına çözüm üretebilecek birikime, kadrolara ve vizyona sahiptir.  Yolumuz açık olsun.;263752.0;0
https://www.instagram.com/p/DRjoe9BilCc/;Carousel;1569;14;0;2025-11-27 13:35:34;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/587281396_18431699695108280_8711700290186896085_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTAzODk0MzA3MTQ1NDg2Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjgyOHg0NjUuc2RyLkMzIn0%3D&_nc_ohc=g1ND5_Ma_HsQ7kNvwHIDF3_&_nc_oc=Adk79Bm2qJazQJeuvJafOZ3P9SOvhQ8n8NQ-ioclTJtTw-kmLESuMGMTdfo2N-2O6tw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfhlJYxnUiZS9bhJhrfq3XaIuaRcKCR6SQhtZDPCFdgS2g&oe=6930FF3B;"MedCities, Barcelona Belediyesi ve Avrupa-Akdeniz Enstitüsü (IEMed) iş birliğiyle düzenlenen “Barcelona+30 Akdeniz Kentleri Konferansı: Bölgesel Dönüşüm İçin Yerel Eylemin Güçlendirilmesi” kapsamında gerçekleştirilen “Akdeniz’de İklim Değişikliği ve Sürdürülebilir Kalkınmanın Ön Saflarındaki Şehirler” oturumuna katıldım.  Barcelona’da gerçekleştirilen bu önemli buluşmada, Akdeniz havzasının önde gelen kentlerinden biri olarak kabul edilen Mersin’imizi temsil ederek çevre dostu hizmetlerimizi ve sürdürülebilirlik vizyonumuzu paylaştım. Çevreyle dost bir yaşam ancak doğayla adil bir paylaşım anlayışıyla mümkündür. Ağacından denizine, toprağından havasına kadar her türlü canlıyla ortak bir dünyayı paylaştığımız gezegenimize karşı sorumluluğumuz büyük.  Bu bilinçle çalışmaya; Mersin’imizi dünya standartlarına uygun, adil, kapsayıcı ve sürdürülebilir bir yönetim anlayışıyla geleceğe taşımaya kararlılıkla devam edeceğiz.";;0
https://www.instagram.com/p/DRPvUnMikxD/;Photo;6360;838;0;2025-11-19 20:10:31;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/583545222_18430749199108280_6438516537522720112_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc2OTQzOTUzNzc5NDI3MjMyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNzl4NzI2LnNkci5DMyJ9&_nc_ohc=blPALhmnQKIQ7kNvwEuiv9T&_nc_oc=Adm8xDbvd4WTra4fmf-ruZJz-aehr3AiJU7d1dfxiAqNCZHMFeFPjRJy0bgQi7TSkPg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfgvqIdbgUh_0ysQa3M4oHnxuQzQMVkxf_1BmKnXkH71Ew&oe=69310089;Kardeşim Arzu Seçer’in vefatı nedeniyle bizleri yalnız bırakmayan, gerek cenazemize bizzat katılan gerek bizleri ziyaret ederek, telefonla, mesajla taziyelerini bildirerek acımızı paylaşan herkese şahsım ve ailem adına şükranlarımı sunarım.;;0
https://www.instagram.com/p/DRFNQcECo41/;Carousel;2837;120;0;2025-11-15 18:00:26;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/581187511_18430244326108280_1422820562660039373_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc2NjQ3NDk0MjAxMjEyNzMzNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=lpg-s6avwHgQ7kNvwFdP3Pj&_nc_oc=AdkPy6CoDp4rQvPlsh9HNJ8eF6_WOYxsOBWwrabDgFfGYwq8jZkZ416gohpGhKW9H9M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfhfADCjeYwnZusrtadJhv4Xndi8UrV5XCdkmfkUCjB--w&oe=69311452;"Partimizin Toroslar ve Mezitli ilçe örgütlerini ziyaret ettim, yeni seçilen yönetimlerimize tebriklerimi ilettim.  İzzet Başkan ve Tolga Başkan ile; Mersin’imizi huzur ve refah kenti yapan hizmetlerimizin yenileri için daima dayanışma içinde olacağız.   Halkımızla birlik olup ülkemizi düzlüğe çıkarmak için daha da çok çalışacağız.";;0
https://www.instagram.com/p/DREPTIyCsyX/;Photo;1185;28;0;2025-11-15 08:59:02;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/581416504_18430197664108280_9128976858146552611_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc2NjIwMjQ3NDE4NTgwNDk1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkxOC5zZHIuQzMifQ%3D%3D&_nc_ohc=G2_942_GVz0Q7kNvwEgXiVZ&_nc_oc=AdktnusJRSUYge0-PIAUAZm0RHQ3ACWML6SLDefCqcy2SPyY-We4oXIIRaZSDFMf9nE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfhYYuIqyG5A0ZrbQXiNxxvYxIrci0w4FPllpnaIL2ngKA&oe=6930FFF9;Kuzey Kıbrıs Türk Cumhuriyeti’nin 42. Kuruluş Yıl Dönümü kutlu olsun.;;0
https://www.instagram.com/p/DRALBGDitjj/;Carousel;1869;13;0;2025-11-13 19:04:40;https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/580987023_18430011064108280_2267847298440632411_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc2NTA1NzcxMzI5OTE0OTM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=nNczd8UORFEQ7kNvwHohlR6&_nc_oc=AdngaevEuvgkQtsqBvqpjb2chWJwolsmn8v-IpTLCUaxpss6CzuV3g5ODTogM8_QRFQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfguJeZUT0DbEIjEftf900d9BP-LKfrW3EfuXsQa0dSDjw&oe=69312950;Küçük ölçekli balıkçılarımıza ve yetiştiricilerimize sağladığımız desteklerle, hem üreticimizin yanında oluyor hem de tarım ekonomisini güçlendiriyoruz.  2019’dan beri artırarak sürdürdüğümüz tarım desteklerimizi sunmak için bugün de Karaduvar’daydık.;;0
https://www.instagram.com/p/DQ7GuvwCk0G/;Photo;2083;45;0;2025-11-11 19:51:00;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/580570525_18429208459108280_4015917303576385993_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc2MzYzMTUxNDI0NTAyNTAzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzMjB4MTMwNy5zZHIuQzIifQ%3D%3D&_nc_ohc=UHT3t5mo-vwQ7kNvwHbr7tR&_nc_oc=Adk7_q0-96cHwNJpHu_Q2aHz4MSCFMdizqVe0rXam9-aFyK9ogwR1qgrGILR-TALahg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_Afh9NtgpotYn2CHO_e-lzHdIBc0giX0LvpP5omZOc7xvww&oe=693123F9;;;0
https://www.instagram.com/p/DQ34wmOCpr7/;Reels;1630;13;63977;2025-11-10 13:51:56;https://scontent-fra3-2.cdninstagram.com/v/t51.71878-15/576585433_1484413262831983_6456385838613003879_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc2MjcyNTY0Mzg2ODYwOTI3NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=5RjwjWWOo0cQ7kNvwEvEIHK&_nc_oc=AdkfrF4RjYhJZOzGNvAxHmBmGilfkJbEUERT36HDCIPnMLiz6-M6sqPiCiLxj0JaSwY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfiGpzeyNALsgVJEzTQke6TX49fbLtK1ElpCNLbzqQpBgQ&oe=693113FA;"Gazi Çiftliği’nin hikayesi; savaştan istiklalini kazanarak çıkmış bir halkın üreterek, bölüşerek ayağa kalkıp yaralarını sarmasının tarihinde gizlidir. Yıl: 1925  2021 yılında kırsal kalkınmanın istikbalimiz için önemini yeniden hatırlatacak o adımı attık.   Ata’mızın mirası artık ayakları üzerine basıyor. Gazi Çiftiliği’nin hikayesi yeniden yazılıyor.   Tamamı YouTube’da, link hikayede 👆";;0
https://www.instagram.com/p/DQ3xfG3ilVi/;Carousel;3575;18;0;2025-11-10 12:47:39;https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/572787796_18428762512108280_6592854376114834471_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc2MjY5MzYyMjA1MjA3NzA5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=5CxBKBdtJz0Q7kNvwFsuyTI&_nc_oc=AdnHyYGIdgJWejzRcwaFXlzPkfFqu1Fm1t1ztOs7QhqxjoDEGuunjFlW6YQIq6YV0Ps&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_AfiXXxMUbYFFGePrVk404UlKIyc6lDIGZ6iuyWKOaCLwtA&oe=69311A7B;Ulu Önderimiz Gazi Mustafa Kemal Atatürk’ün aramızdan ayrılışının 87. yıl dönümü dolayısıyla Mersin Valiliği tarafından Cumhuriyet Meydanı’nda düzenlenen resmi törenin ardından Kültür Merkezi’ndeki anma programına katıldık.  Adıyla, sözüyle, sesiyle, ışığıyla daima yol göstericimiz olan Ata’mızı hasret ve minnetle andık.;;0
https://www.instagram.com/p/DQ3X8hFioB2/;Photo;3790;43;0;2025-11-10 09:04:28;https://scontent-fra5-1.cdninstagram.com/v/t51.82787-15/573869499_18428725783108280_7165544600980832364_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc2MjU4MTMyNzQ1NjE0MTQzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkxMS5zZHIuQzMifQ%3D%3D&_nc_ohc=bYfxKba3NfYQ7kNvwGjDJQb&_nc_oc=AdldQG6G_DT4atjsfHx-7QBYtcrmagm9Bq8CYj64KHupdJ0r0uVHJiZu3NMN4E6Mo2Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_gid=f18K-9KNgodZePH75kZJEQ&oh=00_Afhu-yV2Pakz2oKkKVBxB5g2OGhnfJ2XI9jnxOHnpggGdw&oe=69312C53;"Yaşıyoruz hâlâ seni.   Adınla, sözünle, sesinle, ışığınla; hasret ve minnetle… #10Kasım";;0
