PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpaqNLCBWI/;Photo;182;0;0;2025-11-29 19:30:13;https://scontent.cdninstagram.com/v/t51.82787-15/591039360_18397512760131689_5721046327735010656_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NjY2NzAxMjA5NzkwNjA1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=teesmhmavGgQ7kNvwEkL426&_nc_oc=AdlYd24gp86HqwYD5GV_za8685yo9oGsDlcuztxeQmXUrYcN-Lb2XksgRRGQw_COTURbAwq4sz3YN6IblnAl9I2f&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_Afi31dh92cg_O3P7fKTWKeSpGaIjJg5UtBsS3bghudvzgw&oe=69310AF9;;7482.0;0
https://www.instagram.com/p/DRpB0P5iJdK/;Carousel;60;0;0;2025-11-29 15:53:08;https://scontent.cdninstagram.com/v/t51.82787-15/586869502_18397489492131689_4051185129893138475_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NjU1NzczNjk1NjMxODQxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=oljjTxewOb0Q7kNvwGnR3A-&_nc_oc=Admd5UbSJ-bkVSZL8884nrFCne9vHwZrcmWXQ3uyR4NyofKsp8J4FDSiTO2YV4ABzZ1y4XxIMoYmqDewzlJXT5es&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_Afh-HKbtIdJEnxufsmQLkI0SRp-eXZwFOm4QpfrMM4uJxQ&oe=69312DAC;Türk Eğitim-Sen Gümüşhane Şubesi 8. Olağan Genel Kurulu’na katılım sağladık. Genel kurulun hayırlara vesile olmasını diliyor, Başkan seçilen Mustafa Şişman’a ve yönetimine başarılar diliyorum. Önceki dönem Başkanı Mustafa Fevzi Akçay’a emek ve katkılarından dolayı teşekkür ediyorum.;;0
https://www.instagram.com/p/DRm-58RiOAD/;Photo;111;1;0;2025-11-28 20:49:13;https://scontent.cdninstagram.com/v/t51.82787-15/587292654_18397410529131689_373914095523379475_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NTk4MTk5ODIwOTI5NDMzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=ZKyRJT6AQgAQ7kNvwFNwbdC&_nc_oc=AdlLsrVPrlsA_wNAhiqKSQidbhUXjJl6wVqlVH2fNCNmtz343Uzi0vwL6fj2NVV7VHC-VTwa8O4wDXrQkapp5H4g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_AfiOI7bWHPpduwxoIqnok9FQTvGO8m4wF2rydbpgaMeqIg&oe=693110A0;Aysun Taşdelen ve Ahmet Dabağ çiftinin nişan törenlerine katılım sağladık.   Çiftimize bir ömür boyu mutluluklar diliyorum.;;0
https://www.instagram.com/p/DRmstUFCJqz/;Reels;79;12;6904;2025-11-28 18:13:53;https://scontent.cdninstagram.com/v/t51.71878-15/587604247_1360630985471493_6927760622023344686_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NTkwMTk2NTU3ODk2NzczMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=iKTKe2g8nzMQ7kNvwFGoUJn&_nc_oc=Adk0pwJGbb-CwT_4M1n5Wwq3O1OpDZfK3YPAEnZoZ4j78TrLjrKuHKNe3VcpMe4WLDJDki33f08v6GgWeLL4j92_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_Afiyze5L59amkg2UFPduTnE7LloBMLt1aiHl_xSGdAjvGg&oe=69311EDE;GÜMÜŞHANE DEĞER, GÜMÜŞHANE’YE DEĞER…  TOKİ tarafından Çamlıca Mahallesi’nde hayata geçirilecek 393 konut ile 24 derslikli ilköğretim okulunu kapsayan sosyal konut projesi, Gümüşhane’mize hayırlı olsun. Türkiye genelinde yürütülen 250 bin Sosyal Konut Projesi kapsamında, hak sahiplerinin kura ile belirlendiği bu önemli yatırım için bir söz vermiştik… Ve bugün gururla söylüyoruz: Söz verdik, yapıyoruz…;;0
https://www.instagram.com/p/DRmjE9uk_xg/;Reels;50;0;6078;2025-11-28 16:46:43;https://scontent.cdninstagram.com/v/t51.82787-15/589717908_17881466163424432_2396242326015762091_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTg1OTYxMDM4MjIzNjc2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=KPzoXuauGiwQ7kNvwEB2rSH&_nc_oc=Adl_iX9Uo191jHhveNRIhZYgcO4xq8fc4KsEom9-hurUczp_nWyRdKpg2aPA6f885VCYfORlt8yS9ztxB-NBaE4C&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_AfhKL0xOweZMr2UN7pb9HmrpLUE453XCPJE3SFU3WnZ0PQ&oe=6931246B;Gümüşhane DEĞER, Gümüşhane'ye DEĞER! 📌Karşıyaka Mahallesi Asfalt Çalışması 📌Cumhuriyet Caddesi Kilit Taşı Çalışması 📌İmamoğlu Sokak Elektrik Lambası Tamiri 📌Taksi Durağı Elektrik Borusu Montajı 📌Sebahattin Aytaç Caddesi Su Deposu Bakım ve Onarım Çalışması 📌Şehit Er Numan Yakut Sokak Peyzaj Çalışması 📌Cadde ve Sokak Temizlik Çalışmaları 📌Tamirciler Sokak Filtre Montaj Çalışması 📌Eskibağlar Mahallesi Su Hattı Çalışması 📌Hastane, Yaşlı ve Engelli Ziyareti #GümüşhaneDeğer #GümüşhaneyeDeğer;;0
https://www.instagram.com/p/DRmSwrFjbhr/;Reels;34;0;15260;2025-11-28 14:31:16;https://scontent.cdninstagram.com/v/t51.71878-15/587400724_867707412271197_8331076335387065023_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NTc4Nzg0NzIzMjg5NTA4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=wfTPPUseM8IQ7kNvwFAfkad&_nc_oc=AdlKTqKPhN8NfGrSCza6ZbVUvhIbym6tgwPemJIZTWfvl8fde409LGLuk7GNIal-LwYTk5XTnsDh4ASlhjvBJwsR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_AfggL4bKGhz88nQ-rM3EmhWuJTfLtyB3VFNYOk-GNHhcBA&oe=69310138;Gümüşhane Belediyesi’nin dijital hizmet platformu olan Gümüşhane Kent Rehberi’nde adres bulmak çok kolay… Gümüşhane Kent Rehberini Nasıl Kullanabilirim? 1️⃣ Apple Store veya Google Play’den “Ulusal Kent Rehberi” adıyla uygulamayı indirin. 2️⃣ Profil doğrulamanızı yapın. 3️⃣ “Gümüşhane Belediyesi Başkanlığını seçip kent rehberini kullanın.;;0
https://www.instagram.com/p/DRmOAaciH6D/;Carousel;162;6;0;2025-11-28 13:41:55;https://scontent.cdninstagram.com/v/t51.82787-15/587486619_18397370320131689_1944798878291418044_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3NTc2NjkyNzg4OTY2Njk3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5zZHIuQzMifQ%3D%3D&_nc_ohc=N6LEwnMx42wQ7kNvwHNYmR1&_nc_oc=Adl4Y5cebhekZ9vFdF5qXNKQSjphujn2Jfls4EWxbMBt5LuXn79tt9-xK-YRJYeVG2ZhJ_tmRfB290wJIzzyzLCI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_AfhUQxH0ZFS7tMjJd4hiJZQoa9ht7F1eBgMtqUVBTHfe4g&oe=6930FD1D;İlimiz Torul ilçesi Yücebelen köyü sakinlerinden Halit Akın Karabulut’u ebediyete uğurladık. Merhuma Allah’tan rahmet, kederli ailesi ve yakınlarına başsağlığı dilerim.;;0
https://www.instagram.com/p/DRl4QZXjZjT/;Reels;63;0;6707;2025-11-28 10:32:17;https://scontent.cdninstagram.com/v/t51.71878-15/586669334_773170319070354_6263378203505419862_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3NTY3MTI3OTk3NDk3OTc5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=JV-bUHeKcD4Q7kNvwGt8pPL&_nc_oc=Adkyq8DMd69eLcwIiPI-lIqWLagahrhSsUsBQJI3iToE86sRjRvj4Jm1OuQCyqGvI8e_lzeec2kJCipGmiV6uoZ8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_Afhf29Pdv-wHIxroUM_V7oCM7OHd2HuDfJMMzUTOFcrKbA&oe=69311B7B;Belediyemiz Kültür ve Sosyal İşler Müdürlüğü ‘Aile Yaşam Birimi’, her hafta gerçekleştirdiği ziyaretler kapsamında bu hafta Gümüşhane Devlet Hastanesi Göğüs Hastalıkları Servisi’nde tedavi gören hastalarımızı ziyaret etti.;;0
https://www.instagram.com/p/DRlt9K4iFnG/;Reels;30;0;3925;2025-11-28 09:02:06;https://scontent.cdninstagram.com/v/t51.71878-15/586700387_1915079932718847_4288689041077839117_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NTYyNTk3ODI4Njk4NzcxOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=wwOnMtCnF94Q7kNvwEO_Hw3&_nc_oc=AdmokDeIcAjRoEPXYr3sItEAGRCLjBjcygFxpQ24zZvfA8rI47DPX-LT_sJrIHnpYg2Rwji7iWgtsJNUtMiu07AU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_AfhXe5xaytOAD4PQunFWU8rvlVz6oWFZzIPlqPknazPXEw&oe=69310CAA;Allah’ın rahmeti ve bereketi üzerimize olsun. Günümüz aydın, cumamız mübarek olsun. 🤲🏻 #HayırlıCumalar 🇹🇷;;0
https://www.instagram.com/p/DRkboHIjUzr/;Carousel;101;0;0;2025-11-27 21:02:28;https://scontent.cdninstagram.com/v/t39.30808-6/588928964_122254879994176179_6071219727314004675_n.jpg?stp=c0.0.2047.1365a_dst-jpg_e35_s2047x1365_tt6&_nc_cat=105&ig_cache_key=Mzc3NTI2Mzg3Mjk1MDA0ODUzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM2NS5zZHIuQzMifQ%3D%3D&_nc_ohc=ntKVNZR_fSkQ7kNvwGgHjKi&_nc_oc=AdkjcnhIoGks4By6HGs7q0yrxQ0vywWWjNVsJu8010l325k2OCEhpeDeXQKHpTRGRblkr0UEPy2uSQP-SI8xEJ_E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=cyCPdV1vpZqv4RB-t0B7pg&oh=00_Afhd36jPgnfAeMxY2LYDndCN7wAOMsIrWzx9c_yDw6Fvfw&oe=69312FC1;📌İlimiz Torul ilçemiz Yücebelen Köyü sakinlerinden vefat eden Halit Karabulut’un ailesi ve yakınlarına taziye ziyaretinde bulunduk. 📌İlimiz Bahçeli beldesi sakinlerinden Alay, Zikri, Erol, Erdoğan ve Hamit Tanış'ın anneleri vefat eden Gülsüm Tanış’ın ailesi ve yakınlarına taziye ziyaretinde bulunduk. Merhum ve merhumeye Allah’tan rahmet, kederli ailesi ve yakınlarına başsağlığı dilerim.;;0
