PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRplb_1AgFZ/;Reels;186;3;6996;2025-11-29 21:06:07;https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/587277965_18186003298350125_3115121576677764531_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NjcxNDQxNDIwODcxMzA0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=zRwYsoZDWVAQ7kNvwFHwn9m&_nc_oc=AdlE2HFtKg0nxSUIpYRfAd4fF8OcFQDyyrL7Ag_ebIj1SPzwY5oMJAPNmM-77R4Y_vQ6GnVMfoqytfvGMhfD1-2H&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_Afh6Luu_v7jkEr53Yt8FsPKHEst448-lrKHpoAxzNoj0BQ&oe=69312603;Genç mühendis adayları ile Bilim Merkezi inşaatımızdaydık…👷‍♂️🚧🏗️;60895.0;0
https://www.instagram.com/p/DRpEjVeCM0_/;Carousel;470;3;0;2025-11-29 16:17:02;https://scontent-lhr8-2.cdninstagram.com/v/t39.30808-6/586920792_1491638509068978_4798260070130515063_n.jpg?stp=c0.62.2048.1448a_dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NjU2OTc1MTQ0NzgyMDc4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTU3My5zZHIuQzMifQ%3D%3D&_nc_ohc=iWdt9uXqOHMQ7kNvwGs0jRH&_nc_oc=AdkCHHQZu-ZtrLKgBfibYe__byF2xvVfXL2UJUqcylCOkX9Y-BvgMyejPkHUmuYkW-pYKpCeqFDfGaByiXMkeW8a&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfgG_wjG1sm0Obl_5RhCEh9VWWEgnhlEek8oq0e5a65vvA&oe=693104A1;Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu’nun katılımıyla Sapanca’da düzenlenen İMEAK Deniz Ticaret Odası Kasım Ayı Meclis Toplantısı ve Müşterek Meslek Komiteleri Toplantısı’na katıldık.  Toplantının ilgili sektörler başta olmak üzere, ülkemiz için hayırlı çalışmalara vesile olmasını diliyorum.;;0
https://www.instagram.com/p/DRomq8BDTK6/;Photo;220;0;0;2025-11-29 11:55:56;https://scontent-lhr8-2.cdninstagram.com/v/t39.30808-6/590657621_1491483759084453_3606903027758896135_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjQzODM2Mzk3Nzc1NzM3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=hxjeWp77udIQ7kNvwHZqKzA&_nc_oc=Adlml1RTxbwq2D4Bud_GZuELWQ6vLEbIgWHIPAZg_wE6LZu4Th7dj8cfKBErGNlcN7k8rkBD8Xzlt05r9kXfC28U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfhHSkqLOcHptKBlttn5VKydjN9lh37Z3UO8SPnrocqQYg&oe=69311F76;Dün olduğu gibi yarın da Filistin halkının haklı mücadelesinin yanında olacağız.  Özgür Filistine ulaşana dek susmayacak, özgür Filistine kavuşana dek sesimizi yükseltmeye devam edeceğiz.  #FreePalestine;;0
https://www.instagram.com/p/DRojwYkDdJH/;Photo;198;0;0;2025-11-29 11:30:28;https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/592400092_1491470125752483_5461410589948988018_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjQyNTU0NDA4NzYyMjIxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=O0FJ1Y0fUiAQ7kNvwEcM_9x&_nc_oc=AdmBtVC5x38mTvTvaXuBZXCgNlN-Sy8V3JXo7avtnaKQV6UjRSgvYIZ5BJsaw8IpAFGW9Q6Bfmb9hNtxNTSuLYUe&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfjbT0t_qwK8lBwOH9rpXvT9Wq7ovxIILk_UP8x8lidxww&oe=69310FC2;Bugün Ümraniyespor ile karşılaşacak yeşil-siyahlı temsilcimiz Sakaryasporumuza başarılar diliyorum.;;0
https://www.instagram.com/p/DRnFYfzgni1/;Reels;1017;13;38817;2025-11-28 21:47:38;https://scontent-lhr6-1.cdninstagram.com/v/t51.82787-15/589918453_18185913517350125_190518616952810704_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NjAxMDQ4NjIyMzYzMjU2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=zKfJ2hmh9vsQ7kNvwHlA9fP&_nc_oc=AdmaKhJKWy3QbmVhpl7lc0Cz4qlekhEPSeniDaRC9v0PqKyvjoN4voZeGa03RTSB-hyd3OwMrR8RwLe64VPdTrGb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfgmVuOqeMu6tC4vEmTLXahDO0oRW3lUQhjRwUFzirofgQ&oe=693113DE;"""Boş vaat yok, icraat var!""  -Sevgili çocuklar, okulu güzelleştiren sizlersiniz!";;0
https://www.instagram.com/p/DRmTnlrCCwu/;Carousel;557;4;0;2025-11-28 14:30:58;https://scontent-lhr8-2.cdninstagram.com/v/t39.30808-6/590790312_1490813512484811_1572496634487375883_n.jpg?stp=c0.24.2048.1515a_dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3NTc5MTU5MzcwMjM1NTQ5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTU2NC5zZHIuQzMifQ%3D%3D&_nc_ohc=nhJ4oxI0kMAQ7kNvwGkBLnG&_nc_oc=Admaqqyp_RnPEZu48qr4i--b0VKfb6e5oAyMpUVniWPUmFbt16ggfUjIHTLIk2pDlRVGOyuNUbDDbKVEhG5BhyTf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfiNnitigKJhk8wQ-0O7DtfgzKwPvmFgJnvh_K7jOwqE4g&oe=69310387;54 Otomobil Sporları Kulübü’nün düzenlediği Türkiye Offroad Şampiyonası’nın 6. ayağı olan Sakarya Yarışının startını Karasu Belediye Başkanımız İshak Sarı ve Gençlik ve Spor İl Müdürümüz Cemil Boz ile birlikte Demokrasi Meydanı’nda verdik.  29-30 Kasım’da düzenlenecek yarışta 26 araç 52 sporcu yarışacak. Tüm katılımcılara başarılar diliyor, organizasyonda emeği geçenleri tebrik ediyorum.;;0
https://www.instagram.com/p/DRmNrguDVh6/;Carousel;319;0;0;2025-11-28 13:39:04;https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/592398596_1490784219154407_1091731907972866332_n.jpg?stp=c4.0.2040.1405a_dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NTc2NTQ5MDY2MTQwMTQ5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTQwNS5zZHIuQzMifQ%3D%3D&_nc_ohc=foDCXhz8ZT0Q7kNvwEcmo5X&_nc_oc=AdmiD7mLAlQfYt2dluifScufzKBRqfMRTohKWY6n5iooJLsIerLO-FCW-azFSWf4NSkT9c5JSA_p71b9IO3rrOPi&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfgHmK15OO_k30kJsPiicdpoXl8b6oDcTf0vyYsXOV8DOQ&oe=69310643;"Bugün ziyaretleriyle bizleri mutlu eden; Meclis Üyemiz Hüseyin Haldızoğlu’na ve kıymetli hemşehrilerimize teşekkür ediyorum. Rabbim birliğimizi daim eylesin.";;0
https://www.instagram.com/p/DRmNVWADQyW/;Photo;206;1;0;2025-11-28 13:36:03;https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/592401875_1490782225821273_7251444665683992327_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTc2Mzk3ODkzMzU3MDcxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTQ1Ny5zZHIuQzMifQ%3D%3D&_nc_ohc=ipoeoW8cINsQ7kNvwF1oWCT&_nc_oc=AdnLb_E8chvowv0YC3OoTK2RO93hiLmh0MdZVW-Gf3fAUcWqX1OS8SOBU8iXOmzIsfZWdwigT_01etkZZr9WuQvb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_Afi5l_8SvJ-8IgxIgDa5hq3Vwt_Hj-w3pSKCecCpxarUeQ&oe=69312869;Elham Tur Yönetim Kurulu Başkanı Ümit Sekmen ve çalışma arkadaşlarını Büyükşehir Belediyemizde misafir ettik.  Konuklarımıza ziyaretleri için teşekkür ediyor, çalışmalarında kolaylıklar diliyorum.;;0
https://www.instagram.com/p/DRmIGnGjYHP/;Carousel;281;1;0;2025-11-28 12:50:21;https://scontent-lhr6-1.cdninstagram.com/v/t39.30808-6/592396371_1490753415824154_3388685632226325936_n.jpg?stp=c12.0.2024.1425a_dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc0MDk2MzUzNzY1MTY4Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTQyNS5zZHIuQzMifQ%3D%3D&_nc_ohc=eLyAJFHm-pkQ7kNvwEsadFu&_nc_oc=AdmoY3Q7hK72BOUtufmy0erFqXAx4ewIWIIKNFYQJ7vHefoGxvGK1aOsQ23vRP01nIS_IEnxokz2lL6hNUnQS-5P&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_Afhq57vNswR8rA2NtBX8bmZcolYX-2G66UXU4wn9JeFgqw&oe=69312061;Endonezya Cumhuriyeti Türkiye Büyükelçisi Achmad Rizal Purnama’ı Büyükşehir Belediyemizde misafir ettik.  Sayın Büyükelçiye de ifade ettim son yıllarda ülkelerimiz arasında gelişen sanayi, teknoloji ve tarımsal faaliyetlerdeki işbirliklerinden büyük memnuniyet duyuyoruz.  Ayrıca şehrimizde öğrenim gören, misafir ettiğimiz Endonezyalı öğrencilerin her birini kardeşimiz, evladımız olarak gördüğümüzü ifade ettim.  Değerli Büyükelçiye ziyaretleri ve samimi mesajları için çok teşekkür ediyor, çalışmalarında kolaylıklar diliyorum.;;0
https://www.instagram.com/p/DRmGrRKDTKg/;Carousel;254;1;0;2025-11-28 12:37:52;https://scontent-lhr6-2.cdninstagram.com/v/t39.30808-6/591316115_1490746545824841_3940157151388384536_n.jpg?stp=c30.0.1987.1358a_dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NTczNDY4NDE3ODAxNzY5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIwNDh4MTM1OC5zZHIuQzMifQ%3D%3D&_nc_ohc=7UUUn9L0aIkQ7kNvwGYxeoF&_nc_oc=AdmvMU-9rP5tVepJfeQiCTBd9I6Z8Ghxzq6us_A7aSdBgq9jCqi2fe8PF3gSL9HOxqIOk-cc44oj7jvtmMQcTGam&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=fBmfjRQtxSlUPcS5eJoRAg&oh=00_AfhplKwS1WQz1flbwWpDeraQoqpqr2G-doBEprCzJvaUUQ&oe=69310481;Yerel Kültür Derneği Başkanı İbrahim Şahin ve yönetimini Büyükşehir Belediyemizde misafir ettik. Sakaryamızın kültürel çeşitliliği en büyük zenginliğimiz, derneğimizin ortaya koyduğu çalışmalar sebebiyle bir kez daha kendilerini tebrik diyorum.  Yerel Kültür Dernek Başkanımız İbrahim Şahin ve kıymetli üyelerine ziyaretleri için teşekkür ediyor, çalışmalarında kolaylıklar diliyorum.;;0
