PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRhZmFfDEel/;Reels;1827;43;74689;2025-11-26 16:48:23;https://scontent.cdninstagram.com/v/t51.71878-15/583503032_3267762420054952_7301180783290390877_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NDQxMDUzMTEwNTY4NzQ2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=KjH8yaHty-YQ7kNvwF-4wav&_nc_oc=AdkVz5rUbEI4iKA9nvFsLfcarK6zm6t646m6RmwK2lpbPe4qvhLjYbPM3HkLFPTko__NnQWMgiP8sVnwzd0xhOez&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_AfhknMijINubK_eIrW9LgCrt3hxrDzPSDp4y3nifu126TQ&oe=693117CA;"“Adanalı neredeyse hizmet de orada olmalı” diyerek, bugün Pozantı Atıksu Arıtma Tesisimizin temelini attık. Göreve geldiğim günden beri üzerinde en çok durduğum projelerden biriydi ve yıllarca kimsenin ilgilenmediği bu konuyu çözüme kavuşturmak bize nasip oldu. Resmî temel atma törenimizi daha sonra hep birlikte yapacağız; ancak çalışmayı bekletmeden başlattık. Pozantı’mıza şimdiden hayırlı olsun.";358405.0;0
https://www.instagram.com/p/DRfSuFIjA07/;Photo;2622;20;0;2025-11-25 21:08:26;https://scontent.cdninstagram.com/v/t51.82787-15/587408545_18537727561022371_5998540500080753914_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MzgxNzM0NDIwNDk5OTk5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=LsAEBuewApkQ7kNvwFOP-lI&_nc_oc=Adllmah9bYtthwjt5LtbhUI8KcxUFR9M715FImLk1D6bOGFj9BQsUrlE9cMcMAVYpn-20EH94ZaITEj_tOHOoVwW&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_AfjDaMLAlY8BkMX6KrwI0ISkagWOlmEWLNkhfES6WrK2gw&oe=6931043F;"Kadına yönelik şiddet; insanlığın, adaletin, eşitliğin ve vicdanın kanayan yarasıdır. Adana’da yıllardır bu karanlığın karşısında durmak için ciddi mücadele yürüttük; kadınların güçlendiği, kendi ayakları üzerinde durabildiği, güvenle yaşayabildiği bir kent inşa etmek adına var gücümüzle çalıştık.  #25Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde de aynı iradeyle, aynı kararlılıkla şiddetin karşısında, kadınların yanındayız.";;0
https://www.instagram.com/p/DRd7-A4jKVL/;Photo;7010;92;0;2025-11-25 08:30:23;https://scontent.cdninstagram.com/v/t51.82787-15/587712621_18537635602022371_5958369814092337503_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc3MzQzNTgwOTEwNjc5Nzg5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=affBfJE38NMQ7kNvwH7yHyv&_nc_oc=Adme761lfTdnxn9NcilMgsR0McS85T89AdUBApNWA5HPt2gS4Yz0JyG8mEBDIykX20Amhl_bSfJNNafEnydKSGXy&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_Afg3o3TDm18qUqns5_wtMd383seNPzq616f3wbtpU7MjpQ&oe=6930FC4E;Mansur Başkan,  Doğru duvar yıkılmaz. Herkes biliyor ki Mansur Başkan kamu yararını korur, ülkesine bağlı, dürüst bir başkandır. Vatandaşın gönlündedir. Onu oradan kimse indiremez.;;0
https://www.instagram.com/p/DRZ8rfljIXq/;Reels;5160;94;138892;2025-11-23 19:20:55;https://scontent.cdninstagram.com/v/t51.71878-15/589122584_637474592688912_3887872428594613150_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MjMxMzAzNDU0MzYyOTgwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMyIn0%3D&_nc_ohc=yLg4iLyW--0Q7kNvwEeHON8&_nc_oc=AdnssYu3oxDgWeYUgnOFyjRSHW0Qeerh4zS0xb9dt1Al3ambEqDwoVQBBqT4pMNcaOwr7sHwucJ2FEMHzZhuCwXZ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_AfizF5WkIWuo36DyXzlUa8SVsRGJCklG6Yz1tNT65cIm2g&oe=6931281C;Her 24 Kasım’da, hayatımdaki en değerli öğretmenlerden biri olan sevgili eşim Nuray’ın yanında olur, onun okuluna gider, mesleğinin ne kadar kutsal olduğunu söylerdim.   Bu yıl orada olamasam da, kalbim her zamanki gibi Nuray’ımla…  Başöğretmenimiz, Ulu Önder Mustafa Kemal Atatürk başta olmak üzere tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü yürekten kutluyorum.;;0
https://www.instagram.com/p/DRTozNBjH69/;Photo;4479;103;0;2025-11-21 08:30:29;https://scontent.cdninstagram.com/v/t51.82787-15/583290847_18536991709022371_3832120052613798551_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc3MDUzNjc1MzU3NzYyMzIyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTM0LnNkci5DMyJ9&_nc_ohc=VvoxwuKrHuEQ7kNvwFRzAbx&_nc_oc=Adkz3vbXIX_WqXphXV91OlFnpEZ_H1OfEyfWbofGhuhtUZLa_QY0JF7pguCC_LOC09Am6lejSbErWryXo79anlDK&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_AfjSXUGXIythcQRvubE5iSsrhhOFcb1L1NiiErmBsOnWSQ&oe=69310A3A;Sevgili Samet’im,   Alçak bir saldırı sonucu aramızdan koparıldın. Bugün ise senin doğum günün. “Umut dimdik ayakta” felsefesiyle yaşadın, çevrendeki herkesi mutlu etmeyi görev edindin, empati ve sevgi doluydun. Yüzünden gülümsemen, kalbinden iyilik eksik olmadı. Pırıl pırıl hayatın hain bir saldırıyla alındı. Bu acı, aradan geçen zamana rağmen kalbimizde ilk günkü gibi taze. Seni her zaman büyük bir sevgiyle anacağım. İyi ki doğdun ve bu dünyaya iyilik tohumları ektin.;;0
https://www.instagram.com/p/DRRzVAKjPSn/;Carousel;9681;81;0;2025-11-20 15:24:00;https://scontent.cdninstagram.com/v/t51.82787-15/587430816_18536883304022371_1428035628956796644_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MDAyMDA5ODg5MjE0MzE0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwODB4MTM1MC5zZHIuQzMifQ%3D%3D&_nc_ohc=evo0AiTOSWoQ7kNvwEdaQkT&_nc_oc=AdnzvL-kRwlkgDHkEwPGgIzZkMDWy90bKEGnNyWszyJyQhElBnVIS-FM8kja95aSILPweg2ZIK8NkIpt7e6RLagL&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_AfiWK02T5dcEoW2hFEUeHGbrAjVky8xLTKW-IhZdqf35-A&oe=69310319;"İyi ki varsınız çocuklar 🤍 Bugün, sevgiyle koruduğumuz ve umutla büyüttüğümüz çocuklarımız için çok anlamlı bir gün; Dünya Çocuk Hakları Günü. Bizim tüm çabamız; çocuklarımızın daha mutlu, daha adil bir geleceğe uyanması. Dünya Çocuk Hakları Günü kutlu olsun.";;0
https://www.instagram.com/p/DRNSu_LjHXU/;Photo;7602;182;0;2025-11-18 21:22:13;https://scontent.cdninstagram.com/v/t51.82787-15/581956864_18536637040022371_6110377118611183344_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc2ODc1MDg1Njk1MTU5MjQwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNjZ4NjExLnNkci5DMyJ9&_nc_ohc=ZgJj0Y-alI0Q7kNvwFgmod6&_nc_oc=Adk03Sp9EB9VQZNQcWrQHeWUMd9Ul0YJravtP_U5uWetpIPRLR7DQ0PZY0BjJMtShAE4f-kog4Y4IvmVk4Pzs5LC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_Afj6QQDalnNICkSiRz9WNSp5L6mjZ5ht16f9K2Hk9Ywx6g&oe=693101E8;Bugün tutukluluğa itiraz dilekçemiz verildi. İncelendiğinde hukukun gereğine uygun bir karar verileceğini umuyorum. Haksızlık son bulmalıdır.;;0
https://www.instagram.com/p/DRKkMi5jA9s/;Photo;7912;138;0;2025-11-17 19:57:05;https://scontent.cdninstagram.com/v/t51.82787-15/582320187_18536480401022371_3307232537062560049_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzc2Nzk4MzIzMDAyOTY2NDEwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTg4MS5zZHIuQzMifQ%3D%3D&_nc_ohc=E2Nj-cNs90gQ7kNvwGJM044&_nc_oc=AdlH9OUtPug109GJwH5E2vFq5iwxGeUaVoWV9Z6Wym61XnjI7VVydvnz7VSiirzBIhhOfpuO6hErOUqSCezgS93Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_Afgf_ZasZs1InnwNZ6FexR6N-0BzkevrMY4Pjd1rdEdzpA&oe=69311237;Vahap Başkanım, Gelen ziyaretçilerden kız kardeşinin vefat ettiğini öğrendim. Çok üzüldüm. Bu acı gününde kardeşimin yanında olamamak da ayrı bir üzüntü. Başınız sağ olsun. Allah sizlere sabır versin.;;0
https://www.instagram.com/p/DRHuIMhjNzb/;Photo;2108;43;0;2025-11-16 17:26:09;https://scontent.cdninstagram.com/v/t51.82787-15/582197043_18536312302022371_7492813771282092829_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc2NzE4MjQ4NjY2MTgxNTUxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=abUzLlF2oDIQ7kNvwHSUHt2&_nc_oc=Adnv9FO9gan7f8up-UaU3HJBYouvLc4s1S7f3m9UHEwghZ4yYg65GXQRwzbXIwnsQJKybbguCrxwqA-AbM00HtTl&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_Afi1_hxy07IKS0piuP6pP_u0XowkYYCbHv-kv0Diy5hGJg&oe=6931008F;Adana’ya hizmet ettiği süre boyunca dürüstlüğü, azmi ve kararlılığıyla gönüllerde yer edinen efsane başkan Ege Bağatur ağabeyimizi, vefatının 35. yıl dönümünde saygı, rahmet ve minnetle anıyorum.;;0
https://www.instagram.com/p/DRFSKJHjGZq/;Reels;23386;463;274557;2025-11-15 18:44:12;https://scontent.cdninstagram.com/v/t51.82787-15/581763098_18536164861022371_2397369416900653910_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc2NjQ5NjUyNTE4NzU3MzM1NDE4NTM2MTY0ODU4MDIyMzcx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=J-3qxeYV2TUQ7kNvwHlU4eP&_nc_oc=AdlfWM47NK5i5gjkmPTv685LdXpZckrsk-DhSWV1F04ItB_vZizEzOK9Tni-9Gf5xPX4411bH1l2AnSeZG52LTkE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=IbH1MrdoESLj38jD3XG52A&oh=00_Afh2XtN8rv4PTia8L7icUYhJC4guwT-U3aZ8K5YlCRpzFg&oe=69312C21;Sıcak gülüşleriniz, içten kucaklaşmalarımız, bu zor zamanlarda bizim en güçlü bağımız. Umudu ve sevgiyi yeniden paylaşacağımız zamanların özlemiyle…;;0
