Profil;Tag1;Tag2;Tag3;Tag4;Tag5
Zeydan Karalar;Akdeniz;Büyükşehir;Adana;zeydankaralar01;
Abdurrahman Tutdere;Güneydoğu Anadolu;Büyükşehir Olmayan;Adıyaman;av.tutdere;
Burcu Köksal;Ege;Büyükşehir Olmayan;Afyonkarahisar;burcukoksal03;
Hazal Aras;Doğu Anadolu;Büyükşehir Olmayan;Ağrı;hazalaras0421;
Turgay Sevindi;Karadeniz;Büyükşehir Olmayan;Amasya;turgaysevindi;
Mansur Yavaş;İç Anadolu;Büyükşehir;Ankara;yavasmansur;
Muhittin Böcek;Akdeniz;Büyükşehir;Antalya;muhittinbocek;
Bilgehan Erdem;Karadeniz;Büyükşehir Olmayan;Artvin;bilgehan.erdem08;
Özlem Çerçioğlu;Ege;Büyükşehir;Aydın;ozlemcercioglu;
Ahmet Akın;Marmara;Büyükşehir;Balıkesir;ahmetakin73;
Melek Mızrak Subaşı;Marmara;Büyükşehir Olmayan;Bilecik;melekmsubasi;
Erdal Arıkan;Doğu Anadolu;Büyükşehir Olmayan;Bingöl;erdalarikan12;
Nesrullah Tanğlay;Doğu Anadolu;Büyükşehir Olmayan;Bitlis;nesrullah.tanglay;
Tanju Özcan;Karadeniz;Büyükşehir Olmayan;Bolu;tanjuozcanbolu;
Ali Orkun Ercengiz;Akdeniz;Büyükşehir Olmayan;Burdur;aliorkunercengiz;
Mustafa Bozbey;Marmara;Büyükşehir;Bursa;mbozbey;
Muharrem Erkek;Marmara;Büyükşehir Olmayan;Çanakkale;muharremerkek17;
İsmail Hakkı Esen;İç Anadolu;Büyükşehir Olmayan;Çankırı;ismailhakkiesen18;
Halil İbrahim Aşgın;Karadeniz;Büyükşehir Olmayan;Çorum;hibrahimasgin;
Bülent Nuri Çavuşoğlu;Ege;Büyükşehir;Denizli;bulentnuricavusoglu;
Ayşe Serra Bucak Küçük;Güneydoğu Anadolu;Büyükşehir;Diyarbakır;serra_bucak;
Filiz Gencan Akın;Marmara;Büyükşehir Olmayan;Edirne;avfilizgencan;
Şahin Şerifoğulları;Doğu Anadolu;Büyükşehir Olmayan;Elazığ;sahinserifogullari23;
Bekir Aksun;Doğu Anadolu;Büyükşehir Olmayan;Erzincan;bekiraksun;
Mehmet Sekmen;Doğu Anadolu;Büyükşehir;Erzurum;mehmetsekmen;
Ayşe Ünlüce;İç Anadolu;Büyükşehir;Eskişehir;ayseunluce;
Fatma Şahin;Güneydoğu Anadolu;Büyükşehir;Gaziantep;fatmasahin;
Fuat Köse;Karadeniz;Büyükşehir Olmayan;Giresun;fuattkose;
Vedat Soner Başer;Karadeniz;Büyükşehir Olmayan;Gümüşhane;vedatsonerbaser;
Ali Çelik;Doğu Anadolu;Büyükşehir Olmayan;Hakkari;valialicelik;Kayyım
Mehmet Öntürk;Akdeniz;Büyükşehir;Hatay;mehmetonturktr;
Şükrü Başdeğirmen;Akdeniz;Büyükşehir Olmayan;Isparta;basdegirmen32;
Vahap Seçer;Akdeniz;Büyükşehir;Mersin;vahapsecer;
Ekrem İmamoğlu;Marmara;Büyükşehir;İstanbul;ekremimamoglu;
Cemil Tugay;Ege;Büyükşehir;İzmir;dr.cemiltugay;
Ötüken Senger;Doğu Anadolu;Büyükşehir Olmayan;Kars;otukensenger;
Hasan Baltacı;Karadeniz;Büyükşehir Olmayan;Kastamonu;hasanbaltacichp;
Memduh Büyükkılıç;İç Anadolu;Büyükşehir;Kayseri;baskanmemduhbyk;
Derya Bulut;Marmara;Büyükşehir Olmayan;Kırklareli;derya39bulut;
Selahattin Ekicioğlu;İç Anadolu;Büyükşehir Olmayan;Kırşehir;selahattinekicioglu;
