PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRhFTUOiGc5/;Carousel;230;2;0;2025-11-26 13:49:40;https://scontent.cdninstagram.com/v/t51.82787-15/586881456_18440183236099310_3248913511431273069_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NDMyMTI3MDYyODg2NDYyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=uT0WtGkwNTMQ7kNvwGlZ17u&_nc_oc=Admq7RN6--IoUg1At6Vwx0lrZW6xaiqu5x5UnvML8qMSwlvxvcwCBGDKzFjrRxxAqjc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfiQ1CtfAHyP_oKBb9-Xua6kEncrI8UzUFKzd73RHT6veA&oe=693123D6;"Kars’ta futbolun adil ve sağlıklı yönetimi için emek veren tüm hakemlerimiz ve yöneticilerimizle birlikte çalışmaktan memnuniyet duyuyorum.  Başta Genel Merkez Başkan Yardımcısı Sn. Erkan Odabaşı olmak üzere; Şube Başkanımız Sn. Ömer Nayki, Başkan Yardımcımız Sn. Azer Akyol, Saymanımız Sn. Onur Aydın, Üyemiz Sn. Furkan Ali Karahancı ve İl Hakem Kurulu Başkan Yardımcısı Sn. Onur İbrahimoğlu’na çalışmalarında başarılar diliyorum.  Sporun birleştirici gücü için hep birlikte çalışmaya devam edeceğiz. 🤝";17863.0;0
https://www.instagram.com/p/DRe7UmsiDjL/;Carousel;341;1;0;2025-11-25 17:43:58;https://scontent.cdninstagram.com/v/t51.82787-15/586912388_18440081761099310_5914845837239872817_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzcxNDQxMjA3NTUzMTgyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=yD_uU4DJlK8Q7kNvwFjJtY8&_nc_oc=AdnYlDk-cCA6nxsYM7sriukF8M9TdNmt_4ZwOWJzkxFoQSxqc5EspsozdQoyIUb3sPY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_Afg0v-jrEmVoOTTcE7Zm_6td4aOE2qMvXJGDtFG4zz5ZYw&oe=6931061C;"Şiddetin karşısında susmanın, şiddeti büyüttüğünü biliyorum. Bu nedenle; kadınlarımızın yanında durmaya, onların yaşam hakkını ve onurunu korumak için elimizden gelen tüm çalışmaları sürdürmeye kararlıyım.  Kars’ta hiçbir kadın kendini yalnız hissetmeyecek. Birlikte güçlenecek, birlikte değiştireceğiz.  Kadına Şiddete Hayır!";;0
https://www.instagram.com/p/DRe3qzeiF_f/;Reels;291;0;13318;2025-11-25 17:12:57;https://scontent.cdninstagram.com/v/t51.71878-15/584409656_864149419446475_2482169221465825153_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MzY5ODM3MTgzMjI3NDkxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ASx6lzLW_GgQ7kNvwFibFoP&_nc_oc=AdnS2TByXBc8rm4SwtNu5pRlH4QhFrykHBkVQXybfBGKLq3dV0qAbCSiSpIxQ4Lf6M4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfiPLVtF9fekotllSWxgS74Y6yVeBYx5KOJq5ohg8IeH0g&oe=6930FFEE;"Bugün, Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü vesilesiyle düzenlenen farkındalık etkinliğine katıldım. Şiddetin her türüne karşı durmanın, toplumsal dayanışmayı büyütmenin ve kadınlarımızın yanında olmanın bir görev değil; bir insanlık sorumluluğu olduğuna inanıyorum.  Kars’ta her kadının güvenli, eşit ve özgür bir yaşam sürmesi için çalışmaya devam edeceğiz. Dayanışmayı büyütmek, sessiz kalan sesleri duyurmak ve şiddete karşı güçlü bir duruş sergilemek hepimizin görevi.  Kadına Şiddete Hayır. Bugün de, yarın da!";;0
https://www.instagram.com/p/DRewE-WCNGR/;Photo;97;0;0;2025-11-25 16:05:43;https://scontent.cdninstagram.com/v/t51.82787-15/586538400_18440070541099310_3680911790921337221_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MzY2NDk4NTgzNTE2NDA0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=HS6hLL6DgLsQ7kNvwE3QrvW&_nc_oc=Admz4hFpveattgqf19CBjwOjX7wY0Vyap6fpJS-r-39E-FRUDew-J7C7pK4VAG2Dpyo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfihL4QZVu010pdEbMHEboUZLkrVErci14I_9DXV9ZByHw&oe=69311DB3;"Kars’ta her kadının güvenli bir şehirde yaşamı için çalışmaya devam edeceğiz. Şiddeti doğuran sessizliği birlikte kıracağız; dayanışmayı birlikte büyüteceğiz.  Kadına Şiddete Hayır. Bugün de, yarın da!";;0
https://www.instagram.com/p/DRevXB5CHgk/;Photo;148;2;0;2025-11-25 15:59:27;https://scontent.cdninstagram.com/v/t51.82787-15/587700344_18440070079099310_5934196220861948054_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MzY2MTgyODU0NzYzOTMzMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc3Ny5zZHIuQzMifQ%3D%3D&_nc_ohc=CKaVDTY5d94Q7kNvwHSyqRz&_nc_oc=AdlGAMLk_f0On1jsrH4KrQQ1FeQxwGdjl22_Ga05f9hWve3-5oKp9z9S6K75E3V3H0o&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_Afi56YnKfmAGN-Jag2sN9Kqu9zS_Bb5hkfuKdC-4MksG3Q&oe=69310F59;Doğumunun 108. Yılında Kurucu Genel Başkanımız, Merhum Başbuğumuz #AlparslanTÜRKEŞ’i rahmet, minnet ve özlemle anıyorum.;;0
https://www.instagram.com/p/DRc2Wu5CITb/;Photo;636;6;0;2025-11-24 22:22:06;https://scontent.cdninstagram.com/v/t51.82787-15/586697210_18439981903099310_2251068064166998556_n.jpg?stp=dst-jpegr_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3MzEyOTY0NDUxODcwNDM0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTA4MC5oZHIuQzMifQ%3D%3D&_nc_ohc=aiL3m6UTWhUQ7kNvwE-w-ta&_nc_oc=Adkn91Pf_YR1MrEuS7QFQLTwDiegZb-XeGyxWJGo5a84WJEIXNyqZSMs-WeXbGAWZ9Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfgApWVzvjBYeBMzq-UfyPdM7BcRn89Gz7ZrWBXGrbEwOg&oe=69311D9F;Öğretmenler Günümü kutlayarak beni onurlandıran tüm öğrencilerime gönülden teşekkür ediyorum. 🙏 İyi ki varsınız, iyi ki yollarımız kesişmiş.;;0
https://www.instagram.com/p/DRb7-mtCPDT/;Carousel;283;1;0;2025-11-24 13:51:59;https://scontent.cdninstagram.com/v/t51.82787-15/584342954_18439926769099310_1374016807845096806_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3Mjg3Mjg4NDIwOTkwMDg3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=85ta-cAi4OMQ7kNvwFmP4o6&_nc_oc=AdlSJkQkaul60XnonkHm_ot-ObcoYwY9bxpR8UK-15R-QDgnc63UY276Jj1W813b3FY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfipvbcmBOKf1M7e034pxWCe7pvKJdaydvRnX0zP1v06Mg&oe=69310ABD;"Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün açtığı çağdaşlık yolunda; fedakârca çalışan tüm öğretmenlerimizi gönülden selamlıyorum. Görevleri başında şehit düşen öğretmenlerimizi ise rahmetle, minnetle anıyorum.";;0
https://www.instagram.com/p/DRbm3TqCBqv/;Photo;143;1;0;2025-11-24 10:47:29;https://scontent.cdninstagram.com/v/t51.82787-15/587311848_18439911670099310_2047535906474731477_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3Mjc4MDAzOTI5NzgzMzY0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNTZ4MTU3Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=KyNVwLM8wSAQ7kNvwEeSs1R&_nc_oc=AdlABv1yPx8XPM_TX2zFnjyzytzJEYbbWUguIu27ZJftKaMGmfyagam4t8bITkKkn14&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_AfhE9sWZlmSwk4VicFjyiU-vdUM-g7Q8wmv1XrlTYuOGeQ&oe=69311D89;"Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün ‘Öğretmenler, yeni nesil sizin eseriniz olacaktır’ sözü; bugün de yolumuzu aydınlatmaya devam ediyor.  Fedakarca çalışan tüm öğretmenlerimiz; memleketimizin gerçek mimarları, geleceğimizin en güçlü teminatıdır.  Gazi Kars’ımızda yetişen her bir evladımızın başarısında emek veren tüm öğretmenlerimize en derin saygı ve gönülden teşekkürlerimi sunuyorum.  Görevi başında şehit edilen öğretmenlerimizi rahmet, minnet ve saygıyla anıyorum. Onların bıraktığı iz, bu topraklarda asla silinmeyecek.";;0
https://www.instagram.com/p/DRFFC5UiHPE/;Photo;84;0;0;2025-11-15 16:48:41;https://scontent.cdninstagram.com/v/t51.82787-15/583394822_18438830746099310_3112589745857577655_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc2NjQzODg1MjU4NDU2Nzc0OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=eP3KY-hLiwwQ7kNvwGn4Ft9&_nc_oc=Adnp3Opz0_fwMTNm-_U9UqTt2t4ZV93op9iHnntN8U0b6YhpOt45tC5P3fYuZjzK_7w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JyIWEkxfaTq2h-sGblDDVg&oh=00_Afj65SH2h7dboPz4k5hLijid_EQ_IxYi36JcvaJSyNItfA&oe=693107B3;Kuzey Kıbrıs Türk Cumhuriyeti’nin Kuruluşunun 42. Yıl Dönümü Kutlu Olsun #kıbrıs;;0
https://www.instagram.com/p/DRCKKmWCKzT/;Photo;209;2;0;2025-11-14 13:35:42;https://scontent.cdninstagram.com/v/t51.82787-15/581529093_18438686848099310_4035213972265246662_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc2NTYxNjk0NzI2Njg5MDk2Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNTB4MTY4OC5zZHIuQzMifQ%3D%3D&_nc_ohc=6FZj-gfDfYQQ7kNvwGfOG3q&_nc_oc=Adk8gT_Z8Gm_f6s2GqfFyiiSpAPvEl5XK2uz_zZTuRGm83oOAaxjyWFyr8T1748Mrz8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=WlKWEroHE3L5_-3fUD3VEA&oh=00_Afh2I1CQlA0MYlL5CfAhBBVKezdyvtP8mHexdPKda0wlpQ&oe=69311C76;"Tarihin acı sayfalarından biri olan Ahıska sürgününü bugün yeniden hatırlıyoruz… Evlerinden, yurtlarından koparılan Ahıska Türklerinin yaşadığı büyük acıyı yüreğimizde hissediyor; onların umutla, sabırla ve inançla verdikleri var olma mücadelesini saygıyla anıyorum. Sürgünde hayatını kaybeden tüm kardeşlerimizi rahmetle yad ediyorum.";;0
