PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpCMchCC7j/;Photo;618;7;0;2025-11-29 15:56:26;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/587291712_18438660034097423_9126983017020300175_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NjU1OTQxMzg3MjU3MDA4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=ke1-KYTWwwMQ7kNvwE-L816&_nc_oc=AdkVAFqtByo2JymXCI3NDpb4ZabfLMRZgCTNhOTdTSOECqi4rP9FTC8w3fdr-E2SyBRluHkvfnQb9cIuJD_ma535&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_Afi2L0kFeOzcI2aLUCgO-hjGYG-rMK3lJ_wipOeCceqLoA&oe=693109E0;"Genel Başkanımız Sayın Özgür Özel’in liderliğinde; birlikteyiz, kararlıyız ve güçlüyüz..  Türkiye’nin umudunu hep birlikte büyütüyoruz!  #SimdiİktidarZamanı";59849.0;0
https://www.instagram.com/p/DRow0i2iFal/;Carousel;340;2;0;2025-11-29 13:24:37;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/586681275_18438644701097423_4241104465882569614_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NjQ4Mjk4NzU5NzEzNzcxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4OTAwLnNkci5DMyJ9&_nc_ohc=rb-d3eSaklwQ7kNvwHJPE6S&_nc_oc=Adm8pWaCYUuWwVxOBjoAQSCEohmuoi1fGIa47m2s4tsZfeEc74JMj6Zb70XSmx3YbplGLglRBQat1OzZK4kkhdEL&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhyjmaSdAzEe1gTqMepEAwuNrr_65iu4Mse0POZbWf_ig&oe=693123E7;Genel Başkanımız Sayın Özgür Özel başkanlığında 39. Olağan Kurultayımızı gerçekleştiriyoruz.  #SimdiİktidarZamanı;;0
https://www.instagram.com/p/DRmvohJDO3b/;Reels;742;17;67554;2025-11-28 18:38:46;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/588467537_1177610817661761_6553760924247597589_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc3NTkxNDgzMDE0NzE1MzM3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMiJ9&_nc_ohc=LjFdTEkTjNAQ7kNvwEkbY_Q&_nc_oc=Adlz7rd6Iv5qKZYculEIXyOAteyALmRMk0ZCAX93bQbYCD5UP2BqKnzZvBGvQqW3MZ2yqWBK6wNDpBA-N5NxdxKg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhZL3kWNmOIE0J2CStKF7UN48vS35ul7epyx3NG0HgNhg&oe=69312C00;🌸 Burası Atlı Rehabilitasyon Merkezi…  Dinlenmek, nefes almak ve keyifli vakit geçirmek için sizleri merkezimize bekliyoruz.  (Merkezimiz haftasonu da hizmet vermektedir.);;0
https://www.instagram.com/p/DRl_RAuiKuI/;Carousel;200;0;0;2025-11-28 11:33:07;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/586687925_18438511324097423_7939355385170934674_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3NTcwMjA5NzQ0NzE0OTkxNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNTJ4NjQ4LnNkci5DMyJ9&_nc_ohc=uHl12BKH2_oQ7kNvwGGqYnq&_nc_oc=Adn-UAM7xiqRwoEoNh4z-BJ33XMwrI8MfRB9kD-srRQXYEjKdkpn0kLnTviojynvY_wsrSeR1Qsh6TX_GKwD81Ax&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_Afh2Ynwy_MVPHAIJH6yqNie7Q41WpAvj1WTtYkHLK1yYAg&oe=69310545;"Şimdi İktidar Zamanı!  Cumhuriyet Halk Partisi Genel Başkanımız Sayın Özgür Özel’in başkanlığında gerçekleştirilen 39. Olağan Kurultayımıza katılım sağladık.  Partimizin geleceğine yön veren bu tarihi buluşmada; birlik, kararlılık ve umutla bir aradayız.";;0
https://www.instagram.com/p/DRknOJQiKSr/;Photo;245;1;0;2025-11-27 22:43:46;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/587465699_18438451543097423_1452761955995707271_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NTMxNDg4MzQ3MDk5MjU1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjg3NHg1NjUuc2RyLkMzIn0%3D&_nc_ohc=Hsqoz3NCADMQ7kNvwFDjBeR&_nc_oc=AdkLeShtIa05dS73i819Bkl1_9Ys2g4X7P_dMZ_wg8ZJrOGi69Xmuetk_D0_AUm_OThZTBzhJHiaf-Gm_2oSjc-T&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhARYXM8O_mBSZmsCZ8p_3Zl4YcrbPit2VCoHDhydh14Q&oe=69310CA6;İtalya’nın Roma şehrinde düzenlenen Uluslararası Fibonacci Robot Yarışmaları Dünya Şampiyonası’nda, Junior Start-Up kategorisinde yarışan Şafak Öncü Koleji Robot Takımı dünya birincisi olarak büyük bir gurur yaşattı.   Bu olağanüstü başarıda emeği geçen tüm öğrenci ve öğretmenlerimizi yürekten tebrik ediyor, başarılarının devamını diliyorum.;;0
https://www.instagram.com/p/DRjaByTCHTQ/;Carousel;245;0;0;2025-11-27 11:29:15;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/589366941_18438384454097423_1378989122811225950_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3NDk3NTM2OTc0NTU1NTk1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwMzB4Njg2LnNkci5DMiJ9&_nc_ohc=FAuswEDf7tYQ7kNvwG-o2-x&_nc_oc=AdnBhRctDrDi_ddGkVBgkQmzUzPSslby3_DIWmWbzlVdn8HoW47OIGMXvFZnJJLiwozTFWLpyYRmVxfV52S5QRrx&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfjZUEMDFO_htpngCzKWbxZwj5KsK7aDVHZIlHXvNHvAig&oe=6931048B;İl Jandarma Komutanımız Kıdemli Albay Sayın Özgür Kılıç’ı belediyemizde ağırladık.  Nazik ziyareti için Sayın Kılıç’a teşekkür ediyorum.;;0
https://www.instagram.com/p/DRjX7VziHK8/;Reels;468;43;27191;2025-11-27 11:15:33;https://scontent-lga3-1.cdninstagram.com/v/t51.71878-15/589351762_1211933750816682_6822207593799054414_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NDk2NjE0NTU5ODY0OTAyMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=q2ae5ee_QK8Q7kNvwEh9KR-&_nc_oc=AdnnWBbDkXPY30HjxY2KOGHYR5IO9iRoIG1NWfFRvawEyWotUJ7kaQSOP5xXQ2ryEAG080RyarlG5-BZiGTPkxCK&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_Afg3zhjm315KdG4af95YJ3YurVkZ94l_opoCyiTWzb6CJA&oe=693134B4;💧 Her Damla İçin Durmaksızın Çalışıyoruz!  Şehrimizde yaşanan su kesintileri nedeniyle yaşanan zorlukları içtenlikle anlıyor, bu süreci en az etkilenmenizi sağlayacak şekilde yönetmek için var gücümüzle çalışıyoruz.;;0
https://www.instagram.com/p/DRhoKftCLNd/;Carousel;180;7;0;2025-11-26 18:54:17;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/587428059_18438306037097423_9183847436701155810_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3NDQ3NDU5MDYwMTM2ODc3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=_DSmIvH4120Q7kNvwE7O2_y&_nc_oc=Adm7vEQxn5unT5yVFWvuxsPkQ4ECW6SJbocmuZ_LKjBEr7M2pyxUJAJBvDzYrAOT3AiM44SXHVREUngnyFiAqyQq&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhAZC1YPfqUufXOxoiSG4Eg1iUfDsBTzbvndKKnktdkrw&oe=6930FF72;"“Çevresel Korumanın Teşvik Edilmesi ve İklim Değişikliği Konusunda Bilgi Edinme Projesi”nin kapanış toplantısına katılım sağladık.  Üç yıldır devam eden bu önemli çalışmanın sonuçlarını, elde edilen kazanımları ve ortaya koyduğu etkiyi değerlendirmek üzere paydaşlarımızla bir araya geldik.  Toplantıda; İklim değişikliği, çevre koruma, sürdürülebilir turizm ve sürdürülebilir şehircilik alanlarında farkındalığı artırmayı hedefleyen proje kapsamında; gençlerimizin ve belediye çalışanlarımızın çevresel duyarlılıklarını güçlendirmek, yeşil beceriler kazandırmak ve sürdürülebilir belediyecilik anlayışını yaygınlaştırmak amaçlandı.";;0
https://www.instagram.com/p/DRhX8nJCCUb/;Carousel;174;9;0;2025-11-26 16:32:35;https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/586695606_18438290110097423_8206272160578881250_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NDQwMzI3NDc5MTcxNjQ4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=DK1bFtS3-VwQ7kNvwFVt91J&_nc_oc=Adl_4cu5EEXFLpU4HgGPw9vLtRuyY2fND6vS6FBXG9Ee422hlZWYnuwr8E2oy3GI1BIJuVaSbl8X7qweTK287Lhq&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfgltDTcs_mqrwz0F7JrlZ0coZMVGvcxUqcpejWW7yNUfw&oe=693122A2;Personelimiz İlker Bozkurt’un Babası Uğuz Bozkurt’un cenaze törenine katıldık.  Merhuma Allah’tan rahmet, acılı ailesine ve sevenlerine başsağlığı ve sabır diliyorum.;;0
https://www.instagram.com/p/DRe5MCFgRLN/;Reels;1095;70;64690;2025-11-25 17:29:15;https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/584923315_18540930193059720_5572160793563458192_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3MzcwNTA1MzMwNzczNjc4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMTV4MjE2MC5zZHIuQzMifQ%3D%3D&_nc_ohc=OyPqh4OS8EkQ7kNvwH43l8a&_nc_oc=AdleOD5GBBbrA3h08hjl3FQmWB7BB6dt5vCsgvnrsCKPqJ_32E7DKhUn52h66ocsph8HWLhUhsz5UbWva5SYbnLk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_Afi5UWMLAHEK29rlsEUqmUl2CVdYfcPcyqnyGPxi_6wdmg&oe=693129E6;🛡️Zabıta’dan Gıda Güvenliği İçin Tam Denetim! 🍽️✨  Zabıta ekiplerimiz, şehir genelinde restoranlara yönelik kapsamlı hijyen, temizlik ve tüketim tarihi denetimlerini titizlikle gerçekleştirdi.   Vatandaşlarımızın gönül rahatlığıyla yemek yiyebilmeleri için mutfaklardan depolara kadar tüm alanlar detaylıca kontrol edildi.;;0
https://www.instagram.com/p/DRegaPQjOFi/;Reels;747;19;46824;2025-11-25 13:50:05;https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/587146325_1185163079646521_3344798340868400717_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3MzU5NjA3ODM2MTYwMDM1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=c9a8h-9CqMUQ7kNvwHa019r&_nc_oc=AdkMmhnXEfK5pZ_icSaZFFmHGtGkq6Z5ggDeF4N6kSAiPzicq-6bEoz74WFzJP3uvVPV67P0KZvo1aqbkCspBksc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhVaO8bJgV5ae2I3RTF9QDCwPXglYWXxHyjGovx7xyHAg&oe=6931096E;DMD Kardeşler Can ve Berat’a Umut Olalım!  Onların yardım çağrısına kulak verelim, hep beraber #Birleşelimİyileşelim.  Unutmayın, küçük destekler büyük farklar yaratır!;;0
https://www.instagram.com/p/DRee9rQCI1l/;Photo;90;0;0;2025-11-25 13:36:11;https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/587391976_18438152245097423_5839623971284488654_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzU4OTcxNzUwNjM2MjcyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMjB4MTIxNS5zZHIuQzMifQ%3D%3D&_nc_ohc=ZzBWhGUeG4cQ7kNvwHSwNWO&_nc_oc=AdlG7jR2Uo8FGHHi1gFgM0MhZt3xFWgArthSSlOCsZ6TObDuj2dwiDROZzRON5MkoqA1OA_e_SpSb6GSKVlq99Mv&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_gid=sfesg9hW-BDpUyKZ_xzuBw&oh=00_AfhQ7VbfBhm1-B9zJthZ6KtWcEJStneCSrho-niDT8C0lA&oe=693133B7;"🌷25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde, tüm kadınlarımızın yanında olduğumuzu bir kez daha vurguluyor, mücadelemizi sürdürüyoruz!  Hiçbir gerekçe, hiçbir bahane; kadına yönelik şiddeti meşrulaştıramaz. Şiddetin hiçbir türüne geçit vermeyen, umudun ve dayanışmanın büyüdüğü bir yarın dileğiyle…";;0
