PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRm2r_ZDHu9/;Photo;771;26;0;2025-11-28 19:37:24;https://scontent.cdninstagram.com/v/t51.82787-15/587724309_18541995754053189_2314682439391331394_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3NTk0NTg1NTExMTgyMjI2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=fyYMnm2y7JQQ7kNvwH3-MxW&_nc_oc=Adn29O5Pcc25hRZ7NRVMsFiv5MkZw6H3hzhSWvhNyWcdh1s1fj_REmVhBePa0f2_Q14&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfjvGtD2ZiaMoF2tTLvDXO88aLXJR7gpxA3Vum18HhUFww&oe=6930F8BF;İl Başkanımız Sn. Mehmet Erdem, İl Kadın Kolları Başkanımız ve parti yöneticilerimizle birlikte Batı Çevre Bulvarı, Efeler Bulvarı ve Zeybekler Merkez Bulvarı’ndaki çalışmalarımızı inceledik.   Aydınımız için daha çok çalışmaya ve hizmet üretmeye devam edeceğiz.;243800.0;0
https://www.instagram.com/p/DRmywXBDNGN/;Photo;705;14;0;2025-11-28 19:03:03;https://scontent.cdninstagram.com/v/t51.82787-15/588231796_18541991335053189_600889180732237544_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTkyODU2MzE3MDg1NzM1Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=k9CTr3eKQ7wQ7kNvwHCaziy&_nc_oc=Admp3i0wqVdOpa8PCZPhozdyUVGYSarpLxSQt-LpiPVjWrz9r2SigVkOGY18zkb4c3g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_Afi0y3y7tiHcRR4PV9A0zC9Zvi6BDTNwijjHPE3KtcGDxQ&oe=6931130D;İl Başkanımız Sn. Mehmet Erdem, İl Kadın Kolları Başkanımız ve parti yöneticilerimizle birlikte İncirliova-Şehir Hastanesi bağlantı yolundaki çalışmalarımızı inceledik.   Vatandaşlarımıza her alanda daha fazla hizmet etmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRmucaSjIoo/;Carousel;985;19;0;2025-11-28 18:25:22;https://scontent.cdninstagram.com/v/t51.82787-15/587693074_18541985992053189_5117081868418048562_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NTkwOTU5NDk2Nzg1ODI0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=VO1NApL2FiwQ7kNvwH3leId&_nc_oc=Adn1MQ4BFiPuE9QzWUZwJ2Npb-dvjx6Dq8mycslkRHZ98qBMyaXQ5ECxpVOCiyhG8Tg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfhFS0rlDr2LEwS5PaBjIwjWcSdYIBQDdHeaaBgUpgF9Mw&oe=69310A2B;İl Başkanımız Sn. Mehmet Erdem, İl Sağlık Müdürümüz Sn.Eser Şenkul, İl Kadın Kolları Başkanımız ve parti yöneticilerimizle birlikte Aydın Şehir Hastanemizdeki çalışmaları inceledik.   Kentimize değer katmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRhJLjvjOz9/;Carousel;807;39;0;2025-11-26 14:23:33;https://scontent.cdninstagram.com/v/t51.82787-15/587943033_18541654735053189_5415947435110248839_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3NDMzODMzMjAzNDM3Nzg1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=Z_HaMlEUySYQ7kNvwGg-4VX&_nc_oc=AdlgawP53KzwnZXA6e_T8qKKnyIQXkz4xdVa3564A7qv6BPDYMleIkBQYb56pIrB56Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfjAiC53ewv60b0mi3l1LoMmtOpZkC95Y449UblD1wy4PQ&oe=6931275D;Tarım ve Orman Bakanlığı iş birliğiyle Doğa Koruma ve Milli Parklar 4. Bölge Müdürü Sn. Kerim Gençoğlu ve Doğa Koruma ve Milli Parklar İl Müdürü Sn. Ali Egemen İşcan ile 217 milyon TL’lik iş birliği protokolüne imza attık.  Sokak hayvanlarımızın yaşam koşullarını iyileştirecek, kentimizdeki tüm canlılar için daha güvenli bir gelecek inşa etmeye devam edeceğiz.;;0
https://www.instagram.com/p/DRhBySIDNxT/;Photo;388;12;0;2025-11-26 13:18:56;https://scontent.cdninstagram.com/v/t51.82787-15/589096402_18541648375053189_4106616194767273871_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3NDMwNTgxNjE5NTk0NzYwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=vSx_3DubWd0Q7kNvwExMrPy&_nc_oc=AdkrmHnMTmquFTxgpdvBL6X-3KucGNmBr5UpC8a7wYLvupg2G6L7i22xVHp88G0P-mo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfgbBpsBfs_cdirbDscjl_hp2AV6qnsNRsW3-30YllxXkA&oe=6930FA2D;"Bugün, kökleriyle toprağa tutunan; sabrı, bereketi ve huzuru simgeleyen zeytin ağacını selamlıyoruz. 🌿 26 Kasım Dünya Zeytin Ağacı Günü’nde; Aydın’ın her ilçesinde üretilen zeytinin, zeytinyağının ve yıllardır bu toprağı emekle işleyen üreticilerimizin değerini bir kez daha hatırlıyoruz.  Aydın Büyükşehir Belediyesi olarak; •⁠ ⁠Üreticilere verdiğimiz desteklerden, •⁠ ⁠Kırsal kalkınma yatırımlarımıza, •⁠ ⁠Köy pazarı projelerimizden, •⁠ ⁠Doğal yaşam alanlarımızın korunmasına kadar zeytinin ve bu toprağın bize emaneti olan her değeri geleceğe taşımaya devam ediyoruz.  Çünkü bu şehir, bereketini zeytinin gölgesinde büyüterek bugünlere geldi.  Aydın’ın kökleri güçlü, geleceği sağlam. 🌿🫒";;0
https://www.instagram.com/p/DRe8uqtjDzh/;Reels;2009;51;140102;2025-11-25 17:57:13;https://scontent.cdninstagram.com/v/t51.71878-15/587793409_1199036102165416_3967734748876898773_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MzcyMDYyNzUzMDk3MjM4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ZN9Cl0Ag0kwQ7kNvwEQag92&_nc_oc=AdlOswdIRnXeWeqqsDQijDG03NeKZ4EnuA2N704KXL-RTpW8COD6h3-ELWltrPMdRVA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfiymSq5yckxz2rEE4ceyuvuSk4ww5irqApTisiqHdtSJA&oe=69312930;Atatürk Özel Eğitim Meslek Okulu’nda öğrencilerimiz, öğretmenlerimiz ve velilerimizle bir araya geldik. 💙  Ziyarette hem keyifli anlar paylaşıldı hem de özel gereksinimli evlatlarımız için yürütülen çalışmalar yerinde değerlendirildi.  Aydın’daki her çocuğumuzun eşit, güvenli ve destekleyici bir eğitim ortamına kavuşması için tüm birimlerimizle çalışmaya devam ediyoruz.  Bu şehirde hiçbir evladımız yalnız değil.  Aydın Büyükşehir Belediyesi her zaman yanlarında. 🧿;;0
https://www.instagram.com/p/DRep363jO8J/;Carousel;906;16;0;2025-11-25 15:11:31;https://scontent.cdninstagram.com/v/t51.82787-15/588757061_18541504225053189_8360394946852597579_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3MzYzNzY5MTgyOTkxOTk5Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=jvX9ItEpW8YQ7kNvwFvL0Ir&_nc_oc=Adl8BTKpzshrNfJXBPGo1kYN-xyfow7PPQqyrHet2SCvRShMXXbK1v-zf5HqjkcPXVw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfiQIywyjU-6ewf9ZiWP1JGfvIm03-puuhQk5TXrOjb8qQ&oe=69311B00;İl Başkanımız Sn. Mehmet Erdem, İl Milli Eğitim Müdürümüz Sn. Mehmet Yiğit, kadın kolları il başkanımız, gençlik kolları il başkanımız ve muhtarımızla Efeler Atatürk Özel Eğitim Meslek Okulu’nda öğle yemeğinde buluştuk.  Özel eğitimin öneminin farkındayız. Tüm özel bireylerimizin yanında olduk, olmaya da devam edeceğiz.;;0
https://www.instagram.com/p/DReR72_DHV7/;Carousel;683;12;0;2025-11-25 11:42:20;https://scontent.cdninstagram.com/v/t51.82787-15/587616965_18541483114053189_4616971943431687266_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzUzMjQxMzYzMzUwOTk2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=c2b_aZ0rhLsQ7kNvwG9ZZ9J&_nc_oc=AdlaJzsEV4R-gFwMt6KABZ2Sp3Dp3ymHdrua0Z51ZcAJaxylhE5NAjDboxxrvAn72Bw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_Afh94lY6s17Quyr0fNC29beDlGEnYg_g1ZogDUABYP9Pdg&oe=6930F88C;Kadına yönelik şiddete sıfır tolerans!  Kadın Kolları Başkanımız Sn. Şahika Edremit ve kadın kollarımızla birlikte Atatürk Kent Meydanı’nda 25 Kasım Kadına Yönelik Şiddetle Mücadele Çadırımızı ziyaret ettik.;;0
https://www.instagram.com/p/DReOpduDGJH/;Carousel;999;42;0;2025-11-25 11:13:36;https://scontent.cdninstagram.com/v/t51.82787-15/589156608_18541480651053189_510730493257550003_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MzUxNzk1NDE4OTkwODE4Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=5zBEFh05aGEQ7kNvwEyW2C3&_nc_oc=AdmogRnfS5jDAClBxPGhGFeaD-wc03OzGW8sv-Rpm73u78GI5eNK6oRjt1oZl19rTgk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_Afiy0FZY_mN0V_mCJHWbjn1-Cq7AJ8CqVZbNfsw5C2HjXw&oe=693105F3;Aydın Valimiz Sn. Yakup Canbolat ile birlikte Atatürk Kent Meydanı’nda 25 Kasım Kadına Yönelik Şiddetle Mücadele Çadırımızı ziyaret ettik.  Kadına yönelik şiddetle mücadele için çalışmaya, kadınlarımızın daima yanında olmaya devam edeceğiz.;;0
https://www.instagram.com/p/DReBtlcDERx/;Photo;322;11;0;2025-11-25 09:20:34;https://scontent.cdninstagram.com/v/t51.82787-15/587535656_18541471669053189_359405358177523870_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzc3MzQ2MTA2ODQwNTAzMjA0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNDd4MTY3OS5zZHIuQzMifQ%3D%3D&_nc_ohc=rnJSHypwG3YQ7kNvwHIX5l9&_nc_oc=Adk5huNqRrAASgtY_an2eFuOaWhyAHB_xEBLQ9pR2OSINftXrlKC22XgOY7T3Gt3iAc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=epnXH_rgYdk15TQhVDmjdg&oh=00_AfhtUpjHmmVa7yd_0Q0Q9KGuUoObWQc3-KENFQGIDwda4w&oe=6930FD0D;#KadınaŞiddeteHayır  İnsanlık onurunu ayaklar altına alan kadına yönelik şiddet, kabul edilemez.   Kadınlarımızın her zaman yanında olmaya devam edeceğiz.;;0
