PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRolRNrje9Z/;Reels;2814;126;88165;2025-11-29 11:44:35;https://scontent.cdninstagram.com/v/t51.71878-15/587036957_1155294656326462_6959086667143746407_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=105&ig_cache_key=Mzc3NjQzMjE5ODE5MTU0MjEwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=zOAdAsWW64QQ7kNvwFS8d_w&_nc_oc=AdkztI9M2kYqJnHZXkMYp6IS8ceiHHi93kMw1xp-5MWDeBF5djJaR7-79AQOk7--U-zmQJkuY1vfSRkHLdgJ2Qtz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhMurhW8auwKVB5bU8T_3QmQ-eMsZauqNjZmXcoA8Aevg&oe=69310315;Osmaniye’mizi “gelin arabası” gibi süslüyoruz. Yakıştı mı? Bizce yakıştı.   #osmaniye #okü #ibrahimçenet #zorkun;103057.0;0
https://www.instagram.com/p/DRfcC5fDYU3/;Reels;1751;19;81290;2025-11-25 22:35:18;https://scontent.cdninstagram.com/v/t51.71878-15/584277888_1541483787052757_6868885092313521126_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3Mzg1ODM1NzIyNTI5MzExMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=wcXCLdT1TwMQ7kNvwHNxHZD&_nc_oc=AdkHko81sPWk5VxAE08-0Iapaid-oJ1uCLi1FUjA1oKIAUSrjqz3NSa_KGo5RNW1N5zR0NMPpVEVg-jBXDTFgwhs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhxIu043qXrw3fkSv4VOa4iG59U9eZKtomqSaW-wNEsGA&oe=69311804;Öğretmenler gününe özel akşam yemeğinde konuklar arasında maarif koro öğretmenleri de olunca sanatçı öğretmenler geceyi coşturdu. Şehrimizin ortak aklı öğretmenlerimize çok teşekkür ediyoruz. İyi ki öğretmenler var.   #osmaniye #okü #ibrahimçenet #meb #music #night;;0
https://www.instagram.com/p/DReLNLmDf-r/;Reels;1824;74;71174;2025-11-25 10:44:28;https://scontent.cdninstagram.com/v/t51.82787-15/587287214_18543072523021446_8775865969528539464_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MzUwMjgyMjA5NzQ4NTczOTE4NTQzMDcyNTIwMDIxNDQ2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=7NzBYzjmuboQ7kNvwEovnWw&_nc_oc=Adlz0Cdc18C9E0QibypPo-9ZeQMlRw4imkWxCbxBCIUdWilvyaQlAoC-eE734eOinvrfapPEEUtH_bn_8eG3VC0k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhAL8fzmR2uBad-dKuMq6qDzKb7t9AwQxCuzOUFJG-QRw&oe=693115B1;Her gün yeni bir Osmaniye’ye uyanıyoruz. Park 🅿️ hastanesi ve Atatürk ortaokuluna inen Karaoğlanoğlu sokağımız hayırlı olsun. #osmaniye  #okü #ibrahimçenet;;0
https://www.instagram.com/p/DRb3q-5DZbg/;Reels;1660;21;90359;2025-11-24 13:16:29;https://scontent.cdninstagram.com/v/t51.82787-15/587917312_18543016300021446_5185112286371624016_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3Mjg1Mzk1OTE1ODI0MDk5MjE4NTQzMDE2Mjk3MDIxNDQ2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=hXa0L86Al2sQ7kNvwGtrX_3&_nc_oc=AdmWk1nxtmnQUhLekGyNfil0EcsizA2ZVWcaR4iBSPSdMEGKWpXOxS1DozHUHEa8SA2StblG5NtH4qf2EJQxHdG-&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_Afjv7dyyXSfOYLhsAMRkiLIRPkmKGjFpZiBMSFBaU3bQpQ&oe=69312B91;Öğretmenlik sağduyunun sesi, Devletin şefkat eli, aklın ve aydınlığın yoludur. Osmaniye Misak-ı Milli Anadolu Lisemizde öğretmenler günü kutlamasına katıldık.   #osmaniye #okü #meb #education #öğretmen;;0
https://www.instagram.com/p/DRZRIhQjbdc/;Reels;1822;20;79305;2025-11-23 13:00:50;https://scontent.cdninstagram.com/v/t51.71878-15/587783338_1418631206500812_1348375650380630469_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MjEyMTUxNTE1NzIwNjg3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=QS_LAVm_wWgQ7kNvwG21J6e&_nc_oc=AdnQIeMr5TtA_U5zUv6RMCV3DWBN28kj_NxIDd2eNvTXXAg6sUGfgVz-Bu1VVgrCZFQ7_DQE_M0a-0_cKHdTAPvZ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhYwqb_fPCZ2LskSge6O505RVidZjG7HnUORDJSgNFCCA&oe=69312712;Z O R K U N hafta sonu kış modunda da çok güzel.   #osmaniye #zorkun #okü #ibrahimçenet;;0
https://www.instagram.com/p/DRWcOD5jdM1/;Reels;1696;54;77036;2025-11-22 10:42:21;https://scontent.cdninstagram.com/v/t51.82787-15/588430378_18542325085021446_3319260265954374109_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3MTMyNTg0OTUzMTE3NTczMzE4NTQyMzI1MDc5MDIxNDQ2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=p14a7dExJW8Q7kNvwGEyaaj&_nc_oc=AdlLkGpiMhX4HSLcpxy9TRIBTfEd9Un9IACVeyFbvvboySio-hVb8uDUPdPgl_roa0EhNygJmLZ6KTJWpfwM8t3q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_Afh8QVd8anivdhhpncyEo0bbsuLDupxy6j6ppOyAvMQkcg&oe=69311D5F;Meclis’ten Yirmi Günün Sonunda Bütçe’yi geçirmişizdir. Soluğu Zorkun’da almışızdır.   #osmaniye #zorkun #okü #sports #budget;;0
https://www.instagram.com/p/DRPHBBXjdNP/;Reels;6419;298;153158;2025-11-19 14:24:22;https://scontent.cdninstagram.com/v/t51.71878-15/583283644_1208509574479197_1200725867583792553_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=105&ig_cache_key=Mzc2OTI2MjI2OTY0NjM2MTQyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=KuQHfYrNbmIQ7kNvwFPF4tG&_nc_oc=AdnfIAbuiyhlYMrMIyePMkoR9fD8lPLM-qksnUQWBDzvrloQ4r4Yud3nI7jGscwo0dHZfLW3v37ay6VU7xcKcftw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_Afh9FXeUZUzs0BwUToZXeAPBEXe_U-K8t8LKP569ipev_g&oe=6931238E;Osmaniye işlemesini bilene bir mücevher yeter ki bizler sarraf olalım.  Japonya’dan İngiltere’ye kadar dünyayı gördük. Tüm bilgi ve tecrübemizle diyoruz ki Osmaniye Akdeniz’in kırsal turizmde kutup yıldızı olacak. 🌟   #osmaniye #okü #tourism #zorkun #adana #gaziantep #sports #mountains #runners #canyons;;0
https://www.instagram.com/p/DRNAjnkDeNV/;Reels;1294;22;74604;2025-11-18 18:48:32;https://scontent.cdninstagram.com/v/t51.71878-15/582327725_1141900921267436_4680497495965411520_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=108&ig_cache_key=Mzc2ODY3MDkxMDg0MTQ4MDAyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=EIJlcskpK-0Q7kNvwFYDISy&_nc_oc=Adl1vTI5r5SU2cKuC3bjJTqeUqLXcA6Z7xLRk8biH5oWSXpFJdxo2YcEzN4OSlY-PY67V35lyvzqUAVsheTCWTlQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhiUoRdhxBKt1_my3a7AdXz8inza6fYv463YgaIzf2uHQ&oe=69313120;Osmaniye Yarı Maratona Hazırlanıyor. Sporcuların koşu esnasında yakmak için yarış öncesi makarna ile karbonhidrat yüklendiklerini biliyor muydunuz? 21 Aralıkta Uluslararası bu Spor Etkinlinliğine tüm atletleri bekliyoruz.   #osmaniye #marathon #okü #running #international #festival #natura #tourism #runner #zorkun #adana #turkey #turkiye;;0
https://www.instagram.com/p/DRCjt00DVyu/;Reels;4511;94;129229;2025-11-14 17:19:26;https://scontent.cdninstagram.com/v/t51.71878-15/583084766_883865567509934_4658922925426299805_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=106&ig_cache_key=Mzc2NTcyOTMxOTE0NzM2MzUwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=CpA1cgQ4wzEQ7kNvwF4G7Cj&_nc_oc=Adnk1-swewmdcOri4fGVitmlK2oJSLlf6cVJtzllYvdlvlDirwaOJl1hzlJRpSyXSPQErpRlYLsqmXb4dVPPRdpn&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfhKxJHJ6zm26x4ahqU9qdDtWM-blmFwPtyD0TSe-Ziy6A&oe=69311835;Osmaniye Saklı Şelale geliyor.   📍360 Derece Panoramik Kafe  📍Yöresel ürün Satış Reyonları     -Zeytinyağı   -Sofralık Zeytin   -Osmaniye fıstığı   -Bal, Paket Bulgur,   -Takı Tasarım  📍Yürüyüş yolları  #osmaniye #okü #zorkun #karaçay #tourism #climbing;;0
https://www.instagram.com/p/DQ6uUACjfU5/;Reels;1588;33;56495;2025-11-11 16:20:04;https://scontent.cdninstagram.com/v/t51.71878-15/581044082_1104676881543917_736969141523959676_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=105&ig_cache_key=Mzc2MzUyNDEyMzE5MzM3NDAwOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=si8L_eMD6EAQ7kNvwGHRtGP&_nc_oc=AdmHANnDocfPjARYUXkE2OzsaiP0r2MDroAVz5nGMEmUsTbI9NLiEH-itinH2P6RUE-eAR5EGS4g5H8ZDW4Fm470&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=-1&_nc_ht=scontent.cdninstagram.com&_nc_gid=_XzEO-jbYV-UUJ_JhPwUOA&oh=00_AfgdwWwbBa92Y2IcaFWc3qmpfluo_KOI0lEx06W__5vw9Q&oe=693112F5;Bir fidan bir gelecek. Herkesin bir dikili ağacı olsun dedik ve kolları sıvadık. 11 Kasım ağaçlandırma bayramında zeytin 🫒 ağaçları diktik. Tutkun olsun.   #Osmaniye #olive #oil #tree #planting;;0
https://www.instagram.com/p/DQ32HtujYJ6/;Reels;1845;38;73833;2025-11-10 13:32:18;https://scontent-lax3-1.cdninstagram.com/v/t51.82787-15/579687137_18540529348021446_4733149211130871491_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc2MjcxNDAzODMzODY4MzUxNDE4NTQwNTI5MzQ1MDIxNDQ2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=UkxpCziN9nIQ7kNvwGb7VYV&_nc_oc=Adn_g8JQOBJW9YAln5Z1rga8GYBrDAygkZO5O6tGhtUpHdmwA-2QTvD3VeV-5XSFdt1H5IoAvq7B6aq4EwLQAN7T&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=wsTNHx2XD20N78mZbz6kEQ&oh=00_Afguf_4i5WFgINC580KYTDxudV7Yy-5HpgdCFU4_5P3FWA&oe=69311D64;“Bir sevdadır bizimkisi… seveni fani sevileni baki..”   #osmaniye #okü #ibrahimçenet #zorkun;;0
