PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRg9p5XiJS_/;Reels;350;6;28911;2025-11-26 12:44:37;https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/588441255_832847879356306_8193636027360000068_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NDI4NzY0NzY3MDMxMDA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=Ya9pjzxnLY0Q7kNvwFsnK6j&_nc_oc=Adlxw7VK4a7PO6VuYQvVeW4P2u00OU0ve5-RgLDyQyNa-ZY2VhnJjmMgsgGGwctsnGc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_Afi5fVi_fYgIvX7Pu0BACaEjsYmRkpJAEuUB5EYIDePvKg&oe=693104BF;Geçmişin frekanslarında kısa bir yolculuk için sizi Çankırı’ya bekliyoruz. ✨;55579.0;0
https://www.instagram.com/p/DRcUO6hCAy1/;Reels;1677;45;89326;2025-11-24 17:24:44;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/587561485_1172293421142058_6292929203239921604_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc3Mjk3OTU3MzY2MzczMDg2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=wNmyT8rKvb0Q7kNvwGhGJQV&_nc_oc=AdmZJlelncRdjL_TOVmq_JatyomLDdJs5GdJRTgefU0MZuFBOIpqtOB0aP0FMN9NedU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfghwSPhVri6nLV7lSdsBb-7WYTGDk_Cp3YCmAYbSxoIvw&oe=6931084C;Lezzeti akımlara konu olan ÇanSüt 😎👏🏻;;0
https://www.instagram.com/p/DRcT0lWiKSU/;Carousel;872;10;0;2025-11-24 17:20:20;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/585002012_18298420375287857_1905990845664577800_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3Mjk3Nzc0Nzk3NTUyODE1MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEwNjV4NzEwLnNkci5DMyJ9&_nc_ohc=Kstcnaep0L8Q7kNvwEiHG5O&_nc_oc=AdlSvky8AqwjKk1d16K-HWIUSCnkV--C-wCD5qGxy32U9fhuiG8JT_XEt71VrZvQ1IU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfhGKi40GI_jaYJMjRqzVe5jfkGugVznlcOPya0NETsDNA&oe=693124F9;Bugünlere gelmemde büyük emekleri olan İlkokul öğretmenim Sabri Karadut’u ziyaret ederek hayır dualarını aldım.   Sabri Hocamın nezdinde tüm öğretmenlerimizin 24 Kasım Öğretmenler Gününü tebrik ediyorum.;;0
https://www.instagram.com/p/DRZOLk4gIkH/;Reels;863;16;57324;2025-11-23 12:38:11;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/587711160_4146864745577047_1529042274944484843_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc3MjEwODUzMTA2NzU1NDA1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ONaItG3fkRsQ7kNvwHgZVVK&_nc_oc=AdmGj9SkGdN2L0ToSfeFcMjhr5I6HVxd61BGU4yFKtZMt6nkf1KAHe1qhgDljnDsqC8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfjuuO57KzwCa5yXYRNtxBzrA4w_VqoEYBFbwkQhz5B3LA&oe=69311F41;Fatih Mahallesi Elekçi Ardı mevkinde sık sık yaşanan su baskınlarını önlemek için büyük bir altyapı çalışmasını tamamladık. Yapraklı yolu altındaki menfezlerden gelen yağmur sularını 700 metre uzunluğunda 2x2.5 m beton kanal ve 600 metre 1000’lik beton boru ile toplayarak Acı Çay’a yönlendirdik.  Bahçeşehir Koleji çevresi ve Salihler Caddesi’nde asfalt çalışmalarına başladık. Şehrimiz için güçlü altyapı, güvenli üstyapı! 💧🚧✨;;0
https://www.instagram.com/p/DRWkh6oiFKm/;Reels;1202;26;40762;2025-11-22 11:55:10;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/587013802_4243975919206460_2814678115950176969_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc3MTM2MjM5ODM0MzU0OTYwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=j61lErKQ6M0Q7kNvwE7Blm3&_nc_oc=AdlDe95sDJ_rjRHG-3VP4Opuz8OopDJRDsazAqU_pRcGZDNSFElx8GAwkKxJtS3bprs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfjsdYHAyR1kOmpKQ_MEG9Iz9S0cQvr88yqniMve6qtVSg&oe=6931000B;Turizmin gözdesi olduk 😎 Daha ilerisi için adım adım ilerliyoruz ♥️ Teşekkürler ÇANKIRIM 👏🏻;;0
https://www.instagram.com/p/DRF9NLRCI44/;Carousel;1449;10;0;2025-11-16 00:59:25;https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/582411253_18297531610287857_4836919279776482503_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc2NjY4NTgyMDU2MDkwNDA5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=TmiixspKq5MQ7kNvwG0HZWt&_nc_oc=AdkBln4qmlWNII3qqJVuxoP6tx8vCiP1NbAXj-ngZ7_RQa2D8NoT7LTsGz_PRC6AgXU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfhmI6L2YOMUWGQy-7WUEh5eoCnzVvYX9nJ2-9r_PbduLA&oe=69312255;‘Türk Kapısı’ Nahçıvan’ın kadim topraklarını ve Duzdağı Mağarasını ziyaret ettik.;;0
https://www.instagram.com/p/DRCuAWliBi1/;Carousel;1047;7;0;2025-11-14 18:48:53;https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/582434739_18297398749287857_4218417009066218082_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc2NTc3NDU1NzAzMDk0ODQ2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyMDB4MTYwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=07EEqDtEvKQQ7kNvwH4gGR2&_nc_oc=AdkPFeaBgiPCUm2QH_FfOflKDj5uvEBwZfhaGa691MVcC55fpGWQFNjnszS1cjB9TTs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfgMMvGPE-ivJVUTONz4AKljT57qpZpvwrBrU4rAa4InbQ&oe=6930FADA;Hemşehrimiz Mehmet Çavuş’un 105 yıl önce şehit düştüğü Iğdır’da anma ve kurtuluş günü etkinliklerine meclis üyelerimizle katıldık.   Iğdır Valisi Ercan Turan’la birlikte Iğdır Şehitliğine Yarenler Diyarının selamlarını ilettik.;;0
https://www.instagram.com/p/DRAArb_CJxe/;Reels;3668;65;211585;2025-11-13 17:37:42;https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/580813870_1910207299591978_7951127190134772387_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc2NTAxMjI3MzQ2Nzc5MjQ3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=BTYESuF5Zi4Q7kNvwGEIojY&_nc_oc=AdlLx1J0OC5cTJe6hqJPJIl14tkIXobHSbFZnUl2f8oKDk0Frg5c8SC1wmz-SqCRkJo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfhLGlvBqmj908yj7Ru6o9SL_jpTIoDmV9nkuE6xtXmjXQ&oe=6931086C;Üretimi severiz 🥔 👋🏻 Hasatını ettiğimiz patateslerimiz yakında ihtiyaç sahibi ailelerimizin sofrasında ♥️ Kızartmalı kahvaltıya davetinizi bekliyorum 😎;;0
https://www.instagram.com/p/DQ6jfk3CIKf/;Reels;1107;10;44270;2025-11-11 14:45:21;https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/576116449_1366511205189033_7112465353942667077_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc2MzQ3NjU0MDEzMTE0ODQ0Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ED42w_UP1hoQ7kNvwF-MwMI&_nc_oc=Adki8TrF8--O6byDqaeczrqjBPsLRLPLY77aMzv9LaFSYjqhoDOTUlabiDDY6TS9llM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfgLhPGJPex4doAYxELLp5FiuE2kQ-HHvHB0tXmKeOtifw&oe=6930FB10;Sarıkaya ormanında çıkan yangını haber veren kahraman Poyraz ile beraber bugün fidan dikim etkinliğinde buluştuk ♥️ nefesimiz, ormanlarımızı koruyalım diktiğimiz fidanlarla doğaya can verelim 🙏🏻;;0
https://www.instagram.com/p/DQ3iGncCPW3/;Reels;1163;15;33807;2025-11-10 10:41:13;https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/576382517_1193071149360218_270618352847643993_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc2MjYyNjAwMTkzNTg1NzA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=rk04iESLf2wQ7kNvwGRCMjZ&_nc_oc=AdndWu_cJssbRVi_vkJ50oVNF2UCrfJ12mp9aN-5AArbmoDjBON52xwsvHVXI2RKzZQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_gid=QEF6eovkpe8VvZxwcbYdVg&oh=00_AfjrrrtcwOVBZJaur-aHy1hjJ2N2ynK_Pculrfmsw5sCsA&oe=693116AF;Büyük ölülere matem gerekmez, fikirlerine bağlılık gerekir.  Mustafa Kemal ATATÜRK;;0
