PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpJbkyAiXU/;Reels;643;16;24228;2025-11-29 17:04:18;https://scontent-atl3-3.cdninstagram.com/v/t51.71878-15/589841727_1835836727809043_7377546806237691609_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NjU5MTIzOTg2NTA1MDU4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgzNjAuc2RyLkMzIn0%3D&_nc_ohc=6aFtA94y8uUQ7kNvwGfoE32&_nc_oc=AdnpgF4Bizboy5dly3pEc-gMt1ogGgg7ig15YRsINbOLYKRYlOw8r74K-dv1vxbdB9E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfjLO1YLy9p9U-OVcElL5bmE5rVJZyhWcPcZDDP0k9F1UA&oe=69312E14;❣️Tüm güzellikler aynı saatte gün batımı ile karanlığa döner Tunceli’de, yeni umutlara uyanmak üzere.  ❣️Tunceli’de günbatımı.  💕#CanCanaTunceli 💕;123646.0;0
https://www.instagram.com/p/DRoswW1guhg/;Reels;1534;41;55647;2025-11-29 12:49:38;https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/586647180_1515215919534009_5045144635866946264_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzc3NjQ2NTEyNDY1MTYyNDU0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=-HL6vPRSbHsQ7kNvwEK529A&_nc_oc=AdmaoeGAzRJXmezBWSM5z2cTSBwALxoLB78j_Smk9ldLqc99h5nJ9n_1p_J2DfJyYHY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfiC4yNdW8zZrGxycPGFtkTygiYdUWEdww3QXZ3kRXy9Bg&oe=693116C7;❣️‼️15 Temmuz Şehitler Parkı   🚩Elden çıkmış görüntüsünden yeniden vatandaşımızın keyifli, güzel vakit geçireceği günlerine kavuşturuyoruz.  ⏳Çok yakında..  💕Sevdamız Tunceli 💕    #CanCanaTunceli;;0
https://www.instagram.com/p/DRnFJ7nAlqx/;Reels;2975;34;50039;2025-11-28 21:44:13;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/587652682_3668056663330843_8745503151137299864_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3NjAwOTQ4NTI4NjUyOTcxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=Ak53TeEfSxQQ7kNvwEqMD1_&_nc_oc=Adkq1WiE7thjbZeZ1_N7Dd21r6HFL9ZFSbmD4rw72ouj3KN5F6tp7JzB-dt2htz1JAs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_Afjf0nARKm5Ih8TQzv8BSaB-U7vb87REY2C9mLO1GKFS3Q&oe=69311B65;❣️ Bir Tunceli Gecesi   💕#CanCanaTunceli 💕;;0
https://www.instagram.com/p/DRm4EKliNGQ/;Carousel;1057;5;0;2025-11-28 19:49:26;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/586701624_18307994563270606_8891864599897745227_n.webp?_nc_cat=108&ig_cache_key=Mzc3NTk1MTkwNDIyMDY3OTM5NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=wsQd8GHUHqwQ7kNvwGgNMsL&_nc_oc=Adlr-o_G7Yj9yJ_2V8Ws1Y7qt_c6N1tUtNK4JCEQ_QBaIdvIRq4zSq-vad55qi5UmQw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_Afg6KhIhu016v0eFrqvhi3UYXltZjbASCwtF8rXEjzl0LQ&oe=6931246B;"📍 Atatürk Havalimanı  📌 İçişleri Bakanlığımız tarafından düzenlenen Jandarma, Emniyet ve Sahil Güvenlik Teşkilatına 9.200 Yeni Araç Hizmete Alım Töreni gerçekleştirildi.  🚩 Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın teşrifleriyle; İçişleri Bakanımız Sayın Ali Yerlikaya, Valimiz Sayın Şefik Aygöl, Bakan Yardımcıları, Milletvekilleri, İl Valileri, İl Emniyet Müdürleri, İl Jandarma Komutanları, Sahil Güvenlik Komutanları ve protokol üyelerinin katılımıyla düzenlenen törende, güvenlik teşkilatlarımıza önemli bir güç kazandırıldı.  📍Ülkemizin asayişi ve huzuru için;  ✅ 7.080 araç – Emniyet Teşkilatı ✅ 2.070 araç – Jandarma Teşkilatı ✅ 50 araç – Sahil Güvenlik Komutanlığı'na alımı gerçekleştirildi.  #TürkiyeninHuzuru🇹🇷  @rterdogan #AliYerlikaya @sefikaygol";;0
https://www.instagram.com/p/DRmRD4mAoL9/;Reels;646;17;29492;2025-11-28 14:12:26;https://scontent-atl3-2.cdninstagram.com/v/t51.71878-15/586681117_1855056638703689_4917241231829588081_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc3NTc4MDM3MTMxMzA5OTUxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=P6YVHh1Y5QgQ7kNvwHx7hMr&_nc_oc=Adl6g7OEVs3dPNr-1jiP9LG5bS3o1WbZK3DWFe3g2Q9vvGYFf-nXdfh2PaflcLUD3mQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfjjRKaov1yClPX9D1mH9GFPqSWqnFLkZY1ez5L2IuvXYw&oe=69310BB4;❣️‼️Hemşehrilerimize güzel bir haber daha.  ⏳Çok yakında..  💕Sevdamız Tunceli💕    #CanCanaTunceli;;0
https://www.instagram.com/p/DRlyZO2COYt/;Reels;1362;44;71904;2025-11-28 09:42:34;https://scontent-atl3-3.cdninstagram.com/v/t51.71878-15/588420848_1860574544582682_9038722100465043719_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NTY0NTQ5ODg3MTQ0MDk0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=OVEJMcUvgIkQ7kNvwHuOB3f&_nc_oc=AdkKzRQRTSB3a37zEZ2luNCqFuLQrkl_qkbPjdDoVnrOkWMXsj2zDcAns5WRGiqVlVw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_Afi6s6Sja5sMoxvE10y3__MulrfkLC0nyH-QIXIAIxqqVA&oe=6931035E;❗❗2026 Yılında Köylerimiz İçin Büyük Hedef: 100 Kilometre Sıcak Asfalt❗❗  📌Tunceli İl Özel İdaremiz olarak, 2026 yılında köy yollarımızda 100 kilometrelik sıcak asfalt çalışması hedefliyoruz.  🚩Bu kapsamlı yol yatırımı ile köylerimizin ulaşım konforunu artırmayı, vatandaşlarımızın günlük yaşamını kolaylaştırmayı ve il genelinde daha güvenli, modern ve kaliteli bir yol ağı oluşturmayı amaçlıyoruz.  🚩Köylerimizin hizmet çıtasını yükseltmeye, her haneye dokunan yatırımlarla Tunceli’mizin geleceğine değer katmaya devam ediyoruz.  💕 Can Cana Tunceli 💕  @sefikaygol @tcicisleri @uabakanligi @karayollari.gm @tunceliilozelidaresi;;0
https://www.instagram.com/p/DRliGiSgmnj/;Reels;3615;37;65962;2025-11-28 07:18:44;https://scontent-atl3-3.cdninstagram.com/v/t51.71878-15/587724300_1656458962390274_3182315184517982149_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc3NTU3Mzg0NTMzNjAyNTU3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=_1byjef040gQ7kNvwGTMcs1&_nc_oc=AdlJRoPoKGVz0mD6xUvI9BUIu1U9ZEPRKq5KdiTEESKB5AsVAqOtk0pR_Y4460GXMZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfgP0vqS_dRWoEBjWYeyUJjmCTK0fNbUnE17J2AkYkAxrw&oe=6931085B;❣️ Bir Tunceli Sabahı   💕#CanCanaTunceli 💕;;0
https://www.instagram.com/p/DRkGBFPAqLi/;Reels;3867;86;101371;2025-11-27 17:54:04;https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/586651830_1590109669013197_3813951337305614713_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc3NTE2ODg1MDI2MjQwMTc2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=J0IiZoibwy0Q7kNvwFx-7qF&_nc_oc=AdlH8FlDxGm-GDyWmNG-OGeGEaBOueyr-vtBOWXVU0aGNecXZ_qjeSimksKWcLCUlk4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfhalQSttihU-WN-JHTBsyKITHdY9nFuQhLi-ZHqGb7KfQ&oe=69312F38;❗❗ Şehrimize Bir Güzel Haber Daha ❗❗  📍 Munzur’un kenarında 6–12 km uzunluğunda Bisiklet ve Yürüyüş Yolu için çalışmalara başlıyoruz.   Şehrimize Hayırlı Olsun    💕 Can Cana Tunceli 💕    #CanCanaTunceli;;0
https://www.instagram.com/p/DRjvo5BCASV/;Photo;418;0;0;2025-11-27 14:38:05;https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/586719149_18307866451270606_8525176868052527587_n.webp?_nc_cat=107&ig_cache_key=Mzc3NTA3MDQzMDg1MjI4NTU4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=rFrlfr0mnv8Q7kNvwFbW1o7&_nc_oc=AdnkKXjPI-ZzfOHAuBADoUDkMWywoI-8bwRfKN58izJksq4ktyXpU3vfzPZKSlw3uok&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=5U7Hh97aVK3mNDbvwp0UnQ&oh=00_AfgFUtmZwHktkZladET1razlMoO2WYCIdijfR_c3LF5p_w&oe=69311D0D;📌Mülkiye Müfettişleri Sayın Sinan Başak ve Sayın Mesut Tabakçıoğlu, Valimiz Sayın Şefik Aygöl'ü ziyaret ettiler.  🚩Nazik ziyaretlerinden dolayı kendilerine teşekkür ediyoruz.   @sefikaygol;;0
https://www.instagram.com/p/DRjI4EUgrZk/;Reels;1983;28;43756;2025-11-27 09:01:11;https://scontent.cdninstagram.com/v/t51.71878-15/584382868_2260547917789828_2368767509390052844_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3NDg5OTk0OTk2ODQ3MTY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=UcDVkqvicH4Q7kNvwGWGNlP&_nc_oc=AdnpEFX-KS2JvFCXiGY09jWDtgJ02dajnr4YgZjcUDfSRgYTQfXMSbvUd3c3fDwNiVeQIKOI-iy-Wveg25Z_4-10&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=362rjW3Aty56Gr6EldNHtQ&oh=00_AfiEhSPdRjOOq5fXQtKB2ZgLgSrd783aTqT__aeLD9kwaA&oe=693124F3;📍Pülümür Vadisi. Tüm renkleri ve ışığıyla,  💕#CanCanaTunceli 💕;;0
